DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
21/08/2000|Dulce Maria Pereira|1|Paulo Markun|Boa noite. Ela está na linha de frente dos que lutam contra a discriminação racial no Brasil. E acaba de se tornar a primeira mulher negra a ocupar um cargo na diplomacia brasileira. O Roda Viva entrevista, esta noite, a arquiteta e antropóloga Dulce Maria Pereira.
21/08/2000|Dulce Maria Pereira|2|[Comentarista] Ela já se colocava na discussão das questões nacionais nos anos 1980, e foi aqui na TV Cultura. Além de outros programas, Dulce apresentou o Constituinte 87, uma mesa de debates sobre os principais temas ligados à reforma da Constituição. Nos anos seguintes, ampliou a sua atuação política, participando de movimentos de defesa dos direitos humanos. Chegou à presidência da Fundação Cultural Palmares [criada em 1988 e vinculada ao Ministério da Cultura], entidade voltada à defesa dos direitos da população negra no Brasil. Nos últimos anos, também se tornou coordenadora de programas que envolvem parcerias entre sociedade e governo na área social. Em julho deste ano, Dulce Maria Pereira foi escolhida pelo presidente FHC para assumir a secretaria executiva da CPLP, a Comunidade dos Países de Língua Portuguesa. No discurso de posse, a reafirmação de um objetivo|buscar a integração política, econômica, social, cultural, científica e jurídica entre os sete países que falam português e tentam se unir através dessa comunidade – Brasil, Portugal, Angola, Cabo Verde, Guiné Bissau, Moçambique e São Tomé e Príncipe.
21/08/2000|Dulce Maria Pereira|3|Paulo Markun|Para entrevistar Dulce Maria Pereira nós convidamos a jornalista Teresa Cruvinel, colunista de política do jornal O Globo; a socióloga Fátima Pacheco Brandão, especialista em pesquisa de opinião pública e integrante do Conselho Estadual da Condição Feminina de São Paulo; a jornalista Maria Amélia Rocha Lopes, editora do Caderno de TV do Jornal da Tarde; a jornalista Norma Couri, colaboradora do jornal O Estado de S. Paulo; o jornalista Alfredo Prado, correspondente da agência Lusa no Brasil; a historiadora Cidinha da Silva, presidente do Geledès, Instituto da Mulher Negra, e o jornalista e escritor Eduardo de Oliveira, presidente do Congresso Nacional Afro-Brasileiro. O Roda Viva é transmitido para todos os estados brasileiros e também para Brasília. E o programa de hoje está gravado, portanto, não permite a participação dos telespectadores. Boa noite, Dulce.
21/08/2000|Dulce Maria Pereira|4|Dulce Maria Pereira|Boa noite, é um privilégio estar aqui no Roda Viva.
21/08/2000|Dulce Maria Pereira|5|Paulo Markun|Eu queria que você começasse explicando o cargo que você vai assumir na diplomacia e o que é que significa essa sua nomeação para a secretaria executiva da CPLP, a Comissão dos Países de Língua Portuguesa... é comissão?
21/08/2000|Dulce Maria Pereira|6|Paulo Markun|Comunidade?
21/08/2000|Dulce Maria Pereira|7|Dulce Maria Pereira|Exatamente. Olha, é um cargo importante, principalmente, pela quantidade de tarefas que existem a ser cumpridas, não é? A Comunidade dos Países de Língua Portuguesa congrega países em três continentes e, certamente, com a presença do Timor, que em breve se incorporará, congregará países em quatro continentes, países que têm problemas e, ao mesmo tempo, imensas possibilidades, mas, principalmente, muita necessidade de intercâmbio, necessidade de convívio. E ainda, a própria CPLP, por ser uma instituição multilateral relativamente nova, acabou não se firmando no conjunto das outras instituições multilaterais como uma instituição política, e, sobretudo, que tenha voz, de fato, no que diz respeito às relações econômicas. É uma tarefa...
21/08/2000|Dulce Maria Pereira|8|Paulo Markun|Tanto assim é, que eu acabei confundindo comissão com comunidade...
21/08/2000|Dulce Maria Pereira|9|Dulce Maria Pereira|Pois é, exatamente. Com certeza, então, é uma tarefa importante. Agora, não é uma tarefa apenas para a secretária executiva da CPLP. É uma tarefa para os governos, para os sete, daqui a pouco, oito governos. Os presidentes têm peso muito grande nos trabalhos da CPLP. E, além disso, é uma tarefa para os povos dos nossos países. Sem dúvida nenhuma, um desafio extraordinário para o Brasil. Porque significará também uma oportunidade para o Brasil de trabalhar nessa instituição multilateral a partir da realidade dos países africanos de língua portuguesa, do Timor, da parceria com Portugal e da sua própria realidade interna.
21/08/2000|Dulce Maria Pereira|10|Teresa Cruvinel|Dulce, por favor, eu poderia chamá-la de você? A partir do fato de sermos inclusive companheiras da mesma geração da universidade em Brasília. [risos] Língua, todos nós sabemos, língua é poder. E o melhor exemplo disso é o predomínio do inglês no mundo, hoje, como tradução do poder unipolar dos Estados Unidos. Exatamente contra esse poder unipolar dos Estados Unidos é que os países e as regiões têm procurado se organizar em blocos econômicos, em blocos regionais. E o melhor exemplo disso é também a União Européia e as associações que a União Européia busca, inclusive, esse acordo que estamos negociando com o Mercosul [bloco de países do cone sul da América Latina, formado por Brasil, Bolívia, Argentina, Paraguai, Uruguai e Chile]. Eu lhe pergunto: um organismo multilateral, como a CPLP, baseado na língua, na identidade, inclusive, na identidade étnica e cultural, que papel pode jogar na globalização, se os sete países que o integram têm economias tão diferentes, que dificultam trocas, que não permitem, por exemplo, uma pressão efetiva no jogo das trocas, no jogo internacional da economia? Que papel joga a CPLP na economia globalizada?
