DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
09/03/2009|Dunga|1|[programa ao vivo, permitindo a paticipação dos telespectadores]|[programa ao vivo, permitindo a paticipação dos telespectadores]
09/03/2009|Dunga|2|Heródoto Barbeiro| Olá, boa noite. Ele marcou uma era no futebol brasileiro com um estilo de jogar considerado feio, defensivo demais e ainda por cima, perdedor. Foi muito criticado por isso e o pior: acabou acusado como o principal responsável da derrota na Copa do Mundo de 1990. Mas ele também marcou, mais tarde, um dos momentos mais alegres do futebol brasileiro ao erguer a taça de tetracampeão do mundo [Copa do Mundo de 1994]. Foi uma virada no futebol da Seleção e na própria história desse meio campista gaúcho que passou de vilão para herói e de jogador a treinador. O Roda Viva entrevista hoje o capitão Dunga, técnico da Seleção Brasileira de Futebol. A entrevista começa já, já.
09/03/2009|Dunga|3|[intervalo]|[intervalo]
09/03/2009|Dunga|4|Heródoto Barbeiro| O que é dirigir uma seleção de futebol em um país onde os jogadores são duramente cobrados não só para ganhar o jogo, mas também para fazer um grande espetáculo e um verdadeiro show de bola? A tarefa está colocada nas mãos do Dunga.
09/03/2009|Dunga|5|[Comentarista]| Nome: Carlos Caetano Bledorn Verri; apelido: Dunga, referência a um dos sete anões [do conto de fadas Branca de Neve e os sete anões] por conta da pequena estatura quando criança. Gaúcho de Ijuí, nasceu no dia 31 de outubro de 1963. Com ascendência alemã e italiana, tem 45 anos [de idade]. No futebol, são trinta anos de carreira, iniciada no Internacional de Porto Alegre, onde jogou de 1978 a 1984. De 1984 a 1985, suou a camisa no Corinthians; em 1986, no Santos; em 1987, no Vasco da Gama. Voltou ao Inter em 1999, depois de uma temporada de 12 anos no exterior, a maior parte na Itália. Jogou no Piza de 1987 a 1988, na Fiorentina até 1992 e no Pescara até 1993. Na Alemanha, passou pelo Stuttgart, de 1993 a 1994 até ir para o outro lado do mundo e se transformar em um ídolo do futebol japonês no Jubilo Iwata, de 1994 a 1998. Jogando no exterior, foi convocado para disputar três mundiais defendendo a camisa da Seleção Brasileira. A primeira foi só tristeza. Dunga carregou o fardo da derrota do Brasil para a Argentina, em 1990. Seu estilo duro e de jogar na retranca deu origem à chamada "era Dunga de futebol". Mas, em 1994, veio a volta por cima: o capitão Dunga foi quem levantou a taça do tetracampeonato mundial do Brasil. Começou ali a "era Dunga de sucesso", que durou só até 1998, quando o Brasil deixou a Copa nas mãos da França, ficando com o título de vice. Em 1999, deixou o Japão e retornou de vez para o Brasil, já pensando em terminar a carreira de jogador e começar a de técnico, o que aconteceu só em 2006, quando foi para a Seleção Brasileira. Nos 36 jogos que já comandou, deu um susto de 3 a 0 na Argentina, vencendo a Copa América de 2007, mas levou o troco no Mineirão [Estádio Governador Magalhães Pinto, em Belo Horizonte] em 2008. Foi vaiado pelo 0 a 0 com os argentinos [vídeo mostra a reação dos torcedores]. Houve outras compensações como o último amistoso [2009], vencendo a Itália, atual campeã do mundo [O Brasil venceu por 2 a 0]. É o Dunga de olho em 2010 [Copa da África do Sul]!
09/03/2009|Dunga|6|Heródoto Barbeiro| Para entrevistar o treinador da Seleção Brasileira de Futebol, Dunga, estão aqui conosco: a jornalista Soninha Francine, que é apresentadora e comentarista da ESPN Brasil; José Silvério, narrador da Rádio Bandeirantes de São Paulo; o ex-jogador Raí, tetracampeão do mundo junto com Dunga; o ator Nuno Leal Maia, que também é diretor-presidente da Fundação Gol de Letra e já se aventurou como treinador de futebol. O cartunista Paulo Caruso registra aqui, com seus desenhos, os momentos mais importantes do nosso programa. Está aqui conosco também a repórter Luiza Moraes, que apresenta as perguntas que os telespectadores enviam para o programa. No nosso site, você se informa sobre os próximos programas que teremos e manda e-mails para a gente. Você pode fazer perguntas, críticas, sugestões e o que você achar importante para a condução do programa. Nós também temos aqui três usuários do comunicador Twitter, que vão colocar na internet as impressões sobre a entrevista de hoje. Para você ver o que eles estão escrevendo, basta acessar os endereços que vamos mostrar aqui na tela. O Roda Viva é um programa transmitido toda segunda-feira, ao vivo, na íntegra, pela internet às seis e meia da tarde e apresentado também na íntegra, sem edição e sem corte, às dez e dez da noite, pela TV Cultura. Quem estiver acompanhando a entrevista pela televisão, também pode enviar sugestões, observações, críticas e perguntas para o nosso entrevistado. Basta você entrar na nossa página, que é tvcultura.com.br/rodaviva. Dunga, boa noite e muito obrigado pela sua participação.
09/03/2009|Dunga|7|Dunga| Boa noite, é um prazer estar aqui. Eu acho que é uma ótima oportunidade para eu ter mais espaço e mais tempo de responder as perguntas de vocês e de quem está nos assistindo, para as pessoas terem mais clareza de como é minha personalidade, de como eu sou no dia-a-dia.
09/03/2009|Dunga|8|Heródoto Barbeiro| Dunga, todo mundo diz que nós somos milhões de técnicos de futebol ao seu lado. Eu acho que hoje nós temos milhões de perguntadores do Roda Viva que estariam ao nosso lado para te fazer a seguinte pergunta: como foi a atuação do Ronaldo [Ronaldo Fenômeno] ontem na sua volta estreando pelo Corinthians e jogando 31 minutos [após complicadas lesões e um longo tempo de recuperação, o jogador voltou ao campo em uma partida contra o Palmeiras pelo Campeonato Paulista. O gol que fez de cabeça garantiu o empate em 1 a 1]? Eu acho que todo mundo gostaria de fazer essa pergunta...
09/03/2009|Dunga|9|Dunga| Eu achei muito bom. O Ronaldo jogou conosco em 1994, é um amigo tanto meu como do Raí. O futebol brasileiro precisava do retorno de um grande ídolo. Depois da cirurgia que ele teve, voltar depois de um ano e meio, fazer gol, e ainda com uma torcida como a do Corinthians...Quem gosta de futebol estava torcendo para ele voltar a jogar e fazer gols para a alegria do torcedor.
09/03/2009|Dunga|10|Heródoto Barbeiro| E te surpreendeu ele fazer um gol aos 47 [minutos] do segundo tempo, quando a torcida do Palmeiras já gritava?
