DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
19/01/1998,Eduardo Gianetti,1,Matinas Suzuki,"Boa noite. Ele é um dos mais jovens e mais respeitados especialistas brasileiros em história do pensamento econômico. No centro do Roda Viva o economista e cientista social Eduardo Gianetti. Ele tem 40 anos, é formado em economia e filosofia pela Universidade de São Paulo e é PHD em economia pela universidade de Cambrigde, na Inglaterra. Eduardo Gianetti é professor de economia e pesquisador do Instituto de Pesquisas Econômicas da USP [Universidade de São Paulo]. Em vários ensaios e 6 livros já escritos, ele vem expondo suas idéias sobre os rumos econômicos, o poder público, vícios e ética na economia e também sobre o comportamento da sociedade brasileira. No livro que acaba de lançar, com o título Auto-engano [pela Companhia das Letras], Eduardo Gianetti faz um estudo sobre os enganos e as mentiras que existem na relação entre as pessoas, enganos e auto-enganos que muitas vezes dão um sabor à vida, mas que também podem produzir fracassos. Para entrevistar o professor Eduardo Gianetti, nós convidamos: Marco Antonio de Rezende, diretor de redação da revista Vip Exame; José Nêumane, que é editorialista do Jornal da Tarde; a economista Dorothea Werneck, presidente do Excel Banco de Investimento e ex-ministra do Trabalho, Indústria, Comércio e Turismo; o economista Paul Singer, professor da Faculdade de Economia de Administração da USP e ex-secretário de Planejamento da prefeitura de São Paulo; o ensaísta Antônio Medina Rodrigues, professor de língua e literatura grega da Universidade de São Paulo; e o Flávio Paim, editorialista do jornal O Estado de S. Paulo. Boa noite, professor Eduardo."
19/01/1998,Eduardo Gianetti,2,Eduardo Gianetti,"Boa noite, Matinas."
19/01/1998,Eduardo Gianetti,3,Matinas Suzuki,"Bom, vamos começar por uma pergunta que eu acho que está na cabeça de todo mundo: por que um livro sobre o auto-engano?"
19/01/1998,Eduardo Gianetti,4,Eduardo Gianetti,"Uma motivação, antes de mais nada, muito pessoal. É um problema que me acompanha há muitos anos. Eu acho que todo ser humano no fundo deve se preocupar se ele está sendo franco, sincero e honesto consigo mesmo. Eu acho que a relação que define o ser humano, no fundo, antes de qualquer outra, é a relação que ele tem com ele mesmo. Mas é uma relação muito escorregadia, muito viscosa, se a gente parar para pensar, pois é muito difícil nós termos conhecimento seguro sobre o que acontece na nossa mente. Em muitas situações a gente acaba descobrindo que de alguma maneira embarcou em uma ilusão, em uma fantasia, criada por nossa própria mente. É o caso do sonho para dar um exemplo, estou falando em um caso extremo. Mas, antes de mais nada, por uma preocupação pessoal. Essa foi a primeira vez na vida que eu investi o meu trabalho de pesquisa e de reflexão em um tema puramente meu. Tentei pensar diretamente o problema, não fazer história das idéias, tentei trazer a minha experiência pessoal sobre essa questão e foi realmente um privilégio para mim poder investir."
19/01/1998,Eduardo Gianetti,5,José Nêumane,"Professor, já que é uma experiência pessoal sua, me diga, o livro é dedicado à sua mãe, será que é porque ela foi o primeiro ser humano que o senhor enganou?[Risos]"
19/01/1998,Eduardo Gianetti,6,Eduardo Gianetti,"Não foi, mas o livro não é sobre engano interpessoal, é sobre o auto-engano. Ele é dedicado à minha mãe, entre outras coisas, pela sua influência. Minha mãe é psicanalista e minha mãe é poeta. Eu acho que ela teve uma influência muito marcante em toda a reflexão em que desembocou nesse livro."
19/01/1998,Eduardo Gianetti,7,Paul Singer,"E posso fazer uma pergunta? Enfim, já que estamos nas coisas mais gerais, eu queria dizer, em primeiro lugar, que me encantou o seu livro. Eu li com muita curiosidade e com muito proveito. É um livro de filosofia, afinal, não de economia, não é meu campo de competência. Eu fiquei com uma dúvida, que é possível ter por causa da honestidade com que você fez esse livro. Você mesmo diz, na página 118, que o auto-engano é logicamente impossível. Você diz isso nos seguintes termos: “A primeira vista, a noção de auto-engano esbarra em grave contradição. Para que eu me engane com sucesso dentro do modelo proposto é preciso que eu minta para mim mesmo e ainda por cima acredite na mentira.” Eu acho que isso me convenceu nesse momento, quando eu li isso, que o auto-engano é possível. Eu confesso que terminei o livro continuando a achar que ele é impossível. Quer dizer, o seu livro é um esforço muito grande, muito interessante, diria ainda proveitoso, de a gente procurar auto-entender-se um pouco. Mas você acha que o auto-engano logicamente é possível?"
19/01/1998,Eduardo Gianetti,8,Eduardo Gianetti,"Dentro da lógica padrão convencional. A lógica tem um princípio que é o princípio da não contradição. Você não pode aceitar que há e não há ao mesmo tempo. No caso de auto-engano, de alguma maneira muito estranha, que nós ainda não compreendemos muito bem, isso acontece. Veja, aí há um ponto interessante, a diferença entre enganar o outro e enganar a si mesmo. Quando você engana o outro, você sabe alguma coisa que o outro desconhece e você manipula a informação, existe uma simetria de informação que te permite fazer isso. Não há nenhum problema lógico. A lógica está perfeitamente satisfeita, a ética não gosta, mas a lógica aceita. Quando é o auto-engano, você, além de ter um problema ético, na relação que você tem com você mesmo, você tem um problema lógico, porque você não tem essa assimetria de informação. Como é que você pode ao mesmo tempo mentir para você e acreditar na mentira?"
19/01/1998,Eduardo Gianetti,9,Paul Singer,Pois é.
19/01/1998,Eduardo Gianetti,10,Eduardo Gianetti,"E, no entanto, a gente faz. E, no entanto, é parte da experiência, eu diria, universal do ser humano. Eu colecionei muitos exemplos no livro. Você conversa com todo tipo de pessoa, desde a menos educada até a mais educada e todos reconhecem em si essa experiência. Durante muitos anos, eu conversei com pessoas à respeito desse assunto e cheguei a conclusão que a experiência é universal. Ela está na literatura, ela está na história das ciências que tem alguns exemplos, ela está na minha experiência, na experiência de todos, eu imagino. Só para completar, um exemplo, que eu acho que talvez seja o mais acabado de auto-engano e o mais fácil de ser identificado: o sonho. O que acontece no sonho, no sonho noturno? Enquanto o sonho está sendo sonhado, ele te dá uma sensação exata de que é uma experiência genuína de que é algo que está sendo vivido. Você tem a sensação, a experiência interna, diante do sonho, de que aquilo está acontecendo na realidade. Quando você desperta, você se dá conta de que aquilo não ocorreu, que era apenas um sonho. Agora, o sonho ao ser sonhado, convenceu a sua experiência interna da sua realidade. Então, uma parte da sua mente conseguiu convencer as outras de que aquela ficção, aquela fabricação subterrânea do seu pensamento, que é o sonho, tinha uma realidade própria, e não é o caso. Então, o fato da experiência do sonho eu acho que revela, entre tantas possibilidades, essa ocorrência do auto-engano. Evidentemente, existe o sonhar acordado, existe o devaneio, existe a fantasia, uma série de outras coisas que eu tentei mapear e discutir no livro."
