DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
28/11/2005|Eduardo Gianetti|1|Paulo Markun| Boa noite! As leis da economia descrevem bem o que ocorre na natureza. A idéia dos juros, por exemplo, não está restrita só às finanças: está presente, também, na biologia e na vida cotidiana. Viver os prazeres do presente ignorando o futuro ou, então, só pensar no futuro, sacrificando o presente é um dilema que envolve custos e juros. E isso pode melhorar ou piorar as situações que surgem ao longo da vida. O convidado desta noite no Roda Viva é o economista e filósofo Eduardo Giannetti, que vem falar sobre O valor do amanhã - título do seu novo livro - e tema de reflexões a respeito da nossa capacidade de fazer escolhas.
28/11/2005|Eduardo Gianetti|2|[inserção de vídeo]|[inserção de vídeo]
28/11/2005|Eduardo Gianetti|3|Paulo Markun| [em off, enquanto passam imagens de Eduardo Gianetti] Mineiro de Belo Horizonte, Eduardo Giannetti da Fonseca vive há muitos anos em São Paulo. É formado em economia e ciências sociais pela Universidade de São Paulo [USP] e doutor em economia pela Universidade de Cambridge. Foi professor por doze anos na USP e, atualmente, dá aulas de economia nas Faculdades Ibmec de São Paulo. Com o último livro, vai se aproximando de uma dezena de publicações, além de artigos e ensaios onde reúne suas idéias e análises sobre questões econômicas, poder público, vícios e ética na economia e comportamento da sociedade. A exemplo das obras anteriores, O valor do amanhã também recorre a uma abordagem mais sociológica e filosófica. Eduardo Giannetti apresenta o novo trabalho como um ensaio sobre a natureza dos juros - mas não é uma análise ligada ao mundo do dinheiro e das finanças, e sim uma reflexão da natureza humana sobre as perdas e ganhos que envolvem as decisões que as pessoas tomam em relação ao presente e ao futuro: desfrutar o momento ou cuidar do amanhã; ceder a desejos para satisfazer ao prazer imediato ou segurar os impulsos e planejar, investindo melhor no bem estar do futuro. Um dilema que, a todo instante, exige decisões mais ou menos difíceis, conforme a percepção do tempo, a impaciência e o conflito entre desejos e que afetam não só o comportamento individual, como também o desempenho de sociedades e governos.
28/11/2005|Eduardo Gianetti|4|[fim da inserção de vídeo]|[fim da inserção de vídeo]
28/11/2005|Eduardo Gianetti|5|Paulo Markun| Para entrevistar o Eduardo Giannetti, nós convidamos Ricardo Arnt, jornalista e escritor; Oscar Pilagallo, editor da revista Entre livros; Mara Luquet, colunista do jornal Valor Econômico e do programa Planeta Cidade, da TV Cultura; José Paulo Kupfer, chefe de redação de jornalismo da TV Cultura; Reinaldo Azevedo, diretor de redação da revista e do site Primeira leitura; Gustavo Ioschpe, economista, autor do livro A ignorância custa um mundo; Marcio Aith, editor executivo de economia da revista Veja; e o cartunista Paulo Caruso, já acionando tintas e pincéis para dar um toque de humor ao nosso programa. O Roda Viva é transmitido em rede nacional pela rede pública de televisão para todo o Brasil. Para participar, você pode fazer a sua pergunta, a sua crítica, a sua sugestão pelo telefone que está aí na tela, (011) 3252-6525. 3252-6525. Ou pelo fax 3874-3454, ou pelo endereço do programa na internet, que é rodaviva@tvcultura.com.br. Boa noite, Eduardo!
28/11/2005|Eduardo Gianetti|6|Eduardo Giannetti| Boa noite!
28/11/2005|Eduardo Gianetti|7|Paulo Markun| Nós vamos deixar para falar da questão dos juros no Brasil, taxa de juros, Copom [Comitê de Política Monetária do Banco Central], Ministro [Antônio] Palocci [ministro da Economia de 2003 a 2006] e outras atualidades no terceiro bloco do programa. É um trato que eu fiz aqui, sugerido aos meus colegas de bancada, para que a gente comece pelo tema mais genérico do livro. E eu queria de cara implicar com o título do livro, porque - não “implicar”, mas no bom sentido - porque, [por] duas ou três vezes, eu me referi ao título sem ter lido - quer dizer, sem estar com o livro na mão - e eu mencionei O preço do amanhã. E eu fiquei pensando se a questão não é essa, um pouco: se é a gente que acha que o amanhã tem um valor e a gente que acha que o amanhã tem um preço e que esse preço pressupõe uma certa carga negativa.
28/11/2005|Eduardo Gianetti|8|Eduardo Giannetti| Eu acho que a categoria “valor” é mais ampla do que a categoria “preço”. O preço é uma forma particular de valor: é o valor expresso em economia e em moeda, é a expressão monetária de valores. Eu preferi a categoria “valor” porque ela é mais ampla, ela abre mais o leque e ela coloca a questão dos termos de troca entre presente e futuro, mesmo em situações em que você não tem uma expressão monetária disso.
28/11/2005|Eduardo Gianetti|9|Paulo Markun| Por exemplo, que situações que não têm uma expressão monetária?
28/11/2005|Eduardo Gianetti|10|Eduardo Giannetti| Ah, são muitas. Eu colecionei muitos exemplos. Até o metabolismo humano carrega trocas no tempo. Talvez o mecanismo que a gente possa identificar com mais clareza e muito próximo da vida de todos nós é a questão da gordura. Quando você come além do que você precisa para gasto corrente, as calorias que você ingere em excesso são armazenadas pelo organismo na forma de gordura. A gordura é uma forma de poupança precaucionária. E o nosso corpo faz isso sem nos pedir licença.
