DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/01/1995|Emerson Fittipaldi|1|Matinas Suzuki| Boa noite. O primeiro de maio no Brasil, além de ser justamente o dia consagrado ao trabalho, passou a ser também o dia dedicado à memória de Ayrton Senna. E ninguém mais poderia representar tão bem este dia do que o vitorioso batalhador das pistas Emerson Fittipaldi, o nosso grande campeão, que está no centro do circuito oval do Roda Viva, neste primeiro de maio. Emerson venceu a última corrida da Fórmula Indy em Nazareth e se prepara para pisar fundo nas mitológicas 500 milhas de Indianápolis.
01/01/1995|Emerson Fittipaldi|2|[Comentarista]| O piloto Emerson Fittipaldi vem colecionando recordes ao longo dos trinta anos da carreira dele, mas os melhores estão nas pontas da sua vida de esportista. O primeiro é do mais jovem campeão mundial de Fórmula 1, aos 25 anos, em 1972. O recorde atual é de ser o mais velho piloto da Fórmula Indy. Emerson tem 48 anos de idade. Não há como escapar do lugar comum, Emerson corre hoje com o mesmo entusiasmo dos primeiros dias. Bicampeão na Fórmula 1, bicampeão em Indianápolis, dono de sólidos negócios na agroindústria e no ramo de vestuário, Fittipaldi parece ser sempre o primeiro, mesmo quando a carreira dele esteve no pelotão intermediário. Foi isso que aconteceu nos tempos do Copersucar, a frustrada e longa tentativa de produzir um Fórmula 1 inteiramente nacional. Depois de um tempo recolhido nas corridas de super kart, Fittipaldi voltou em grande estilo para a pole position das pistas. Em 1989 ele faturou o campeonato de Fórmula Indy e tornou-se o primeiro estrangeiro a ganhar o título, em 73 anos. Nesta temporada Fittipaldi, volta a ser um dos favoritos e pode sonhar com mais um recorde: ser o primeiro estrangeiro bicampeão da Fórmula Indy.
01/01/1995|Emerson Fittipaldi|3|Matinas Suzuki| Para entrevistar hoje o Emerson Fittipaldi nós convidamos o jornalista Lito Cavalcanti que é correspondente da revista Autosport inglesa e comentarista da SporTV; o repórter do jornal O Globo, Milton Alves; Antonio Hermann, que é vice-presidente executivo do Banco Itamaraty e também piloto e que acabou de ganhar junto com o irmão de Emerson Fittipaldi, o Wilson Fittipaldi, as Mil Milhas de Interlagos; a colunista da Folha de S. Paulo, Barbara Gancia; Celso Miranda, que é repórter da Rede Cultura; o narrador da Jovem Pan e da Fórmula Indy pelo SBT, Téo José; e Mauricio Cardoso, sub-editor da revista Veja. O Roda Viva é transmitido em rede nacional por outras trinta emissoras. Infelizmente hoje você não poderá participar enviando as suas perguntas, porque este programa foi gravado. Boa noite, Emerson Fittipaldi.
01/01/1995|Emerson Fittipaldi|4|Emerson Fittipaldi| Boa noite.
01/01/1995|Emerson Fittipaldi|5|Matinas Suzuki| Hoje, primeiro de maio, um ano sem Ayrton Senna. O que o Ayrton representava para você?
01/01/1995|Emerson Fittipaldi|6|Emerson Fittipaldi| Eu acho que, primeiro um campeão excepcional, um talento excepcional e um grande amigo. A gente tinha uma admiração mútua, a gente vivia numa distância grande porque ele estava na Fórmula 1 e eu estava na Indy nos últimos anos, mas sempre quando tínhamos contato, quando passávamos uns dias juntos, existia uma amizade, uma conversa muito boa sobre automobilismo, sobre a vida. 
01/01/1995|Emerson Fittipaldi|7|Matinas Suzuki| Você durante a sua carreira de... você foi o primeiro ídolo, você é o precursor desse caminho, você podia imaginar que alguém pudesse ser um ídolo, uma pessoa no Brasil tão importante, saído da Fórmula 1, como foi o Ayrton Senna?
01/01/1995|Emerson Fittipaldi|8|Emerson Fittipaldi| Eu acho que o Ayrton, pela carreira dele, e pelo estilo dele e pelo talento que nasceu com ele, realmente foi um piloto espetacular. E na época que o Ayrton começou a Fórmula 1, aonde a gente, o brasileiro já estava tão ligado com a Fórmula 1, tão ligado com o automobilismo. E seguindo o Nelson Piquet, quer dizer, se eu voltar, aí eu voltaria até na época do Chico Landi [(1907-1989), piloto brasileiro de automobilismo, e primeiro piloto sul-americano a correr nas pistas européias, quando o esporte era praticado apenas por nobres e milionários]. O automobilismo no Brasil estava conhecido, mas era conhecido por um grupo praticamente pequeno e isso foi aumentando cada ano que passou, aí chegou a época dos anos 70, o José Carlos Pacce [o autódromo de Interlagos recebeu o nome do piloto, morto em 1977 em um acidente de carro] o Wilson [Fittipaldi] e eu indo para a Europa, então foi um build up que foi acontecendo, e o Ayrton realmente assumiu uma posição não só no Brasil, mas no mundo todo, é incrível.
01/01/1995|Emerson Fittipaldi|9|Matinas Suzuki| Barbara Gancia, você queria fazer uma pergunta.
01/01/1995|Emerson Fittipaldi|10|Barbara Gancia| É, tenho uma pergunta, bastante emocionada inclusive. Eu estou sabendo que você, quando... teve um dia que o Ayrton foi almoçar na tua casa em Miami, e que depois do almoço você se recolheu com ele em uma sala, e de repente alguns dos seus familiares começaram a ouvir um burburinho tal, abriram a porta e você estava lá com ele lendo trechos da Bíblia, certo? Quer dizer, estavam os dois lá, tem um negócio que me deixou, eu imagino, que, por exemplo, seu eu fosse convidar um colega meu jornalista para almoçar, dificilmente eu iria ler trechos da Bíblia com ele depois do almoço. Então eu queria saber, que você comentasse isso, como é que é essa coisa de espiritualidade, se foi ele que te deu esse toque, “vamos, quero te mostrar uma coisa”?
