DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/10/2002,Especial Eleições,1,[...],"[programa ao vivo, permitindo a participação dos telespectadores]"
07/10/2002,Especial Eleições,2,Paulo Markun,"Boa noite. Faltam vinte dias para o segundo turno nas eleições em que iremos eleger o futuro presidente da República e os governadores de quinze estados e do Distrito Federal. O Brasil entra nessa nova fase da corrida eleitoral com a disputa polarizada entre o maior partido de oposição e o partido do governo. O Tribunal Superior Eleitoral [TSE] já proclamou os resultados da disputa, embora a apuração ainda não tenha terminado oficialmente. Até agora, o candidato do PT [Partido dos Trabalhadores], Luiz Inácio Lula {Lula: Luiz Inácio Lula da Silva, ex-metalúrgico e ex-sindicalista, filiado ao Partido dos Trabalhadores (PT), foi o primeiro operário a ser eleito presidente do Brasil. Foi candidato a presidente em 1989 (perdeu para Fernando Collor de Mello), em 1994 (perdeu para Fernando Henrique Cardoso) e em 1998 (novamente perdeu para Fernando Henrique Cardoso), e ganhou as eleições de 2002 (derrotando José Serra). Lula foi reeleito no segundo turno das eleições de 2006 (derrotando Geraldo Alckmin) com mais de 58 milhões de votos, quebrando o seu próprio recorde de votação para presidente do Brasil.} da Silva, tem 46,4% dos votos válidos; José Serra {José Serra: (1942-)Economista, político e um dos fundadores do PMDB [Partido do Movimento Democrárico Brasileiro] e, depois, do PSDB [Partido da Social Democracia Brasileira], tendo sido, antes, presidente da UNE [União Nacional de Estudantes]. Quando retornou do exílio, no final do regime militar, tornou-se professor da Unicamp [Universidade Estadual de Campinas], pesquisador do Cebrap [Centro Brasileiro de Análise e Planejamento] e editorialista do jornal Folha de S.Paulo. Sua carreira na administração pública iniciou-se em 1987, como secretário de Economia e Planejamento do estado de São Paulo. Elegeu-se deputado federal constituinte em 1986 e conquistou a reeleição em 1990. No Congresso Nacional foi relator de capítulos ligados a orçamento, tributação e finanças. Em 1994, foi eleito senador por São Paulo, com a maior votação do país. Em seguida, ocupou o Ministério do Planejamento e Orçamento do governo Fernando Henrique Cardoso até 1996, assumindo dois anos depois o Ministério da Saúde. José Serra foi candidato à Presidência da República pela coligação PSDB-PMDB em 2002, mas perdeu no segundo turno para Luís Inácio Lula da Silva. Em 2004, foi eleito prefeito de São Paulo, renunciou em 2006 para concorrer às eleições para governador do estado, cargo que conquistou com mais de 12 milhões de votos.}, do PSDB [Partido da Social Democracia Brasileira] tem 23,2% dos votos válidos; o terceiro colocado é Anthony Garotinho {Garotinho: Anthony William Matheus de Oliveira, mais conhecido como Garotinho, político carioca que governou o Rio de Janeiro, entre 1998 e 2002, começou a carreira política em 1980 como um dos fundadores do Partido dos Trabalhadores (PT) em Campos (RJ), cidade onde era radialista. Em 1983, filia-se ao Partido Democrático Trabalhista (PDT), de Leonel Brizola. Nessa legenda, tornou-se deputado estadual, prefeito de Campos e secretário de Agricultura, Abastecimento e Pesca do segundo governo de Brizola. Elege-se governador em 1998, deixando o PDT e ingressando no Partido Socialista Brasileiro (PSB), em 2000. Renuncia ao cargo em 2002 para candidatar-se a presidente da República. Expulso do PSB, em 2003, ingressa no Partido do Movimento Democrático Brasileiro (PMDB). Em 2006 faz greve de fome, alegando perseguições por parte do sistema financeiro, das Organizações Globo e da revista Veja. Em 2007 é denunciado no Supremo Tribunal Federal por montagem de esquema ilícito para captação de votos. É marido de Rosinha Garotinho, que também foi governadora do Rio de Janeiro, de 2002 a 2006.}, do PSB [Partido Socialista Brasileiro] com 17,9% dos votos válidos e o quarto colocado, Ciro Gomes, do PPS [Partido Popular Socialista], com 12% dos votos válidos. Vamos agora ver os governadores já eleitos no primeiro turno."
07/10/2002,Especial Eleições,3,[Comentarista],"No Acre, Jorge Viana, do PT, já garantiu sua reeleição com mais de 64% dos votos válidos. Em Alagoas, ganhou Ronaldo Lessa, do PSB, com mais de 52%; no Amazonas, Eduardo Braga, do PPS, também com mais de 52%; na Bahia, Paulo Souto, do PFL [Partido da Frente Liberal], teve mais de 53% dos votos válidos; no Espírito Santo, foi eleito Paulo Hartung, do PSB, com mais de 53%; Goiás, Marconi Perillo, do PSDB, com mais de 51%; Mato Grosso, Blairo Maggi, do PPS, com mais de 50%; Minas Gerais, Aécio Neves, do PSDB, com mais de 57%; Pernambuco, Jarbas Vasconcelos, do PMDB [Partido do Movimento Democrático Brasileiro], com mais de 60%; Piauí, Wellington Dias, do PT, com mais de 50%; no Rio de Janeiro, Rosinha Garotinho, do PSB, com mais de 51%; em Tocantins, venceu no primeiro turno, Marcelo Miranda, do PFL, com mais de 60% dos votos válidos."
07/10/2002,Especial Eleições,4,Paulo Markun,"Em quinze estados e no Distrito Federal, os eleitores terão de voltar às urnas no dia 27 de outubro, para escolherem seus novos governadores. Vamos ver a situação nesses estados."
07/10/2002,Especial Eleições,5,[Comentarista],"No Amapá, o segundo turno será entre Waldez Góes, do PDT [Partido Democrático Trabalhista], com mais de 36% dos votos válidos e Dalva Figueiredo, do PT, com mais de 25%; no Ceará, entre Lúcio Alcântara, do PSDB, com mais de 49%, e José Airton, do PT, com mais de 28%; no Distrito Federal, entre Joaquim Roriz, do PMDB, com 42% e Geraldo Magela, do PT, com 40%; no Maranhão, entre Zé Reinaldo, do PFL, com 48% e Jackson Lago, do PDT, com 40%; em Mato Grosso do Sul, entre Zeca do PT, com 48%, e Marisa Serrano, do PSDB, com 42%; no Pará, entre Jatene, do PSDB, com 34%, e Maria do Carmo, do PT, com 28%; na Paraíba, entre Cássio Cunha Lima, do PSDB, com 47%, e Roberto Paulino, do PMDB, com 39%; no Paraná, entre Álvaro Dias, do PDT, com 31%, e Roberto Requião, do PMDB, com 26%; no Rio Grande do Norte, entre Wilma de Farias, do PSB, com 37%, e Fernando Freire, do PPB, com 30%; no Rio Grande do Sul, entre Germano Rigotto, do PMDB, com 41%, e Tarso Genro, do PT, com 37%; em Rondônia, entre Ivo Cassol, do PSDB, com 29%, e Bianco, do PFL, com 20%; em Roraima, Ottomar Pinto [(1931-2007)], do PTB [Partido Trabalhista Brasileiro], com 49%, e Flamarion Portela, do PSL [Partido Social Liberal], com 48%; em Santa Catarina, entre Esperidião Amin, do PPB [Partido Progressista Brasileiro], com 39% e Luiz Henrique da Silveira, do PMDB, com 36%; em São Paulo, Geraldo Alckmin, do PSDB, com mais de 38% e José Genoíno, do PT, com 32%. Em Sergipe, o segundo turno será entre João Alves, do PFL, com 42%, e Zé Eduardo, do PT, com 28%."
07/10/2002,Especial Eleições,6,Paulo Markun,"Na eleição para o Senado e para a Câmara Federal, alguns se reelegeram e alguns não. Figuras conhecidas foram rejeitadas e outras também conhecidas voltaram, conquistando espaços perdidos recentemente. E o novo Congresso Nacional, que vai surgindo, não parece tão novo assim."
07/10/2002,Especial Eleições,7,[Comentarista],"Eles renunciaram para não perder o mandato e estão de volta. Antônio Carlos Magalhães {Antônio Carlos Magalhães: Antonio Carlos Magalhães (1927-2007), empresário e político com influência muito grande na Bahia, mas também em nível nacional, marcado pela pecha de usar métodos coronelistas na aquisição e condução do poder. Eleito deputado estadual (1954), deputado federal (1958 e 1962), governador (1990) e senador (1994-2001), quando renuncia ao mandato em virtude do um processo de quebra de decoro parlamentar. Volta ao Senado em 2002. Também foi prefeito nomeado de Salvador (1967-1970), e governador da Bahia nomeado pelo regime militar (1970 e 1978). Figura de sustenção do regime militar, após seu término continua no poder, em virtude de haver apoiado a candidatura de Tancredo Neves no Colégio Eleitoral, continuando influente junto aos sucessivos governos federais até sua morte.} foi o campeão de votos na Bahia para o Senado. O ex-senador Jáder Barbalho {Jáder Barbalho: Político e empresário brasileiro, do estado do Pará. Após três mandatos como deputado, foi eleito governador do Pará pelo PMDB, em 1982. Quatro anos depois, foi nomeado ministro da Reforma Agrária pelo presidente José Sarney e, a seguir, ministro da Previdência Social. A partir do ano 2000 viveu a fase mais conturbada de seu mandato de senador graças aos intensos e acirrados debates travados contra o baiano Antônio Carlos Magalhães, então presidente do Senado. Surgiram denúncias envolvendo o político em casos de corrupção e enriquecimento ilícito. Jáder abdicou de seu mandato de modo a impedir que o processo por quebra de decoro parlamentar instaurado contra ele pelo Conselho de Ética tivesse seqüência. Após a renúncia, foi preso, acusado de desvio de dinheiro público, mas foi eleito deputado federal em 2002 e 2006. Barbalho envolveu-se em um escândalo em financiamentos do Sudam (Superintendência de Desenvolvimento da Amazônia), com o desaparecimento de mais de um bilhão de dólares. O financiamento estava no nome de sua esposa Márcia Cristina Barbalho e era destinado à criação de rãs. Barbalho também foi acusado de envolver-se em desvios de dinheiro do Banpará (Banco do Estado do Pará) para contas correntes de seus familiares. A atuação de Jáder Barbalho junto à Sudam - extinta em 2001 no governo FHC - e ao Banpará originaram diversos processos junto ao Supremo Tribunal Federal. Jáder Barbalho continua atuante no cenário político nacional.} assume a vaga de deputado federal como o mais votado do estado do Pará. O TSE ainda não recebeu os números finais dos estados para a eleição de deputado federal, por isso ainda não se sabe ao certo o índice de renovação. Mas os dados disponíveis dão uma idéia do jogo de força. Os partidos de oposição devem crescer 18%. Já os partidos governistas devem ter o espaço de governo diminuído em quase 10%. De qualquer forma, o presidente eleito, seja ele quem for, não vai ter maioria na Câmara. No Senado, dos 54 parlamentares que terminaram o mandato, apenas 14 se reelegeram. Entre os que não foram bem nas urnas estão: Bernardo Cabral, do Amazonas, Iris Resende, de Goiás, Artur da Távola, do Rio de Janeiro, e que foi líder do governo no Senado, Emília Fernandes, e José Fogazza, ambos do Rio Grande do Sul. O PMDB não é mais o maior partido no Senado, a bancada diminuiu de 24 para 19 senadores. O PFL tinha 17, e terá 19 senadores. O PT cresceu de oito para 14 representantes. O PSDB tinha 14 senadores e ficou com 11. O PTB tinha cinco e perdeu duas vagas. O PDT manteve a bancada de cinco representantes. O PSB ocupava três cadeiras e ganhou mais uma. O PPB tinha dois senadores e ficou com um. O PPS também tinha dois, e agora um só senador. O PL [Partido Liberal] tinha um representante e ganhou mais dois. O PSB passa a ocupar uma vaga no Senado."
07/10/2002,Especial Eleições,8,Paulo Markun,"Estamos começando aquele momento em que, na verdade, é um sobe e desce de bancadas, novos governadores, quando a posição dos vários partidos no cenário político brasileiro acaba interferindo na situação econômica. E o Brasil que está saindo das urnas tem pela frente uma economia mundial complicada, além das suas próprias dificuldades internas. Esse é o tema que movimenta o Roda Viva especial desta noite. Para debater essas questões, nós convidamos: Clóvis Rossi, colunista do jornal Folha de S.Paulo; Carlos Novaes, cientista político e analista da TV Cultura; Fátima Pacheco Jordão, socióloga e consultora do Grupo Estado [OESP]; Luis Nassif, jornalista da TV Cultura e diretor da agência Dinheiro Vivo; Josemar Gimenez, diretor de redação do jornal O Estado de Minas; Francisco Petros, presidente da Abamec [Associação Brasileira dos Analistas de Mercado de Capitais] em São Paulo e Antônio Prado, professor da PUC-SP [Pontifícia Universidade Católica de São Paulo]. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e Brasília. Para participar do programa, utilize o telefone (11)252-6525, o fax (11)3874-3454 e nosso endereço eletrônico, que é rodaviva@tvcultura.com.br. Eu queria começar esse debate colocando em questão o seguinte ponto: as eleições mudaram o Brasil?"
07/10/2002,Especial Eleições,9,Fátima Pacheco Jordão,"Eu acho que sim, sobretudo via eleitor. O eleitor impôs ao Brasil uma nova forma de fazer campanha eleitoral, uma nova forma de expor argumentos. Ele está votando mais, a abstenção foi mais baixa, a anulação foi mais baixa, o voto branco foi mais baixo, contra todas as expectativas. Os analistas, os jornalistas, como sempre, tentam desqualificar o eleitorado, dizendo: “A máquina vai atrapalhar, eles vão errar!”. Durante as filas, eu recebi informações de repórteres dizendo: “Muita gente está desistindo”. E o eleitor impôs, efetivamente, uma eleição que o Brasil jamais teve. Com isso, a gente precisa começar a analisar as conseqüências, mas algumas coisas já estão na mesa. Por exemplo, em São Paulo, basta pegar a saída de Paulo Maluf {Paulo Maluf: Empresário e político paulistano, ligado à ditadura militar, foi eleito prefeito de São Paulo para o período de 1969 a 1971 e, a partir de então, tem um eleitorado cativo e presença permanente na política de São Paulo, suscitando a existência de um movimento de massa, que veio a ser denominado malufismo, e que caracterizou-se como uma forma de populismo de direita. As gestões de Maluf são caracterizadas por dezenas de obras públicas como vias expressas elevadas, viadutos, túneis e avenidas. Caracterizaram-se, também, por políticas de segurança pública criticadas pelos direitos humanos. Foi eleito como candidato único para o governo do estado de São Paulo por via indireta em 1978. Em 1982, foi eleito deputado federal. Depois de ser acusado de vários esquemas de corrupção, de ter dinheiro de origem pública em contas no exterior e ter sido preso por isso, Maluf conseguiu se reeleger em 2006, novamente para o cargo de deputado federal.} do cenário político brasileiro da forma como ele está saindo, derrotado. É possível discutir propostas, discutir projetos. Seria uma campanha de Geraldo Alckmin e Maluf, do bem contra o mal. Foi uma campanha que tirou o Collor {Collor: Nascido em 1949, Fernando collor de Mello foi o primeiro presidente da República eleito pelo voto direto após o regime militar. Começou sua carreira política como prefeito nomeado de Maceió, em 1979, cargo ao qual renunciou em 1982, quando foi eleito deputado federal pelo PDS (antiga Arena). Votou a favor do movimento das “Diretas Já”, em 1984, e, com a derrota dessa proposição, votou em Paulo Maluf no Colégio Eleitoral em 1985. Filiou-se, depois, ao PMDB e foi eleito governador de Alagoas em 1986. Durante sua gestão empreendeu uma estratégia de combate a alguns funcionários públicos que recebiam altos salários, fato que o fez ser conhecido nacionalmente como caçador de marajás. Renunciou ao governo em 1989 e iniciou as articulações para concorrer à Presidência da República. O seu governo foi marcado pela implementação do Plano Collor, pela abertura do mercado nacional às importações e pelo início do Programa Nacional de Desestatização. Renunciou ao cargo em razão de um processo de impeachment fundamentado em acusações de corrupção. Teve seus direitos cassados por oito anos, e só seria eleito para cargo público novamente em 2006, tomando posse como senador por Alagoas em 2007.} do cenário. Collor foi candidato a governador, não de um estado, mas de uma capitania hereditária, onde ele controla tudo, a mídia, rede política, rede econômica. No entanto, o eleitor devolveu, com muita autonomia. Podemos visualizar a possibilidade de melhor controle social de um eleitor, que é mais exigente."
07/10/2002,Especial Eleições,10,Paulo Markun,"Eu queria só alertar os colegas da bancada que isso daqui é um Roda Viva diferente e que, na verdade, é uma mesa-redonda, então eu não vou passar a palavra para as pessoas, só vou tentar organizar quando ficar confuso demais."
