DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
04/09/2000|Especial Eleições Municipais|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
04/09/2000|Especial Eleições Municipais|2|Paulo Markun| Boa noite. A cada dois anos temos um encontro marcado com nosso futuro. Dito assim, pode parecer até meio pomposo, mas o que são as eleições se não esse encontro marcado? Elas mexem com nossos princípios, nossas crenças e igualam todos os brasileiros na hora de exercer o direito de escolher quem nos governa, embora isso se resuma a um simples ato de apertar alguns botões numa máquina. E, na véspera de mais um desses momentos, nós colocamos a própria urna eletrônica no centro do Roda Viva, até porque a atual Lei Eleitoral [Lei 9.504 de 1997, qu regulamentou o direito à reeleição no plano federal, estadual e municipal, estabelecendo uma série de restrições para os agentes públicos], sob o pretexto de direito democrático dos candidatos e a igualdade de espaço, simplesmente impede, na prática, que as emissoras de rádio e televisão realizem debates realmente eficientes e de interesse entre os candidatos.
04/09/2000|Especial Eleições Municipais|3|[Comentarista]| As eleições municipais de primeiro de outubro, últimas do século XX, serão as primeiras em que os prefeitos poderão disputar a reeleição. E, também, pela primeira vez, a votação será eletrônica em todo o país. Se tudo der certo, a cédula de papel e a urna tradicional se tornarão peças de museu já no início do século XXI no Brasil. A urna eletrônica permite uma apuração rápida dos votos. Em São Paulo, os vencedores serão conhecidos já na madrugada do dia 2, poucas horas depois do término da votação. E, no máximo 48 horas após o pleito, a apuração estará concluída em todo o país. O Brasil tem hoje 109,5 milhões de eleitores, segundo o TSE [Tribunal Superior Eleitoral], mas um milhão não poderão votar porque moram em Brasília, onde não há eleições municipais, ou então no exterior, onde o voto só é possível nas eleições para presidente da República. As mulheres são maioria no eleitorado, são 1,284 milhão a mais do que os homens. Em São Paulo, uma pesquisa do Datafolha revelou um sentimento importante do eleitor neste momento: 95% dos entrevistados disseram que não pretendem votar em candidatos que se envolveram em casos de corrupção e 88% julgaram que a honestidade é a principal característica que deve orientar a escolha do candidato. A Justiça Eleitoral tem prontas 354 mil máquinas de votar para distribuição em todo o país. E não temem filas, porque haverá escolha de somente dois cargos: prefeito e vereador. Mas a votação eletrônica parece bem resolvida, apesar de polêmicas que ainda rondam a segurança do voto. A campanha eletrônica ainda gera muitos problemas. A legislação eleitoral não consegue distinguir o que é campanha e o que é cobertura jornalística. Discrimina principalmente as emissoras de rádio e TV, prejudicando a camada mais pobre da população. A lei garante a jornais e revistas a liberdade de informar seus leitores, mas restringe o trabalho jornalístico das emissoras. Como conseqüência, as pessoas que lêem jornais e revistas acabam tendo acesso a informações que não circulam para ouvintes de rádio e televisão. Isso cria problemas sérios de cidadania. Por exemplo, uma pessoa analfabeta tem o direito de votar assegurado pela Constituição, mas não pode exercê-lo de forma plena se lhe faltar informações.
04/09/2000|Especial Eleições Municipais|4|Paulo Markun| Para participar deste programa especial sobre as eleições, convidamos o cientista político Gildo Marçal Brandão, professor do Departamento de Ciência Política da Universidade de São Paulo [USP]; o jornalista Kennedy Alencar, repórter especial do jornal Folha de S.Paulo; a advogada Stella Bruna Santo, especialista em direito eleitoral; o cientista político Carlos Novaes, da TV Cultura; o sociólogo Mauro Francisco Paulino, diretor do Datafolha; o juiz eleitoral Décio de Moura Notarangeli da 1ª Zona Eleitoral de São Paulo; o engenheiro José Luiz Portella, consultor e analista político. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e Brasília. Se você quiser participar do programa, pode usar nosso telefone (11)252-6525 ou o fax (11)3874-3454. O endereço do programa na internet é rodaviva@tvcultura.com.br. Bom, eu queria começar colocando em debate exatamente o estado de ânimo do eleitor. Ele me parece extremamente discreto, quer dizer, as pessoas não parecem muito interessadas nessas eleições municipais. A gente não nota o clima de campanha nas grandes cidades brasileiras como em outras ocasiões. Isso tem a ver com a atual legislação eleitoral ou com o fato de que simplesmente eleição virou rotina? Eu abro a palavra para quem quiser se aventurar e começar esse bate-bola.
04/09/2000|Especial Eleições Municipais|5|[silêncio no estúdio]|[silêncio no estúdio]
04/09/2000|Especial Eleições Municipais|6|Paulo Markun| Silêncio sepucral!
04/09/2000|Especial Eleições Municipais|7|[risos]|[risos]
04/09/2000|Especial Eleições Municipais|8|Stella Bruna Santo| Eu posso começar a falar?
04/09/2000|Especial Eleições Municipais|9|Paulo Markun| Sim.
04/09/2000|Especial Eleições Municipais|10|Stella Bruna Santo| É sobre essa questão que foi colocada anteriormente na reportagem: televisão, rádio, imprensa escrita do país. Só queria lembrar que, em termos de legislação eleitoral, questão das proibições das emissoras, elas existem não por conta dessa Lei Eleitoral de 1997, mas o que o legislador pretendeu proibir foi que as emissoras, para evitar abuso, não fizessem campanha para determinado candidato ou partido. Essa questão já existe e hoje ela se recoloca. O legislador, se elaborou esse dispositivo, foi por conta de uma situação fática. Na verdade, existiram vários abusos. Emissoras e rádios, que são controladas pelo poder local, faziam propagandas para determinado candidato na eleição municipal e isso se sente menos na eleição estadual ou presidencial. Então, não é uma questão nova...Hoje se coloca uma discussão se as emissoras estão proibidas de opinar ou proibidas de noticiar. Elas não estão proibidas de noticiar.
04/09/2000|Especial Eleições Municipais|11|Paulo Markun| Desculpe, mas para você colocar opinião de um candidato, você tem que botar todos.
04/09/2000|Especial Eleições Municipais|12|Stella Bruna Santo| Não é que ela [a Lei] exige que se coloque opinião de todos os candidatos, o que ela quer proibir é um tratamento privilegiado.
04/09/2000|Especial Eleições Municipais|13|Paulo Markun| Mas, na medida em que ela ameaça com a punição de tirar televisão do ar, a emissora que colocar...Vamos [exemplificar com] a questão de São Paulo: a emissora entrevista a candidata Marta Suplicy [política e psicóloga, candidata pelo PT - Partido dos Trabalhadores - à prefeitura de São Paulo em 2000] , que é líder das pesquisas, sobre o saneamento básico. Aí vem um candidato que tem 0,3 nas pesquisas e diz: “Quero ter o mesmo direito que ela". Como a TV não deu, descumpriu a lei, tira-se a TV do ar.
04/09/2000|Especial Eleições Municipais|14|Kennedy Alencar| Na própria legislação eleitoral, você vê, nem a Lei trata os candidatos de uma maneira igual. Ela divide quem tem mais tempo de televisão. Então, você pede que a imprensa trate os desiguais de uma maneira igual, coisa que nem a Lei está fazendo. Os debates eleitorais estão todos amarrados por conta disso, você tem candidatos completamente inexpressivos, que não têm nada a dizer, que estão ali, e tinha que ter um critério jornalístico para se entrevistar quem de fato merece dar opinião, porque tem que ter representatividade.
04/09/2000|Especial Eleições Municipais|15|Paulo Markun| O que não desmerece o que a Stella estava falando. O uso da televisão em cidades menores, onde você tem o poder econômico muito maior, é verdade que acontecia isso...Mas eu acho que a coisa é mais ou menos como aquela velha piada de tirar o sofá da sala para evitar o adultério, entendeu?
04/09/2000|Especial Eleições Municipais|16|Stella Bruna Santo| Mas há uma certa confusão em relação aos debates que as emissoras podem propor - aliás, seria um local interessante para se trazer o debate de idéias entre os candidatos - e a questão dos noticiários jornalísticos, da liberdade realmente de imprensa. Eu posso dar um exemplo significativo de uma rádio de São Paulo que vinha fazendo insistentemente comentários políticos a respeito de uma determinada candidatura. Eu era ouvinte da rádio, cheguei até a mandar um fax para a emissora, de tão indignada que eu fiquei. Era aquela coisa: a emissora se presta a fazer até um editorial antes do horário eleitoral gratuito, dizendo o seguinte para o eleitor: “Você não é obrigado a ouvir e pode desligar. Volte daqui a quarenta minutos, meia hora”. E agora, quando a Lei emite a opinião, ela não faz esse mesmo editorial. Quer dizer, eu sou obrigada, ou na televisão ou no rádio, a ouvir a opinião da emissora, porque ela está querendo beneficiar alguma candidatura. A gente tem que considerar que a mídia não é neutra, os veículos de comunicação não são neutros. Então, na verdade, a Justiça Eleitoral pode e deve interferir quando acontecem os abusos.
04/09/2000|Especial Eleições Municipais|17|Kennedy Alencar| Acho que você tem razão. Onde você vê que claramente se avançou sinal, deve haver uma punição. Mas, do jeito que está hoje, você está jogando uma espécie de censura em cima de todo mundo, que fica com o "pé atrás", com medo de que venha uma decisão que contrarie. Por exemplo, sobre o direito de resposta, tivemos um seminário no jornal com advogados dizendo: “Olha, vocês, jornalistas, estão no período de exceção. Esse período eleitoral não é normal". Ou seja, você está numa democracia, a eleição, em tese, é o momento em que você vai ter a plenitude dessa democracia, e é um período de exceção. Então, qualquer crítica que você, no período normal, pudesse fazer ao candidato A ou B, agora está passível de direito de resposta imediato. Você tem um candidato que diz, por exemplo, que vai propor prisão perpétua, e ele não pode fazer isso, não é atribuição dele. Em um artigo, você critica. Ele entra com pedido de direito de resposta e consegue na hora!
04/09/2000|Especial Eleições Municipais|18|Décio de Moura Notarangeli| Gostaria de focalizar, em primeiro lugar, a questão do desinteresse que eu atribuo a três fatores que foram mencionados aqui. Em primeiro lugar, a questão do caráter histórico de que o eleitor, normalmente, acaba se decidindo pelo seu candidato nos últimos dias que antecedem a eleição. Em segundo lugar, o caráter periódico com que as eleições vêm se apresentando a cada dois anos também contribuiu para diminuir aquele impacto de novidade que havia em torno da idéia. Sobre a questão da imprensa, a Lei 9.504/97, na minha opinião, está longe de ser um modelo ideal do que desejaríamos para regular a atividade de imprensa no processo eleitoral. Mas, é um modelo possível que precisa ser aprimorado, eu acredito. Ela tem pontos bons, pontos que são falhos e precisam ser aprimorados. A questão da censura referida aqui...Censura, juridicamente, é considerada aquele exame prévio de conteúdo do que vai ser divulgado para saber se está ou não de acordo com a idéia de que quem vai divulgar. Não acredito que alguém diga que a Justiça Eleitoral faça exame prévio de qualquer coisa. E mais, direito de resposta foi concedido só aqui em São Paulo na campanha até agora, conta-se nos dedos das mãos. Porque, na verdade, nós temos a consciência da necessidade de permitir que os candidatos não cerceiem a fala dos outros, que eles respondam. O horário eleitoral gratuito no rádio e na televisão se destina a esse confronto de idéias. É para responder, e não calar o adversário.
