DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/12/2004|Ethevaldo Siqueira|1|Paulo Markun| Boa Noite. O que as novas tecnologias vão mudar em nossas vidas nos próximos dez anos? Como é que o mundo da informática e da comunicação vai invadir o nosso cotidiano e que conseqüências isso terá? Para discutir a nova era digital que se aproxima, o Roda Viva entrevista esta noite o jornalista Ethevaldo Siqueira, especialista em tecnologia da informação e em telecomunicações. Ele reuniu num livro as idéias sobre esse futuro na visão de cinqüenta conhecidos cientistas e futurologistas do Brasil e do mundo.
14/12/2004|Ethevaldo Siqueira|2|[Vídeo] [Narração de Valéria Grillo. Imagens do livro de Ethevaldo e de invenções tecnológicas]|[Vídeo] [Narração de Valéria Grillo. Imagens do livro de Ethevaldo e de invenções tecnológicas]
14/12/2004|Ethevaldo Siqueira|3|2015, Como viveremos O autor apresenta o livro como uma grande reportagem sobre o provável impacto que será provocado pela informática e pelas comunicações nos próximos anos. Há mais de três décadas Ethevaldo Siqueira acompanha o trabalho de pesquisadores e cientistas em laboratórios e universidades no Brasil e no mundo. Colunista do jornal O Estado de S. Paulo desde 1967, já produziu centenas de artigos e vários livros sobre telecomunicações. Nesse último trabalho, ele entrevistou dezenas de cientistas, escritores e personalidades ligadas ao mundo tecnológico, para desvendar os caminhos para 2015, quando milhões de brasileiros estarão utilizando computadores de bolso conectados a celulares integrados a todos os aparelhos ou dispositivos de informática e comunicação. O comércio eletrônico vai alcançar milhões de usuários. Microprocessadores estarão espalhados por todos os lados, até nas roupas. A internet com banda larga vai chegar à maioria da população, oferecendo também telefonia de custo quase zero, e o mundo de entretenimento deverá popularizar produtos de áudio, vídeo e TV digital de alta definição. Informações e serviços de todos os tipos estarão ainda mais disponíveis através de aparelhos e dispositivos que vão invadir o cotidiano das pessoas e provocar grandes impactos na economia.|2015, Como viveremos O autor apresenta o livro como uma grande reportagem sobre o provável impacto que será provocado pela informática e pelas comunicações nos próximos anos. Há mais de três décadas Ethevaldo Siqueira acompanha o trabalho de pesquisadores e cientistas em laboratórios e universidades no Brasil e no mundo. Colunista do jornal O Estado de S. Paulo desde 1967, já produziu centenas de artigos e vários livros sobre telecomunicações. Nesse último trabalho, ele entrevistou dezenas de cientistas, escritores e personalidades ligadas ao mundo tecnológico, para desvendar os caminhos para 2015, quando milhões de brasileiros estarão utilizando computadores de bolso conectados a celulares integrados a todos os aparelhos ou dispositivos de informática e comunicação. O comércio eletrônico vai alcançar milhões de usuários. Microprocessadores estarão espalhados por todos os lados, até nas roupas. A internet com banda larga vai chegar à maioria da população, oferecendo também telefonia de custo quase zero, e o mundo de entretenimento deverá popularizar produtos de áudio, vídeo e TV digital de alta definição. Informações e serviços de todos os tipos estarão ainda mais disponíveis através de aparelhos e dispositivos que vão invadir o cotidiano das pessoas e provocar grandes impactos na economia.
14/12/2004|Ethevaldo Siqueira|4|[Fim do vídeo]|[Fim do vídeo]
14/12/2004|Ethevaldo Siqueira|5|Paulo Markun| Para entrevistar o jornalista Ethevaldo Siqueira nós convidamos João Antonio Zuffo, professor titular da Escola Politécnica da Universidade de São Paulo e coordenador do Laboratório de Sistemas Integráveis; Ricardo Kobashi, colunista do Link, veículo cross media do grupo Estado; Mônica Teixeira, editora especial de saúde, ciência e tecnologia da TV Cultura; Lisa Polloni, diretora de relações institucionais da Microsoft Brasil; Murilo Ohl, editor executivo da revista Foco Economia; e Julio Abramczyk, médico e jornalista da Folha de S.Paulo. Acompanham a entrevista em nossa platéia, aqui no estúdio, os seguintes convidados: Fábio Cioque, publicitário; Priscila Rocha, diretora da S2 Comunicação Integrada; Débora Toledo, diretora de atendimento da S2 Comunicação Integrada; Fernando Correa Grizi, pesquisador e diretor do Núcleo do Futuro da Pontifícia Universidade Católica, a PUC de São Paulo; Marcelo Zuffo, professor da Escola Politécnica da USP; Nazareth Amaral, personal stylist; Renata Guerra Machado, estudante de jornalismo da Faculdade Metodista. O Roda Viva é transmitido em rede nacional pela rede pública de televisão para todos os estados brasileiros e também para Brasília e ele pode ser acompanhado pelo site do programa, que é: www.tvcultura.com.br/rodaviva, e por intermédio da rádio Cultura AM em 1200kh. Como o programa desta noite está sendo gravado, não é possível a participação dos telespectadores. Boa noite, Ethevaldo.
14/12/2004|Ethevaldo Siqueira|6|Ethevaldo Siqueira| Boa noite, Markun.
14/12/2004|Ethevaldo Siqueira|7|Paulo Markun| No seu livro 2015 Como viveremos há uma observação aqui que eu vou me reportar: você menciona duas visões opostas diante da tecnologia que o grande público tem. De um lado a dos deslumbrados e de outro a dos apavorados. Você classifica os deslumbrados de tecnômanos [maníacos por tecnologia] e os apavorados de tecnófobos [avessos a tecnologia]. A pergunta é a seguinte: a sua visão não é mais deslumbrada do que apavorada? Você não é otimista demais ao relatar essa perspectiva de em apenas dez anos nós termos um mundo tão diferente daquele que é hoje em dia?
14/12/2004|Ethevaldo Siqueira|8|Ethevaldo Siqueira| Eu diria que não. A primeira impressão é essa. Se eu voltasse dez anos atrás e te dissesse o que o mundo não tinha em dez anos e o cenário de hoje lhe fosse apresentado na época, eu seria muito mais deslumbrado, ou qualquer pessoa também. Vou dar um exemplo só: dez anos atrás o Brasil só tinha dezenove milhões de acessos telefônicos, hoje ele tem cem milhões. Há dez anos só havia quinhentos mil usuários de [telefone] celular, hoje há 63 milhões de usuários. Esses dois números apenas... O número de pessoas que acessam a internet hoje no Brasil é de quase vinte milhões de pessoas, isso é um pouco mais que 10% da população. No entanto, esses vinte milhões de pessoas não poderiam ser imaginados em 1994, quando nós tínhamos menos de duzentas mil pessoas com uma idéia do que era internet. Nesse campo da tecnologia da informação, a evolução é tão rápida... é só lembrar que se você volta vinte anos atrás estava nascendo o Macintosh, um dos computadores pessoais de maior sucesso no mundo. Entre o Macintosh de 1984 e o de hoje, por exemplo, o poder de processamento é de algumas centenas de vezes [mais], está certo? E o que ocorreu, por exemplo, com o computador na segunda década do século XX foi um aumento do poder de computação de dez bilhões de vezes.
14/12/2004|Ethevaldo Siqueira|9|Paulo Markun| Pois é, mas eu falo isso, Ethevaldo, não é que eu seja um tecnófobo, evidentemente, nem poderia ser, [mas] pelo seguinte: eu estava vindo para cá de táxi e no meio do caminho o motorista de táxi atendeu ao celular - que, diga-se de passagem, é uma infração que todos nós cometemos, ou grande parte dos motoristas comete com muita regularidade - e aí ele falou assim no telefone – eu estou transmitindo exatamente o que ele disse -: "Oi, filho! Tudo bem? Diz uma coisa: será que esses seus óculos não estão fora do grau? Porque eu fiquei pensando, eu esqueci de falar isso hoje no café da manhã.". E o que aconteceu? Em 1994 ele não teria feito essa chamada. Agora, eu pergunto: primeiro, o que [é] que mudou na vida dele essa chamada?; segundo: eu sei o que mudou na vida desse motorista de táxi na cidade de São Paulo nos últimos dez anos, só piorou, demorou mais tempo para andar, o trânsito estava mais congestionado, as condições da cidade são piores. Então eu não sei se essa... se esse foco excessivo, vamos dizer, no indiscutível, acelerado crescimento da tecnologia da informação não nos deixa um pouco vesgos no sentido de não enxergar que isso... eu sei que há no seu livro, e evidentemente a função aqui da entrevista é criar as provocações, não é? Há o contrapeso. Uns deixam um pouco, digamos, otimistas demais em relação ao que isso pode significar, e eu pergunto: o que muda na vida do motorista ele saber se os óculos do filho dele estão no grau certo ou não estão, pelo celular, ou quando ele chegar em casa de noite?
14/12/2004|Ethevaldo Siqueira|10|Ethevaldo Siqueira| Isso é uma questão de comportamento o que você está dizendo. Nós podemos usar a tecnologia corretamente ou incorretamente. O automóvel, que é um grande avanço sob alguns aspectos, é um vilão sob outros. Em toda tecnologia, inclusive, e particularmente onde eu me aprofundei mais ouvindo essas cinqüenta personalidades, a visão predominante é otimista quanto à possibilidade... quanto ao potencial que essa tecnologia tem de melhorar a qualidade de vida, de disseminar muito mais conhecimento, fazer inclusão de milhões de pessoas que não tinham acesso à informação, à educação e ao conhecimento, e que passam a ter. Então, é nesse sentido que... agora, que... eu fico apavorado com garotos adolescentes que passam oito, dez horas na frente de um computador, na internet, e que perdem, segundo os próprios psicólogos e educadores, muito da sensibilidade humana, dá frieza. Eles passam a não ter mais uma noção clara entre o mundo real e o virtual, está certo? E nós sabemos de jovens que acabam cometendo crimes até, em função dessa baixa sensibilidade. Entre metralhar num vídeo game e metralhar numa sala de aula, às vezes a distância pode se tornar pequena. Eu acho que essas preocupações... e eu dou a palavra, por exemplo, a um professor, que é o professor Valdemar Setzer [engenheiro eletrônico e professor aposentado do Departamento de Ciência da Computação da USP], que faz de uma maneira muito mais candente todas essas advertências, talvez até de uma forma muito mais radical do que todos os outros entrevistados. O que eu tenho é uma confiança na possibilidade de o ser humano usar melhor essa tecnologia.
