DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
07/12/1992|Fabio Konder Comparato|1| [Programa ao vivo]| [Programa ao vivo]
07/12/1992|Fabio Konder Comparato|2|Marco Antônio Rocha| Boa noite. Estamos começando pela TV Cultura de São Paulo mais um Roda Viva. No centro do Roda Viva esta noite, nós temos o professor e jurista Fábio Konder Comparato, 56 anos, natural de Santos, doutor pela Universidade de Paris, professor titular da Faculdade de Direito da Universidade de São Paulo, autor do livro Para viver a democracia, e fundador, neste ano, ainda recentemente, da Escola de Governo, que funciona junto à Fundação Escola de Sociologia e Política de São Paulo, nas mesmas instalações. Para entrevistar o doutor Fábio Konder Comparato convidamos o jornalista, começando aqui pela minha direita, o jornalista Moacyr Japiassu da revista Imprensa. O doutor José Roberto Batochio, presidente da Ordem dos Advogados do Brasil, seção de São Paulo. O jornalista Paulo Fona, editor especial do DCI (Diário do Comércio e Indústria). Doutor Celso Campilongo, advogado e professor da Faculdade de Direito da Universidade Católica de São Paulo. Doutor Luis Francisco de Carvalho Filho, advogado e articulista da Folha de S. Paulo. Marcos Emilio Gomes, subeditor da revista Veja. E Antonio Carlos Ferreira, repórter da TV Globo. Aliás, faltou um dos convidados, Luciano Martins, editorialista, ou melhor, editor do jornal O Estado de S. Paulo.
07/12/1992|Fabio Konder Comparato|3|O professor Fábio Comparato é um jurista nacionalmente conhecido que dispensa apresentações. Redigiu o texto que serviu de base para o projeto da Constituição apresentado pelo Partido dos Trabalhadores na Constituinte de 88 e, juntamente com outros juristas do Brasil, ele teve relevante atuação na campanha das Direta Já. E durante a Constituinte atuou como consultor das forças de esquerda das batalhas parlamentares contra o Centrão, o chamado Centrão, como ficou conhecido o bloco de congressistas conservadores, de linha conservadora. Mais recentemente, o professor Comparato integrou o grupo de 13 juristas de São Paulo e do Rio de Janeiro que elaboraram o texto do pedido de impeachment do presidente afastado Fernando Collor de Mello, apresentado, esse pedido, pelos presidentes da Ordem dos Advogados do Brasil e da Associação Brasileira de Imprensa. É sobre esse assunto, principalmente, que nós vamos falar, conversar com o professor Fabio Konder Comparato, aqui no Roda Viva desta noite.|O professor Fábio Comparato é um jurista nacionalmente conhecido que dispensa apresentações. Redigiu o texto que serviu de base para o projeto da Constituição apresentado pelo Partido dos Trabalhadores na Constituinte de 88 e, juntamente com outros juristas do Brasil, ele teve relevante atuação na campanha das Direta Já. E durante a Constituinte atuou como consultor das forças de esquerda das batalhas parlamentares contra o Centrão, o chamado Centrão, como ficou conhecido o bloco de congressistas conservadores, de linha conservadora. Mais recentemente, o professor Comparato integrou o grupo de 13 juristas de São Paulo e do Rio de Janeiro que elaboraram o texto do pedido de impeachment do presidente afastado Fernando Collor de Mello, apresentado, esse pedido, pelos presidentes da Ordem dos Advogados do Brasil e da Associação Brasileira de Imprensa. É sobre esse assunto, principalmente, que nós vamos falar, conversar com o professor Fabio Konder Comparato, aqui no Roda Viva desta noite.
07/12/1992|Fabio Konder Comparato|4|Professor, iniciando o programa, em que pé exatamente está o processo de impeachment na sua visão, e eu gostaria de saber como jornalista e como cidadão brasileiro, que no caso de ser aprovado, digamos assim, o impeachment do presidente da República, definitivamente, em caráter definitivo pelo Senado, se essa aprovação, se esse julgamento do Senado, na sua opinião, como jurista, será irreprochável no plano jurídico, ou seja, não haverá nenhuma falha, digamos assim, do ponto de vista jurídico que possibilite protesto de outros governos ou atitudes ou uma mancha, digamos assim, na imagem do Brasil no exterior?|Professor, iniciando o programa, em que pé exatamente está o processo de impeachment na sua visão, e eu gostaria de saber como jornalista e como cidadão brasileiro, que no caso de ser aprovado, digamos assim, o impeachment do presidente da República, definitivamente, em caráter definitivo pelo Senado, se essa aprovação, se esse julgamento do Senado, na sua opinião, como jurista, será irreprochável no plano jurídico, ou seja, não haverá nenhuma falha, digamos assim, do ponto de vista jurídico que possibilite protesto de outros governos ou atitudes ou uma mancha, digamos assim, na imagem do Brasil no exterior?
07/12/1992|Fabio Konder Comparato|5|Fábio Konder Comparato| O processo está em fase final de julgamento. Hoje, a defesa apresentou a chamada “contrariedade ao libelo”, ou seja, ela apresentou os argumentos resumidos, condensados, finais de sustentação da posição do presidente afastado. E a novidade é que juntamente com esta contrariedade ao libelo a defesa pediu a realização de duas perícias técnicas. Isso talvez a imprensa ainda não saiba e é bom difundir para os telespectadores. Isso significa que, ao ver da defesa, seria necessário suspender o processo...
07/12/1992|Fabio Konder Comparato|6|Marco Antônio Rocha| O andamento, a marcha do processo?
07/12/1992|Fabio Konder Comparato|7|Fábio Konder Comparato| Para que se realizassem duas perícias técnicas. E o presidente do Supremo Tribunal Federal, que está presidindo o Senado como tribunal político, vai decidir isso, talvez já tenha decidido. Se essa decisão do presidente do Supremo for contrária à defesa, provavelmente nós teremos um novo mandado de segurança ao Supremo Tribunal Federal.
07/12/1992|Fabio Konder Comparato|8|Marco Antônio Rocha| Da parte da defesa?
07/12/1992|Fabio Konder Comparato|9|Fábio Konder Comparato| Da parte da defesa, claro. E é evidente que esse pedido da defesa é extemporâneo, porque o prazo de realização de prova já se esgotou e, aliás, a própria defesa já apresentou o laudo sobre as obras que foram realizadas na Casa da Dinda. O que acontece é que o Supremo Tribunal Federal fica como juiz da legalidade do procedimento e, sobretudo, ele procura fazer com que sejam respeitados os direitos fundamentais notadamente no caso de direito de defesa. Mas o Supremo não é tribunal com competência para rever a decisão final. O Senado é um tribunal político que julga em instância única e definitiva.
07/12/1992|Fabio Konder Comparato|10|Marco Antônio Rocha| Mas essa decisão final do Senado está marcada, pelo menos até agora, para o dia 22, e se esses pedidos de perícia forem acolhidos, esse prazo, o senhor acha que terá que ser adiado?
