DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/11/2004|Fábio Wanderley Reis|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
01/11/2004|Fábio Wanderley Reis|2|Paulo Markun|Boa noite. Final de segundo turno, mais uma eleição concluída, políticos e partidos contabilizam vitórias e derrotas, já analisando o que pode melhorar e o que pode piorar nos seus projetos para 2006. Mas, é momento também de perguntar sobre o futuro político do país, o que as eleições têm nos ensinado e o que políticos, eleitores e o próprio processo eleitoral ainda precisam aprender, se é que há alguém que possa ensinar isso tudo para essas entidades. Para discutir essas questões, está no centro do Roda Viva o cientista político mineiro Fábio Wanderley Reis. Ele é um dos principais estudiosos do desenvolvimento da política no Brasil.
01/11/2004|Fábio Wanderley Reis|3|[Comentarista]|Nas capitais, o PSDB [Partido da Social Democracia Brasileira] levou a melhor em cinco delas: Teresina, Florianópolis, Curitiba, Cuiabá e São Paulo. O PT [Partido dos Trabalhadores] só ganhou em três: Vitória, Porto Velho e Fortaleza. Nas capitais, onde houve confronto direto entre os dois partidos no segundo turno, o PT conseguiu ganhar em Vitória e Porto velho. O PSDB teve resultados melhores, vencendo o PT em Curitiba, Cuiabá e em São Paulo, onde está o maior colégio eleitoral do país. No quadro...[vídeo pára no meio]
01/11/2004|Fábio Wanderley Reis|4|Paulo Markun|Bem, nós paramos o VT fora de hora e de lugar, mas vamos continuar aqui. Para entrevistar o cientista político Fábio Wanderley Reis, nós convidamos: Kennedy Alencar, repórter especial da sucursal de Brasília do jornal Folha de S.Paulo; Helena Chagas, diretora da sucursal de Brasília do jornal O Globo; Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo; Antônio Octávio Cintra, professor e especialista em ciência política pelo MIT [Massachusetts Institute of Technology] dos Estados Unidos; Luciano Suassuna, diretor de redação da revista Isto é Gente; Carlos Novaes cientista político e analista de política da TV Cultura. Acompanham a entrevista em nossa platéia os seguintes convidados: Ana Luísa Saibro, jornalista e diretora da ONG Transparência Brasil; José Paulo Martins Júnior, aluno de pós-graduação em ciência política da Faculdade de Filosofia, Letras e Ciências Humanas da USP [Universidade de São Paulo]; Rafael Mantovani, aluno do curso de graduação da Faculdade de Ciências Sociais da PUC-SP [Pontifícia Universidade Católica de São Paulo]; Ruth Esporme, fundadora e vice-coordenadora da ONG Movimento Voto Consciente; Raquel Estensel, editora da agência de notícias Reuters, em São Paulo; Carlos Eduardo Meireles Mateus, professor de ética da PUC-SP e consultor na área de Opinião Pública; Melina Negrini, estudante de jornalismo das Faculdades Integradas Rio Branco; Cristini Faustino, estudante de pós-graduação em farmácia na Universidade de São Paulo; Leda Arachiro, estudante de jornalismo das Faculdades Integradas Rio Branco; Sidomar Biancardi Filho, arquiteto e mestrando em arquitetura e urbanismo pela [Universidade Presbiteriana] Mackenzie; Olímpio Augusto Ribeiro, arquiteto e especialista em conservação de monumentos históricos pela Universidade Federal da Bahia. O Roda Viva, como você sabe, é transmitido em rede nacional para todos os estados brasileiros e também para o Distrito Federal pela rede pública de televisão. Você pode também acompanhar o programa pelo próprio site que é: www.tvcultura.com.br/rodaviva e por intermédio da rádio Cultura AM. Para participar do programa, você pode fazer suas perguntas pelo telefone (011) 3252-6525 ou pelo fax 3874-3454. Pode também mandar sua pergunta, sua crítica, sua sugestão pelo e-mail rodaviva@tvcultura.com.br. Bom, antes de a gente começar, vamos então ver aquele VT que estava sendo exibido logo no começo e que mostra o quadro partidário que surge dessas eleições. Cada partido experimenta uma situação nova, isso muda o ambiente político no país. Vamos ver.
01/11/2004|Fábio Wanderley Reis|5|[Comentarista]|Fábio Wanderley Reis é professor emérito de filosofia e ciências humanas da Universidade Federal de Minas Gerais. Doutor em ciências políticas por Havard, pós-graduado em sociologia no Chile, foi professor visitante em outras universidades no Brasil, Estados Unidos e Europa. Seus estudos e análises já resultaram em inúmeras publicações acadêmicas, além de artigos e livros. Em Mercado e Utopia [2002], ele reflete sobre mecanismos de análise das relações entre Estado e sociedade, processo eleitoral e relações raciais no país. Em Tempo presente, do MDB a FHC [2002], seu mais recente livro, Fábio Wanderley Reis reúne artigos publicados em jornais entre 1978 e 2001. São indagações e questionamentos a respeito do mundo globalizado e da transição democrática brasileira. O livro analisa conjunturas que foram se apresentando no mundo desde o que ele chama de "estranha derrocada do socialismo, fim da geografia e crise da globalização". No plano nacional, o autor reflete sobre um país onde a discussão sobre democracia e legitimidade inclui a esperteza. É um país que se divide entre civismo e cinismo, entre verdades privadas e mentiras públicas e que, no final, ainda pergunta: “Que crise é essa?”.
01/11/2004|Fábio Wanderley Reis|6|Paulo Markun|Repetindo ou aproveitando a pergunta, professor, que resultado eleitoral é esse? Que cenário o senhor acha que sai dessa eleição municipal? Quem ganha e quem perde?
01/11/2004|Fábio Wanderley Reis|7|Fábio Wanderley Reis|Bem, acho que nós temos dois ganhadores muito claros: PT e PSDB. Apesar das oscilações, de quem terá ganhado mais no primeiro turno ou no segundo turno, claramente os dois são os grandes vitoriosos e acho que se justifica aquilo que tem sido dito por muita gente de que há uma polaridade estabelecida na política brasileira entre esses dois partidos.
01/11/2004|Fábio Wanderley Reis|8|Paulo Markun|O senhor pensa que há essa polaridade?
01/11/2004|Fábio Wanderley Reis|9|Fábio Wanderley Reis|Acho que sim. O que resulta no segundo turno, na verdade, é algo que já apareceu com bastante nitidez no próprio primeiro turno. Temos nas eleições de agora um desdobramento com um passo a mais no processo que, na verdade, começou com a abertura democrática com a restauração da democracia em 1985. Parece que talvez o ponto mais alto foi na eleição do Lula para presidente da República nas últimas eleições, em 2002, pelo ineditismo da situação que se criou, com a chegada à Presidência da República de um partido que, afinal de contas, era de origem revolucionária, do ideário socialista, o que remete a uma longa história em que esse partido - ou outros de esquerda - era objeto de um veto latente ou explícito que produziu longas turbulências na história brasileira das últimas décadas. Isso culminou, inclusive, no regime de 1964, em que nós tivemos vinte anos de ditadura. Com a eleição do Lula, há uma nova fase. Nós temos evoluído de uma maneira muito satisfatória diante desse teste que a eleição do Lula representa. Estamos vivendo, como disse agora, uma etapa nova e boa no sentido de que os dois partidos em torno dos quais se estabelecem as polaridades representam algo de positivo no quadro que nós temos. Além do período autoritário, nós temos uma longa história de presença de partidos de lideranças personalísticas, partidos excessivamente clientelistas, realistas, pragmáticos etc. Acho que o PT e o PSDB representam algo de singular e positivo nesse quadro.
01/11/2004|Fábio Wanderley Reis|10|Kennedy Alencar|Professor, até o começo dessa eleição, o presidente Lula tentava de alguma maneira uma aproximação com o PSDB. Em 2003, negociou com alguns setores do PSDB para aprovar reformas importantes no Congresso [Nacional]. Alguns líderes do PSDB acham que uma grande contradição dessa eleição é que essa polaridade que o senhor vê fixada entre PT e PSDB pode, de alguma maneira, impedir um salto de qualidade do país. Algumas pessoas vêem que esse salto de qualidade aconteceria com o diálogo entre PT e PSDB. Em que medida esse resultado eleitoral, essas feridas eleitorais de uma disputa aqui em São Paulo, que foi muito dura, podem viabilizar esse diálogo ou não? Em que medida isso seria importante para o país?
