DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
16/02/1998|Fernanda Torres|1|Matinas Suzuki| Boa noite! Ela é o melhor retrato do bom momento pelo qual passa o cinema brasileiro. No centro do Roda Viva, a atriz Fernanda Torres.
16/02/1998|Fernanda Torres|2|Fernanda Torres| Adorei, Matinas!
16/02/1998|Fernanda Torres|3|[Comentarista]| Ela parece determinada a expandir, cada vez mais, sua presença na arte de representar, principalmente no cinema. Com a carreira consolidada por trabalhos de grande repercussão no palco, na TV e na tela grande, Fernanda Torres, nos últimos tempos, acrescenta mais um crédito em suas habilidades: já entregou o roteiro do filme Redentor [2004], que deverá ser dirigido por seu irmão Cláudio Torres, uma experiência que também parece estar dando certo. Fernanda está num excelente momento de uma carreira que ela iniciou aos 14 anos, em 1979, num programa de TV. Começou a atuar também no teatro, em 1981 e, já em 1982, estreava no cinema, aos 16 anos, com o filme Inocência [baseado no romance Inocência, 1872, de Visconde de Taunay, dirigido por Walter Lima Jr.]. O trinômio TV-teatro-cinema, nos últimos anos, se desequilibrou um pouco, com vantagem para a tela grande, quem sabe como um reflexo da consagração internacional proporcionada pelo prêmio de melhor atriz no Festival de Cannes, em 1986, com o filme Eu sei que vou te amar [de Arnaldo Jabor]. A carreira cinematográfica de Fernanda Torres pode ganhar um impulso ainda maior com a boa repercussão, no Brasil e no exterior, do filme O que é isso, companheiro? [filme baseado no livro do ex-guerrilheiro de esquerda e depois parlamentar do PT e do PV, Fernando Gabeira, foi lançado em 1996 e indicado ao Oscar em 1998]. Indicada para o Oscar de melhor filme estrangeiro, a obra conquistou a crítica e o público, e também provocou polêmica, principalmente entre antigos participantes da luta armada contra a ditadura militar. No olho desse furacão, Fernanda segue em frente com disposição para ousar cada vez mais. Pode olhar à distância e com bom humor o tempo em que era chamada, com insistência, filha de Fernanda Montenegro e Fernando Torres. Conquistou seu caminho por si mesma e promete surpreender ainda mais o público, que já se acostumou com a sua versatilidade e forte presença cênica em dramas, comédias, novelas, tragédias, minisséries, filmes.
16/02/1998|Fernanda Torres|4|Matinas Suzuki| Para entrevistar a atriz Fernanda Torres, nós convidamos esta noite o jornalista João Gabriel de Lima, editor de cultura da revista Veja; o jornalista Sérgio Róveri, repórter especial do Jornal da Tarde; a jornalista Cristina Padiglione, colunista da Folha de S. Paulo; o jornalista Leon Cakoff, diretor da Mostra Internacional de Cinema, aqui de São Paulo; o cineasta Beto Brant, diretor dos filmes Os matadores e Ação entre amigos; e o cineasta Ivan Isola, coordenador do Programa de Integração Cinema e TV, do Projeto Nova Vera Cruz, ambos da TV Cultura, de São Paulo. [Programa ao vivo] Boa noite, Fernandinha.
16/02/1998|Fernanda Torres|5|Fernanda Torres| Tudo bom?
16/02/1998|Fernanda Torres|6|Matinas Suzuki| Tudo bem. Fernanda, o filme – bom, indicado pelo Oscar, nós vimos aí também, no Jornal da Cultura, há pouco, uma entrevista com o Bruno Barreto [cineasta brasileiro, nascido no Rio de Janeiro em 1955, dirigiu, entre outros, o filme Dona Flor e seus dois maridos, em 1976, grande sucesso de público na época] – passou, no Brasil, por uma série de discussões sobre se ele representava bem o momento político ou não representava, essa coisa toda. Eu não quero voltar, especificamente, a essa discussão, mas gostaria de saber o que é que você... como é que você vê hoje essas discussões? Quer dizer, passada a repercussão daquelas discussões, passado aquele momento... [sendo interrompido]
16/02/1998|Fernanda Torres|7|Fernanda Torres| É meio longo, assim... E essa história começa antes do filme ser feito. Quando eu cheguei e fui convidada, o primeiro ímpeto que eu tive é: “Quero conhecer as pessoas, quero saber como foi!”. E eu senti que havia um problema quanto aquilo, que eu não entendia bem qual era. Aí eu encontrei o Minc [Carlos Minc Baumfeld, político de esquerda brasileiro, carioca, nascido em 1955, líder estudantil contra a ditadura militar, chegou a ser preso em 1979 e exilado; após o regresso ao Brasil, torna-se membro fundador do Partido Verde, juntamente com Fernando Gabeira e Alfredo Sirkis], que era um cara que não tinha participado e que topou falar comigo. Eu conversei com ele sobre as minhas dúvidas, porque eu fazia o personagem mais sargento do filme e tal, se era assim, se não era. Dali um mês tinha uma nota no jornal dizendo que uma atriz tinha jantado com o Minc e tinha dito que o filme era para americano ver e que era uma droga. E me botou... eu me senti traída, como companheira. Eu fui fazer perguntas profissionais – estava trabalhando ali com ele – e, de repente, eu vi que tinha uma rede de intrigas anteriores... Assim, que deviam ter começado quando eu tinha três anos de idade e que vinham desde um problema com o livro do Gabeira, eu acho, de não se sentirem retratados... E também não é um grupo, eu acho que é cada um isoladamente, que meio... Foi uma revolução que não entrou para a história, não é oficial. Então cada um, eu acho, tem uma história a ser contada, gostaria de ser contada. Junto com isso vem o problema de como os produtores resolveram esse problema. Porque eu sou a favor de se filmar essa história, menos do que não se filmar ela, já que não se consegue chegar a uma conclusão de qual é a realidade. Eles escolheram o seguinte: quem está morto, eles mantiveram os nomes; quem não está morto, eles fizeram de cada personagem uma melange de diversos personagens que fizeram parte desse quadro histórico. O que eu achei uma solução bastante interessante. Aí veio o problema do Jonas, depois que estreou o filme, que foi retratado como, segundo essa ala que tinha problemas desde o Bruno não ser um cara politizado até ser um cara considerado... seria de direita. Será que o Bruno seria de direita? Entendeu? [Torres ri] Teve a questão do nome do Jonas e eu vi várias entrevistas as pessoas dizendo que o Jonas era o vilão da história. Isso eu acho que é uma deturpação, porque eu acho que ele não é o vilão da história. Ele é o personagem que chega lá e que dá àquele bando de revolucionários da burguesia uma idéia do que é uma revolução real, onde uma hora você tem que matar alguém. Se ele é feito com carga assim... Eu concordo, o filme tem... tintas e cores assim... E que talvez não se devesse ter usado, então, o nome Jonas. Mas eu acho que o filme não é o centro desse problema. Eu acho que esse problema está numa revolução clandestina, ainda hoje. Eu acho que esses livros... Eu dei Revolução da Nicarágua no meu colégio, mas eu não dei isso que eu fui estudar depois, quando fui fazer o filme. Então, acho que o que existe é um enorme não reconhecimento das pessoas – socialmente – do que elas foram e do que elas são. E acho que o filme ganhou a rebarda disso por todas essas histórias. Pelo Bruno não ser uma pessoa ligada a nenhum partido político, pelo Gabeira ter tido uma outra opção e ter escrito um livro que as pessoas consideram... tem tanta mágoa, cara! Então, eu respeito, sim. Mas, teve uma hora em que eu me vi acusada de reacionária. E eu não sou reacionária e eu não fiz um filme... Eu não, mas assim... Aquele filme não é um filme reacionário, entendeu? Eu acho que aí é um... isso é jogar sujo, entendeu? No final, assim.... Eu acho que é melhor que essa história tenha sido contada e acho que o filme respeita muito aquelas pessoas, no fim das contas. Isso eu acho que é mentira, não é um filme desrespeitoso a eles. E foi chocante para mim, porque na minha cabeça eles eram, eu era da mesma turma que eles. E a minha revolução, eu não peguei em armas, mas eu peguei em câmeras de cinema. Foi manter um cinema independente no Brasil, foi fazer até aquele filme, entendeu? E, de repente, quando eu vi, era um filme de direita. Para eles. E eu fiquei muito chocada, surpresa e achei interessante.
16/02/1998|Fernanda Torres|8|[Falam simultaneamente]|[Falam simultaneamente]
16/02/1998|Fernanda Torres|9|Sérgio Róveri| Agora, você se preocupou em defender o filme depois, Fernanda? Ou você acha que não foi necessário? Quer dizer, pessoalmente, como você se sentiu, assim...?
16/02/1998|Fernanda Torres|10|Fernanda Torres| Não, eu só defendia a coisa lá do Minc. Eu fui violenta, eu liguei para ele e falei: “Isso aí não se faz, isso é uma loucura! Eu posso perder o meu emprego. Você não está entendendo o que você está fazendo, você não pode ligar para um jornal...”. E aí eu também entendi uma coisa incrível: que todo mundo que fez a guerrilha, de certa maneira, estava nos jornais. Isso eu não sabia. Eu achei isso incrível. Começando com essa coisa do Minc, que eu soube que... Agora, eu tenho carinho por essas pessoas, não tenho nenhum desrespeito, entendo a história. Agora, eu vou defender a minha revolução com... armas, assim, entendeu? [Torres chacoalha os braços com os punhos fechados] Botar público no cinema, tornar o cinema um lugar que conte a história do Brasil. Eu vou fazer força para que isso aconteça... [sendo interrompida]
