DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
04/07/1988|Fernando Henrique Cardoso|1|Jorge Escosteguy| Boa noite. Estamos iniciando mais um Roda Viva. O convidado do Roda Viva esta noite é o senador Fernando Henrique Cardoso líder, no Senado, do Partido da Social Democracia Brasileira, o PSDB. Os jornalistas que vão entrevistar o senador Fernando Henrique esta noite são: Ennio Pesce, comentarista político da Rede Globo; ainda estamos aguardando a chegada de José Carlos Bardawil, diretor da sucursal de Brasília da revista Isto É Senhor; Ricardo Kotscho, repórter especial da sucursal paulista do Jornal do Brasil; Aloisio de Toledo César, repórter político do jornal O Estado de S. Paulo; Fernando Mitre, diretor de telejornalismo da Rede Bandeirantes de Televisão; Carlos Brickmann, editor-chefe da Folha da Tarde; Ivan Ângelo, editor-chefe do Jornal da Tarde; André Singer, secretário de redação da Folha de S. Paulo. Para registrar os melhores momentos do nosso programa desta noite, está aqui também conosco o cartunista Paulo Caruso. Na platéia, os convidados da produção. Fernando Henrique Cardoso tem 57 anos, é sociólogo de formação, ele ingressou no PMDB em 1977, foi candidato, derrotado, à prefeitura de São Paulo, em 1985 e líder do PMDB no Senado até deixar o partido. Foi um dos principais articuladores do novo partido e hoje está na liderança do PSDB. Senador Fernando Henrique, o senhor, como um dos peemedebistas históricos, como vê o trabalho do PSDB [Partido da Social Democracia Brasileira] nas próximas eleições tendo em vista que dos seus mais fortes adversários como partido será o próprio PMDB?
04/07/1988|Fernando Henrique Cardoso|2|Fernando Henrique Cardoso| Olha, essa é uma boa pergunta, porque já começa produzindo uma dificuldade para quem vai responder. Mas eu acho que não é tão difícil assim. Eu vejo o PSDB como um partido que responde aquilo que o PMDB [Partido do Movimento Democrático Brasileiro] preparou. O que o PMDB preparou? Preparou o processo democrático, desde o tempo do MDB. Você disse que eu sou histórico do MDB. Na verdade, eu entrei no MDB em 1977 e eu ajudei o MDB desde 1971, 1972, no Rio Grande do Sul, especialmente, o Pedro Simon [político gaúcho foi governador do Rio Grande do Sul de 1987 a 1990, deputado e senador por vários mandatos], depois mais tarde, aqui, Ulysses Guimarães. Naquela época, nós fazíamos parte da chamada resistência democrática. E sempre se disse, era um sistema bipartidário, que haveria o dia em que os partidos seriam mais nítidos, teriam uma proposta mais direta. Pois bem, nós chegamos ao Colégio Eleitoral com Tancredo Neves, Tancredo foi eleito presidente da República, falece, vem o Sarney e chegou o momento que se dê nome aos bois. Chegou o momento que os partidos não podem continuar sendo tão indiferenciados. Então, o PMDB, como ele cresceu muito, cresceu eleitoralmente, ele pagou um preço muito alto por isso, que foi a sua incapacidade, na Constituinte, de definir posições mais ou menos, não diria nem homogêneas, coordenadas. Perdeu a possibilidade de ser coordenada. Com isso, ele perdeu também a perspectiva de ser um partido realmente de governo. Ele está no governo, mas o governo usa o PMDB. E não está governando no sentido que as suas teses não são as teses que ele coloca à disposição do país. Então, eu acho que chegou o momento de nós termos partidos com mais nitidez e o PSDB, nesse sentido, não entra em confronto com o PMDB. O PMDB preparou o terreno para que houvesse um partido como o PSDB, que tem uma proposta mais clara, nítida, a respeito da democracia, da mudança social, da área econômica, da área cultural. É um partido, não é simplesmente o resultado de uma vitória eleitoral. Pelo menos é a nossa proposta.
04/07/1988|Fernando Henrique Cardoso|3|Jorge Escosteguy| O senhor falou em inchaço, de certa forma, do PMDB. O PSDB, de certa forma, já nasce um pouco grande, também, pelo menos no número de candidatos. Ou seja, há pelo menos dois candidatos declarados, ou semi-declarados, vamos dizer assim, à presidência da República, que são o senador Mário Covas [1930-2001. Governador de São Paulo entre 1995 e 2001. Foi presidente do antigo MDB, depois da ditadura e deputado federal 2 vezes. Foi prefeito de São Paulo em 1986] e o ex-governador Franco Montoro [1916-1999. Governador de São Paulo de 1983 a 1987. Foi vereador, deputado estadual e três vezes deputado federal], que já numa reunião em Brasília, na semana passada, ou retrasada se não me engano, tiveram uma certa discussão em função já do desenlace de candidaturas, ou seja, o senador Mário Covas já com seus correligionários fazendo campanha, abrindo faixas na reunião e o senador Franco Montoro, de certa forma, constrangido com isso porque não conseguiu que os dois retirassem os seus correligionários da reunião. Como é que o senhor vê essa disputa?
04/07/1988|Fernando Henrique Cardoso|4|Fernando Henrique Cardoso| Isso não é inchaço. Isso significa que o partido nasce forte, porque nasce podendo oferecer ao Brasil candidaturas. E candidaturas genuínas, que representam um pensamento democrático, pensamento de transformação. Isso não é inchaço. Inchaço é quando as pessoas vêm e trazem para o partido simplesmente a sua vontade de serem candidatos para receber os votos do partido. Aqui não é o caso. Eu sei que é real, que num partido como o nosso existam correntes de opinião. Eu acho, pessoalmente, que nós não devemos desencadear nenhuma campanha presidencial agora.
04/07/1988|Fernando Henrique Cardoso|5|Carlos Brickmann| [interrompendo] O senhor fala em partido mais nítido, em dar nome aos bois. O governador Franco Montoro sempre foi membro do Partido Democrata Cristão, que é uma corrente universal, existe no mundo inteiro. Como o senhor explica a súbita conversão do governador à social democracia, que é a tradicional rival da democracia cristã no mundo?
04/07/1988|Fernando Henrique Cardoso|6|Fernando Henrique Cardoso| Porque nós estamos no Brasil, não estamos na Europa [sorri]. Na Europa, realmente, a democracia cristã e a social democracia se contrapõem. Na América Latina, não. Porque aqui...
04/07/1988|Fernando Henrique Cardoso|7|Carlos Brickmann| [interrompendo] A social democracia brasileira?
04/07/1988|Fernando Henrique Cardoso|8|Fernando Henrique Cardoso| Tucana [risos]
04/07/1988|Fernando Henrique Cardoso|9|Aloísio de Toledo César| Senador, essa dissidência do PSDB na véspera de eleição não desmerece o movimento? Causa a impressão de uma espécie de missa de encomendada.
04/07/1988|Fernando Henrique Cardoso|10|Fernando Henrique Cardoso| Veja, se nós tivéssemos querido simplesmente ter posições por causa das eleições... o PMDB é mais seguro.
04/07/1988|Fernando Henrique Cardoso|11|Carlos Brickmann| Desde que dê legenda.
04/07/1988|Fernando Henrique Cardoso|12|Fernando Henrique Cardoso| Mas a legenda é quase que automática, pelo menos para vários casos. É mais seguro e há muito tempo. Você sabe que o PMDB sempre foi um partido com muito sentido eleitoral. Se a pessoa tem força, acaba obtendo a legenda. De modo que não foi por isso, o sentido não é esse. Nós só fizemos agora, porque agora terminou a Constituição, praticamente. Então, já permitiu ou permite o que eu disse há pouco: o PMDB deu margem a partidos com perfil. Algo mais nítido.
04/07/1988|Fernando Henrique Cardoso|13|[...] Isso não tem nada a ver com a eleição?|[...] Isso não tem nada a ver com a eleição?
04/07/1988|Fernando Henrique Cardoso|14|Fernando Henrique Cardoso| Eu não creio. A eleição municipal para nós, por exemplo, eu acho até que é uma dificuldade. Neste ponto de vista, seria melhor até não fazer agora.
04/07/1988|Fernando Henrique Cardoso|15|André Singer| Observando os locais geográficos onde a dissidência se concluiu efetivamente, a gente observa que ela se concentra em São Paulo e em Minas. O senhor não acha que isso se deve, basicamente, porque nesses estados os respectivos governadores Orestes Quércia [governador de São Paulo entre 1987 e 1991. Foi um dos fundadores e presidente do PMDB entre 1991 e 1993. Em 1994, foi candidato derrotado à presidência da República] e Newton Cardoso [prefeito de Contagem-MG por 3 mandatos, governador de Minas Gerais de 1987 a 1991, 2 vezes deputado federal e vice-governador de Minas de 1999 a 2003] fecharam um espaço para um certo grupo, do qual o senhor faz parte, mais do que uma dissidência, chamemos assim, ideológica?
04/07/1988|Fernando Henrique Cardoso|16|Fernando Henrique Cardoso| Veja, ainda que fosse verdadeiro o que você disse, que houvesse um fechamento de espaço - e é verdade que em certas situações isso ocorre - por que essa dissidência iria assumir a forma de um partido com características sociais democratas? Aí não havia razão. Você pode fazer um partido de outro tipo. Então, mesmo que isso tenha sido um fator que tenha atuado, e você sabe que a política tem sempre um fator também paroquial, ela não é só paroquial. Então, eu diria a você, sem negar que existam problemas regionais, que não foi isso que motivou a transformação. Até porque, veja no caso de São Paulo: tanto o senador Mário Covas, quanto eu, temos um mandato longo, mais longo que o do governador. Então, a prudência indicaria que seria melhor ficar, como costumam fazer os políticos tradicionais, quieto, esperando o tempo passar. Se nós não ficamos quietos, esperando o tempo passar, é porque nós temos um compromisso que é mais amplo do que a questão regional. E devo dizer que, no caso de São Paulo, o governador Quércia não foi nenhum algoz para nenhum de nós dentro do PMDB. Tiradas à parte aqui e ali, farpas à parte, não fez nenhuma política de perseguição. Não havia esse clima aqui para justificar o porquê fazer um outro partido. Dá um trabalho danado, viu [sorri]?
04/07/1988|Fernando Henrique Cardoso|17|Carlos Brickmann| [interrompendo] Ele não deixou espaço nem para o senhor, nem para o Mário Covas.
04/07/1988|Fernando Henrique Cardoso|18|Fernando Henrique Cardoso| Sim, mas na estrutura partidária, é possível. Você sabe que chega um momento que você tem que ter voto. E o Franco Montoro foi candidato pelo MDB quando a estrutura partidária não era dele. Porque a estrutura partidária de um partido como o MDB é, basicamente, voltada para a eleição. E, na hora da eleição, as pessoas querem saber quem pode ganhar. E acabam fazendo como candidato aquele que pode ganhar. De modo que eu acho que essa explicação seduz, mas não convence. Há algo mais entre o céu e a terra.
04/07/1988|Fernando Henrique Cardoso|19|Ivan Ângelo| Queria saber, dentro dessa discussão toda no partido, quais são as bases do partido? Porque, o que se diz, é que o PSDB ficou com os caciques e deixou os índios para o PMDB [risos]. Então, qual é a base de trabalho, onde está sendo formada a base eleitoral, operacional do PSDB?
04/07/1988|Fernando Henrique Cardoso|20|Jorge Escosteguy| Pegando uma carona na pergunta do Ivan, o telespectador Antônio de Almeida, de São Paulo, também pergunta: “O PSDB não seria constituído só por velhas raposas da política”?
04/07/1988|Fernando Henrique Cardoso|21|Fernando Henrique Cardoso| Não sei se tão velhas assim [risos].
04/07/1988|Fernando Henrique Cardoso|22|[...] Mas raposas sim?|[...] Mas raposas sim?
