DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/06/2009|Gabriela Leite|1|Heródoto Barbeiro| Olá, boa noite. Nesta terça-feira, dia 02 de junho, é o Dia Internacional da Prostituta. A data lembra quando 150 mulheres com o apoio da Igreja [Católica] e também da população ocuparam uma igreja na cidade francesa de Lyon, isso foi 1975. Elas protestavam contra a perseguição policial, cobrança de multa, detenções e também assassinatos. O ato terminou com uma violenta repressão da polícia. A coragem em apresentar os problemas fez com que aquelas mulheres rompessem preconceitos e entrassem para a história. No Brasil os problemas são parecidos. Ainda hoje nós vamos falar sobre esse tema. E a entrevistada do Roda Viva desta segunda-feira é Gabriela Leite, prostituta nos anos 70 e 80 e que atualmente trabalha pelo reconhecimento da profissão e também pela defesa dos direitos dessas mulheres. A entrevista começa em trinta segundos.
01/06/2009|Gabriela Leite|2|[intervalo]|[intervalo]
01/06/2009|Gabriela Leite|3|Heródoto Barbeiro| E quando o assunto é como ela deve ser apresentada, a Gabriela Leite prefere ser chamada de prostituta apesar de não exercer mais a profissão. Ela critica termos politicamente corretos como "profissionais do sexo", pois considera que eles escondem um preconceito.
01/06/2009|Gabriela Leite|4|[Comentarista Valéria Grillo]| Gabriela Silva Leite tem 58 anos, nasceu no dia 22 de abril de 1951 em São Paulo, é prostituta aposentada. Em seu livro recém lançado Filha, mãe, avó e puta: a história da mulher que decidiu ser prostituta, Gabriela Leite conta sobre sua vida. Logo na primeira página, ela apresenta as suas três paixões: “Adoro homens, gosto de estar com eles, e não conheço homem feio. Outra coisa que adoro é falar o que penso, sem papas na língua. Quem ler este livro vai perceber isso. Existe uma terceira coisa que eu prezo muito, talvez a que mais prezo, aliás, que é a liberdade, liberdade de pensar diferente, de se vestir diferente, de se comportar diferente”. Filha de uma dona de casa conservadora e de um crupiê [empregado que nos cassinos ou outros estabelecimentos de jogos de azar dirige o jogo, paga e recolhe as apostas], ela teve uma vida marcada por acontecimentos marcantes na infância e resolveu enfrentar a falta de liberdade na adolescência. Gabriela Leite também aproveita as páginas do livro para apresentar como deve ser o comportamento das prostitutas e as maneiras de se prevenirem de doenças. No final da década de 60, durante o regime militar, ela cursava faculdade de sociologia na USP, tinha uma emprego em um escritório e freqüentava círculos da boemia intelectual paulistana. Largou tudo menos a noite, para fazer a sua própria revolução ao começar trabalhar como prostituta nos anos 70 e 80 em São Paulo e Belo Horizonte até se radicar no Rio de Janeiro. No Rio trabalhou no bairro boêmio da Vila Mimosa e começou a colocar em prática a defesa dos direitos das prostitutas. Em 1987 ajudou a organizar o Primeiro Encontro Nacional de Prostitutas. Hoje considera-se aposentada e se dedica a defender a categoria e a regulamentação da profissão. A ONG Davida, fundada por ela em 1991, não tem a intenção de tirar as prostitutas da rua. Pretende promover a cidadania das mulheres com ações nas áreas de educação, saúde, comunicação e cultura. A grife Daspu [inspirada no nome da luxuosa loja de grifes internacionais de São Paulo chamada Daslu] inaugurada em 2005 ajuda nessa missão. Ela surgiu para gerar visibilidade e recursos para os projetos da ONG. Desfiles já foram realizados em várias cidades do país e a moda Daspu despertou também o interesse internacional. Gabriela Leite tem duas filhas, uma neta e ajudou a criar o filho do marido, o jornalista Flávio Lens.
01/06/2009|Gabriela Leite|5|Heródoto Barbeiro| Dentre nossos convidados para entrevistar a prostituta Gabriele Leite, está aqui conosco a jornalista Kátia Mello, editora de comportamento da revista Época. Também a jornalista Carla Gullo, que é redatora-chefe da revista Marie Claire. O jornalista Sérgio Torres, que é repórter da sucursal do Rio de Janeiro, do jornal Folha de S.Paulo. A professora Margareth Rago, professora titular do Departamento de História da Unicamp e autora do livro Os prazeres da noite: prostituição e códigos e sexualidade feminina em São Paulo (1890 e 1930). Conosco também está aqui o Paulo Caruso com as suas charges, retratando os melhores momentos do programa. Também temos ao nosso lado a nossa companheira, a repórter Carmen Amorim, que apresenta aqui as perguntas encaminhadas pelos nossos telespectadores ao nosso endereço eletrônico. Gabriela, boa noite, muito obrigado aqui pela entrevista.
01/06/2009|Gabriela Leite|6|Gabriela Leite| Boa noite, e eu é que agradeço pelo convite de estar aqui.
01/06/2009|Gabriela Leite|7|Heródoto Barbeiro| Gabriela, quando a gente fala aqui em regulamentação da profissão, o que a gente poderia estabelecer? Salário, décimo terceiro, direito à aposentadoria, recolhimento para a previdência social? Como é que a gente pode reduzir ou resumir quais são esses direitos trabalhistas?
01/06/2009|Gabriela Leite|8|Gabriele Leite| Então, a prostituição no Brasil não é crime. Crime é manter casa de prostituição. E como tudo que é proibido e existe cria máfias, existia uma máfia muito grande no meio dos chamados exploradores da prostituição, que não pagam direito nenhum para as prostitutas. Então, a gente está lutando para tirar do Código Penal esses senhores e senhoras, para que eles assumam os seus deveres com as prostitutas. E nada impedindo também que a prostituta consiga, como autônoma, pagar todos os seus impostos e também receber os seus direitos.
01/06/2009|Gabriela Leite|9|Heródoto Barbeiro| Essas pessoas que você citou seriam então os empregadores, é isso?
01/06/2009|Gabriela Leite|10|Gabriela Leite| É, empregadores, isso.
