DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/06/2000|George Kelling|1|Programa gravado|Programa gravado
12/06/2000|George Kelling|2|Paulo Markun| Boa noite. Ele diz que se há um prédio com uma janela quebrada é melhor consertar essa janela, senão um vândalo poderá acabar de quebrar a janela e outros vândalos poderão destruir o próprio prédio. Essa é a idéia básica que tem orientado programas de segurança pública adotados em algumas cidades americanas, como Nova Iorque, por exemplo, que passaram a controlar as pequenas infrações como forma de prevenir os crimes mais graves. O Roda Viva entrevista esta noite o criminalista norte-americano George Kelling, um dos autores da chamada Teoria da Janela Quebrada. Kelling é um dos mais conhecidos estudiosos da criminalidade nos Estados Unidos. Professor de criminologia da Universidade Rutgers, na Nova Jérsei, há quase 30 anos, ele participa de experiências com policiamento preventivo em grandes cidades. Tema que também está presente neste seu último livro, Fixing broken windows, ou em português, em uma tradução livre: consertando janelas quebradas. Escreveu o livro em parceria com a mulher, a antropóloga e urbanista Catherine Coles, e mostra como os cidadãos, administradores públicos e a polícia podem trabalhar para garantir a segurança da comunidade. Tudo com base na idéia de que a manutenção da lei e da ordem nos locais públicos contribui, e muito, para reduzir a criminalidade. Para entrevistar o professor George Kelling, nós convidamos: Percival de Souza, jornalista e escritor; Oscar Vilhena, secretário executivo do Ilanud, Instituto Latino Americano para a Prevenção do Crime e Tratamento do Delinqüente; Paulo de Mesquita Neto, cientista político e pesquisador do Núcleo de Estudos de Violência da USP; Fábio Santos, editor da revista República; Guaracy Mingardi, doutor em ciência política, ex-policial e escritor; Ana Sofia Schmidt, responsável pela Coordenadoria de Análise e Planejamento da Secretaria de Segurança Pública do estado de São Paulo. Boa noite, professor.
12/06/2000|George Kelling|3|George Kelling| Boa noite.
12/06/2000|George Kelling|4|Paulo Markun| As idéias que o senhor defende têm sido muito mencionadas aqui no Brasil recentemente, baseadas apenas e tão somente numa expressão muito reduzida que é a expressão "tolerância zero". E eu tenho impressão, pelo que li a respeito das suas idéias e pelo que tenho escutado de autoridades brasileiras e personalidades que nem ao menos conhecem o assunto de segurança pública suficientemente, me parece que há uma distância entre essa visão aqui reduzida do problema da tolerância zero e o que, efetivamente, o senhor propõe no seu livro. Para a gente não começar cometendo algum tipo de engano, eu queria que o senhor explicasse, de início, qual é essa idéia, que a gente apresentou aqui. O que significa essa questão da "janela quebrada", e o que ela tem a ver com uma política específica de tolerância zero, que foi basicamente adotada em Nova Iorque?
12/06/2000|George Kelling|5|George Kelling| Obrigado. Eu jamais escrevi a expressão "tolerância zero". Eu acho que ela simplifica demais uma questão muito complexa. O que eu defendo e discuti com James Wilson [criminologista norte-americano da Universidade de Harvard e um dos autores da Teoria das Janelas Quebradas], no início dos anos 1980, e depois o coloquei no livro, é que o argumento é uma metáfora. Assim como uma janela que é deixada quebrada é sinal de que ninguém se importa e acaba levando a outros danos, determinados comportamentos, se ignorados, são sinais de que ninguém se importa, e acabam levando a crimes mais graves e à decadência urbana. O que eu vi e o que eu escrevi é sobre a polícia dentro das comunidades, desenvolvendo conceitos sobre um comportamento adequado e trabalhando com os cidadãos para reforçar o sentido comunitário. Tudo isso, claro, dentro da lei. Não sei de onde vem a expressão "tolerância zero", mas ela mostra um excesso de zelo e dá a impressão de que a polícia não tem poder discricionário [o poder de polícia será discricionário quando há uma margem de apreciação quanto à ação repressiva, ou seja, qual o melhor momento, qual a ação mais adequada e qual a sanção cabível diante de certa infração à Lei. Porém, esse poder será vinculado quando a Lei estabelece, diante das circunstâncias da infração, uma determinada ação repressiva sem qualquer possibilidade de opção]. A polícia tem poder discricionário, e esperamos que ela a use com sabedoria. O que se perde na expressão "tolerância zero" é que a ênfase na tolerância se concentra na polícia, e não nos cidadãos. Por isso, eu sou contra a expressão "tolerância zero". Eu a usei livremente nos EUA, dizendo que a extrema esquerda gosta da "tolerância zero" porque eles se sentem como fascistas, e a extrema direita gosta da "tolerância zero" porque é um instrumento de controle total. O que eu digo é que não é nenhuma das duas coisas. O que queremos é uma solução de centro, buscando um consenso sobre um comportamento adequado. Polícia e cidadãos devem trabalhar juntos para fortalecer esse consenso.
12/06/2000|George Kelling|6|Paulo Markun| No seminário que o senhor participou aqui em São Paulo, pelo que eu li no noticiário hoje - nós estamos gravando o programa no dia em que aconteceu o seminário, [a observação é] para quem está em casa - o senhor mencionou o fato de que considera a política de mais carros na rua uma política inadequada, uma política não correta do ponto de vista da segurança pública. E eu menciono isso porque essa é outra questão que volta e meia aparece aqui no Brasil, são duas expressões freqüentes. Primeira: "lugar de bandido é na cadeia", como se fosse possível haver outro lugar para bandido, digamos assim. E de outro lado, a seguinte: "é preciso botar a polícia na rua". E quando se fala em polícia na rua pensa-se em mais viaturas, mais armamento, mais condições para a polícia, até porque as próprias autoridades dizem que os bandidos andam com carro de último tipo e os policiais com carros arrebentados. Eu queria que o senhor explicasse esse conceito.
12/06/2000|George Kelling|7|George Kelling| Em primeiro lugar, quero fazer uma introdução. Toda a minha experiência é baseada no cenário dos EUA. Então não tenho receitas para a situação no Brasil. [Minha receita] ela é baseada em pesquisas nos EUA. A razão pela qual eu critico o uso de viaturas é que, nos EUA, criou-se a idéia de que patrulhar em viaturas e responder rapidamente aos chamados resolveria o problema dos crimes. Isso não deu certo. Você pode aumentar o número de viaturas, ou diminuir o número de viaturas, e ninguém perceberá a diferença. Os criminosos não perceberão, os cidadãos também não. Não fará diferença. Como conseqüência, nos EUA, começamos a nos focar em a polícia usar viaturas, sim, mas como um meio de transporte ou para perseguições, caso necessário. Mas o trabalho policial é feito fora das viaturas. É no contato com os cidadãos, desenvolvendo um consenso sobre os problemas, tentando definir e resolver os problemas. A polícia na viatura perde o contato com a comunidade e passa a ser vista como uma força estranha, impondo a ordem e a lei de fora para dentro, em vez de trazer isso de dentro da comunidade.
12/06/2000|George Kelling|8|Percival de Souza| Professor, há algum tempo esteve aqui em São Paulo o ex-diretor da polícia de Nova Iorque, William Bratton, que apanhou essa teoria da “janela quebrada”. E ele então, pelo que eu entendi, introduziu o sistema "tolerância zero" que foi muito discutido, como o Markun disse, aqui em São Paulo. Eu queria saber a sua opinião sobre o seguinte. Pelas colocações de mister Bratton, inclusive aqui em São Paulo, o êxito da teoria das janelas quebradas seria... Nós, de alguma maneira, temos o vidraceiro, o "consertador" da janela quebrada. E ele recomendava para nós, aqui em São Paulo, que a polícia agisse em conjunto com a adoção de políticas públicas, ou seja, de um lado ela investiria em evitar o comércio ostensivo de venda de drogas, o porte ilegal de armas, as pessoas que perturbam as outras transitando pelas ruas; e também a recuperação dos espaços públicos, que se encaixa com a teoria das janelas quebradas. Então, eu gostaria de saber se o senhor acha viável essa junção que se fez de Nova Iorque num grande centro urbano como o nosso aqui em São Paulo, ou outras cidades como Rio de Janeiro, Porto Alegre, no Brasil.
12/06/2000|George Kelling|9|George Kelling| É preciso cuidado ao generalizar entre um país e outro. Os sistemas políticos e legais são diferentes, e há aspectos culturais a serem considerados. Isto posto, vou tentar responder. Eu conheço muito bem o comissário Bratton. Trabalhamos juntos em Nova Iorque, primeiro restaurando a ordem no metrô. Bill jamais usou a expressão "tolerância zero" enquanto era comissário em Nova Iorque, a não ser para falar da corrupção policial. Os termos que ele usou foram "manutenção da ordem" e "broken windows" [janelas quebradas]. Essa ênfase foi importante no metrô de Nova Iorque. Pediram-me, em 1989, por causa do "janelas quebradas", para ajudar a restaurar a ordem no metrô. Todos, na época, sabiam qual era o problema. Havia os desabrigados - os jornais sabiam disso, a polícia sabia - e também havia os roubos. Se você fosse ao metrô ver o que acontecia, não havia desabrigados e não havia roubos. Havia uma série de pequenos delitos, 250 mil pessoas por dia não pagavam passagem. E a polícia não fazia nada a respeito. Havia uma ausência de lei no metrô que dava a impressão de que o metrô era o pior exemplo do que acontecia nos EUA. E a polícia não queria envolver-se em crimes pequenos. Finalmente, trouxeram Bratton de Boston, e ele restaurou a ordem. E em dois anos, os crimes no metrô caíram 80%. O número de passageiros aumentou, e havia uma sensação diferente no metrô. Era antigo, não era um sistema moderno, mas a sensação era outra. E depois essa política foi implantada em Nova Iorque. Mas, para mim, o princípio envolvido foi o de que a polícia leva a sério as coisas que mais incomodam os cidadãos. O que descobrimos nos EUA é que você pode ir para as áreas mais problemáticas em Chicago, New Haven, Nova Iorque, Nova Jérsei, Nova Orleans - as cidades mais complicadas dos EUA - e perguntar aos moradores quais são os problemas. Eles dirão: embriaguez e venda de drogas em parques; prostitutas abordando os homens diante das crianças; mendigos, não pedindo dinheiro, mas extorquindo, pessoas agarrando o limpador de pára-brisas do seu carro e tirando o seu dinheiro. Essas são as coisas que incomodam as pessoas. E o que foi feito foi tentar casar as preocupações das pessoas com as prioridades da polícia. E os crimes mais graves diminuíram, não só no metrô, mas também nas cidades. A cidade de Nova Iorque foi mais complicada que o metrô. Não havia apenas a manutenção da ordem. Havia o combate a crimes graves, outros programas aplicados que iam além do "janelas quebradas". Mas havia um princípio envolvido, que era o de ouvir os cidadãos e atender suas prioridades.
12/06/2000|George Kelling|10|Oscar Vilhena Vieira| Boa noite. Nós estamos perto de uma eleição municipal em São Paulo, que é uma cidade que o senhor, embora tenha estado pouco tempo, já conhece alguns dos problemas. Entre eles, talvez o maior hoje seja o da segurança pública. Como também o senhor já deve ter sido informado, o prefeito não tem autoridade sobre as polícias, que hoje pertencem à autoridade estadual. Existe algum tipo de política pública na área social que foi desenvolvido em algumas das cidades americanas, que o senhor poderia recomendar, como políticas que tenham um impacto forte sobre a criminalidade, para um prefeito que não terá o controle sobre as polícias?
