DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
03/07/2006|Geraldo Alckmin|1|Paulo Markun| Boa noite. Ele anunciou aqui, seis meses atrás, que entraria na corrida presidencial e, hoje, é o candidato que polariza com o PT [Partido dos Trabalhadores] a principal disputa das eleições de 2006. O Roda Viva, que acompanhou a formação do atual quadro eleitoral, vem discutindo as idéias que estão colocadas neste ano entrevistando os principais candidatos que se lançaram em campanha. O presidente Lula também foi convidado, mas não aceitou o nosso convite. O nosso entrevistado dessa noite é o candidato do PSDB [Partido da Social Democracia Brasileira] à Presidência da República, ex-governador de São Paulo, Geraldo Alckmin. Geraldo Alckmin esteve no Roda Viva em dezembro do ano passado [2005] quando caminhava para seu último ano de governo em São Paulo em meio às especulações sobre quem seria o candidato do PSDB à Presidência da República: ele ou o prefeito José Serra. O partido ainda não havia decido e, por isso, nem um nem outro assumiam publicamente a intenção, mas foi só até aquele momento.
03/07/2006|Geraldo Alckmin|2|[vídeo arquivo de 12 de dezembro de 2005]|[vídeo arquivo de 12 de dezembro de 2005]
03/07/2006|Geraldo Alckmin|3|Paulo Markun| A primeira pergunta é a seguinte: o senhor é candidato ao governo de São... à Presidência da República?
03/07/2006|Geraldo Alckmin|4|Geraldo Alckmin| Sou.
03/07/2006|Geraldo Alckmin|5|Paulo Markun| Boa resposta [risos]. E como é que o senhor faz?
03/07/2006|Geraldo Alckmin|6|[fim do vídeo]|[fim do vídeo]
03/07/2006|Geraldo Alckmin|7|Paulo Markun| Nenhum de nós esperava aquela resposta tão clara e direta. O anúncio esquentou o noticiário político e a discussão interna no PSDB, onde outros nomes também eram apontados como possíveis candidatos: o do prefeito de São Paulo, José Serra; e o governador mineiro Aécio Neves. A disputa e a indefinição se arrastaram por mais de três meses. Uma novela que permitiu especulações e deu muito trabalho à cúpula do partido, mas o PSDB chegou a um acordo que resultou no seguinte: José Serra disputaria o governo de São Paulo e o candidato à Presidência da República seria Geraldo Alckmin. Aprovado por unanimidade na convenção nacional do PSDB, no mês passado, em Belo Horizonte, Geraldo Alckmin anunciou as bases do seu futuro programa de governo que podem ser conferidas no site do partido, www.psdb.org.br: mais crescimento econômico, menos imposto, mais emprego e educação, entre outros pontos. Em dobradinha com o PFL [Partido da Frente Liberal. Tornou-se Democratas em 2007], que escolheu o senador pernambucano José Jorge como vice do candidato tucano, Alckmin elegeu a política econômica como prioridade e colocou a experiência administrativa como seu principal diferencial. Disse que não faria uma campanha centrada em ataques pessoais, mas vem aumentando o tom das críticas ao governo Lula desde que começou a viajar em campanha pelo Brasil para comer barro, como ele gosta de dizer. Tem procurado popularidade especialmente no nordeste, onde além de tradicionais aliados do PSDB, passou a contar também com o apoio do PPS [Partido Popular Socialista] de Roberto Freire [presidente do PPS]. Médico anestesista que optou pela carreira política desde jovem, começou como vereador e depois foi prefeito de Pindamonhangaba, no Vale do Paraíba, onde nasceu. Foi também deputado estadual, duas vezes deputado federal, vice-governador de São Paulo e, com a morte de Mário Covas, em 2001, tornou-se governador, sendo reeleito em 2002. Aos 53 anos de idade, acumula 34 de vida política, 12 deles no Palácio dos Bandeirantes [sede oficial do governo do estado de São Paulo], de onde decolou sua candidatura à presidente da República.
03/07/2006|Geraldo Alckmin|8|Paulo Markun| Para entrevistar o candidato do PSDB à Presidência da República, Geraldo Alckmin, nós convidamos Renata Lo Prete, editora do "Painel" do jornal Folha de S. Paulo; Merval Pereira, colunista do jornal O Globo; Ricardo Noblat, autor do Blog do Noblat e colunista do jornal O Estado de S. Paulo; Hugo Studart, diretor de redação da revista Isto é em Brasília; Alexandre Machado, comentarista de política da TV Cultura e Fernando Mitre, diretor nacional de jornalismo da TV Bandeirantes. Também temos a participação do cartunista Paulo Caruso, registrando, em seus desenhos, os momentos e os flagrantes do programa. Boa noite, governador.
03/07/2006|Geraldo Alckmin|9|Geraldo Alckmin| Boa noite, Paulo Markun.
03/07/2006|Geraldo Alckmin|10|Paulo Markun| Eu queria começar pelo seguinte: O senhor, obviamente para se eleger, tem que ter mais voto do que o adversário, como [qualquer] pessoa que se submeta à regra da democracia. Eu queria saber como é que o senhor vai explicar para os 50% mais pobres do Brasil, que em 2004 tiveram uma renda crescendo 14%, que a sua proposta é melhor do que a do presidente Lula que, de uma forma ou de outra, se apresenta como responsável por esse crescimento.
