DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
18/11/1991|Giulia Gam|1|[programa ao vivo]|[programa ao vivo]
18/11/1991|Giulia Gam|2|Jorge Escosteguy| Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Lembramos que este programa também é transmitido ao vivo pela TV Minas Cultural e Educativa, TVE do Ceará, TV Cultura do Pará, TVE do Piauí, TVE da Bahia, TVE de Porto Alegre e TVE do Mato Grosso do Sul. A convidada do Roda Viva desta noite é a atriz Giulia Gam. Giulia Gam nasceu em Perugia, na Itália, tem 24 anos, começou no teatro com Antunes Filho, no Grupo Macunaíma, fez a peça Romeu e Julieta [1984]; também trabalhou com Fernanda Montenegro na montagem de Fedra, de [Jean] Racine [1639-1699]; na televisão, fez Que rei sou eu? e Mandala e a minissérie O primo Basílio. Seu último trabalho é em A grande arte [1991], de Walter Salles Júnior, que acaba de estrear em todo o país. Para entrevistar Giulia Gam esta noite no Roda Viva, nós convidamos Humberto Werneck, chefe de redação adjunto do Jornal do Brasil em São Paulo; Fernando Meirelles, diretor de TV e de comerciais; Edmar Pereira, crítico de cinema do programa Metrópolis da TV Cultura e repórter especial de cultura do Jornal da Tarde; Zeca Camargo, diretor de jornalismo da MTV; Eugênio Bucci, editor da revista Playboy; Ninho Moraes, diretor do programa Cara a cara da TV Bandeirantes; Aimar Labaki, jornalista e crítico de teatro, produtor e apresentador do programa Para teatro da Rádio 89 FM; e Wagner Carelli, repórter da Folha de S.Paulo. Boa noite, Giulia.
18/11/1991|Giulia Gam|3|Giulia Gam| Boa noite.
18/11/1991|Giulia Gam|4|Jorge Escosteguy| Você contava há pouco que tentou tirar passaporte italiano – seus pais são italianos, você nasceu na Perugia – e dinamarquês, porque o seu avô, [de sobrenome] Gam, é dinamarquês.
18/11/1991|Giulia Gam|5|Giulia Gam| Isso, dinamarquês.
18/11/1991|Giulia Gam|6|Jorge Escosteguy| Você também é como alguns milhares de brasileiros que acham que a solução à crise [brasileira] está no aeroporto?
18/11/1991|Giulia Gam|7|Giulia Gam| Eu tenho pensado muito, eu acabei de vir de uma viagem à Europa, quer dizer, eu tive a chance de viajar muito com o Antunes, com muita gente, participar de vários festivais internacionais e tudo isso, mas o que eu gostei, que me chamou a atenção é, de repente, você ter técnica. Então, eu achei [a Europa] uma escola, porque você tem milhões de opções também. Eu acho que eu jamais pensaria agora em tentar abrir um campo de trabalho lá, eu pensaria em ir estudar, enfim, se o trabalho lá fosse uma conseqüência... mas eu fico muito feliz com o exemplo do filme do [cineasta] Waltinho [Walter Moreira Sales Jr.] que a gente fez aqui e ele está tendo uma repercussão lá. Quer dizer, se alguém se interessar pelo meu trabalho, foi por um trabalho feito aqui, assim como com o Gerald [Gerald Thomas] e assim como com o Antunes.
18/11/1991|Giulia Gam|8|Jorge Escosteguy| Agora, a sua opção seria mais para aprender e trabalhar e não por um certo desencanto com o país, com a crise?
18/11/1991|Giulia Gam|9|Giulia Gam| Eu tenho um profundo desencanto, eu sempre conheci o Brasil em crise assim, eu não sei como ele foi antes. Quer dizer, eu adoro o Brasil, as pessoas do Brasil e o talento do Brasil, mas a falta de estrutura é gritante, então é claro que, quando você vai para um país estrangeiro, você vê a possibilidade, enfim, de estruturas mesmo, você vê pessoas podendo trabalhar e fazendo o que querem fazer em diferentes áreas, e com dificuldades também.
18/11/1991|Giulia Gam|10|Fernando Meirelles| Essa coisa de querer estudar fora, uma vez me contaram que você foi até a Índia atrás do [diretor de teatro e de cinema britânico] Peter Brook [1925-]. Como é essa história direito, eu queria que você contasse isso.
18/11/1991|Giulia Gam|11|Giulia Gam| [ri] Pois é, eu já mitifiquei muito muita gente. Acho que até por causa dessas viagens com o Antunes e tal, então o Peter Brook foi um dos mitos. E como ele fez o Mahabharata [filme de Peter Brook, de 1989, baseado no épico homônimo indiano, texto sagrado do hinduísmo], que eu assisti várias horas de peça, fiquei encantada...
18/11/1991|Giulia Gam|12|Fernando Meirelles| Que está no cinema em São Paulo.
18/11/1991|Giulia Gam|13|Giulia Gam| Que está no cinema em São Paulo e que é maravilhoso. Então, [também] fiquei encantada pelo Jean-Claude Carrière [(1931) roteirista, escritor, ator e diretor francês], por ele, e eu acabei não indo à Índia, mas a tentativa de ir à Índia é exatamente porque eles iam lançar o filme Mahabharata lá num festival e tal, e aí teve problema de visto, era uma viagem complicada e eu acabei voltando. E foi legal porque eu conheci o Jean-Claude Carrière aqui no Brasil com o [cineasta Héctor] Babenco [vr entrevista com Babenco no Roda Viva] e a gente fez uma viagem incrível na tribo dos Ianomâmi, que agora eu soube que foi determinada... que é genial. Então, agora, quando eu vou a Paris, eu tenho acesso a uma pessoa por causa da qual eu quase fui até a Índia para conhecer.
18/11/1991|Giulia Gam|14|Fernando Meirelles| Mas, então, você nem encontrou e Peter Brook?
18/11/1991|Giulia Gam|15|Giulia Gam| Eu conheci antes e foi...
18/11/1991|Giulia Gam|16|Zeca Camargo| E à Índia, você chegou a ir?
18/11/1991|Giulia Gam|17|Giulia Gam| À Índia ainda não. Acho que eu não estava preparada [risos].
18/11/1991|Giulia Gam|18|Aimar Labaki| Giulia, é engraçado você dizer que está desencantada, porque você tem só 24 anos, vai fazer 25 daqui a pouquinho, [mas] já trabalhou com o Antunes, que é o mestre do teatro brasileiro, com o Gerald Thomas, que é o Ziembinski, quer dizer, veio de fora e fez... com Bia Lessa [(1958-) atriz e diretora brasileira], que tem também uma mídia e um trabalho grande, o XPTO [grupo de teatro brasileiro] que [...] tem um trabalho de excelente qualidade. Quem mais? Eu devo estar esquecendo, ah, na hora de fazer teatrão, foi fazer com Fernanda Montenegro [Giulia ri]. Você chegou aos 24 anos de idade e passou pelo menos por todas as escola possíveis para um ator da sua geração. Será que o seu desencanto não tem um pouco a ver com isso? Quer dizer, que opções sobram para depois de ter passado por essas coisas?
18/11/1991|Giulia Gam|19|Jorge Escosteguy| Giulia, desculpe, só uma observação: por que você riu quando ele falou teatrão com Fernanda Montenegro?
18/11/1991|Giulia Gam|20|Giulia Gam| Eu ri porque... vocês são terríveis! [risos]
