DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/06/2009|Glória Kalil|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
29/06/2009|Glória Kalil|2|Heródoto Barbeiro|Olá, boa noite! Encerrados os dois grandes eventos anuais da moda brasileira, o Fashion Week do Rio e de São Paulo [principais eventos de moda brasileiros, geralmente realizados no início do ano, onde estilistas e consultores de moda apresentam as novidades das estações], os holofotes deixaram a passarela e vão em busca de luz no horizonte, não só na moda, mas nos negócios que ela representa. [É] uma cadeia de produção que faz do Brasil o sexto maior produtor têxtil do mundo e que movimenta um universo de grifes, estilistas e tudo mais. A crise econômica [crise econômica 2008-2009] pode diminuir os investimentos, mas quase nunca diminui a vaidade. Portanto, estilo, glamour, elegância e negócios são temas que a gente vai tratar aqui com uma reconhecida especialista no assunto. Glória Kalil, jornalista e consultora de moda, é a convidada desta noite no Roda Viva. Você vai ver a entrevista em trinta segundos.
29/06/2009|Glória Kalil|3|[intervalo]|intervalo]
29/06/2009|Glória Kalil|4|Heródoto Barbeiro|Há mais de trinta anos, ela pesquisa o universo de roupas, tecidos, desejos e dúvidas que muita gente manifesta ao se olhar no espelho. Como se vestir? Como se comportar? Glória Kalil se tornou referência quando se discute moda e estilo no Brasil.
29/06/2009|Glória Kalil|5|[Comentarista]|Glória Kalil Rodrigues Meyer é de São Paulo. Nasceu no dia 19 de setembro de...Bem, o ano ela não revela. Costuma dizer que não se pergunta idade nem peso para mulheres acima dos cinquenta anos. É formada em sociologia política, mas começou carreira profissional nos anos setenta, como produtora de moda da Editora Abril. Depois, foi diretora na indústria têxtil Scala D'Oro [empresa do seu primeiro marido, José Kalil] e, em seguida, se lançou pessoalmente nos negócios da moda. Foi a primeira empresária a trazer uma grife internacional para o Brasil, a Fiorucci, marca que representou durante vários anos. De volta ao jornalismo nos anos noventa, Glória Kalil ampliou os seus canais de comunicação com o público. Participou de quadros em programas da TV Globo e levou sua visão de moda para a internet, com o site www.chic.com.br. É um diário pessoal e público que, paralelamente às palestras, artigos na imprensa e projetos especiais, faz dela referência quando o assunto é moda, estilo, comportamento e elegância. Já escreveu cinco livros, que a colocaram na lista das autoras mais lidas no país. O sucesso editorial é atribuído à maneira de Glória Kalil lidar com os problemas e dúvidas que mulheres e homens levantam quando se olham no espelho: tronco longo, tronco curto, pernas finas, sem bumbum, quais são as estratégias de ataque, o careca, o barrigudo, o baixinho. Bem humorada, oferece reflexões e dicas a partir de um ponto de vista comportamental e ajuda a revelar e aumentar o interesse sobre o assunto junto ao público e ao mercado da moda, agitado neste mês de junho por duasFashion Weeks , a do Rio de Janeiro, em sua 15ª edição, e a de São Paulo, que chegou a seu 27º ano. Nos dois eventos, uma maratona de desfiles mostrou a acirrada disputa que envolve grifes e estilistas. Por trás dos panos, grandes e pequenos nomes da moda também sofrem os efeitos da crise econômica [crise econômica 2008-2009]. O dinheiro curto, além de atrapalhar a criatividade, vem tirando o sono de uma cadeia produtiva que passa por acessórios, jóias, artefatos de couro, e chega à indústria têxtil e de confecção como a segunda maior empregadora de mão-de-obra no país.
29/06/2009|Glória Kalil|6|Heródoto Barbeiro|Para entrevistar a Glória Kalil, nós convidamos a Cristiane Mesquita, que é pesquisadora e consultora de projetos de moda; Eliane Trindade, que é editora da Revista da Folha [revista de cultura, comportamento e entretenimento, publicada pelo jornal Folha de S.Paulo aos domingos]; o escritor e roteirista Paulo Lins; a economista Lídia Goldenstein. [O cartunista] Paulo Caruso está aqui de volta. Ele esteve em Portugal e volta com traços lusitanos agora...E também, aqui do meu lado, está a companheira Carmem Amorim, da TV Cultura, com as mensagens mandadas pelo nosso endereço eletrônico na internet. Glorinha, boa noite. Muito obrigado pela participação aqui no Roda Viva.
29/06/2009|Glória Kalil|7|Glória Kalil|Boa noite. É uma delícia estar aqui!
29/06/2009|Glória Kalil|8|Heródoto Barbeiro|Glorinha, vamos falar um pouco a respeito de paletó, gravata e credibilidade. Houve uma época em que os congressistas lá em Brasília quiseram abolir a gravata e tal. É isso que faz com que senadores e deputados tenham credibilidade, usar gravata e paletó no plenário?
29/06/2009|Glória Kalil|9|Glória Kalil|Se fosse só isso, né, Heródoto! [risos] De fato, roupas são códigos importantes. Os códigos existem e a gente tem que conhecê-los, até para desrespeitá-los. Eu sempre acho que regra de moda, código de moda, código de etiqueta, a gente tem que conhecer. Conhecendo, você pode até fazer as suas, que é o que eu invoco, que eu acho que é interessante. É você tomar essas rédeas, pesar o que é importante ou não, e fazer a sua coisa. E, de fato, terno é supostamente uma roupa formal. Eu não diria que é uma roupa que dá credibilidade, mas ele implica em uma formalidade. E, se o senador não tem credibilidade, a culpa não é do terno, é dele. [risos]
29/06/2009|Glória Kalil|10|Heródoto Barbeiro|Por exemplo, em alguns parlamentos, como em Israel, o pessoal vai, muitas vezes, de "manga de camisa" [camisa, sem paletó].
