DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/11/2005|Gro Brundtland|1|Mônica Teixeira| Primeira ministra da Noruega, em 1986 a 1996, e diretora geral da Organização Mundial de Saúde, de 1998 a 2003, Gro Harlem Brundtland, nossa entrevistada de hoje, é também uma das responsáveis pela popularização do conceito de desenvolvimento sustentável. Ou seja, o desenvolvimento promovido sem esgotar os recursos naturais do planeta.
11/11/2005|Gro Brundtland|2|[Comentarista]| Desenvolvimento sustentável é a idéia de atender às necessidades do presente sem comprometer o atendimento das necessidades das gerações futuras. A idéia tem dois conceitos-chave: um é o próprio conceito de necessidade, que deve ter como prioridade o que necessitam os pobres do mundo todo. O outro é a noção de limitação, a noção de que a tecnologia e a organização social devem ter limites ao explorar os recursos naturais. Essas idéias ganharam importância a partir dos anos 80, quando foram divulgadas por uma comissão das Nações Unidas, presidida pela médica Gro Brundtland. Primeira mulher a chefiar o governo da Noruega, ela tornou-se uma das mais influentes personalidades européias e uma das principais lideranças mundiais em questões sobre o desenvolvimento sustentável e saúde pública. Gro Brundtland veio pela primeira vez ao Brasil em 1992, quando era primeira-ministra da Noruega. Seu trabalho sobre sustentabilidade serviu de base para a elaboração da Carta da Terra, um dos principais documentos da Eco-92, a conferência ambiental realizada no Rio de Janeiro. Em novembro de 2005, ela veio a São Paulo para a entrega do prêmio Eco-2005, na Câmara Americana de Comércio. Na conversa que teve com o Repórter Eco, da TV Cultura, disse acreditar que o conceito de desenvolvimento sustentável já foi compreendido no mundo todo, mas as práticas para que se chegue a ele avançam de forma muito lenta. Por onde passa, Gro Brundtland deixa seus alertas de que é preciso casar economia com proteção ambiental, e que o mundo precisa compreender que o problema de um é problema de todos.
11/11/2005|Gro Brundtland|3|Mônica Teixeira| Para entrevistar a ex-primeira-ministra da Noruega convidamos: Darlene Menconi, editora de ciência, tecnologia e meio ambiente da revista IstoÉ; Júlio Abramczyk, médico e editor da Folha de S. Paulo; Vicente Adorno, editor de internacional da TV Cultura; Liana John, editora-executiva da revista Terra da Gente; José Goldemberg, físico e secretário estadual do Meio Ambiente; Míriam Dualib, coordenadora da ONG Instituto Ecoar para a Cidadania, especialista em educação para a sustentabilidade; e Fábio Feldmann, secretário-executivo do Fórum Paulista de Mudanças Climáticas Globais e Biodiversidade. Temos também a participação do cartunista Paulo Caruso, que vai registrar em seus desenhos os momentos e flagrantes do programa. [Programa gravado, que não permitiu a participação dos telespectadores] Boa noite, ministra. Minha primeira pergunta é a seguinte: como a senhora define a expressão desenvolvimento sustentável, que a senhora trouxe a público, praticamente, em todo o mundo?
11/11/2005|Gro Brundtland|4|Gro Harlem Brundtland| Na verdade, é bem simples, dentro da sua complexidade. O desenvolvimento sustentável é um modelo atento às necessidades das gerações atuais, sem comprometer a capacidade das gerações futuras de encontrar suas próprias necessidades.
11/11/2005|Gro Brundtland|5|Mônica Teixeira| Então, o seu conceito de desenvolvimento sustentável, esse que a senhora apresentou, é que o futuro que é a questão.
11/11/2005|Gro Brundtland|6|Gro Harlem Brundtland| Isso mesmo. É o fato de sermos as primeiras gerações na Terra que têm de enfrentar o fato de poder mudar intrinsecamente as possibilidades das gerações futuras. Enfrentamos uma questão de responsabilidade entre gerações.
11/11/2005|Gro Brundtland|7|Mônica Teixeira| E nesses 25, 30 anos que a senhora acompanha essa questão, como a senhora acha que o desenvolvimento sustentável se desenvolveu?
11/11/2005|Gro Brundtland|8|Gro Harlem Brundtland| Acho que, basicamente, boa parte da comunidade científica e até da comunidade política, no mundo inteiro, ficou consciente da realidade dos problemas que enfrentamos. É um grande passo para a conscientização do problema. Mas a capacidade de fazer o necessário para as mudanças imprescindíveis, nem sempre está nesse nível.
11/11/2005|Gro Brundtland|9|Liana John| Ministra, depois que o conceito, ou, pelo menos, a expressão 'desenvolvimento sustentável' se tornou mais comum, em alguns mercados parece que ela tem sido usada como disfarce para barreiras comerciais. A senhora acha que isso está acontecendo? E de que maneira nós podemos evitar que continuasse a acontecer?
11/11/2005|Gro Brundtland|10|Gro Harlem Brundtland| Está dizendo que a preocupação ambiental está sendo mal usada?
11/11/2005|Gro Brundtland|11|Liana John| Às vezes, nas negociações entre países se usa a desculpa do ambientalmente correto. O produto não é ambientalmente correto, no entanto isso é, na realidade, uma desculpa para criar uma barreira ou manter uma barreira comercial.
11/11/2005|Gro Brundtland|12|Gro Harlem Brundtland| Eu acho que isso tem acontecido. Mas também enfrentamos o problema de produtos causadores de problemas ambientais, que não são discriminados pelas estruturas, pelas regras do comércio. É preciso levar isso em consideração. Mas, às vezes, alguns países podem fazer mal uso disso. Isso mostra que se deve debater a realidade da acusação ou do que quer que seja, uma preocupação ambiental deve ter bases científicas para julgar se é certa ou não. Não deve ser transformado em política e nem ser mal utilizado.
11/11/2005|Gro Brundtland|13|Míriam Duailibi| Eu gostaria de saber da senhora sobre a cooperação internacional. Nós estávamos discutindo, antes de começar o programa, sobre isso. A cooperação internacional tem enfocado bastante na questão do capital social dos países, do capital ambiental dos países, até na hora dos empreendimentos, na hora de dar esses financiamentos. O quanto a senhora acha que isso é efetivo e o quanto é retórico? Eu gostaria de saber a sua opinião.
11/11/2005|Gro Brundtland|14|Gro Harlem Brundtland| Por exemplo, doações da Assistência Oficial ao Desenvolvimento [Official Development Assistance – ODA, programas de cooperação econômica e técnica dos países desenvolvidos com o objetivo de apoiar os países em desenvolvimento], empréstimos do Banco Mundial e assim por diante? Enfrentamos alguns dos mesmos problemas tratados na pergunta anterior. As pessoas devem se preocupar com o ambiente, com o desenvolvimento sustentável ao investir em qualquer lugar. Se concedidos os empréstimos, as doações passaram por testes determinando se é um bom investimento a longo prazo, considerando o desenvolvimento sustentável, ou não é? A pergunta é: serão competentes as nossas instituições para fazer o que é certo? Nas instituições há representantes de vários governos e uma secretária que analisa as propostas. A pergunta é: com que cuidado isso é feito? E será que temos responsabilidade suficiente? E será que recebemos informação suficiente da sociedade, de ONGs [Organizações não Governamentais], para ver se o que é feito é realmente bem feito? Senão, deve ser criticado e mudado.
11/11/2005|Gro Brundtland|15|Vicente Adorno| Ministra, a senhora falou em padrões. Quem ou o que, ou existe alguma instituição hoje que tenha autoridade para impor um determinado tipo de padrão, que deva ser seguido em qualquer lugar do mundo, em qualquer continente, em qualquer circunstância, ou eles são avaliados de acordo com cada país, em cada continente?
11/11/2005|Gro Brundtland|16|Gro Harlem Brundtland| Não temos padrões em muitas áreas porque, historicamente, a nossa ainda é uma realidade onde os governos, os países, são os tijolos da sociedade internacional. A colaboração deles é decisiva para definir o nível de cooperação existente. Há tratados em áreas sociais, ambientais, de saúde, mas são relativamente poucos. Basicamente, dependemos dos governos e do seu grau de responsabilidade porque, mesmo que assinem declarações e promulguem leis, como fazem instituições como a Assembléia Geral [da ONU] ou a OIT [Organização Internacional do Trabalho] ou a OMS [Organização Mundial da Saúde], recomendações, resoluções, mas falta uma força que fiscalize o cumprimento da lei. Existem tratados, por exemplo, a Convenção contra o Fumo, que fizemos na OMS, concluída há dois anos, onde o Brasil foi muito ativo. O seu ministro das Relações Exteriores foi o negociador comigo, nas etapas iniciais. É um tratado que envolve o compromisso dos países com o Protocolo de Quioto, em que há o compromisso dos países. Mas, se não ratificarem, não existe o compromisso. Portanto, a lei internacional ainda não é sólida o bastante para fazer o necessário.
11/11/2005|Gro Brundtland|17|Vicente Adorno| Também não existe quem faça, digamos, uma monitoração: quem ratificou, assinou, [se] está cumprindo realmente isso, não é verdade?
11/11/2005|Gro Brundtland|18|Gro Harlem Brundtland| Em todo tratado internacional sério existe um mecanismo de controle. Tem de existir. Na Convenção contra o Fumo, que conheço bem porque fomos os negociadores, que agora entrou em vigor, e há reuniões dos membros, há um mecanismo de controle. Redigem-se documentos mostrando o que os vários países fizeram quanto a legislação do fumo, quanto a cumprir com as obrigações. Será igual quando o Protocolo de Quioto começar a funcionar. Os atos dos países serão controlados. Terão de fazer relatórios e o que aconteceu será discutido. É o único modo de progredir. Vigilância e controle são necessários, como disse.
11/11/2005|Gro Brundtland|19|Darlene Menconi| Um sexto da população mundial vive ainda com menos de um dólar por dia, e, ao mesmo tempo, com exceção talvez do seu país, a Noruega, os países desenvolvidos não destinaram a verba que se comprometeram para reduzir a pobreza, a mortalidade infantil. É possível reverter este quadro perverso, na sua opinião?
11/11/2005|Gro Brundtland|20|Gro Harlem Brundtland| Tenho trabalhado duro nisso, nos últimos 25, 30 anos. Concordo com você, é uma questão fundamental. Foi trágico observar que, após o nosso relatório de 1987 e depois no Rio, em 1992, nos anos seguintes, na Agenda 21 e nas declarações no Rio, foi exigido aumento na cooperação e ajuda ao desenvolvimento, como parte da criação da Agenda 21 para cuidar da situação dos países pobres. Não houve aumento na média. Gradualmente, na década de 1990, houve uma diminuição da ajuda ao desenvolvimento. Podemos ficar discutindo por que isso aconteceu. De qualquer modo, é uma tragédia. Quando vim para a OMS, em 1980, o meu papel era levantar as questões mundiais de saúde que também estão ligadas à pobreza. Vi na conferência de Monterrey, no México [2002, visava a implementação das Metas de Desenvolvimento do Milênio (MDMs) para a erradicação da extrema pobreza e da fome, redução da mortalidade infantil, combate a aids, malária e outras doenças, além de estabelecer uma parceria mundial para o desenvolvimento], onde foram assumidos compromissos por primeiros ministros e ministros das finanças que as coisas mudaram um pouco. Depois de Monterrey a curva estava descendo e subiu. Existe uma melhora. Uma das questões, a questão da saúde, na minha opinião, assustou as pessoas, talvez mais do que as questões ambientais. Mas não deveria. Agora, está havendo uma mudança. Muitos países estão aumentando. Mas há países que só pagam 0,15%, ou abaixo de 0,2%. Enquanto os países nórdicos pagam quase 1%. Mas a Irlanda, vários países da União Européia, estão aumentando. É um compromisso que está crescendo e não diminuindo.
