DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/04/1997|Gustavo Loyola|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
14/04/1997|Gustavo Loyola|2|Matinas Suzuki| Boa noite. No centro do Roda Viva desta noite está o presidente do Banco Central, Gustavo Loyola.
14/04/1997|Gustavo Loyola|3|[Comentarista]| O economista Gustavo Loyola é o primeiro funcionário de carreira do Banco Central a chegar à presidência da instituição. Ocupou o cargo pela primeira vez por cinco meses, no governo Itamar Franco [1993-1994]. Saiu porque criticou as indicações políticas do presidente para cargos no banco. Provavelmente pela primeira vez o país pôde perceber que aquele simpático senhor de barba e óculos, dono de oito graus de miopia, pretendia dar uma nova visão ao Banco Central, um órgão cada vez mais técnico e menos político. Loyola chegou ao cargo em junho de 1995, no lugar do [economista] Pérsio Arida, um dos criadores do Plano Real. Logo, viu-se envolvido em crises políticas decorrentes de decisões por ele assumidas. Com a intervenção no Banespa [Banco do Estado de São Paulo] e no Banerj [Banco do Estado do Rio de Janeiro, quebrou em 1994 e anos depois foi incorporado ao Banco Itaú], ganhou a antipatia da cúpula tucana carioca e paulista. Teria até pensado em se demitir por causa da reação do senador Antônio Carlos Magalhães à intervenção no Banco Econômico, sediado na Bahia. ACM defendia um tratamento especial para o banco da família Calmon de Sá, apesar do rombo estimado de um 1,5 bilhão de reais, e ameaçou divulgar um dossiê de supostas irregularidades cometidas pela diretoria do Banco Central. A crise foi contornada com a venda do Econômico ao Grupo Excel, mas pouco depois veio o caso da pasta rosa [O chamado Dossiê da Pasta Rosa, divulgado em dezembro de 1995, consistia em um conjunto de documentos que mostrava uma contribuição de 2,4 milhões de dólares do Banco Econômico para a campanha de 25 candidatos nas eleições de 1990. Naquela época, empresas eram proibidas de ajudar financeiramente as campanhas] com a suposta lista de políticos beneficiados com doações eleitorais do Econômico. Loyola enfrentou ainda críticas pela solução dada à quebra do Banco Nacional [Em 1995, foi incorporado pelo Unibanco]. Além disso, o Proer [Programa de Estímulo à Reestruturação e ao Fortalecimento do Sistema Financeiro Nacional, programa implementado no governo Fernando Henrique que ajudava na recuperação de instituições financeiras que estavam com graves problemas de caixa, o que poderia gerar crise econômica. O Proer vigorou até 2001] é acusado de ser generoso demais com os banqueiros. Loyola resistiu, prometendo a extinção do Proer e uma atuação mais ágil e rigorosa do Banco Central. No mês passado, o Proer voltou a ser usado na negociação de venda do Banco Bamerindus. As insinuações de incompetência ou falta de rigor do Banco Central para fiscalizar as instituições financeiras ressurgiram com o escândalo dos precatórios, uma sucessão de problemas que, no mínimo, fizeram de Gustavo Loyola um homem ainda mais grisalho.
14/04/1997|Gustavo Loyola|4|Matinas Suzuki| Bem, para entrevistar Gustavo Loyola esta noite nós convidamos: Pedro Cafardo, editor-chefe do jornal O Estado de S. Paulo; Celso Pinto, colunista da Folha de S.Paulo; Salete Lemos, da Rede Globo de Televisão; Luis Nassif, diretor da agência Dinheiro Vivo e colunista da Folha de S.Paulo; o comentarista José Paulo Kupfer, da rádio CBN e que estréia neste domingo na TV Bandeirantes com o programa Negócio e Companhia; o consultor Stephen Kanitz, professor da Faculdade de Economia e Administração da USP [Universidade de São Paulo]. O Roda Viva é transmitido em rede nacional com 289 outras emissoras em todos os estados brasileiros, além de Brasília. Você pode participar deste programa fazendo perguntas pelo telefone (011) 252-6525 ou pelo fax (011) 874-3454. Você pode utilizar também o nosso endereço na internet, que é rodaviva@tvcultura.com.br. Boa noite, Gustavo Loyola.
14/04/1997|Gustavo Loyola|5|Gustavo Loyola| Boa noite.
14/04/1997|Gustavo Loyola|6|Matinas Suzuki| Bom, como nós vimos nesse pequeno videozinho de apresentação, eu acho que poucas vezes na história recente do país o Banco Central acumulou um volume tão grande de críticas, como as acusações de vazamento de informações privilegiadas, a fiscalização dos bancos e agora também a questão dos precatórios. Que análise você, que já é um funcionário de carreira e conhece muito bem a instituição, faz desses episódios?
14/04/1997|Gustavo Loyola|7|Gustavo Loyola| Bom, esse foi um período em que, logo após o Plano Real, o sistema financeiro foi impactado profundamente. Surgiu uma série de problemas que estavam mais ou menos escondidos ou não estavam explícitos. Foi o caso típico, por exemplo, da quebra dos bancos maiores, como o Econômico, o Nacional e o Bamerindus. Isso trouxe o Banco Central para o centro do noticiário. Além disso, o próprio plano econômico em si colocou o Banco Central na berlinda. O Banco Central também está procurando fiscalizar mais e apurar mais profundamente os problemas do sistema financeiro, o que também aflora. Então há uma série de episódios em que o Banco Central sempre acaba contrariando interesses que estavam firmemente estabelecidos. Como nós não temos a experiência da comunicação, talvez tenhamos uma comunicação falha, isso acaba levando a um festival de críticas ao Banco Central, muitas delas justas, mas muitas injustas.
14/04/1997|Gustavo Loyola|8|Pedro Cafardo| Doutor Loyola, eu gostaria de falar objetivamente sobre uma crítica. Uma das principais é que o Banco Central tem gasto muito dinheiro para salvar bancos que vão quebrar e que não tem gasto dinheiro na área social. Certamente esse tema é muito discutido e será objeto de crítica das oposições nas próximas eleições, eu não tenho a menor dúvida. Como o senhor responde a essa crítica específica?
14/04/1997|Gustavo Loyola|9|Gustavo Loyola| Bom, essa é uma crítica que eu acho até fácil de se fazer porque o país tem grandes necessidades. Nós temos uma população miserável, com grandes demandas que não foram atendidas. A imagem do banqueiro é uma imagem evidentemente negativa, de uma maneira geral. É muito fácil rotular o Proer como um programa que ajuda banqueiros. Mas, na realidade, é um programa que visa basicamente dar estabilidade ao sistema financeiro em benefício dos depositantes, ou seja, tem por objetivo a proteção da economia popular como um todo e da economia do país. Se houvesse no Brasil uma crise sistêmica em que os bancos começassem a quebrar, todo o esforço do Plano Real teria sido jogado fora...
14/04/1997|Gustavo Loyola|10|José Paulo Kupfer| [interrompendo] Presidente...
