DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/12/2005|Hélio Costa|1| Paulo Markun|Boa noite! Ano novo, televisão nova: 2006 é o ano da TV digital no Brasil. Para o telespectador, pode ser a chegada do alto padrão de som e imagem no televisor doméstico e da interação entre TV, internet e telefonia. Para técnicos, pesquisadores e indústrias, é a partida para a maior revolução tecnológica do setor e também para a maior guerra comercial entre interessados em vender tecnologias e produtos. Para discutir a principal mudança que a televisão vai ter desde a chegada da TV em cores, o Roda Viva entrevista esta noite o ministro das Comunicações Hélio Costa, que anunciou para o começo de janeiro a definição do padrão de TV digital que o Brasil deverá adotar.
05/12/2005|Hélio Costa|2|[Comentarista]|Duas vezes deputado federal e atualmente senador por Minas Gerais, Hélio Costa foi para o Ministério das Comunicações em julho deste ano, na reforma ministerial que aumentou a participação do PMDB no governo Lula, em plena crise política do mensalão. Levou para o novo cargo a experiência de radialista e a afinidade com televisão: durante muitos anos Hélio Costa foi repórter de TV. Assumiu, com o novo cargo, o complicado conjunto de problemas que hoje envolve a área de telecomunicações: briga em torno da cobrança da tarifa de assinatura básica na telefonia fixa, denúncias de mau serviço e abuso nas contas de celulares, além de polêmica regulação do setor de comunicação, envolvido em disputas e conflitos de interesses entre emissoras de TV e empresas de telefonia. Mas foi a TV digital que passou a ocupar a atenção cada vez maior do Ministério nos últimos tempos. A TV digital em questão refere-se à TV aberta e não à TV por assinatura, que já é digital e por isso tem melhor qualidade. No Brasil, os debates da TV aberta de como será o futuro na televisão existem há dez anos e chegou o momento de escolher que padrão adotar: americano, europeu, japonês ou uma solução nacionalizada. Os três padrões estrangeiros usam tecnologias conhecidas e bem difundidas. As diferenças decorrem do fato de cada um dos sistemas atender à realidade de seu país de origem. O padrão americano [ATSC], por exemplo, prioriza alta definição de imagem e som. É que a maior parte da população americana, ao contrário do Brasil, recebe o sinal pelo cabo; mas, onde ele não chega, a recepção depende de antena externa. Já o padrão europeu [DVB] privilegia mais a multi-programação do que a alta definição. Cada emissora pode transmitir mais canais diferentes ao mesmo tempo e a recepção é baseada em antenas internas. O padrão japonês [ISDB, que o Brasil deverá adotar até 2016] é derivado do padrão europeu, mas investe mais na robustez do sinal para atender melhor à recepção móvel em veículos e aparelhos celulares. Escolher entre os três não é apenas uma questão tecnológica, a realidade brasileira precisa ser levada em conta. Aspectos econômicos e políticos têm muito peso, e o Brasil quer saber das contrapartidas. Os japoneses já se comprometeram a não cobrar royalties pela informática embarcada no sistema, os europeus acenam com financiamentos, e americanos devem chegar esta semana com suas ofertas numa corrida que cresce à medida em que se aproxima a tomada de decisão. 2006 é o ano da digitalização das comunicações brasileiras: televisão, Internet e telefonia vão interagir cada vez mais, confundindo seus próprios territórios. A TV de alta definição baseada no padrão que o Brasil escolher deve estrear transmitindo jogos da Copa do Mundo. Quem quiser ver em digital e receber serviços e canais extras das emissoras vai precisar de um televisor compatível, ou então de um pequeno aparelho para converter o sistema para o televisor comum, nesse caso sem a mesma qualidade do padrão digital. Quem não fizer a opção, pode continuar com a TV que tem, recebendo os mesmos canais que recebe hoje. As emissoras vão fazer suas transmissões nos dois sistemas. O analógico ainda continuará no ar provavelmente por dez anos, que é o tempo estimado para essa transição no Brasil. 
05/12/2005|Hélio Costa|3|Paulo Markun|Para entrevistar o ministro das Comunicações Hélio Costa, nós convidamos Elvira Lobato, repórter especial do jornal Folha de S. Paulo; Wilson Moherdaui, diretor da Plano Editorial e da revista Telecom e da Telecom Urgente; Ethevaldo Siqueira, colunista do jornal O Estado de S. Paulo; Sônia Soares, editora de economia do jornal O Globo; Renata de Freitas, repórter de tecnologia da agência Reuters; Gabriel Priolli, administrador e diretor do Canal Universitário, jornalista e presidente da Associação Brasileira de Televisão Universitária; Samuel Possebon, editor das revistas Tela Viva e Teletime; e Mônica Teixeira, editora especial de tecnologia e ciência da TV Cultura. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. [Programa ao vivo, que permitiu a participação dos telespectadores por telefone, fax e internet] Boa noite, ministro.
05/12/2005|Hélio Costa|4|Hélio Costa|Boa noite, Paulo. Boa noite aos convidados.
05/12/2005|Hélio Costa|5|Paulo Markun|Obrigado. Quando o Brasil adotou a televisão colorida, a cores, nós fizemos uma espécie de jabuticaba, quer dizer, inventamos o sistema PAL-M, que é único no planeta, que não conversa com os outros, e isso foi muito criticado. Nós não estamos correndo o risco hoje de fazer o contrário, de adotar uma fruta estrangeira e deixar as características brasileiras ao lado, à margem?
05/12/2005|Hélio Costa|6|Hélio Costa|Na verdade, o Brasil não foi o único a adotar o PAL-M, porque o Laos também adotou [risos]. Você não me pergunte o porquê, porque eu não sei explicar. Possivelmente alguém passou por lá e disse que era uma maravilha, e venderam a história como venderam para nós. Nós não corremos o mesmo risco, até porque a preocupação do Ministério das Comunicações, não só na minha gestão mas também na gestão do ministro Miro Teixeira, e depois com o Eunício Oliveira [ministro de janeiro de 2004 a julho de 2005], foi estabelecer claramente que o Brasil não estava e não está produzindo um padrão brasileiro de TV digital. Pode até, eventualmente, lá na frente, ter um padrão brasileiro. Neste momento, nós estamos colocando, montando as ferramentas, os instrumentos de uma televisão digital num sistema brasileiro de TV digital, criado por uma lei do presidente, por um decreto do presidente, 49/01, e isso é que tem trazido, na realidade, uma verdadeira revolução no setor acadêmico, industrial, empresarial... Porque, realmente, a TV digital é uma grande revolução. Nós temos que andar rápido para não ficarmos atrasados no processo. Nós já perdemos um tempo enorme, diga-se de passagem, e eu acho que o ano de 2006, conforme você disse, é o ano da TV digital. Nós começamos com uma experiência em junho, durante a Copa do Mundo. Esperamos fazer aqui em São Paulo, possivelmente em outras praças como Rio de Janeiro, Brasília, possivelmente em Belo Horizonte e outras capitais. Mas, em princípio, a proposta é São Paulo, onde nós vamos ter a primeira experiência.
05/12/2005|Hélio Costa|7|Paulo Markun|Mas justamente a decisão tomada agora, que o senhor disse que será em janeiro, não é norteadora, não é definitiva e decide, delimita que caminhos nós vamos adotar?
05/12/2005|Hélio Costa|8|Hélio Costa|Sem dúvida. Nós esperamos para o dia dez agora, de dezembro, os relatórios dos que participaram dos consórcios. São vinte consórcios que foram constituídos, através de três cartas-convite, que foram feitas pelo Ministério da Ciência e Tecnologia, e que têm, evidentemente, a coordenação do Ministério das Comunicações e do Ministério da Ciência e Tecnologia. Essas três cartas-convite foram atendidas por cerca de oitenta instituições, empresas, grupos de pesquisa, universidades, institutos, e que estão participando com 1500 técnicos há pelo menos dez meses na elaboração do sistema brasileiro de TV digital. Então, nós estamos aguardando. Quando esses relatórios forem entregues para a coordenação do CPqD [Fundação CPqD - Centro de Pesquisa e Desenvolvimento em Telecomunicações], [para] apresentar ao presidente da República, através do Ministério das Comunicações, uma proposta... Ela vem baseada, evidentemente, nas posições que levam em consideração não apenas os aspectos técnicos da TV digital, mas também o modelo de negócio e a política industrial.
05/12/2005|Hélio Costa|9|Wilson Moherdaui|Ministro, esses mesmos técnicos garantem que a TV digital não entra em operação, a transmissão digital não entra em operação comercial antes de dezembro. O senhor insiste em prometer que vai fazer essa experiência na Copa do Mundo aqui em São Paulo? 
05/12/2005|Hélio Costa|10|Hélio Costa|Nós não estamos prometendo uma TV digital comercial em junho, nós estamos propondo uma experiência que será feita através de um canal que está, na realidade, sendo administrado pelo instituto Mackenzie em São Paulo. Esse canal foi estabelecido pela Anatel [Agência Nacional de Telecomunicações] para que se fizesse essa pesquisa. Nós esperamos até ter outros canais para podermos incorporar a essa primeira experiência. Eu até acho que, possivelmente em dezembro, nós ainda não temos a TV digital comercial. Nós vamos ter, em junho, uma primeira experiência. Já temos, evidentemente, há vários meses, sinais iniciais da TV digital na praça de São Paulo, nós já podemos ver evidentemente a TV digital não só nos aparelhos fixos, como nos aparelhos móveis portáteis. Mas não espero ter a TV comercial. Aliás, eu nunca prometi ter TV comercial digital a partir do ano que vem. Eu disse que nós vamos fazer a primeira apresentação como experiência em junho do ano que vem.
