DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/11/2002|Hélio Santos|1| [Programa ao vivo]| [Programa ao vivo]
11/11/2002|Hélio Santos|2|Paulo Markun| Boa noite. Todo mundo concorda que o Brasil precisa se desenvolver, mas um estudioso da questão racial brasileira vai além. O desenvolvimento do país precisa ser feito a partir de sua realidade étnica, a idéia de crescimento deve levar em conta o potencial humano de sessenta milhões de brasileiros, negros e mestiços, que estão fora da produção, mas tem força e talento para ajudar na construção do Brasil. É o pensamento do economista Hélio Santos, que nas últimas décadas tem se dedicado ao estudo das questões étnicas e da desigualdade social no Brasil. Ele é o nosso convidado desta noite no Roda Viva, no mês marcado pela afirmação da consciência negra. Mineiro de Belo Horizonte, um militante do movimento negro, Hélio Santos é doutor em administração e mestre em finanças pela Universidade de São Paulo, é professor das Universidades de São Marcos em São Paulo e Santana na Bahia. Foi fundador presidente do Conselho de Participação e Desenvolvimento da Comunidade Negra do Estado de São Paulo, em 1984. E, desde 1996, coordena o GTI Grupo de Trabalho Interministerial para a valorização da comunidade negra no Ministério da Justiça. Suas idéias sobre problemas raciais e desigualdade social estão reunidas em um livro que ele escreveu como proposta de caminho para o Brasil.
11/11/2002|Hélio Santos|3|[Comentarista Valéria Grillo]| A busca de um caminho para o Brasil; no início do livro, Hélio Santos diz que busca dar ao negro a justa importância que não lhe é dada por desconhecimento e também por racismo. No Brasil, os preconceitos são camuflados e tem mil caras, cada uma delas um disfarce diferente. De todas as questões nacionais, nenhuma outra é mais dissimulada que a racial. O negro não está ausente apenas dos meios de comunicação em geral, ele também não comparece como uma entidade importante da vida nacional. Com texto coloquial e bastante informação, Hélio Santos faz uma análise histórica das disparidades étnicas no Brasil e conclui que a desigualdade social é explicada pela desigualdade racial. O livro é resultado de dez anos de um trabalho acadêmico que chama a atenção para as conseqüências de mais de três séculos de escravidão no Brasil. Mas o livro, não coloca o racismo apenas como objeto de denúncia, reúne dados e estatísticas que revelam o tamanho e a cor da miséria no país. Metade da população brasileira é de negros e mulatos, em sua maioria sem acesso ao ensino de qualidade e ao mercado de trabalho. Vítimas de racismo e dissimulação, esses brasileiros vivem um círculo vicioso que pode ser visto como "raíz" dos nossos problemas sociais. Quebrar esse círculo vicioso é a proposta do professor Hélio Santos em busca de um caminho para o Brasil. Para começar, o Brasil precisaria se enxergar como realmente é: um país de brancos e também um país de não brancos. E incluir, no processo de desenvolvimento, os brasileiros de todas as etnias.
11/11/2002|Hélio Santos|4|Paulo Markun| Para entrevistar o professor Hélio Santos, nós convidamos Moacir Assunção, reporter do jornal o Estado de S. Paulo; Reinaldo Azevedo, diretor de redação da revista e do site Primeira leitura; Maria Amélia Rocha Lopes, editora do caderno de televisão do Jornal da Tarde. Valdélio Santos Silva, professor de sociologia e de antropologia da Uneb, Universidade do Estado da Bahia e um dos relatores do parecer para resolução que instituiu o programa de cotas para afrodescendentes na Uneb. Ele também é militante do movimento negro unificado na Bahia. Hélio Silva Jr, advogado, professor, pesquisador e consultor na área de direito. Gabriela Athias, repórter do jornal Folha de S.Paulo especializada na cobertura de temas ligados à políticas públicas e infância e adolescência [...] Boa noite professor.
11/11/2002|Hélio Santos|5|Hélio Santos| Boa noite.
11/11/2002|Hélio Santos|6|Paulo Markun| Eu queria começar pelo fim. O [seu] livro traz um diagnóstico da situação do negro no Brasil e é bastante preciso com uma porção de informações e dados estatísticos. E se propõe a quebrar o que o senhor chama “trilha do círculo vicioso”. Eu confesso que, para mim, não ficou extremamente claro, como se quebra essa trilha? Quais são os procedimentos para que se mude essa situação?
11/11/2002|Hélio Santos|7|Hélio Santos| Bom, o remédio base para a reversão dessa trajetória circular que a população negra enfrenta é a inclusão. Ou seja, as políticas públicas que possam, digamos assim, potencializar uma parcela da população que, historicamente, esteve marginalizada.
11/11/2002|Hélio Santos|8|Paulo Markun| Cotas [cotas raciais], por exemplo?
11/11/2002|Hélio Santos|9|Hélio Santos| A expressão cotas, Paulo, como você disse, o grupo que eu coordenei de Brasília que propõe políticas públicas, nunca usou essa expressão cotas. A expressão cotas é uma expressão da imprensa brasileira. Nós sempre falamos em políticas de ação afirmativa que são, na verdade, políticas de flexibilização do acesso. As cotas representam um método, ou seja, você tem que definir uma meta, então, você tem que quantificar. A expressão cota sinaliza uma coisa um pouco forçada, ou seja, é uma reserva de mercado. Eu, por exemplo, sou contra cotas. No fundo, eu sou a favor da redução de cotas, já existe, Markun, na sociedade brasileira cotas radicalíssimas de 100% para brancos, eu proponho que essa cota seja reduzida para 70, 80%, ou seja, reduzir o espaço absoluto em determinadas áreas...
11/11/2002|Hélio Santos|10|Paulo Markun| Mais isso não é sofismo, desculpe... Tudo bem, ninguém discute que existe uma cota de 100%%, 99,9%...
