DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
15/06/1992|Hortência|1|[Programa gravado, não permitindo a participação de telespectadores]|Programa gravado, não permitindo a participação de telespectadores]
15/06/1992|Hortência|2|Jorge Escosteguy|Boa noite. Pela primeira vez na história, o basquete feminino do Brasil vai a uma Olimpíada. As meninas brasileiras carimbaram seu passaporte para Barcelona [Jogos Olímpicos de 1992] depois de uma disputa dramática no Pré-Olímpico [5º Torneio Pré-Olímpico Feminino] de Vigo, na Espanha. Não foi uma apresentação brilhante. Com altos e baixos, a Seleção Brasileira precisou de muita garra, muito coração e de uma providencial ajuda da Seleção da Tchecoslováquia, que derrotou a Austrália e beneficiou as brasileiras. Uma das jogadoras brasileiras, em especial, chegou em Vigo com a intenção de "arrasar", mas quase saiu arrasada com os problemas que enfrentou, e amargou um banco de reservas durante um jogo contra a China. Mas ganhou. Ganhou e conseguiu realizar o penúltimo sonho que faltava em sua vida. Sobre o último sonho, nós conversaremos mais tarde. No centro do Roda Viva, que começa agora pela TV Cultura de São Paulo, está Hortência Marcari Oliva, seguramente a melhor jogadora de toda a história do basquete feminino brasileiro e uma das melhores do mundo. Lembramos que o Roda Viva também é transmitido pela TV Minas Cultural e Educativa, TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE do Mato Grosso do Sul, TVE de Porto Alegre e transmitido a partir das dez e meia da noite pela TVE do Rio de Janeiro, para todas as emissoras que compõem a Rede Brasil. Hortência Oliva tem 32 anos e já ganhou quase todos os títulos possíveis para uma jogadora de basquete. Ela mesma diz que já perdeu a conta do que ganhou - e nós, de certa forma, também - mas foi campeã dos Jogos Regionais, dos Jogos Abertos do Interior e campeã paulista, campeã brasileira e sul-americana, além de cestinha do Campeonato Mundial na Malásia. Tem o recorde de 124 pontos em uma partida de basquete. Nasceu na pequena Potirendaba, no interior de São Paulo. Posou nua para a revista Playboy e casou-se com um playboy, o empresário da noite José Victor Oliva. Para entrevistar Hortência esta noite no Roda Viva, nós convidamos: Joyce Pascowitch, colunista da Folha de S.Paulo; Marco Antonio Sabino, repórter e apresentador da Rádio Eldorado; Lia Benthien, repórter da TV Cultura; Hélio de Alcântara, chefe de reportagem da Rede OM [atual CNT - Central Nacional de Televisão]; Alex Solnick, repórter da revista Interview; Orlando de Almeida, repórter do jornal O Estado de S. Paulo; Oldinei Edson, narrador e coordenador de esporte da Rádio Gazeta; Silvio Luiz, narrador da TV Bandeirantes. Lembro a você, telespectador, que infelizmente hoje não será possível fazer perguntas por telefone, porque o programa foi gravado. Hortência tinha um compromisso nesta segunda-feira. Boa noite, Hortência.
15/06/1992|Hortência|3|Hortência|Boa noite.
15/06/1992|Hortência|4|Jorge Escosteguy|A classificação para as Olimpíadas de Barcelona foi dramática, foi difícil, você mesma ficou um tempo no banco de reservas. Fomos ajudados pela Tchecoslováquia, o que, de repente, parece um pouco um prêmio de consolação. Você acha que a Seleção Brasileira vai para Barcelona como um prêmio de consolação ou tem uma chance, uma possibilidade objetiva der vir com alguma medalha, talvez até de ouro?
15/06/1992|Hortência|5|Hortência|Não importa de que maneira a gente conseguiu a classificação, o importante é que nós conseguimos. Se foi de maneira dramática, se foi fácil ou mais difícil, eu [vejo] com muito orgulho a maneira como nós conseguimos nos classificar. A equipe começou meio nervosa no jogo com a Tchecoslováquia, mas jogou de igual para igual. Acho que o único jogo em que a equipe não se saiu bem foi contra a China, a equipe não jogou aquilo que poderia ter jogado, principalmente eu e a Paula [Magic Paula]. Mas eu acho que nós estamos lá, é isso que importa, nós temos condições, somos uma grande equipe, mostramos isso no Pré-Olímpico. Já ganhamos das campeãs olímpicas no Pan-Americano [Jogos Pan-Americanos de Havana, em 1991], então eu acho que nós podemos até lutar por uma medalha de ouro.
15/06/1992|Hortência|6|Jorge Escosteguy|Você ficou brava, não gostou de ter ficado no banco. Isso é coisa de estrela ou acha que foi injustiçada?
15/06/1992|Hortência|7|Hortência|Não, não é coisa de estrela, nem acho que fui injustiçada. Na realidade, eu fiquei 20 minutos no banco. Nenhum jogador gosta de ficar no banco, em qualquer modalidade de esporte, você quer ser o titular em todas as jogadas e jogar os 40 minutos [tempo regulamentar de uma partida de basquete oficial]. Agora, existe uma tática empregada dentro de um jogo e a Maria Helena escolheu a tática dela. Eu respeito, em nenhum lugar o senhor me viu criticando a Maria Helena, eu tenho um respeito muito grande pela hierarquia que existe dentro da Seleção Brasileira. Ela é um grau acima de mim e eu respeito a tática que ela quis imprimir na partida.
15/06/1992|Hortência|8|Jorge Escosteguy|Mas você disse que estava correndo como uma menina de 20 anos e que, se alguma menina de 20 anos estivesse encestando melhor do que você, tudo bem, mas no caso não era assim....
15/06/1992|Hortência|9|Hortência|[interrompendo] Não, isso foi uma outra pergunta.
15/06/1992|Hortência|10|Jorge Escosteguy|...e que inclusive falou com a Maria Helena sobre isso.
15/06/1992|Hortência|11|Hortência|Não, isso foi uma outra pergunta que fizeram para mim. [Perguntaram-me] quando eu pararia de jogar basquete. E eu disse que não sabia, que estou com 32 anos de idade, mas tenho condicionamento físico melhor do que o de uma menina de 20 anos. Eu acho que o atleta não pode ser cobrado de parar porque ele tem 32 ou 35 anos, ele tem que ser medido também pela capacidade. Se eu tiver 40 anos de idade e estiver jogando melhor, estiver encestando melhor, e uma jogadora de 20 quiser ocupar o meu espaço, ela disputa o lugar comigo. Se ela for melhor do que eu, paro de jogar basquete e vou para o banco.
15/06/1992|Hortência|12|Jorge Escosteguy|Aqui na platéia, assistindo ao programa, temos convidados da produção, que são as meninas do mini, mirim e do infantil do Leite Moça de Sorocaba [time de basquete do interior de São Paulo, clube pelo qual Hortência jogava, na ocasião desta entrevista]. O que você diria para essas meninas que estão começando agora, em função dessa experiência em Vigo, da classificação dramática e de você mesma estar dizendo agora que vai jogar enquanto puder, aos 40, 45 [anos]?
15/06/1992|Hortência|13|Hortência|Eu convivo com elas todos os dias e a gente procura passar uma experiência que a gente vem adquirindo há anos. A gente procura também não fazer com que elas sofram do jeito que nós sofremos, e que elas se espelhem na nossa luta, na batalha de alcançar objetivos. Então o que eu tenho a dizer para elas é: se vocês realmente almejam alguma coisa, precisam ir em busca desse objetivo e nunca desistirem.
15/06/1992|Hortência|14|Jorge Escosteguy|Silvio Luiz, por favor.
15/06/1992|Hortência|15|Silvio Luiz|Eu queria que a Hortência me respondesse até que ponto o marido atrapalha ou ajuda em uma competição como essa, que vocês disputaram em Vigo.
15/06/1992|Hortência|16|Hortência|Depende do marido. Se for um marido chato, que fica cobrando muito da sua mulher, eu acho que atrapalha. Não é o meu caso, já que o Victor é um cara que me dá muita força, não só para mim, mas para todas, como a Maria Helena e as meninas. Ele está disposto a ajudar em tudo que possível para que a gente se sinta bem. Algumas coisas que saíram nos jornais não são verdadeiras.
15/06/1992|Hortência|17|Jorge Escosteguy|E aquela história da aposta dos mil dólares...
15/06/1992|Hortência|18|Hortência|Que absurdo!
15/06/1992|Hortência|19|Jorge Escosteguy|..que ele apostava mil dólares que a Austrália ia ganhar da Tchecoslováquia?
15/06/1992|Hortência|20|Hortência|Como é que uma pessoa pode apostar contra a sua mulher?
15/06/1992|Hortência|21|Jorge Escosteguy|De repente ele é um apostador frio, ele acha que...
15/06/1992|Hortência|22|Hortência|Não, eu conheço o meu marido. 
15/06/1992|Hortência|23|Jorge Escosteguy|Independente de ser sua mulher, ele achou que a Austrália ia ganhar.
15/06/1992|Hortência|24|Hortência|Eu vou dizer mais uma coisa que talvez vocês não saibam. Nós fomos pagar uma promessa em Santiago de Compostela, feita pelo meu marido naquele jogo Tchecoslováquia x Austrália. Ele falou: "Se [o Brasil] ganhar, vocês vão em Santiago de Compostela, todo mundo vai comigo". E a gente falou: “Tudo bem, a gente vai”, quer dizer, eu não acredito que uma pessoa que faça uma promessa como essa, no outro dia aposta contra. O que é isso, gente?
15/06/1992|Hortência|25|Lia Benthien|Hortência, não existe a possibilidade ou não seria melhor que você ficasse com a concentração totalmente voltada para o basquete? Seu marido não te tira um pouco a concentração e não prejudica o grupo também, já que a imprensa explora o fato de ele estar ali?
15/06/1992|Hortência|26|Hortência|Veja bem, eu acho que o meu caso e do Victor é uma coisa muito complicada. Se o Victor me ajuda, está ao lado da sua mulher, é porque ele está ao lado. Se o Victor não está ao lado, é porque ele não está ao lado, não gosta que a mulher jogue basquete. Quer dizer, a gente fica em uma situação meio difícil. Ele não me atrapalha em nada porque eu tenho uma personalidade muito forte e jamais - não é o meu marido, não vai ser a minha mãe, não vai ser o meu pai, não vai ser a minha melhor amiga - alguém vai me atrapalhar de eu fazer o meu basquetebol dentro da quadra. Enquanto eu entro naquelas quatro linhas, nada me atrapalha. Pelo contrário, eu estou feliz, porque o meu marido está ao meu lado, me apoiando, me dando força, me aplaudindo. Ele tem orgulho de mim e isso só faz com que eu me sinta bem.
15/06/1992|Hortência|27|Marco Antonio Sabino|É verdade que ele te ajuda nos momentos da derrota? A Hortência sabe perder? Porque contaram uma história que ele te segurou depois da primeira derrota, que você chutou a porta, é verdade isso?
15/06/1992|Hortência|28|Hortência|Não, isso não é verdade.
15/06/1992|Hortência|29|Marco Antonio Sabino|A Hortência sabe perder, está preparada para perder?
15/06/1992|Hortência|30|Hortência|Eu sei perder, mas eu não gosto de perder. Vocês nunca me viram sair de uma quadra falando besteira ou dizendo que o outro time não merecia vencer, eu só...
15/06/1992|Hortência|31|Jorge Escosteguy|Como você desabafa quando perde?
15/06/1992|Hortência|32|Hortência|Só fico quieta, choro, o meu marido está ao meu lado sempre para me dar uma força, eu sei perder. Mas, por exemplo, falaram que o Victor tinha apostado. Isso não é verdade. Falaram que quando nós perdemos o grupo se separou, o que também não é verdade. Falaram que a Hortência saiu da quadra chutando cadeira, que também não é verdade. Então fica difícil...
15/06/1992|Hortência|33|Joyce Pascowitch|Hortência.
15/06/1992|Hortência|34|Jorge Escosteguy|Joyce Pascowitch, por favor.
15/06/1992|Hortência|35|Joyce Pascowitch|Hortência, sexo antes do jogo. Você acha que isso ajuda a relaxar ou atrapalha a concentração? Você é a favor do quê?
15/06/1992|Hortência|36|Hortência|Eu acho que depende da pessoa.
15/06/1992|Hortência|37|Joyce Pascowitch|No seu caso.
15/06/1992|Hortência|38|Hortência|No meu caso, eu acho que ajuda, quando você faz uma coisa por amor - sexo é uma coisa que você faz por amor - aquilo nos deixa muito feliz, nos anima.
15/06/1992|Hortência|39|Joyce Pascowitch|E você já percebeu isso?
15/06/1992|Hortência|40|Hortência|Claro.
15/06/1992|Hortência|41|Joyce Pascowitch|Que depois de ter transado...
15/06/1992|Hortência|42|Hortência|Claro, para mim não prejudica absolutamente em nada, eu me sinto muito bem, muito feliz. O sexo me realiza e quando a mulher se sente realizada, produz muito melhor. 
15/06/1992|Hortência|43|Alex Solnick|Hortência, o José Victor deu uma entrevista que vai sair no próximo Interview, onde ele conta que você, um dia, o flagrou na cama com o Ricardo Amaral, sócio dele. É verdade? [risos]
15/06/1992|Hortência|44|Hortência|[risos] É brincadeira! É que [quando] o Ricardo Amaral vem para São Paulo, se hospeda na minha casa. Então o Victor faz essa brincadeira e eu falo: “Vocês dois aí, cuidado”. É brincadeira, ele quis "tirar um sarro" do Ricardo Amaral.
15/06/1992|Hortência|45|Orlando de Almeida|Hortência, voltando um pouquinho às declarações dadas ou não dadas pelo seu marido lá na Espanha, o Vendramini [Antônio Carlos Vendramini, técnico brasileiro de basquete feminino. Dirigiu diversas equipes no país, entre elas a Leite Moça de Sorocaba] foi outro pivô de toda essa história. Ele confirmou aos jornais aqui de São Paulo que ele falou que a Maria Helena era "ruim de banco" ao deixar você e a Paula lá por mais de vinte minutos. Então nem tudo foi invenção da imprensa...
15/06/1992|Hortência|46|Hortência|Não, a aposta foi invenção da imprensa, que eu saí chutando foi invenção da imprensa, e que o meu marido estaria torcendo contra a Seleção é um absurdo. Agora, o caso do Vendramini foi o seguinte: eles estavam em um bar conversando com os jornalistas, depois da derrota do Brasil, e fizeram uma pergunta ao Vendramini. Era um momento descontraído, não era uma entrevista, e um repórter escutou e resolveu publicar. Perguntaram a ele: “Você tiraria a Hortência e a Paula?” e ele falou: "A Hortência e a Paula podem estar vomitando dentro da quadra, mas eu não as tiro”. Quer dizer, existe várias maneiras de você interpretar uma palavra, então interpretaram que ele estava criticando. Eu não posso dizer porque não estava lá.
15/06/1992|Hortência|47|Alex Solnick|É só a Maria Helena que faz a tática do time ou vocês discutem a tática com ela? 
15/06/1992|Hortência|48|Hortência|Não, na hora do jogo é a Maria Helena e a Heleninha [assistente técnica da Seleção Feminina de Basquete]. Eu respeito, jamais vou dizer a Maria Helena o que ela tem que fazer.
15/06/1992|Hortência|49|Alex Solnick|Ela pede a opinião de vocês ou não?
15/06/1992|Hortência|50|Hortência|Não. Às vezes, no treinamento surge uma jogada que a gente discute. Mas isso não sou eu, pode até ser a Helen [Helen Luz, jogadora da Seleção Brasileira de Basquete], que está começando agora e fala: “Mas, Maria Helena, nessa hora a menina pode aparecer por aqui e você não acha que...”. Não é uma coisa muito rígida, é algo democrático na Seleção Brasileira.
15/06/1992|Hortência|51|Silvio Luiz|Hortência, quando vocês ficaram no banco por 20 minutos, estavam perdendo o jogo. Aí a Maria Helena fez a troca, vocês chegaram a empatar 61 a 61. O Vendramini não falou nada?
15/06/1992|Hortência|52|Hortência|Eu não sei, eu estava jogando.
15/06/1992|Hortência|53|Silvio Luiz|Você se lembra do jogo?
15/06/1992|Hortência|54|Hortência|Eu me lembro do jogo, estava 62 a 62, parece.
15/06/1992|Hortência|55|Silvio Luiz|Quando a Maria Helena fez a modificação, vocês estavam perdendo, aí empataram 61 a 61, quer dizer, isso [refere-se às declarações do técnico] demonstra dor de cotovelo do Vendramini ou uma falta de respeito com uma profissional como ela. Embora ele tenha feito as declarações [oficialmente], ele poderia ter dito “por gentileza, não publiquem isso”.
15/06/1992|Hortência|56|Hortência|É, mas ele não viu o repórter ali.
