DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
10/08/1992|Ibsen Pinheiro|1|Jorge Escosteguy|Boa noite! Termina, dia 26 de agosto, o prazo para o relatório final da CPI [Comissão Parlamentar de Inquérito] que investiga o chamado escândalo PC Farias. Aí, todos nós poderemos saber que rumo tomarão as investigações feitas pela CPI. Uma das possibilidades é que surja um processo de impeachment contra o presidente da República [Fernando Collor de Mello, que viria a acontecer em 29 de dezembro de 1992]. Um processo que deve começar no nível do Congresso, pela Câmara dos Deputados. No Roda Viva que está começando agora, pela TV Cultura de São Paulo, nós vamos discutir a CPI e o possível processo de impeachment. No centro do Roda Viva está sentado o presidente da Câmara dos Deputados, deputado Ibsen Pinheiro, do PMDB [Partido do Movimento Democrático Brasileiro] do Rio Grande do Sul. Lembramos que o Roda Viva também é transmitido ao vivo pela TV Minas Cultural e Educativa, TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE de Porto Alegre e TVE do Mato Grosso do Sul. Ibsen Pinheiro tem 57 anos, é gaúcho, radialista, advogado e jornalista. Ex-militante do PCB [Partido Comunista Brasileiro], elegeu-se vereador por Porto Alegre, deputado estadual e deputado federal. Foi líder do PMDB e hoje preside a Câmara dos Deputados. Para entrevistar Ibsen Pinheiro esta noite no Roda Viva, nós convidamos Augusto Nunes, diretor de redação do jornal Zero Hora; João Batista Natali, repórter do jornal Folha de S. Paulo; Oliveiros Ferreira, cientista político e jornalista do jornal O Estado de S. Paulo; Célia Chaim, chefe de redação da sucursal do Jornal do Brasil em São Paulo; Milton Coelho da Graça, diretor de jornalismo da TVE do Rio de Janeiro; Antônio Carlos Ferreira, repórter da Rede Globo; e Luiz Costa Pinto, subeditor da revista Veja. Você, que está em casa, se quiser fazer perguntas por telefone, pode chamar 011-252-6525. 011-252-6525. A Shizuka, a Cristina e a Márcia estarão anotando as suas perguntas. Boa noite, deputado!
10/08/1992|Ibsen Pinheiro|2|Ibsen Pinheiro|Boa noite!
10/08/1992|Ibsen Pinheiro|3|Jorge Escosteguy|Antes de entrar propriamente na questão da CPI, eu queria lhe perguntar uma coisa: parece que o senhor tem cerca de dez pedidos de impeachment na gaveta, na Câmara.
10/08/1992|Ibsen Pinheiro|4|Ibsen Pinheiro|Eram 14. Sete já foram para o arquivo...
10/08/1992|Ibsen Pinheiro|5|Jorge Escosteguy|E o resto?
10/08/1992|Ibsen Pinheiro|6|Ibsen Pinheiro|E os outros sete continuam sendo examinados. Não são relativos a esses acontecimentos.
10/08/1992|Ibsen Pinheiro|7|Jorge Escosteguy|O senhor está esperando pela "bola sete"?
10/08/1992|Ibsen Pinheiro|8|Ibsen Pinheiro|Não, eu estou examinando junto com a assessoria, porque são pedidos que se destinam a algumas questões peculiares em que não estão envolvidas essas questões desta crise que estamos vivendo. Então, é possível fazer um exame até mais acautelado. É o que estamos fazendo. Mas sete deles, por imperfeições formais, por lacunas de caráter formal, já foram arquivados.
10/08/1992|Ibsen Pinheiro|9|Jorge Escosteguy|Quer dizer, o senhor acha que todos eles têm fundamento, mas pecam por questões formais?
10/08/1992|Ibsen Pinheiro|10|Ibsen Pinheiro|Não. Eu não chego a examinar o fundamento se falta uma condição formal.
10/08/1992|Ibsen Pinheiro|11|Jorge Escosteguy|Agora, pelo que o senhor tem acompanhado da CPI, na sua opinião, o processo de impeachment é inevitável?
10/08/1992|Ibsen Pinheiro|12|Ibsen Pinheiro|Olha, eu considero, para manifestar uma opinião nessa linha - o que já fiz -, que o processo de impeachment é muito simples para se começar. Eu diria que ele é como um funil: tem uma boca larga, pela qual qualquer um pode entrar. Mas tem, a seguir, uma saída muito estreita. Essa é a natureza do processo de impeachment. Eu diria, até mesmo, que isso é saudável e foi uma inspiração da Constituição. Adotar um mecanismo pelo qual qualquer cidadão, no exercício dos seus direitos políticos, pode dar início ao processo de impeachment. E isto é bom, porque fortalece a cidadania. A seguir, o caminho vai estreitando a tal ponto que a sua conclusão é extremamente restrita - o que também é saudável. Porque a Presidência da República é uma instituição tão importante que não pode estar sujeita a maiorias eventuais, a paixões, a vinganças, a manobras de plenário - enfim, é preciso que o impeachment, que nasce com a maior facilidade, atravesse os muitos obstáculos regimentais, legais e constitucionais para que possa ter alguma viabilidade. Nesse itinerário, eu penso que vejo uma boa inspiração da nossa Constituição.
10/08/1992|Ibsen Pinheiro|13|Jorge Escosteguy|Agora, dizem que essas normas, esse funil, foram criadas para que ele, no fundo, não funcione.
