DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/04/2009|Jairo Bouer|1|Heródoto Barbeiro|Olá, boa noite. Como discutir mais abertamente com a sociedade temas bastante complexos, difíceis, delicados, como por exemplo sexo, erotismo, drogas, comportamento e mesmo educação? E como discutir essas questões especialmente com jovens? A resposta está sendo dada por um médico paulista que vem abrindo vários canais de comunicação em jornais, revistas, rádios e também na televisão. E para tratar o assunto que diz respeito aqui a jovens, mas que também preocupa educadores de famílias, o Roda Viva entrevista hoje o psiquiatra Jairo Bouer, especialista em temas relacionados com a juventude. Você acompanha esta entrevista em 30 segundos. Até já.
06/04/2009|Jairo Bouer|2|[Vinheta do programa]|Vinheta do programa]
06/04/2009|Jairo Bouer|3|Heródoto Barbeiro|Dúvidas, mitos e tabus sobre a sexualidade, erotismo, doenças sexualmente transmissíveis e as transformações que meninos e meninas passam ao longo da vida, alcoolismo, cigarro, drogas e também o comportamento. O debate e a reflexão sobre esses assuntos têm sido o eixo central do trabalho do médico psiquiatra Jairo Bouer.
06/04/2009|Jairo Bouer|4|[Vídeo] [Imagens de Jairo Bouer em programas de TV, de seus livros e sites em que atua] [Narração de Valéria Grillo]|Vídeo] [Imagens de Jairo Bouer em programas de TV, de seus livros e sites em que atua] [Narração de Valéria Grillo]
06/04/2009|Jairo Bouer|5|Jairo Bouer nasceu em 30 de novembro de 1965, em São Paulo. Formado em medicina e especializado em psiquiatria, ele se voltou para o estudo da sexualidade humana depois de participar do Projeto Sexualidade, do Hospital das Clínicas da Universidade de São Paulo. Além da prática de consultório, tornou-se conhecido do público através dos meios de comunicação, e virou referência na discussão sobre saúde e comportamento jovem. Por sua atuação nessa área, foi consultor do governo do estado de São Paulo para o projeto Prevenção Também Se Ensina, aplicado em 4,5 mil escolas públicas paulistas. Jairo Bouer já publicou cerca de uma dezena de livros sobre sexualidade, adolescência, álcool, cigarro e drogas, incluindo dois áudio-livros com perguntas e respostas para garotas e garotos. Seus conteúdos de discussão ou de orientação também compõem a coluna semanal que ele escreve há 12 anos no Caderno Folha Teen do jornal Folha de S.Paulo, além de várias revistas e sites na internet, o principal deles no Uol [Univero On Line]. Jairo Bouer já marcou presença em vários canais de televisão e está de volta com a segunda temporada do programa Ao Ponto, uma parceria entre a TV Cultura e o Canal Futura, da Fundação Roberto Marinho.|airo Bouer nasceu em 30 de novembro de 1965, em São Paulo. Formado em medicina e especializado em psiquiatria, ele se voltou para o estudo da sexualidade humana depois de participar do Projeto Sexualidade, do Hospital das Clínicas da Universidade de São Paulo. Além da prática de consultório, tornou-se conhecido do público através dos meios de comunicação, e virou referência na discussão sobre saúde e comportamento jovem. Por sua atuação nessa área, foi consultor do governo do estado de São Paulo para o projeto Prevenção Também Se Ensina, aplicado em 4,5 mil escolas públicas paulistas. Jairo Bouer já publicou cerca de uma dezena de livros sobre sexualidade, adolescência, álcool, cigarro e drogas, incluindo dois áudio-livros com perguntas e respostas para garotas e garotos. Seus conteúdos de discussão ou de orientação também compõem a coluna semanal que ele escreve há 12 anos no Caderno Folha Teen do jornal Folha de S.Paulo, além de várias revistas e sites na internet, o principal deles no Uol [Univero On Line]. Jairo Bouer já marcou presença em vários canais de televisão e está de volta com a segunda temporada do programa Ao Ponto, uma parceria entre a TV Cultura e o Canal Futura, da Fundação Roberto Marinho.
06/04/2009|Jairo Bouer|6|Jairo Bouer [trecho de programa que apresenta]|Para começar essa nova temporada, a gente escolheu um tema polêmico: como é ser jovem e conviver com a Aids?
06/04/2009|Jairo Bouer|7|O programa é mais um espaço para que os jovens possam discutir todos os assuntos que têm a ver com eles, não só sexualidade, mas discutir também|família, drogas, escola, atitudes e relacionamentos.
06/04/2009|Jairo Bouer|8|[Fim do vídeo]|Fim do vídeo]
06/04/2009|Jairo Bouer|9|Heródoto Barbeiro|E para entrevistar o médico Jairo Bouer, nós queremos já agradecer a participação e citar aqui: Maria Helena Vilela, que é educadora sexual e diretora do Instituto Kaplan; a jornalista Tatiana Schibuola, que é redatora-chefe da revista Capricho; o jornalista Ivan Martins, editor-executivo da revista Época; a jornalista Fabiane Leite, que é repórter de editoria Vida&, do jornal O Estado de S.Paulo. Conosco está aqui também o Paulo Caruso, com sua charge e seus desenhos para registrar os momentos aqui da entrevista. E ao meu lado está a repórter Laís Duarte, que apresenta as perguntas encaminhadas ao programa através do nosso endereço eletrônico, através da internet. O Roda Viva é transmitido toda segunda-feira, ao vivo, pela internet, às 6h30 da tarde e você pode também vê-lo às 10h10 da noite, sem cortes, sem edição, aqui na nossa TV Cultura. Jairo, boa noite.
06/04/2009|Jairo Bouer|10|Jairo Bouer|Boa Noite.
06/04/2009|Jairo Bouer|11|Heródoto Barbeiro|E muito obrigado pela participação, agora aqui conosco, como entrevistado e não como apresentador.
06/04/2009|Jairo Bouer|12|Jairo Bouer|Pois é [risos], mudei de posição, né? Agora estou eu sendo entrevistado.
06/04/2009|Jairo Bouer|13|Heródoto Barbeiro|Jairo, eu queria que você comentasse um pouco, inicialmente, a respeito do comportamento do jovem em geral. Os jovens se interessam por política? Eles acompanham o mundo político ou você acha que esses escândalos que aparecem no Senado, jatinho para cá, jatinho para lá, não sei quantos diretores, verba de representação, essas coisas todas [alusão a casos de corrupção na política brasileira] chocam os jovens e os afastam desse ambiente político? Qual é a visão que você tem sobre isso?
06/04/2009|Jairo Bouer|14|Jairo Bouer|Olha, a sensação que eu tenho é que o jovem hoje talvez não tenha a mobilização política que o jovem já teve em outros momentos da história do país, mas eu acho algumas preocupações que a gente pode entender como preocupações sociais, econômicas, políticas estão muito presentes. A questão ambiental, por exemplo, é um questão que a gente vê muito presente, até estimulada a discussão nas escolas, pelos pares, enfim, é uma coisa que é muito próxima ao universo deles. Eu acho que política também, assim... talvez não, obviamente não como em gerações anteriores, mas eu percebo alguma movimentação para a participação, para a tentativa de representatividade maior.
06/04/2009|Jairo Bouer|15|Heródoto Barbeiro|Mas você acha que eles acompanham o noticiário, o dia-a-dia? Ou não? Esse pessoal lê jornal ou não?
06/04/2009|Jairo Bouer|16|Jairo Bouer|Eu acho que lê pouco; jornal lê pouco.
06/04/2009|Jairo Bouer|17|Heródoto Barbeiro|Lê pouco?
06/04/2009|Jairo Bouer|18|Jairo Bouer|A sensação que a gente tem é que eles, obviamente, utilizam muito mais internet como forma de conseguir...
06/04/2009|Jairo Bouer|19|Heródoto Barbeiro|[Interrompendo] É, o jornal pode estar "impresso" na internet.
06/04/2009|Jairo Bouer|20|Jairo Bouer|Não sei se eles vão exatamente nos sites dos jornais. Eu acho que eles vão cada vez mais nas notícias que interessam a eles. Eles vão selecionando, eles vão filtrando, se dirigindo a alguns temas específicos, mas jornal, papel mesmo, eu acho que eles lêem pouco. Revista eles lêem muito. Eu acho que a revista tem um interesse, chama mais a atenção do jovem.
06/04/2009|Jairo Bouer|21|Heródoto Barbeiro|Mas revista... você está falando de qualquer tipo, [como a revista] Época, onde trabalha o Ivan Martins, ou não?
