DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
18/08/2003|Jeremy Rifkin|1|Programa gravado|rograma gravado
18/08/2003|Jeremy Rifkin|2|Paulo Markun|Boa noite. Que o petróleo um dia vai acabar, todos concordam. Sobre quando isso vai acontecer, muitos discordam. Agora, o que todos admitem é que as últimas reservas estão concentradas no Oriente Médio e é dessa região conflituosa que o mundo vai depender cada vez mais para ter combustível. Diante dos novos tempos difíceis, a discussão em torno das energias alternativas ganha mais atenção e este é o tema do Roda Viva desta noite. Nosso convidado é o economista americano Jeremy Rifkin. Ele é hoje um dos principais críticos do predomínio do petróleo como combustível e prevê que o hidrogênio poderá promover uma revolução na economia como aconteceu com o carvão e o vapor no começo da era industrial. Jeremy Rifkin, com formação em economia e assuntos internacionais, mora em Washington e é consultor de empresários e congressistas americanos. Ele é um estudioso dos impactos que as tecnologias promovem na economia e na sociedade e já escreveu vários livros a respeito. O último deles acaba de ser lançado aqui no Brasil e fala que o mais básico e onipresente dos elementos do Universo pode ser o combustível do futuro e mais do que isso, o combustível eterno.
18/08/2003|Jeremy Rifkin|3|[Comentarista Valéria Grillo]|A economia do hidrogênio quando não houver mais petróleo. Jeremy Rifkin começa dizendo que a crise energética dos anos 70 foi esquecida e o debate sobre conservação de energia tornou-se cada vez mais raro. No entanto, o mundo caminha para um ponto crítico na era dos combustíveis fósseis. Especialistas acham que ainda temos cerca de 40 anos de petróleo bruto disponível e barato, mas existem geólogos alertando que a produção de petróleo pode atingir um pico e entrar em queda já no final desta década. A vulnerabilidade que isso cria para a vida industrial é agravada por dificuldades novas que surgiram no mundo afetando não só a economia, mas a democracia e a divisão de poder na Terra. É nesse horizonte que o autor projeta uma nova era energética com base no hidrogênio, o elemento mais abundante do Universo, encontrado principalmente na água. Mas é do gás natural em processos modernos e de mais baixo custo que atualmente ele está sendo retirado e disponibilizado para uso como combustível. O hidrogênio, já usado em naves espaciais, vem sendo testado em protótipos da indústria automobilística. Usado como fonte das células combustíveis, ele pode representar uma nova forma de produção de energia elétrica descentralizada e democrática. Para Jeremy Rifkin o hidrogênio pode acabar com a dependência do petróleo, reduzir a emissão de carbono na atmosfera e apaziguar guerras políticas e religiosas.
18/08/2003|Jeremy Rifkin|4|Paulo Markun|Para entrevistar o economista e consultor Jeremy Rifkin, nós convidamos: Eugênio Esber, diretor de redação da revista Amanhã, Economia e Negócios e da revista Aplauso. Hélio Gurovitz, diretor do portal Exame da revista Exame. Mônica Teixeira, editora de ciência e tecnologia da TV Cultura. Maurício Tuffani, editor-chefe da revista Galileu. Márcio Pochmann, economista e secretário do Trabalho da prefeitura de São Paulo e Ary Plonski, diretor superintendente do IPT - Instituto de Pesquisas Tecnológicas de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Boa noite.
18/08/2003|Jeremy Rifkin|5|Jeremy Rifkin|Boa noite.
18/08/2003|Jeremy Rifkin|6|Paulo Markun|Queria começar com uma provocação. Ontem eu estava cozinhando em uma casa de campo em um fogão a lenha, hoje de manhã eu tomei banho em um chuveiro movido a energia elétrica, vim para cá em um carro movido a gasolina, e o senhor disse que daqui a 30 anos nós vamos estar consumindo hidrogênio. Não é um pouco de otimismo demais?
18/08/2003|Jeremy Rifkin|7|Jeremy Rifkin|Acho que não. Acho que estamos à beira de uma grande revolução energética. É o fim da era do combustível fóssil. É uma história de 200 anos que começou com o transporte de carvão para Newcastle, na Inglaterra e agora se desenvolve no Oriente Médio. São mais de mil empresas na corrida pelo hidrogênio. Milhares de empresas se lançam nesse projeto. A Pricewaterhouse Coopers [também chamada de PwC, foi formada em 1998, pela fusão de duas empresas londrinas, é uma das maiores prestadoras de serviços profissionais do mundo, nas áreas de auditoria, consultoria e outros serviços, e está presente em 149 países, com cerca de 140 mil colaboradores] elaborou um estudo e projeto que, em 2020, essa área estará movimentando US$ 1 trilhão e 700 bilhões, isso é daqui a 17 anos. Acho que o público e, de certa forma, os políticos e economistas, estão atrasados em relação a essa tecnologia. Isso lembra a internet, a revolução da informática dos anos 1980. Ela pegou de surpresa os políticos, o público e os economistas, mas quem era da área sabia que a porta estava se abrindo. Estamos à beira de uma grande revolução do hidrogênio. São os primeiros anos, serão 10, 20, 30, 40 anos para criar a infra-estrutura, como aconteceu para o vapor, o carvão e a ferrovia no final do século XIX. E foi o tempo usado para estabelecer o motor de combustão interna no século XX.
18/08/2003|Jeremy Rifkin|8|Paulo Markun|Agora, no caso, o senhor menciona a internet, que, de alguma maneira, avançou sobre um espaço vazio. Ela surgiu e se estabeleceu como algo que não existia. Quando a gente fala em combustível, em toda a estrutura da economia que é baseada no combustível fóssil, basicamente no petróleo e seus derivados, nós estamos falando de algo que já está estabelecido e que certamente terá que ser desmontado para que um novo sistema de combustível predomine. Isso não é muito mais difícil e muito mais demorado do que, por exemplo, o crescimento que a internet revelou?
18/08/2003|Jeremy Rifkin|9|Jeremy Rifkin|Está será uma grande revolução de ruptura na História. Foi o que houve com o vapor, o carvão e as ferrovias. Tudo mudou, não só a condução das atividades econômicas, mas a manipulação do tempo e do espaço, as nações de política e sociedade. Quando passamos da lenha para o vapor, o carvão e os trens, passamos de mercados pequenos para mercados nacionais; passamos da cidade para o país, fomos de uma economia feudal para a capitalista. Tudo isso resultou de uma revolução energética. A segunda revolução industrial, com o motor de combustão interna, levou-nos a modos de vida suburbanos, dispersando a população, criando grandes centros urbanos. A revolução do hidrogênio vai romper com a estrutura vigente, mas sempre foi assim nas mudanças de energia. Você mencionou outra coisa importante, a internet. Eu gostaria de explicar como a revolução nas comunicações tem paralelo com a da energia. As grandes revoluções econômicas da história ocorrem sob duas condições: uma mudança básica da forma de organizar a energia da Terra e uma grande mudança na forma de nos comunicarmos para organizar o novo regime de energia. Uma nova energia e novas comunicações juntas criam momentos fundamentais. Por exemplo, o antigo Iraque, a Suméria, a primeira grande civilização agrícola. Aumentou a complexidade da organização da agricultura, que passou a ser muito diferente para o homem. Passou-se a usar a energia do sol que era estocada em cereais, e os grãos produzidos a mais se tornaram a energia para a civilização. Mas essa complexidade de organização da agricultura demandou um novo mecanismo de comando, a escrita cuneiforme. A escrita era a forma de gerenciar a agricultura. A escrita impressa tornou-se absolutamente essencial para a revolução do vapor, do carvão e das ferrovias. Com o uso do vapor e do carvão, aumentamos o ritmo, a velocidade, o fluxo e a complexidade das interações humanas. Precisávamos de uma nova comunicação organizada entre pessoas, a escrita impressa. O telefone e o telégrafo precederam em alguns anos a revolução da combustão interna. Quero dizer o seguinte: nos anos 90 houve a revolução das tecnologias digitais, dos PCs, da internet, a revolução das telecomunicações, mas não entendemos sua verdadeira missão na História. Conseguimos unir 1 bilhão de pessoas com a internet e isso foi significativo. Aumentamos a produtividade nos locais de trabalho com as novas comunicações, é significativo. Mas as empresas “.com” eram uma bobagem. Sem saber o que fazer com essa revolução nas comunicações, criamos empresas tolas, e a maioria deixou de existir. Estou dizendo que, nos próximos seis meses, no ano que vem, a comunidade de investidores, de executivos, vai perceber essa grande convergência entre a revolução da informática e das comunicações dos anos 90 e a nova, distribuída e descentralizada revolução do hidrogênio das duas primeiras décadas do século XXI. Quando mudarmos para o hidrogênio, você terá uma célula combustível, que será análoga ao seu PC. Haverá uma célula na indústria, no centro comercial, nas casas, e cada um vai gerar sua energia, assim como cada um cria o conteúdo de seu PC. A energia excedente que você não usar será enviada de volta, aí está a revolução. As Hewlett-Packard [empresa multinacional de suprimentos e equipamentos em informática com sede em Palo Alto, Califórnia (EUA)] e Microsoft [empresa multinacional de softwares norte-americana, foi fundada em 1975 por Bill Gates e Paul Allen, sendo a maior do mundo neste ramo] do mundo - "a verdadeira missão delas" - vão usar essa revolução da comunicação para descentralizar o sistema de energia no Brasil. Quando você gerar energia com sua célula combustível, a partir de sua casa, fábrica ou escritório, enviará essa eletricidade como informação para quem você mesmo designar, como se faz em um computador. A união da comunicação descentralizada como mecanismo de controle para organizar a distribuição descentralizada de energia é poder para o povo. É uma grande revolução na História. Seu impacto será tão importante quanto a união da prensa de impressão com o carvão, o vapor e as ferrovias - a primeira revolução industrial do século XIX - e será importante como a união do telefone e do telégrafo ao motor de combustão interna. A convergência do hidrogênio combustível e da internet, a comunicação descentralizada, é a terceira revolução industrial que vai afetar todo o século XXI.
18/08/2003|Jeremy Rifkin|10|Mônica Teixeira|Rifkin, eu queria fazer uma pergunta. O senhor faz essa pregação sobre a célula combustível, mas hoje me parece que há pelo menos duas questões tecnológicas a serem resolvidas. Uma delas que para gerar essa energia, é necessário, neste momento, de alguma maneira, quebrar o hidrogênio e usar energia. Então eu gostaria de saber como o senhor acha que isso vai ser feito no futuro e como isso será barateado. Porque hoje praticamente se gasta mais. E a outra questão é o tamanho dessas células combustíveis que também me parece, ou melhor, dos estoques de hidrogênio, que também, me parece, tem que ser grandes, etc. Então eu gostaria que o senhor abordasse essas duas questões.
