DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/09/1987,João Augusto Amaral Gurgel,1,Augusto Nunes,"Boa noite. Começa aqui mais um Roda Viva, programa apresentado pela TV Cultura de São Paulo e simultaneamente transmitido pela Rádio Cultura AM de São Paulo. Este programa é também retransmitido pelas TVs educativas de Minas Gerais, Espirito Santo, Mato Grosso do Sul, Bahia e Piauí. Como este programa é apresentado ao vivo, nossos telespectadores poderão telefonar para estas jovens aqui ao meu lado, usando o número 252-6525, para fazer as perguntas que desejarem ao nosso entrevistado desta noite. Trata-se do empresário João Augusto Conrado do Amaral Gurgel. O doutor Gurgel, desde 1969, é o diretor-presidente da Gurgel S.A., fabricante de veículos. Doutor Gurgel várias vezes surpreendeu os brasileiros com as suas invenções, com as criações da sua fábrica. E hoje, milhões de brasileiros certamente puderam acompanhar o desfile do carro econômico nacional, o Cena, [que] é a mais recente criação do doutor Gurgel. Para falar do Cena, para falar da indústria automobilística, da economia brasileira, para conhecer melhor as idéias do doutor Gurgel e para aprender um pouco com a sua enorme experiência nesse ramo, nós o convidamos para sentar-se, nesta noite, ao centro de uma Roda Viva formada pelos seguintes convidados: Lídia Goldenstein, economista, pesquisadora do Centro Brasileiro de Análise e Planejamento, o Cebrap, professora da Unicamp e comentarista da TV Manchete; Eduardo Souza Ramos, vice-presidente da Associação Brasileira de Revendedores de Veículos e Fabricante de Veículos Especiais; Marcelo Bairão, editor da revista Exame; Gustavo Correia de Camargo, chefe da sucursal de São Paulo do Relatório Reservado; José Carlos Marão, diretor de redação da revista Quatro Rodas; Ciro Dias Reis, editor do suplemento de veículos do jornal Folha de S. Paulo; Joel Silveira Leite, chefe de reportagem do Jornal do Carro, suplemento do Jornal da Tarde; Luis Nassif, editor do programa de TV e do boletim econômico Dinheiro Vivo, da TV Gazeta. Também está presente o desenhista Paulo Caruso, que vai registrar alguns dos momentos deste programa. Temos também alguns convidados da produção e vários estudantes da Faculdade de Engenharia Industrial, a FEI. Doutor Gurgel, uma história que o senhor costuma contar, já contou em algumas entrevistas é, resumidamente, a seguinte: em 1949, o senhor era estudante de engenharia na Politécnica, na USP e um professor do senhor pediu que o senhor fizesse o projeto de um guindaste, se não me engano. O senhor apresentou a ele um projeto de um carro, um veículo, e o senhor registra que ele teria feito o seguinte comentário: “O brasileiro não faz carros. O brasileiro compra carros.”. Pois bem, quase quarenta anos depois, o senhor é o pai do primeiro veículo com tecnologia cem por cento brasileira, o Cena, e o senhor hoje pode assistir ao desfile de cinco veículos Cena pelas ruas de Brasília, no dia da Independência. O senhor, quando via a passagem do Cena, o senhor pensou nesse professor que o senhor teve na Politécnica? E em quem mais, ou no que mais, o senhor pensou durante o desfile de hoje?"
07/09/1987,João Augusto Amaral Gurgel,2,Amaral Gurgel,"Bom, boa noite, Augusto. Obrigado pelo convite da TV, de hoje eu poder falar neste programa... Muita emoção, foi muita emoção para mim ver os carros passarem e todo o povo... todo o povo aplaudindo. Já havia... a própria televisão já tinha dito em Brasília que os carros iam desfilar, então o povo já estava esperando esse desfile. Naturalmente... com muita apreensão também, porque num desfile tudo pode acontecer e os carros podiam ter qualquer probleminha, isso é possível, mas correu tudo bem e a gente... nessa hora passa pela cabeça da gente muitas coisas, não é?"
07/09/1987,João Augusto Amaral Gurgel,3,Augusto Nunes,"O professor, por exemplo, passou, Doutor Gurgel?"
07/09/1987,João Augusto Amaral Gurgel,4,Amaral Gurgel,"O professor meu, ah... eu dizia o seguinte... ele me disse: “Gurgel,... ”... ele me pediu um guindaste de coluna, e eu fiz um automóvel de dois cilindros. E ele disse: “Gurgel, eu não vou ver o projeto, porque eu te pedi um guindaste de coluna e queria te dizer uma coisa: automóvel não se fabrica, compra-se.”. Mas o professor não estava totalmente errado, porque naquele tempo, em 1949, não existia uma indústria de autopeças no país. Eu tinha feito um projeto, construí um carro quase totalmente integral e, pensando nas palavras dele, eu achava que devia vencer esse desafio, mas também devia me preparar para poder fazer esse carro. E por isso fui... consegui uma bolsa com a General Motors. Estive nos Estados Unidos, morando, [durante] 2 anos. Trabalhei na Bionic Motors Division, trabalhei na Pontiac [marca de automóveis produzidos desde 1926 e vendidos nos Estados Unidos, México e Canadá pela General Motors] e nos laboratórios da GM [General Motors, empresa norte-americana do setor automotivo, com sede em Detroit]. Aprendi muito com os... com os americanos e com a própria General Motors, e devo muito a eles."
07/09/1987,João Augusto Amaral Gurgel,5,Augusto Nunes,"Esse carro, doutor Gurgel, que o senhor... cujo projeto o senhor fez ainda na faculdade, ele tinha alguma semelhança com o que é hoje o Cena? O senhor já pensava em um carro popular?"
07/09/1987,João Augusto Amaral Gurgel,6,Amaral Gurgel,"Por incrível que pareça, esse carro é... era o mesmo... basicamente o mesmo conceito. A única diferença é que o primeiro carro tinha dois lugares só, e o nosso agora tem quatro lugares. Porque depois de umas pesquisas que nós fizemos, nós verificamos que o quatro... o carro de quatro lugares é o único que tem possibilidade de ter uma venda muito grande. O carro de dois lugares tem uma venda muito restrita, porque apesar de nós carregarmos, nas ruas de São Paulo, uma média de 1,2 pessoas por carro, um carro de lugar... o carro de dois lugares pareceria que seria um carro [com] quase o dobro da capacidade da média [dos carros]. Mas, como alguém neste programa já disse uma vez que uma pessoa morreu afogada num rio que tem uma profundidade média de um metro, é sempre necessário [prevenir] num carro de família, que de vez em quando tem que levar pelo menos quatro lugares. Então nós modificamos o projeto para isso. Mas basicamente era o mesmo carro."
07/09/1987,João Augusto Amaral Gurgel,7,Augusto Nunes,"Doutor Gurgel, antes de passar a palavra aos meus... aos nossos convidados aqui presentes, os telespectadores já começam a telefonar, e dois deles, o senhor Gilberto, de São Bernardo, e José Cotrin, de Santana, fazem basicamente a mesma pergunta: “Que tipo de apoio efetivo o governo federal deu ou está dando ao senhor no... no caso específico do Cena?”."
07/09/1987,João Augusto Amaral Gurgel,8,Amaral Gurgel,"Nós, no passado, nós nunca tivemos praticamente nenhum apoio do governo, a não ser alguns financiamentos por parte do BNDES [Banco Nacional de Desenvolvimento Econômico e Social {Banco Nacional de Desenvolvimento Econômico e Social: Banco Nacional de Desenvolvimento Econômico e Social. Ex-autarquia federal criada em 20 de junho de 1952, o BNDES tornou-se uma empresa pública federal, com personalidade jurídica de direito privado e patrimônio próprio em 21 de junho de 1971. O BNDES é um órgão vinculado ao Ministério do Desenvolvimento, Indústria e Comércio Exterior e tem como objetivo apoiar empreendimentos que contribuam para o desenvolvimento do país.}], naquele tempo BNDE, e foi neste governo que nós tivemos o primeiro apoio substancial do Ministério de Ciência e Tecnologia [MCT], através da Finep, Financiadora de Estudos e Projetos [empresa pública que promove e financia a inovação e a pesquisa científica e tecnológica em empresas, instituições etc]. Para fazer o nosso carro, nós achávamos, no começo, que nós podíamos comprar tecnologia de um motor, e procuramos no mundo, e achamos que o motor do Citroën Deux-Chevaux [carro barato e prático também chamado 2cv, lançado na França no período pós-Segunda Guerra] seria o primeiro motor, [o] mais indicado. Mas as negociações com a Citroën foram cada vez mais difíceis, e terminaram quando eles quiseram impor que os carros seriam feitos sob o nome de Citroën, e [que] todas as especificações deviam ser mantidas no projeto, e [que] a Gurgel não poderia exportar nenhum carro com esse motor sem uma prévia autorização da Citroën da França, para verificar se não haveria interferências de mercado. Uma vez que eles disseram isso, praticamente acabou o nosso relacionamento com a Citroën, porque nós queríamos ter liberdade total de exportar esse carro para onde quiséssemos. Então procuramos a Finep, que é ligada ao Ministério de Ciência e Tecnologia, e dissemos o seguinte: “o Brasil precisa ter uma fábrica de automóveis totalmente brasileira.”. Uma fábrica dessas pode se iniciar com cem milhões de dólares. Mas, naturalmente, eu acho que eu poderia provar ao governo que nós poderíamos fazer isso, gastar cinco por cento desse valor de cem milhões de dólares e fazer uma fábrica piloto. Então eles pediram para apresentar um plano, nós apresentamos um plano, foi aprovado em abril do ano passado, mas... e ele correu muito rapidamente, por dois fatores: primeiro porque o carro já estava na minha cabeça - apesar de não estar na prancheta, já estava na minha cabeça -, com todos os detalhes; segundo lugar, que nós tivemos um apoio muito grande dos nossos fornecedores especialistas em cada campo. Então, praticamente em um ano, mais ou menos, nós construímos a fábrica e fizemos o primeiro motor, que era a parte básica do carro, [...] e motor de transmissão. E a fábrica foi inaugurada dia 24 de junho, este ano, dia de aniversário de Rio Claro; e prometemos nessa época, então, ao ministro Renato Archer [ministro da Ciência e Tecnologia, de 1985 a 1987], que foi quem inaugurou essa fábrica de motores, que no dia sete de setembro o nosso carro estaria rodando, em Brasília, na parada de sete de setembro, para dar uma conotação de independência tecnológica, e, sendo o primeiro carro brasileiro, seria o primeiro passo para a nossa independência tecnológica."
07/09/1987,João Augusto Amaral Gurgel,9,José Carlos Marão,"Gurgel, o... bom, eu acompanho o seu trabalho faz tempo, você sabe disso, e noto que você sempre procurou e sempre teve idéias muito criativas, quase sempre viradas para a necessidade brasileira e para necessidade urbana. Você já projetou o Xef [carro lançado pela fábrica Gurgel, no Salão do Automóvel em 1981, de dimensões reduzidas e que não possuia compartimento para bagagem, mas sim uma pequena carreta, que, engatada ao veículo, funcionava como um porta-malas removível], e antes do Xef você estava pesquisando o carro elétrico, que a gente acompanhava com muito interesse. Eu pergunto: o carro econômico nacional, o projeto Cena, ele á a melhor solução? Quer dizer, você abandonou a pesquisa do carro elétrico, abandonou a pesquisa do Xef?"
07/09/1987,João Augusto Amaral Gurgel,10,Amaral Gurgel,"Veja, José Carlos, você... em primeiro lugar, as coisas mudam. Quando nós estávamos fazendo os primeiros carros - não é? -, nós já passamos por outras coisas, por exemplo. A finalidade é fazer um carro popular em alta escala, sempre foi essa a idéia. Mas o recurso era muito pouco. Eu comecei a Gurgel com 50 mil cruzeiros, praticamente 10 mil dólares naquele tempo, e todo mundo deu risada, porque fazer uma fábrica começando com 10 mil dólares é uma loucura total. Só a minha mulher que me apoiou nessa data, nessa época, porque, de fato, eu costumo dizer que quando eu trabalhava na Ford [empresa norte-americana do setor automotivo], chegava no fim do mês [e] sobrava muito dinheiro. Depois que eu tive a minha fábrica própria, chegava no fim do dinheiro [e] sobrava muito mês. Isso é difícil no começo, e você... e nós fizemos, fomos obrigados até a fazer karts de competição, onde aprendemos muito sobre motores. Fomos obrigados a fazer carros de criança, depois conseguimos com muito custo as plataformas da Volkswagen [empresa alemã do setor automotivo], para nós colocarmos uma carroceira em cima; seria parte do início dos buggies no Brasil. Depois nós resolvemos, em 1972, fazer nosso próprio chassis, e começamos a fazer o jipe. E verificamos que nós temos que procurar... a Gurgel tinha que procurar brechas no mercado, ela não tinha jeito de entrar exatamente na concorrência das multinacionais, que não tinha nenhuma chance de sobrevivência. Mas aí ficamos, no caso da... da Willys [Willys Overland do Brasil, empresa automobilística nacional fundada em 26 de abril de 1952, em São Bernardo do Campo], por exemplo, que eu tinha trabalhado... trabalhado lá, eu sabia que o ponto de equilíbrio da Willys eram trezentos carros. E se eu entrasse nesse campo e dividisse o mercado com eles, trezentos carros por mês, [se] eu dividisse [produzindo] 150 carros por mês, eu desequilibraria a parte financeira da Willys e eles desistiriam do jipe. E foi isso que eu fiz, para poder ter um pouco mais de avanço na área de... de produção de veículos. Então, o nosso jipe... o jipe foi uma obrigação, foi uma... foi o caminho que nós tivemos para entrar em cima do mercado automobilístico."
