DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/05/1991|João Santana|1|Jorge Escosteguy| Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Este programa também é transmitido, ao vivo, pelas TV’s educativas de Porto Alegre, Ceará, Piauí, TV Cultura de Curitiba e retransmitido pela TV Educativa de Salvador. O convidado do Roda Viva desta noite é o secretário de Administração do governo federal, João Santana, atualmente presidente da Comissão Especial de Fiscalização e Controle que atua nas denúncias de fraude na Previdência. Para entrevistar João Santana, esta noite no Roda Viva, nós convidamos a jornalista Mônica Teixeira; Luciano Martins, editor de Opinião e colunista do jornal o Estado de S. Paulo; Dácio Nitrini, diretor de operações jornalísticas do SBT, Ottoni Fernandes, jornalista da Gazeta Mercantil; Luiz Weiz, editor da revista Superinteressante da Editora Abril; Carlos Conde, diretor do jornal Correio Brasiliense em São Paulo; Carlos Eduardo Lins da Silva, jornalista da Folha de S. Paulo. Você que está em casa assistindo o programa, e quiser fazer perguntas por telefone, pode chamar (11) 252-6525, a Shizuka, a Cristina e a Márcia estarão anotando as suas perguntas. Boa noite secretário.
06/05/1991|João Santana|2|João Santana| Boa noite.
06/05/1991|João Santana|3|Jorge Escosteguy| Numa entrevista recente aos jornais o senhor disse que o sistema da Previdência está furado – que está furado todo mundo parece que já sabe em função dessas denúncias de fraude – inclusive causou certa perplexidade. Como as pessoas conseguiam receber, sem que ninguém achasse estranho, oito milhões, quinze milhões, doze milhões num mês? Em que pé está hoje a apuração dessas denúncias de fraude na Previdência? O quê o contribuinte, que está em casa, que pagou esse rolo todo, pode saber hoje, em função do que o governo federal está fazendo?
06/05/1991|João Santana|4|João Santana| Bom, em primeiro lugar, eu acho importante, como você mesmo disse, que os erros da Previdência, do sistema, as fraudes, má versação do dinheiro público, e tudo o que nós hoje estamos analisando com mais profundidade, são questões que vêm ocorrendo no Brasil há pelo menos 20 anos. E, ocorre no Brasil há 20 anos porque é um sistema previdenciário, de organização da Previdência totalmente - como eu disse nessa entrevista - furado, e que possibilita, deixa várias portas abertas para que pessoas pratiquem fraudes e acabem levando dinheiro público para os seus bolsos particulares. Eu acho que a diferença fundamental que existe hoje é que, pela primeira vez, a partir de denúncias de uma suposta lista de marajás e de outros escândalos na Previdência, este governo, o presidente Fernando Collor, tomou a si a tarefa de tentar de uma vez por todas resolver o problema da Previdência. Nomeou a comissão, a qual a gente preside, e determinou que nós tomássemos várias medidas. Primeiro, que a gente verificasse e desse todas as condições para que as fraudes fossem apuradas corretamente, que a polícia federal tivesse as condições de abrir os inquéritos e colocar as pessoas à disposição da Justiça. Em segundo, eu acho que tão importante quanto apurar as fraudes, é que efetivamente nós possamos construir uma nova Previdência, que nós possamos reorganizá-la e fechar as portas abertas para a fraude. Num rápido balanço, nos 30 dias da comissão, eu posso dizer que hoje nós já temos mais de 30 pessoas – nesses 30 dias – mais de 30 pessoas presas, à disposição da Justiça; mais de 50 mandados de prisão preventivas ou provisórias requeridas nas várias Justiças do Brasil; mais de 680 inquéritos policiais abertos; mais uma outra dezena de inquéritos administrativos. Tomamos algumas medidas emergenciais no sentido de organização da Previdência, que foram amplamente noticiadas pelo jornal e que já nos deu fruto de que nesses trinta dias da Previdência, por um lado, a arrecadação previdenciária aumentou bastante – em alguns estados excedendo a 40% relativo aos 30 dias anterior. E também, conseguimos decrescer muito o número de benefícios pagos pela Previdência.
06/05/1991|João Santana|5|Jorge Escosteguy| O senhor falou em pessoas presas, essas pessoas usam colarinho-branco ou é chamada "raia miúda" [expressão que significa grupo de pessoas pouco importantes, sem poder, "peixe pequeno"] que está presa? 
06/05/1991|João Santana|6|João Santana| Bom eu acho que primeiro, eu não sei qualificar direito que tipo de vestimenta elas usam, mas efetivamente...
06/05/1991|João Santana|7|Jorge Escosteguy| São os "grandes peixes", ou seja, os "cabeças"?
06/05/1991|João Santana|8|João Santana| Acho que são pessoas importantes. No Rio de Janeiro nós prendemos uma quadrilha cujo chefe era um coronel da PM. Ainda na semana passada nós prendemos quatro advogados que tinham grandes escritórios – só para você ter uma idéia – esta quadrilha do coronel que foi presa em Niterói, a avaliação preliminar da polícia federal de quanto eles retiravam da Previdência era de cinco milhões cruzeiros dia. Agora, efetivamente, além dessas pessoas, quer dizer, fraudes, você tem que ser radical nessa linha e nessa ação. Então, nós temos prendido não só grandes fraudadores como também pequenos fraudadores.
06/05/1991|João Santana|9|Jorge Escosteguy| O Luiz Weiz tem uma pergunta. Antes disso, só comunicar que o secretário respondeu agora também as perguntas dos telespectadores Paulo César aqui de São Paulo e Sérgio Fernandes.
06/05/1991|João Santana|10|Luiz Weis| Secretário, o senhor disse que mais importante que essa operação policial é criar os fundamentos de uma nova Previdência. 
