DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
22/07/2002|John Neschling (Claudia)|1|Programa ao vivo|rograma ao vivo
22/07/2002|John Neschling (Claudia)|2|Paulo Markun|Boa noite. Bom maestro, bons músicos, apoio público, verbas, boa administração, uma receita aparentemente simples, quase óbvia, para se ter uma boa orquestra. Mas no Brasil quase sempre faltaram verbas, interesse, seriedade, embora não tenham faltado bons músicos e bons maestros. No entanto, nos últimos cinco anos, aqui em São Paulo, uma experiência com base no talento, no esforço e na boa administração, deu ao Brasil uma orquestra sem precedentes e que hoje pode tocar onde quiser, porque tem público e reconhecimento. Estamos falando da Orquestra Sinfônica do Estado de São Paulo e do seu regente titular o maestro John Neschling, convidado desta noite do Roda Viva. Ele rege no próximo sábado o concerto de encerramento do Festival de Inverno de Campos de Jordão.
22/07/2002|John Neschling (Claudia)|3|[Comentarista Valéria Grillo]|A música erudita está na vida de John Neschling desde criança. Influenciado pela tradição musical da família, estudou piano e depois viajou à Áustria para um curso de regência em Viena. Ganhou vários concursos para regente na Europa e foi diretor de orquestras na Suíça, em Portugal, no Rio de Janeiro e em São Paulo. À frente da Sinfônica paulista há cinco anos, John Neschling é o responsável pela nova fase da orquestra, mais profissional, mais atuante. “Eu tenho a impressão que nunca vamos chegar ao ponto ideal, mas eu acho que a orquestra deu um passo gigantesco” [fala de John Neschling no VT]. A ressurreição da Orquestra Sinfônica do Estado de São Paulo [Osesp] contou também com um elemento importante. A orquestra ganhou casa própria, a estação Júlio Prestes, a Sorocabana, um marco na memória urbana da cidade, foi transformada em centro cultural, com um sofisticado auditório para 1.600 pessoas. A Sala São Paulo, sede da Osesp foi uma das exigências feitas por Neschling, ao assumir o cargo de diretor artístico em 97. “Uma orquestra precisa de uma sala para ensaiar, para criar o seu som, para se desenvolver como um conjunto sinfônico, para se ouvir, para se gostar. É como você dar uma casa nova para uma pessoa, ou um hospital novo para um cirurgião, ou um estádio novo para um time de futebol” [fala de John Neschling no VT]. Neschling reestruturou a orquestra, fez audições para reavaliar os integrantes, abriu concursos internacionais e aumentou o salário dos músicos. John Neschling é o terceiro maestro a dirigir a Sinfônica de São Paulo, o primeiro foi Souza Lima, o criador. A orquestra foi criada por lei em 1953, mas funcionou só por seis meses. A verba foi cortada, os músicos foram para casa e não voltaram mais por 20 anos. Eleazar de Carvalho foi o segundo diretor. Assumiu em 73 e fez a primeira grande reestruturação da Sinfônica. Foram 10 anos de bom prestígio e boa atuação. Mas a crise econômica da década de 80 deu outro golpe. Os salários encolheram, a orquestra chegou a ficar sem lugar para ensaios e até sem dinheiro para comprar partituras; histórias de humilhações e desprezos que marcaram a música sinfônica em São Paulo. O novo som que há três anos vem da Sala São Paulo e que já dá projeção internacional à orquestra, ajuda também a firmar na cidade a noção do que é ser músico, do esforço que isso precisa, a noção de que esse trabalho tem importância, tem valor e é muito difícil de fazer.
22/07/2002|John Neschling (Claudia)|4|Paulo Markun|Para entrevistar o maestro John Neschling, nós convidamos o Arthur Nestrovski, articulista do jornal Folha de S. Paulo; Luiz Paulo Horta, crítico de música do jornal O Globo; Tom Zé, cantor, compositor e pensador; Eduardo Camenietzki, compositor, arranjador e regente; Dante Pignatari, músico e produtor da rádio Cultura, e João Marcos Coelho, crítico de música e colaborador do jornal O Estado de S. Paulo e da revista Bravo. Boa noite, maestro.
22/07/2002|John Neschling (Claudia)|5|John Neschling|Boa noite.
22/07/2002|John Neschling (Claudia)|6|Paulo Markun|Verificando aí a pesquisa que a TV Cultura sempre proporciona às pessoas que participam do programa, a gente vê em relação ao senhor duas claras vertentes. De um lado, um enorme reconhecimento pelo trabalho, pela competência e tal. Por outro lado, uma vertente polêmica, em várias circunstâncias, tanto em ocasiões de briga com as administrações dos lugares onde o senhor trabalhou, pela defesa dos interesses e outras [circunstâncias] de simplesmente falar o que pensa mesmo. São duas faces da mesma moeda, uma coisa não funciona sem a outra, e se o senhor não fosse essa pessoa firme e decidida, não tinha chegado aonde chegou?
22/07/2002|John Neschling (Claudia)|7|John Neschling|Eu acho que a gente vai se desenvolvendo com a vida, a gente vai entendendo o que a gente quer, a gente vai desenvolvendo os princípios dos quais não quer abrir mão, acredita no caminho que a gente tem, acredita no trabalho que quer fazer e acaba por estabelecer critérios dos quais não quer arredar o pé. Então eu acho que é natural. Já no último Roda Viva [de que eu participei], eu disse uma vez que se eu sou polêmico, eu estou em boa companhia, porque os grandes polêmicos sempre foram aqueles que pensaram mais, aqueles que conseguiram ir mais longe também. Não são dois lados da mesma moeda, é a mesma moeda. O trabalho que eu exijo de mim eu exijo dos outros. Portanto eu acho que o fato de ser polêmico não é necessariamente uma desvantagem, o fato de dizer o que se acha também não é necessariamente uma atitude polêmica e nem uma atitude agressiva, mas uma característica de uma pessoa que sabe o que quer e tem uma linha na vida, sabe aonde quer chegar. Eu, desde o início, soube onde eu quis chegar com a Osesp. Evidentemente, nem sempre na minha vida, eu tinha essa experiência e essa possibilidade, então eu tive outras experiências que todos os meus colegas aqui conhecem, que talvez, não foram tão bem sucedidas, mas talvez por culpa minha mesmo, por falta de experiência na altura, falta de idade, de... Eu acho que quando eu cheguei na Osesp, a constelação era extremamente favorável, eu tive uma ajuda extraordinária do governo. Um governo que, pela primeira vez na história do Brasil, teve vontade política para fazer uma orquestra sinfônica dessa natureza e de construir uma sala de concertos, um sonho que o Brasil alimentava há muitos anos, desde sempre, porque nós tínhamos algumas salas líricas no Rio de Janeiro, em São Paulo, mas uma verdadeira sala sinfônica não existia no Brasil e não existe no Brasil além da [Sala São Paulo]... Eu diria que quase não existe na América Latina, conheço pouquíssimas casas sinfônicas, não é? 
22/07/2002|John Neschling (Claudia)|8|Paulo Markun|O senhor estava se referindo ao governo, o senhor estava falando do governador Mário Covas.
22/07/2002|John Neschling (Claudia)|9|John Neschling|Do governador Mário Covas e do secretário Marcos Mendonça. 
22/07/2002|John Neschling (Claudia)|10|Paulo Markun|E o governador Alckmin continua prestigiando? 
