DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/01/1999|Jorge Wilheim|1|Paulo Markun| Boa noite. Ele acha que o amor pela cidade de São Paulo poderá ser despertado quando se fizer, abre aspas: “da atual terra de ninguém, um gratificante e belo espaço de todos.” No aniversário da metrópole, que ainda não se transformou num espaço gratificante, o Roda Viva entrevista esta noite um dos urbanistas mais importantes do mundo contemporâneo, Jorge Wilheim.
25/01/1999|Jorge Wilheim|2|[Comentarista]| Italiano, naturalizado brasileiro, 69 anos, Jorge Wilheim é formado em arquitetura e urbanismo pela Universidade Mackenzie de São Paulo. Começou a carreira pública como secretário de Planejamento do estado de São Paulo, em 1975. Depois foi secretário municipal de Planejamento, em 1983. Em 1987 ocupou a Secretaria Estadual do Meio Ambiente, e em 1991 foi dirigir a Emplasa, Empresa Metropolitana de Planejamento da Grande São Paulo. Envolvido diretamente, por quase duas décadas, com questões metropolitanas e ambientais, tornou-se um dos mais importantes técnicos e estudiosos da vida urbana. Autor de importantes projetos arquitetônicos, já publicou uma dezena de livros sobre urbanismo e planejamento. Conquistou reconhecimento mundial e foi nomeado pela ONU para organizar e conduzir a Conferência Habitat II, realizada em Istambul na Turquia, em 1996. A conferência reuniu técnicos e governantes de mais de 150 países para discutir iniciativas e fechar compromissos em torno de idéias capazes de recuperar, preservar e promover a melhoria da qualidade de vida nas cidades. Foi um alerta, um grito de preocupação com o acelerado processo de urbanização em praticamente todo o mundo. O esvaziamento do campo e o crescimento, em geral desordenado, das cidades criaram sérios desafios para especialistas e políticos. Os problemas urbanos já são apontados como um dos principais dramas que serão vividos pela humanidade no próximo século - dois terços da população do mundo viverá em cidades no ano de 2025. Inclusive, o Brasil já passou dessa marca. Nas contas do IBGE, 78% dos brasileiros já viviam em áreas urbanas em 1996. Estamos ameaçados pelo mesmo caos que ronda a maioria das metrópoles do mundo, uma ameaça séria, representada pela crise da habitação, do saneamento, e por outros problemas sociais que têm transformado as cidades em amontoados urbanos sombrios, injustos e infelizes.
25/01/1999|Jorge Wilheim|3|Paulo Markun| Para entrevistar o urbanista Jorge Wilheim, convidamos o jornalista Washington Novaes, consultor de jornalismo da TV Cultura de São Paulo; o arquiteto Flávio Villaça, professor titular de planejamento urbano da Faculdade de Arquitetura e Urbanismo da USP, a FAU; o professor Milton Santos do Departamento de Geografia da Universidade de São Paulo; o professor da PUC, da Fundação Getúlio Vargas e prefeito de Santo André, Celso Daniel; o arquiteto Luiz Carlos Costa, professor de planejamento urbano da FAU na USP; a arquiteta e paisagista Rosa Grena Kliass, e o economista Ladislau Dowbor, professor de pós-graduação de economia da PUC. O Roda Viva é transmitido em rede nacional para todos os estados nacionais e também para Brasília. Porém, hoje, infelizmente, você não poderá fazer perguntas para o entrevistado pois ele está sendo gravado. Boa noite, Jorge.
25/01/1999|Jorge Wilheim|4|Jorge Wilheim| Boa noite.
25/01/1999|Jorge Wilheim|5|Paulo Markun| No dia do aniversário da cidade de São Paulo que tem hoje 445 anos, há alguma coisa para comemorar? 
25/01/1999|Jorge Wilheim|6|Jorge Wilheim| Bom, eu sou um otimista, né? Então, sempre busco alguma coisa que possa servir, até para uma comemoração. Eu acho que a cidade não está bem, a cidade está mal, os tais espaços públicos que você mencionou estão se perdendo. No entanto, se percebe nos interstícios desses aspectos negativos da cidade, percebe-se aqui e acolá pequenas alterações na região metropolitana, que permitem manter uma certa esperança.
25/01/1999|Jorge Wilheim|7|Paulo Markun| Por exemplo? 
25/01/1999|Jorge Wilheim|8|Jorge Wilheim| Existem certos bairros em que os próprios moradores decidem melhorar a sua rua, né? Existem organizações de bairro que são cada vez, que reivindicam de forma cada vez mais madura a melhoria de seus bairros, e das suas condições de vida. E eu diria até que esse escândalo da corrupção, numa das administrações regionais, da maneira como está sendo investigada, se, evidentemente, forem às últimas conseqüências é sinal positivo, porque essa corrupção já existe há muito tempo. Então, o fato de poder abrir a ferida e investigar até o fundo, não deixa de ser um sinal levemente positivo.
25/01/1999|Jorge Wilheim|9|Paulo Markun| Não é muito...
25/01/1999|Jorge Wilheim|10|Jorge Wilheim| Mas tem muito caminho a andar.
