DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/03/1996|José Aníbal|1|[programa ao vivo]|programa ao vivo]
11/03/1996|José Aníbal|2|Matinas Suzuki Jr.|Boa noite. Ele é o líder do PSDB na Câmara Federal. No centro do Roda Viva, está o deputado José Aníbal. José Aníbal nasceu em Rondônia e tem 48 anos de idade; estudava economia em Minas Gerais no final dos anos 60, quando entrou para o movimento estudantil. O Ato Institucional Número Cinco [AI-5] o impediu de continuar os seus estudos. Nos anos 70, viveu exilado no Chile, no Panamá e na França. Voltou ao Brasil em 1979, e ajudou a coordenar a campanha das Diretas Já. Em 1994, foi eleito deputado federal pelo PSDB de São Paulo. Desde o ano passado, José Aníbal é o líder da bancada na Câmara Federal. Na semana passada, os governistas sofreram duas derrotas no Congresso, que também se agita com a proximidade das eleições municipais. Para entrevistar hoje o deputado José Aníbal, nós convidamos os jornalistas Luciano Suassuna, redator-chefe da revista IstoÉ; Fernando Canzian, editor da coluna Painel da Folha de S.Paulo; José Paulo Kupfer, editor-chefe do jornal Zero Hora em São Paulo; Fábio Paim, editorialista do jornal O Estado de S. Paulo; Ibsen Spartacus, diretor editorial da Sigla Editora e ex-companheiro nosso aqui da TV Cultura; e Josemar Gimenez, diretor de redação do Diário Popular. O programa Roda Viva é transmitido em rede nacional com 150 outras emissoras de 18 estados brasileiros. Boa noite, deputado José Aníbal.
11/03/1996|José Aníbal|3|José Aníbal|Boa noite.
11/03/1996|José Aníbal|4|Matinas Suzuki Jr.|Como é que vai a coluna?
11/03/1996|José Aníbal|5|José Aníbal|A coluna está boa. Só não permite movimentos bruscos, mas já está bem melhor.
11/03/1996|José Aníbal|6|Matinas Suzuki Jr.|Aliás, problema de coluna é o que não falta nos tucanos do poder: o presidente [Fernando Henrique Cardoso] tem, o ministro [das Comunicações] Sérgio Motta [1940-1998], o senhor...
11/03/1996|José Aníbal|7|José Aníbal|É verdade.
11/03/1996|José Aníbal|8|Matinas Suzuki Jr.|Deputado, na semana passada, como eu estava dizendo na minha introdução, o governo assistiu a duas derrotas no Congresso. A primeira, a instalação de uma CPI dos bancos, e a segunda, no projeto da Previdência. Ao mesmo tempo, o presidente Fernando Henrique tem viajado bastante. O senhor não acha que o presidente está viajando muito, deputado?
11/03/1996|José Aníbal|9|José Aníbal|Não, eu não acho que o presidente está viajando muito. Eu acho que o presidente está, através dessas viagens, assegurando um papel para o Brasil, no exterior, dentro desse contexto de globalização, que é muito importante, definindo acordos, definindo possibilidades de comércio, de integração. Enfim, eu acho que as viagens do presidente não têm a ver com os problemas internos que, eventualmente, nós enfrentamos. Inclusive, eu não acho, Matinas, que nós tenhamos sofrido duas derrotas; uma derrota, sim, na reforma administrativa. Agora, a CPI não é uma derrota do governo. A CPI está aí, foi aprovada pela maioria...
11/03/1996|José Aníbal|10|Matinas Suzuki Jr.|[interrompendo] Deputado, mas o presidente não só antes da CPI falou contra a CPI como, depois da instauração da CPI, voltou a falar que era inoportuna, que atrapalhava os interesses nacionais, que era uma labareda...
