DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
26/10/1987,José Aristodemo Pinotti,1,[...],Programa ao vivo
26/10/1987,José Aristodemo Pinotti,2,Augusto Nunes,"Boa noite. Está começando mais um programa Roda Viva, apresentado pela TV Cultura de São Paulo. O entrevistado do Roda Viva desta noite é um homem que é dono de um currículo vasto e bastante rico, é o doutor José Aristodemo Pinotti, atual secretário de Saúde do estado de São Paulo. Doutor Pinotti foi reitor da Unicamp durante quatro anos, é um dos maiores ginecologistas do país, é diretor do Hospital da Mulher, é presidente da Federação Internacional de Ginecologia e Obstetrícia, desenvolveu novos métodos cirúrgicos adotados em vários países do mundo atualmente, e foi também secretário da Educação no governo Franco Montoro. Por todos esses motivos, e alguns outros, doutor Pinotti está perfeitamente qualificado para sentar-se ao centro desta Roda Viva formada pelos seguintes entrevistadores: Arlindo Chinaglia, médico e presidente do Sindicato dos Médicos do Estado de São Paulo; Osvaldo Giannoti, médico e presidente da Associação Paulista de Medicina; Carlos Morais, editor-chefe da revista Ícaro e jornalista especializado em psicologia; Margareth Martha Arilla, psicóloga e integrante do Conselho da Condição Feminina, área de saúde da mulher; Ana Maria Quadros, coordenadora da Coordenaria do Ensino da Grande São Paulo; jornalista Rui Fernando Barbosa, que é também psicólogo, comentarista de psicologia da TV Record e membro do Centro Oncológico de Recuperação e Apoio; Júlio Abramzick, médico e redator médico da Folha de S. Paulo, e Ubiratan D'Ambrósio, médico e professor da Unicamp. Também teremos a presença, a companhia no programa de hoje do cartunista Paulo Caruso que vai registrar alguns momentos da nossa conversa com o doutor Pinotti. Também temos a presença aqui na platéia de alunos da Faculdade São Marcos do Ipiranga. Doutor Pinotti, o senhor como médico e secretário da Saúde conhece bastante bem a área com que lida atualmente no posto que ocupa, e o senhor também é pai de três filhos. Eu queria que o senhor respondesse com toda a sinceridade, e eu sei que o senhor é um homem franco, o senhor se sentiria seguro se confiasse um dos seus filhos exclusivamente aos cuidados do sistema de saúde do Estado?"
26/10/1987,José Aristodemo Pinotti,3,José Aristodemo Pinotti,"Do estado de São Paulo? Eu me sentiria seguro sim, Augusto. Eu acho que o que falta no estado de São Paulo não é exatamente qualidade, não é exatamente bons hospitais e bons profissionais. O que falta no estado de São Paulo é uma boa organização do sistema de saúde. Nós temos quase tudo o que precisamos no sentido de recursos, temos quase tudo o que precisamos no sentido de pessoas com grande potencial e com grande conhecimento na área da saúde, mas o que está faltando é fazer com que isso possa ser utilizado para a saúde da população, principalmente a população mais carente deste estado. Quer dizer, este enorme esforço que existe entre o que nós temos e o que nós sabemos, e aquilo que nós fazemos para a população mais carente, é o grande desafio do problema de saúde no estado de São Paulo, principalmente. E no caso de um filho meu, eu não teria dúvida nenhuma, salvo raríssimas exceções, em confiá-lo totalmente ao nosso sistema de saúde..."
26/10/1987,José Aristodemo Pinotti,4,Augusto Nunes,"Quantos por cento, doutor Pinotti, do orçamento do governo estadual é reservado para o setor de saúde agora?"
26/10/1987,José Aristodemo Pinotti,5,José Aristodemo Pinotti,Cerca de 6%.
26/10/1987,José Aristodemo Pinotti,6,Augusto Nunes,O senhor acha a porcentagem suficiente? Ou o senhor sugeriria que ela fosse ampliada?
26/10/1987,José Aristodemo Pinotti,7,José Aristodemo Pinotti,Ela tem que ser ampliada e ela será ampliada com o correr dos anos.
26/10/1987,José Aristodemo Pinotti,8,Augusto Nunes,Qual seria o índice ideal?
26/10/1987,José Aristodemo Pinotti,9,José Aristodemo Pinotti,Acho que um bom índice seria alguma coisa em torno de 10%. Várias discussões em relação à questão do orçamento e da saúde têm levado a crer que 10% do orçamento é um bom índice para a saúde.
26/10/1987,José Aristodemo Pinotti,10,Augusto Nunes,O senhor espera chegar a esse índice em que momento da sua gestão?
