DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
29/09/2003,José Carlos Aleluia,1,[...],[programa ao vivo]
29/09/2003,José Carlos Aleluia,2,Paulo Markun,"Boa noite. O PFL [Partido da Frente Liberal {Partido da Frente Liberal: O Partido da Frente Liberal (PFL) surgiu através da dissidência de alguns dos membros Partido Democrático Social (PDS), no ano 1985. À época, o Brasil se encontrava em um período de transição após duas décadas de regime militar. Em 1984 havia sido votada no Congresso Nacional a emenda Dante de Oliveira, que propunha eleições diretas para a Presidência da República. Com a derrota da emenda, o PDS (que foi estruturado a partir do antigo Arena, partido que apoiava o regime), lançou como candidato à presidência o ex-governador do estado de São Paulo, o empresário e engenheiro Paulo Maluf. Descontentes tanto com a derrota da emenda, já que apoiavam as eleições diretas, quanto com a candidatura de Maluf, alguns dos membros do PDS, dentre eles Aureliano Chaves, Marco Maciel, Jorge Bornhausen e José Sarney, criaram um grupo dissidente ao qual deram o nome de Frente Liberal. Articulando politicamente com o candidato Tancredo Neves, do PMDB, a Frente Liberal conseguiu que um de seus membros, o senador José Sarney, compusesse, como vice, a chapa para a presidência da República. Tancredo Neves e José Sarney foram eleitos pelo Colégio Eleitoral em 15 de janeiro de 1985, e nove dias depois - em 24 de janeiro daquele ano, portanto - deu-se a fundação do Partido da Frente Liberal. Em 2007 o partido passou por uma espécie de “refundação”, alterando seu nome para Democratas (DEM).}] está cumprindo seu papel de oposição na votação das reformas do governo Lula, mas paga um preço por isso. Sua bancada no Congresso encolheu: o PFL saiu das eleições com 84 deputados, e só perdia para o PT no tamanho da bancada na Câmara. Hoje, tem 66 deputados e perde também para o PMDB, que aderiu à base governista. No Senado, o PFL caiu de 19 para 18 cadeiras, mas se mantém como a segunda maior bancada. Para falar da posição do Partido da Frente Liberal sobre as reformas e também dos problemas que enfrenta, está no centro do Roda Viva desta noite o líder do PFL na Câmara, deputado José Carlos Aleluia."
29/09/2003,José Carlos Aleluia,3,[...],[inserção de vídeo]
29/09/2003,José Carlos Aleluia,4,Narração de Valéria Grillo,"Ele foi eleito pela primeira vez em 1989. Hoje, cumpre seu quarto mandato consecutivo como deputado federal pelo PFL da Bahia. José Carlos Aleluia, de 55 anos, é casado e tem cinco filhos. Nasceu em Salvador, onde se formou engenheiro eletricista, foi professor universitário e presidiu a Companhia Hidro Elétrica do São Francisco [Chesf] antes de se lançar na política. Teve atuação destacada no Congresso e foi secretário-geral da executiva nacional do PFL. Como líder da bancada na Câmara, é peça-chave nas negociações sobre as reformas e no encaminhamento da votação. O presidente Luiz Inácio Lula da Silva quer aprovar o maior número possível de propostas este ano, porque teme um esvaziamento do Congresso no ano que vem, quando as atenções dos partidos estarão voltadas para as eleições municipais. O PFL, que elegeu três governadores no ano passado, é um partido forte nos municípios, tem 1027 prefeitos em todo o país."
29/09/2003,José Carlos Aleluia,5,[...],[fim do vídeo]
29/09/2003,José Carlos Aleluia,6,Paulo Markun,"Para entrevistar o líder do PFL na Câmara Federal, deputado José Carlos Aleluia, nós convidamos: Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo; Maria Lima, coordenadora de política da sucursal de Brasília do jornal O Globo; Luciano Suassuna, diretor de redação da revista IstoÉ Gente; Gerson Camarote, editor da sucursal de Brasília da Revista Época; Reinaldo Azevedo, diretor de redação da revista e do site Primeira Leitura; e Otávio Cabral, repórter da coluna Painel do jornal Folha de S.Paulo em Brasília. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e para Brasília também, por meio da rede pública. Boa noite, deputado."
29/09/2003,José Carlos Aleluia,7,José Carlos Aleluia,Boa noite.
29/09/2003,José Carlos Aleluia,8,Paulo Markun,"Quem acompanha, como eu acompanho, a TV Câmara, com regularidade, certamente descobriu no senhor um desempenho surpreendente e realmente muito afinado como líder da oposição. O senhor tem sabido usar o regimento com muita competência, tem obstruído os trabalhos de votações importantes, muitas vezes ali no gogó, como se diz, e o que eu queria saber é o seguinte: o senhor prefere ser governo ou oposição?"
29/09/2003,José Carlos Aleluia,9,José Carlos Aleluia,"Olha, eu estou fazendo o papel que o eleitor me destinou. Nós perdemos a eleição, e na democracia é fundamental que as oposições sejam exercidas pelos que perderam a eleição, portanto eu me sinto muito bem no papel que o eleitor destinou a meu partido e a mim."
29/09/2003,José Carlos Aleluia,10,Paulo Markun,Mas nem todo mundo do partido do senhor age dessa forma.
29/09/2003,José Carlos Aleluia,11,José Carlos Aleluia,"A maioria [age]. O partido tem um núcleo, o núcleo de poder do partido, a executiva do partido, e a grande maioria dos seus congressistas entende que nós devemos fazer uma oposição responsável, uma oposição crítica, uma oposição que possa trazer cooperação para o governo, colaboração para o governo, mas nunca uma adesão. Portanto, o partido está crescendo exatamente pela coerência, está exercendo o papel que lhe foi destinado. E o grande segredo da liderança é exatamente ter um colégio de vice-líderes atuante, e temos conseguido isso e uma boa assessoria."
29/09/2003,José Carlos Aleluia,12,Gerson Camarotti,"Deputado, no início da reforma da Previdência o senhor chegou a conversar com o ministro José Dirceu {José Dirceu: José Dirceu de Oliveira e Silva, político e advogado brasileiro, com base política no estado de São Paulo, é um dos fundadores do PT - Partido dos Trabalhadores. Líder estudantil nas décadas de 60 e 70, Dirceu foi preso e, posteriormente, trocado por um embaixador americano sequestrado por grupos guerrilheiros revolucionários da esquerda brasileira da época. Exilou-se em Cuba. Voltou clandestinamente ao Brasil, em 1975, e morou durante cinco anos, usando identidade falsa, em Cruzeiro do Oeste, no interior do Paraná, onde se casou e teve um filho. Com a redemocratização, em 1980, ajudou a fundar o Partido dos Trabalhadores, do qual foi presidente nacional durante a década de 1990. Exerceu vários mandatos como deputado federal até 2003, quando - com a ascensão do partido ao governo federal, com a eleição de Lula - assumiu a Chefia da Casa Civil da Presidência da República. Com enorme influência, foi um dos acusados pelo esquema do chamado mensalão e teve seu mandato de deputado federal cassado, a pedido da CPI criada para o caso, no dia 1º de dezembro de 2005 e, portanto, é inelegível até 2015. Continua atuando nos bastidores da política nacional e como consultor de empresários.}. O senador Antônio Carlos Magalhães [senador ACM] conversa com frequência – pelo menos ele fala, verbaliza isso – com o ministro José Dirceu. A Roseana [Roseana Sarney {Roseana Sarney: Governadora do Maranhão de 1995 a 2002 pelo PFL. Filha do ex-presidente José Sarney, iniciou uma campanha de propaganda do PFL na televisão, conquistando crescente popularidade e garantindo a pré-candidatura na disputa pela eleição presidencial para sucessão de Fernando Henrique Cardoso em 2002. Uma rápida ascensão nas pesquisas apontavam Roseana em segundo lugar, logo abaixo do candidato petista Luiz Inácio Lula da Silva, que liderava as intenções de voto, deixando o candidato do PSDB, José Serra, em terceiro lugar. Porém, em abril de 2002, retirou sua candidatura à Presidência após queda de popularidade decorrente do caso Lunus. A empresa de consultoria Lunus, de seu marido, Jorge Murad, da qual ela também era sócia, foi invadida pela Polícia Federal com autorização judicial, em ação que apreendeu documentos que comprovariam desvio de dinheiro e uma quantia de R$ 1,34 mi. Aliados de Roseana afirmam que a operação teria sido articulada por setores do PSDB interessados em fragilizar sua candidatura. Em 2006, foi a segunda colocada nas eleições para o governo do Maranhão, mas assumiu o cargo em 2009, após a cassação do mandato do governador Jackson Lago.}], senadora do seu partido, recentemente foi vista no Palácio da Alvorada. O PFL está entrando no governo de alguma forma? Ele está com uma boa convivência com o governo Lula?"
29/09/2003,José Carlos Aleluia,13,José Carlos Aleluia,"Não. O PFL não está entrando no governo e não tem uma boa convivência com o governo Lula. Agora, a oposição numa democracia tem sempre que estar disposta a conversar com o governo. Eu já tive mais de uma conversa com o ministro José Dirceu e com outros ministros do governo. Isso não significa estar com o governo, significa discutir e contribuir. O PFL contribuiu na reforma da Previdência e contribuiu na reforma tributária, mas nunca esteve ao lado do governo e não estará ao lado do governo."
29/09/2003,José Carlos Aleluia,14,Maria Lima,"Nessa guerra, deputado, da obstrução que o senhor está fazendo, que é quase uma guerra, o senhor fica isolado às vezes. O que é mais difícil: lutar internamente contra a oposição que o senhor tem dentro do PFL, através do deputado ACM Neto, do Paulo Magalhães, da Roseana também, ou contra os governistas?"
29/09/2003,José Carlos Aleluia,15,José Carlos Aleluia,"Dentro do partido, nós temos resolvido muito bem; o deputado ACM Neto e eu temos nos entendido muito bem, e aliás foi muito importante a cooperação que ele nos deu durante a votação da reforma tributária. Na reforma da Previdência, tivemos mais dificuldades."
29/09/2003,José Carlos Aleluia,16,[...],"E o partido ficou rachado, meio a meio, não é?"
29/09/2003,José Carlos Aleluia,17,José Carlos Aleluia,"Dificuldades pelas ações dos governadores. Temos que reconhecer que, na reforma da Previdência, havia interesses dos governos dos estados envolvidos. Na reforma tributária, nós tivemos uma ação muito unida; o partido se mostrou muito unido, ficamos de certa forma isolado, embora o PSDB não tenha votado com o governo [...]."
29/09/2003,José Carlos Aleluia,18,Maria Lima,"[interrompendo] Pois é, o PSDB está em cima do muro? Está difícil de ter uma parceria com o PSDB na oposição?"
29/09/2003,José Carlos Aleluia,19,José Carlos Aleluia,"Eu não diria que está em cima do muro; o PSDB fez um acordo de procedimento, tomou um caminho... eu não tenho dúvida de que PSDB estará na oposição conosco."
29/09/2003,José Carlos Aleluia,20,Reinaldo Azevedo,"Deputado, eu queria ouvi-lo sobre uma questão um pouquinho mais geral, na medida em que o senhor se destaca como líder da oposição, fazer aqui algumas considerações. O governo Lula coleciona – e eu vou usar aqui só números, fatos – uma coleção formidável de fracassos nesses nove meses [de governo], não é? Não precisa o PFL para apontar, bastam os números, está certo? Então, o desemprego em agosto sobre agosto, no acumulado de doze meses, chegou a 13%, quando a expectativa era que caísse; a renda caiu 13,8%; o Fome Zero {Fome Zero: Fome Zero é um programa do governo federal criado na gestão do presidente Luiz Inácio Lula da Silva, em 2003, e tem como objetivo principal a erradicação da fome e da pobreza extrema no país. É coordenado pelo Ministério do Desenvolvimento Social e Combate à Fome e consiste numa estratégia governamental para garantir o direito a alimentos básicos. As iniciativas do programa vão desde a ajuda financeira às famílias mais pobres (com o cartão Bolsa Família) até a criação de cisternas no sertão nordestino, passando pela construção de restaurantes populares, a instrução sobre hábitos alimentares, a distribuição de vitaminas e suplementos alimentares, o empréstimo de microcrédito para famílias mais pobres, entre outras.}, diz o Primeira Leitura que não existe, diz o Estadão que virou apenas uma marca, talvez, acho, o caso de fracasso de uma proposta eleitoral mais estrepitoso da história do Ocidente, está certo? Não obstante, coleciona também alguns sucessos, não é? O risco-Brasil [risco-país para o Brasil], de fato, parece que se fixa aí na casa dos seiscentos e poucos pontos; o dólar está sob controle; o C-bond está aí com uma valorização perto de 92%, os títulos brasileiros da dívida... Muito bem, aqueles que são fracassos são justamente as coisas que teriam uma tradução popular mais imediata: desemprego, renda, Fome Zero. Os sucessos, ainda que tenham uma importância para o trabalhador, é uma importância que vai na linha derivada, quer dizer, tudo bem, dólar e risco de algum modo são importantes, mas o trabalhador não consegue entender isso, a população não consegue entender isso no seu exato detalhe. Não obstante, o presidente Lula tem uma popularidade absolutamente extraordinária. E descolado do seu governo e mesmo o do seu governo, ainda é um índice de aprovação muito bom, de sorte que, se disputasse a eleição hoje, não tenho dúvida de que o Lula ganharia de novo. E a maioria dos analistas aponta que, salvo hecatombe, será reeleito. Minha pergunta é um pouco assim: o que foi que vocês fizeram no poder, PFL e PSDB, para que, malgrado o Lula ser uma figura carismática etc, a verdade é que os fracassos estão aí, mas a aceitação do presidente também está aí. O que foi que vocês fizeram no poder que fez com que a população preferisse e prefira o Lula a despeito de qualquer resultado?"
29/09/2003,José Carlos Aleluia,21,José Carlos Aleluia,"A população escolheu o Lula porque escolheu a esperança. O Lula vendeu a esperança. E o que fica muito claro é que tinha um projeto de poder, mas não tem projeto de governo. O que você diz que deu certo no governo Lula foi exatamente aquilo que ele não mudou. Ou seja, durante o ano passado, nós tivemos uma crise provocada pela ameaça de Lula. As coisas retomaram ao seu leito natural, o dólar, a valorização dos títulos brasileiros, o risco de um modo geral, isso tudo retornou ao valor por quê? Porque o PT não fez o que o PT pregava. Então, o que tem de sucesso no governo do PT é o que não coincide com a proposta do PT. Tudo o que o PT se propôs fazer, isso está muito mais na área social e na área microeconômica, é um desastre. Nós não temos investimento, nós não temos programa social e nós não temos ação de governo. Quer dizer, o governo do PT é um fracasso, mas é um fracasso em termos de execução. Olhando sob o ponto de vista macroeconômico, não é um fracasso. É um governo que consegue flutuar, embora completamente dissociado do seu programa. É claro que, com o tempo, o eleitor vai acordar e vai ver que o governo está se sustentando com base em uma extraordinária habilidade do presidente com a mídia e em um trabalho de marketing muito bem-feito. É talvez o melhor setor do governo o setor de comunicação."
29/09/2003,José Carlos Aleluia,22,Mauro Chaves,"Deputado, o senhor tem sido realmente uma das vozes mais vigorosas da oposição, e o senhor tem realmente a estirpe dos oradores baianos, o senhor se articula muito bem e tem feito críticas realmente contundentes. Em artigos seus que eu tenho lido, eu tenho visto... realmente, ninguém fala com tanta força. Agora, o senhor tem se referido que nós estamos em uma crise, ou no risco de chegar a uma crise de 40 anos atrás; 40 anos atrás é João Goulart [(1919-1976) presidente do Brasil entre 1961-1964]. Então, eu acho que o senhor não imagina que haja, apesar de tudo, o que nós evoluímos, um risco de uma ruptura institucional ou coisa desse tipo. Mas eu fico pensando: o tom das suas críticas não corre o risco de ter uma repercussão negativa fora, em termos de investimentos, em termos de...? Talvez seja mais a questão de tom, porque quando o senhor fala, em artigos seus, em retrocesso, a gente lembra João Goulart, isso dá um pouco de susto. Então, será que fora não vão achar que o senhor está achando que a estabilidade institucional vai estar comprometida com os fracassos que o colega apontou no governo?"
29/09/2003,José Carlos Aleluia,23,José Carlos Aleluia,"Mauro, a grande novidade positiva da democracia brasileira é que, durante os períodos anteriores, todos temiam a hipótese do PT no poder. Hoje, o que você tem são partidos da oposição confiáveis. Ou seja, o PFL e o PSDB têm um comportamento previsível; o menos previsível é o governo. Portanto, o Brasil está vivendo um momento em que a alternância do poder está assegurada sem riscos; não há por que o observador externo temer a oposição. O que eles temem é a imprevisibilidade do governo. Enquanto o governo tem um comportamento macroeconômico aceitável, e até elogiável em alguns aspectos - embora, no meu entendimento, exagerado, exageradamente conservador - nas ações dos ministérios, na área social, na área de energia, na área de comunicações, no BNDES, da Petrobras, isso não vai bem. [Mas] isso não significa que nós temos um desastre institucional à vista, significa que nós temos poucas chances de ter um governo virtuoso."
29/09/2003,José Carlos Aleluia,24,Luciano Suassuna,"Mas o senhor não teme isso do seu ponto de vista pessoal, quer dizer, da sua credibilidade política? O senhor escreveu no Jornal da Tarde, se referindo à invasão de terras do MST [Movimento dos Trabalhadores Rurais Sem-Terra {Movimento dos Trabalhadores Rurais Sem-Terra: O Movimento dos Trabalhadores Rurais Sem-Terra (MST) surgiu no final da década de 1970 e foi criado formalmente no Primeiro Encontro Nacional dos Trabalhadores Sem-Terra, realizado em 1984, no município de Cascavel-PR. Tem como principal objetivo a luta pelo fim da concentração fundiária com a distribuição de terras e a realização de uma reforma agrária. Iniciado no centro-sul do país, o MST transformou-se em um movimento nacional, organizado em 22 estados. Existem dezenas de cooperativas de trabalhadores sem-terra e de unidades agroindustriais pelo Brasil, em áreas conquistadas do latifúndio. No entanto, por esbarrar em um tema tão polêmico, o movimento está constantemente envolvido em disputas partidárias e combates violentos contra latifundiários e autoridades.}], naquela época da crise do boné, do Lula etc: ""Há quarenta anos um outro governo não exerceu sua autoridade na plenitude, o Brasil pagou caro”. Perto da reforma da Previdência, o senhor escreveu “Três batalhas que o governo Lula trava no momento”, quer dizer, “a primeira pelo índice de popularidade; a segunda, a conquista de credibilidade junto ao mercado e ao empresariado, e a terceira, a batalha no Congresso Nacional, cujo prêmio é a vitória nas votações das reformas e das leis de interesse do governo”. As três batalhas que o senhor citou foram vitoriosas para o governo. O governo tem credibilidade junto ao mercado, manteve a popularidade alta e ganhou as reformas no Congresso."
29/09/2003,José Carlos Aleluia,25,José Carlos Aleluia,Ganhou na Câmara.
29/09/2003,José Carlos Aleluia,26,Luciano Suassuna,O senhor não teme que o senhor fique com a credibilidade abalada?
29/09/2003,José Carlos Aleluia,27,José Carlos Aleluia,"Não. Nós não temos esse problema, porque nós temos consistência. Por que as reformas estão avançando agora? Porque o PT tinha uma posição completamente irracional em relação a qualquer avanço. Observe que o PFL tem se mantido em oposição crítica, mas o presidente da comissão que analisou a reforma da Previdência foi do PFL. E o presidente da comissão que analisou reforma tributária foi do PFL. Portanto, o PFL discute, contribui, mas não é obstáculo. A minha preocupação, quando eu mencionei essa questão nos artigos, é de que no começo, sobretudo no começo do governo, parecia que havia um descontrole, e ainda há uma incitação muito grande à violência, sobretudo no campo. E neste fim de semana nos preocupa ver os produtores voltarem a se reunir, isso pode ensejar um embate e a oposição tem dever de alertar o governo. O governo tem que tomar cuidados para que isso não saia do controle. Eu não tenho dúvida de que o núcleo de poder do governo está preocupado com isso e já fez inclusive mudanças. Depois desse meu artigo, o presidente do Incra [Marcelo Resende] foi demitido."
29/09/2003,José Carlos Aleluia,28,Otávio Cabral,"Agora, deputado, uma das principais características da oposição é apontar incoerências entre o PT na campanha e no governo. Agora, a oposição também não é incoerente ao votar contra reformas que sempre defendeu no passado?"
29/09/2003,José Carlos Aleluia,29,José Carlos Aleluia,"Nós não votamos contra a reforma de maneira, digamos, irracional..."
29/09/2003,José Carlos Aleluia,30,Otávio Cabral,[interrompendo] A maioria dos votos do PFL foi contrária...
