DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
16/09/2002|José Carlos Carvalho|1|[Programa ao vivo, permitindo a participação dos telespectadores]|[Programa ao vivo, permitindo a participação dos telespectadores]
16/09/2002|José Carlos Carvalho|2|Paulo Markun| Boa noite. O atual padrão de produção e consumo está reduzindo os recursos naturais e aumentando a devastação ambiental. A exploração predatória desequilibrou a vida, provocou desperdícios e ampliou o abismo entre ricos e pobres. O futuro pode ser um beco sem saída, mas quem é que se importa realmente com isso? Há três semanas, 190 países estiveram reunidos na África do Sul para mostrar o quanto estão preocupados com isso. E o Roda Viva desta noite discute os resultados da Cúpula Mundial sobre Desenvolvimento Sustentável, a Rio+10, e que futuro ambiental podemos ter, especialmente no Brasil. O nosso convidado é o ministro do Meio Ambiente, José Carlos Carvalho, que foi à África do Sul defender as propostas brasileiras para a crise ambiental do planeta.
16/09/2002|José Carlos Carvalho|3|[Comentarista]| Funcionário público de carreira, José Carlos Carvalho é engenheiro florestal. Secretário executivo do Ministério do Meio Ambiente desde 1999, ele coordenou a reestruturação do ministério e do Ibama [Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis]. Assumiu o cargo de ministro em março deste ano. No final de agosto, José Carlos de Carvalho integrou a delegação brasileira que foi à Joanesburgo, na África do Sul participar da Cúpula Mundial sobre Desenvolvimento Sustentável. Representantes de 190 países discutiram como suprir as necessidades básicas da população mundial sem esgotar os recursos naturais do planeta. Foram cinco temas prioritários definidos pela ONU: Água e Saneamento, Biodiversidade, Energia, Saúde e Agricultura. Cinco pontos que concentram os problemas mais dramáticos da maior parte dos habitantes da terra. Mais de um bilhão de pessoas não tem água potável. Nos cálculos da ONU, a situação da água no planeta tende a ficar mais crítica. E em 2025, duas em cada três pessoas não vão ter o que beber. A pobreza no mundo é gritante: 11 milhões de pessoas morrem por ano de doenças que poderiam ser evitadas. Queimadas, destruição de florestas e de espécies, uso maciço de combustíveis fósseis, poluição, pesca predatória, biopirataria, barreiras do mundo rico à agricultura dos países pobres. A Cúpula da Terra foi uma nova denúncia dos desequilíbrios, das indiferenças, das agressões que a vida no planeta tem sofrido e uma cobrança de ações que possam frear a globalização predatória. No plenário das idéias, o Brasil propôs ao mundo reduzir até 2010 o ritmo de devastação das florestas. Muitos concordaram, mas não definiram como fazer. O Brasil também propôs a meta de 10% de energias renováveis até 2012; países latino-americanos e caribenhos concordaram, os demais não se comprometeram. No final da reunião um documento político selou algumas decisões do encontro: ampliar o acesso às formas modernas de energia, mas sem prazos ou metas; Canadá, Rússia e China vão ratificar o Protocolo de Quioto; reduzir à metade, até 2015, o número de pessoas sem acesso à água potável e esgotos; reduzir a perda de espécies até 2004, mas também sem meta específica. Na área da pesca, restaurar os estoques pesqueiros a níveis sustentáveis até 2015. Na agricultura, eliminar os subsídios agrícolas que afetam as exportações dos países pobres. E reafirmar o compromisso da Eco 92, de destinar 0,7% do Produto Interno Bruto (PIB) dos países ricos para ajuda ao desenvolvimento. Para os críticos da Cúpula da Terra, esses acordos são quase nada. Outros acham que são passos importantes. O secretário geral da ONU, Kofi Annan, acha que pessoas demais foram deixadas na pobreza, que é preciso mudar o rumo, pois o mundo está perto do esgotamento e diante de emergências e que os governos precisam agir rápido. Mas eles também não vão poder trabalhar sozinhos. Será preciso ajuda dos setores econômicos e do papel crítico da sociedade civil.
16/09/2002|José Carlos Carvalho|4|Paulo Markun| Para entrevistar o ministro do Meio Ambiente, José Carlos Carvalho, nós convidamos Liana John, editora de ciência e meio ambiente da Agência Estado. Claudio Ângelo, editor assistente de ciência do jornal Folha de S. Paulo. Fábio Feldmann, secretário executivo do Fórum Brasileiro de Mudanças Climáticas e assessor da Presidência da República na Cúpula Mundial para o Desenvolvimento Sustentável. Samyra Crespo, coordenadora do Programa de Meio Ambiente e Desenvolvimento do Instituto de Estudos da Religião, Iser. Maria Zulmira de Souza, jornalista da TV Cultura e integrante da equipe do Repórter Eco. Rubens Born, coordenador da delegação do Fórum Brasileiro de Organizações Não-Governamentais e Movimentos Sociais para Desenvolvimento e Meio Ambiente, e Thais Corral, coordenadora geral da Rede de Desenvolvimento Humano, a Redeh. Boa noite, ministro.
16/09/2002|José Carlos Carvalho|5|José Carlos Carvalho| Boa noite.
16/09/2002|José Carlos Carvalho|6|Paulo Markun| Como estamos falando para todos os estados brasileiros e também para Brasília, mas não estamos falando para a Austrália, não estamos falando para os Estados Unidos e nem para os países exportadores de petróleo, eu fico pensando que todo o esforço que a gente possa fazer aqui de discutir e debater essa questão, em algum sentido, ele é frustrante. Veja que do Protocolo de Quioto, os Estados Unidos estão fora. A Convenção de Biodiversidade não foi ratificada, mais de um bilhão de pessoas não tem água potável; só os escandinavos dão 0,7% para ajudar os pobres e 1/5 da população vive com menos de um dólar por dia. Essa Rio+10 não deveria ser Rio+0, não?
16/09/2002|José Carlos Carvalho|7|José Carlos Carvalho| Se nós formos levar em conta a timidez dos avanços que ocorreram em Johannesburgo, nós poderíamos concluir que a equação Rio+10 é igual a zero. Eu diria que é igual a zero porque, felizmente, o temor de um retrocesso que se anunciava em Bali, por exemplo, para quem teve oportunidade de participar da última reunião preparatória, ainda no final daquela preparatória, os países desenvolvidos liderados pelos Estados Unidos insistiam em teses que significavam o retrocesso dos compromissos e princípios que foram celebrados no Rio 92, sobretudo o princípio da precaução e a responsabilidade comum mais diferenciada, que é, na verdade, o coração dos acordos que foram celebrados no Rio 92, na medida em que define que todos os países têm responsabilidade comum no enfrentamento do problema ambiental planetário, mas que as responsabilidades são diferenciadas no sentido de que elas têm que ser proporcionais à contribuição que cada país deu ou dá para a degradação ambiental que temos hoje. Em Johannesburgo esse risco de retrocesso foi superado, esses pontos foram confirmados, mais do que confirmados, eles foram inseridos no plano de implementação. Agora um outro ponto fundamental que era propriamente o plano de implementação, na medida em que precisávamos definir um plano de implementação, com objetivo e metas mensuráveis, para que a opinião pública mundial pudesse dispor de um instrumento para acompanhar o processo de mudança que é essencial para reverter esse quadro que foi descrito na abertura do programa, isso, infelizmente, não aconteceu.
16/09/2002|José Carlos Carvalho|8|Paulo Markun| Como se quebra essa aliança: Estados Unidos e os países que produzem petróleo, Austrália, enfim, e que pouco adianta o Brasil, Caribe, América Latina, estarem unidos do outro lado?
16/09/2002|José Carlos Carvalho|9|José Carlos Carvalho| Eu acho que, embora pareça pouco, a união da América Latina e do Caribe já foi um passo. É a primeira vez que o continente comparece unido num debate como o que nós tivemos em Johannesburgo. Por outro lado, eu acho também, e o presidente Fernando Henrique mencionou isso muito claramente, durante a sua participação em Johannesburgo, é que nós precisamos construir alianças de blocos. Eu acho que essa é uma das maneiras de encarar esse problema. Já conseguimos estabelecer um bloco, América Latina e Caribe, por exemplo, em torno da meta de 10% de fontes renováveis de energia, na matriz energética global. Ainda agora estamos costurando um acordo com a Comunidade Européia, também em torno da meta de energia renovável. E eu acho que uma das formas que temos de conseguir furar esse bloqueio é estabelecer alianças que, cada vez mais, levem para o isolamento os Estados Unidos, o Japão e outros países que insistem em evitar as mudanças. Com relação ao Protocolo de Quioto, por exemplo, eu acho que a decisão do Canadá e da Rússia, de aderir ao protocolo, significa que vamos atingir a meta de 55% das emissões, porque esse é um dos pontos chaves do Protocolo de Quioto. O próprio protocolo estabelece que para ele entrar em vigência é fundamental que a soma dos países que assinaram o protocolo represente mais de 55% das emissões. Com a Rússia e o Canadá, nós vamos ultrapassar 55% das emissões e isso significará que o protocolo vai entrar em vigor e significa, sobretudo, ampliar o isolamento dos Estados Unidos. Eu acho que essa é uma das formas de, a médio e longo prazo, tentar uma reversão no plano internacional, sobretudo levando em conta a resistência desses países.
16/09/2002|José Carlos Carvalho|10|Maria Zulmira de Souza| Ministro, dentro dessa perspectiva que o senhor está colocando, de tentar se trabalhar em blocos e se juntar os países latino-americanos, como o Caribe, o senhor acha que esse modelo de negociação que envolve todos os países, essa negociação multilateral dessas grandes reuniões que reúnem todos os países, tentando chegar a um único consenso, o senhor acha que esse modelo acabou, que ele está esgotado?
