DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
29/03/2004,José Celso Martinez Corrêa,1,[...],"[Programa ao vivo, que permitiu a participação do telespectador por telefone]"
29/03/2004,José Celso Martinez Corrêa,2,Paulo Markun,"Boa noite. O nome Oficina foi escolhido para dar o sentido de trabalho e provar que teatro não era frescura. A idéia fez surgir um dos mais expressivos grupos teatrais brasileiros que, junto com o Cinema Novo {Cinema Novo: Movimento cinematográfico brasileiro do início da década de 1950 e que influenciou as gerações futuras de cineastas brasileiros e de outros países. Sob o lema “uma câmera na mão e uma idéia na cabeça”, jovens cineastas se organizaram em torno da proposta de voltar o cinema à realidade do país, em contraposição às produções caras e alienantes da época, como as chanchadas, e em face à falência das principais produtoras paulistas. Influenciadas pelo neo-realismo italiano e pela Nouvelle Vague ‐ movimento similar, na França ‐ as obras características do Cinema Novo exibiam, em geral, cenas em preto e branco, de pouco movimento e com cenários naturais, além de diálogos mais extensos do que o usual. O filme Rio, 40 Graus (1955), de Nelson Pereira dos Santos, é considerado um marco do movimento, o qual atinge seu ápice, nos anos 1960, com as obras de Glauber Rocha Deus e Diabo na Terra do Sol (1964) e Terra em Transe (1967). Outros grandes nomes do Cinema Novo foram Cacá Diegues, Leon Hirszman e Ruy Guerra.} e a Bossa Nova {Bossa Nova: Gênero musical brasileiro que figura entre os mais conhecidos do mundo. É considerado um “samba depurado” que se caracteriza por uma série de elementos: a batida criada por João Gilberto, síntese de uma batucada; harmonias sofisticadas, feitas de acordes dissonantes; arranjos despojados em que canto e acompanhamento se integram; lirismo despido do exagero das canções de “dor-de-cotovelo”. Possibilitou o ingresso na música de intérpretes que cantavam baixo, pronunciando o texto de um jeito quase falado. A bossa nova teve influência da música de Maurice Ravel e Claude Debussy, das canções dos irmãos Gershwin e de Cole Porter e do “cool jazz” ‐ gênero musical que também foi influenciado por ela. Dentre seus precursores estão os músicos Garoto, Johnny Alf e Dorival Caymmi. Nasceu nos anos 1950 na Zona Sul do Rio de Janeiro, onde amigos se reuniam para tocar e cantar. Juscelino Kubitschek prometia “50 anos em 5”, Éder Jofre se sagrou campeão de boxe, a Seleção Brasileira venceu a Copa da Suécia. Um clima de euforia no país popularizou a expressão “bossa nova” que, no final de 1957, foi usada no anúncio de um show de Carlos Lyra, Ronaldo Bôscoli, Sylvia Telles, Roberto Menescal e Luiz Eça no Clube Hebraica: um “grupo bossa nova apresentando sambas modernos”. Outros marcos iniciais, lançados com meses de diferença em 1958, são o disco de Elizeth Cardoso, Canção do amor demais, em que tocam Tom Jobim e João Gilberto, ou Chega de saudade/Bim bom, de João Gilberto.}, agitaram a vida cultural do país a partir dos anos 60 [1960]. O [Teatro] Oficina sobreviveu ao regime imposto pelo golpe militar que completa quarenta anos daqui a dois dias. Tanto na ditadura como depois dela sempre foi um espaço de contestação que, agora, transformando o texto de Euclides da Cunha em encenação, terá uma réplica na Alemanha. No centro do Roda Viva esta noite, José Celso Martinez Corrêa, ator, diretor, fundador e algumas vezes refundador do lendário Teatro Oficina."
29/03/2004,José Celso Martinez Corrêa,3,[Comentarista],"Ele trocou o curso de direito na universidade de São Paulo, pelo grupo de Teatro Oficina, criado com outros estudantes em 1958, estreou sua primeira peça em 59, no saguão da rua Jaceguai no Bixiga [tradicional bairro da cidade de São Paulo], onde o Teatro Oficina funciona até hoje, no coração teatral de São Paulo. Já são 45 anos de história e polêmicas, que também marcam a dramaturgia e a vida brasileira desse tempo: Pequenos burgueses [peça lançada no Brasil em 1963 e suspensa pela ditadura militar em 1964, de autoria do escritor russo Máximo Gorki, foi escrita em 1901, enfocando a sociedade da Rússia com tendências socialistas], Os inimigos [1966], O rei da vela [peça de Oswald de Andrade escrita na década de 1930, mas que só foi encenada na década de 60 (1967)], Roda viva [(1968), peça concebida por Chico Buarque de Holanda com base na letra e música com o mesmo nome], Gracias, señor [1972], montagens históricas, entre outras, que se misturaram à própria história do Oficina. O Teatro pegou fogo em 1966, foi reconstruído em 67, virou alvo do comando [de caça aos] dos comunistas [grupo de estudantes, políticos e religiosos que se posicionaram a favor do regime militar e sua política anti-comunista] em 68 e acabou invadido pela polícia em 74. Preso e depois exilado por cinco anos em Portugal, José Celso retornou ao Brasil em 79. O Oficina, tombado pelo patrimônio histórico em 82, foi renovado pela arquitetura de Lina Bo Bard [(1914-1992) italiana, veio para o Brasil com o marchand Pietro Maria Bardi (ver entrevista Roda Viva com Bardi), seu marido, e desenvolveu projetos famosos, entre os quais destaca-se o prédio do Masp – Museu de Arte de São Paulo] em 86, espaço reconceituado, palco em passarela que se abre para rua e a luz de fora, o Teatro se colocou como trincheira artística que instiga, provoca, envolve espectadores nas cenas, e movimenta o público em leituras de textos, manifestos e protestos, alguns deles contra o projeto de um shopping center de lazer e entretenimento no quarteirão do Teatro, outra polêmica que tem ocupado o José Celso. Quanto à produção teatral, o diretor está às voltas com Os sertões, espetáculo montado em 2002, no ano do centenário da obra clássica de Euclides de Cunha. Canudos, nordeste da Bahia, guarda na memória o trágico episódio da história brasileira. O confronto entre o exército republicano e os seguidores do líder espiritual e político Antônio Conselheiro, que criou uma comunidade com leis próprias no sertão baiano e entrou em conflito com a República recém proclamada. A Guerra de Canudos, em 1896, foi uma carnificina, onde morreram cerca de 5 mil soldados e 25 mil sertanejos, muitos deles degolados depois de presos. A saga de Antônio Conselheiro foi transposta para o teatro na pele do próprio José Celso, que há muitos anos alimentava a idéia do espetáculo. É um musical coral, dividido em quatro atos de longa duração: “A Terra”, a primeira, narra, como no livro, a geografia e o clima inóspito de Canudos; a segunda e a terceira, “Homem 1” e “Homem 2”, falam das origens do sertanejo, da mestiçagem e das rivalidades entre famílias de vaqueiros e criadores de gado do sertão. A última parte, “A Luta”, que trata do confronto final de Canudos, só fica pronta em maio, é quando ela estréia no festival de Teatro de Hur, um dos mais tradicionais da Alemanha, onde está sendo construída uma réplica do Teatro Oficina para as apresentações dos espetáculos."
29/03/2004,José Celso Martinez Corrêa,4,[...],[inserção de clipe musical]
29/03/2004,José Celso Martinez Corrêa,5,Paulo Markun,"Para entrevistar José Celso Martinez Correia nós convidamos Beth Néspoli, repórter e crítica de teatro do jornal O Estado de S. Paulo, Contardo Calligaris, psicanalista e colunista da Folha de S. Paulo, Tadeu Jungle, diretor da produtora de cinema Academia de Filmes e dos dvds sobre as peças do Teatro Oficina, Nelson de Sá, jornalista da Folha de S. Paulo, Mário Viana, dramaturgo, repórter de cultura e colaborador do jornal Valor Econômico, Alexandre Delijaicov, professor da Faculdade de Arquitetura e Urbanismo da USP e arquiteto do Departamento de Edificação da Secretária de Serviços e Obras da Prefeitura de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e para Brasília também. Boa noite, Zé Celso."
29/03/2004,José Celso Martinez Corrêa,6,José Celso Martinez Corrêa,Boa noite.
29/03/2004,José Celso Martinez Corrêa,7,Paulo Markun,"Vou começar pelo seguinte: você acha que 1964, o golpe de 64 [que implantou o regime militar no Brasil, que perdurou até 1985], ainda é um personagem da nossa história determinante ou foi “um rio que passou na nossa vida” e acabou?"
29/03/2004,José Celso Martinez Corrêa,8,José Celso Martinez Corrêa,"A verdade, meu amor, mora num poço. É Pilatos lá na Bíblia quem nos diz, na verdade faleceu por ter pescoço, o infeliz, autor da guilhotina de Paris. Vai orgulhosa, querida, mas leva essa lição, no câmbio incerto da vida, a libra sempre é o coração. O amor vem por princípio e a ordem por base, o progresso é que deve vir por fim, desprezaste esta lei de Augusto Comte e foste viver longe de mim. Vai coração que não vibra, com teus juros exorbitantes, fazer de mais uma letra a de vida flutuante. A intriga vem como um café pequeno, que se toma para ver quem vai pagar, por sentir todo esse teu veneno é que eu resolvi me envenenar, pa ra ra ra pa pa, pã! [cantando e finaliza mostrando a bandeira do Brasil e um cartaz da peça] Está vendo? Tem uma cena no “Homem 2”, d'Os sertões."
29/03/2004,José Celso Martinez Corrêa,9,Paulo Markun,"Uma está de cabeça para baixo, a outra, a outra, a outra..."
29/03/2004,José Celso Martinez Corrêa,10,José Celso Martinez Corrêa,Esta aqui?
