DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/06/1992|José Dirceu|1|Jorge Escosteguy|Boa noite. A conexão PC Farias chegou até a cozinha da casa do presidente da República. A revista Isto É desta semana publicou uma reportagem denunciando que as contas da Casa da Dinda, a residência particular do presidente Fernando Collor de Mello, eram pagas ou são pagas por uma empresa do senhor Paulo César Farias. É uma denúncia com provas documentais que está na Isto É desta semana. Com tudo isso, a bolsa caiu, o dólar subiu e a nação espera ansiosa e nervosa uma resposta do presidente da República a essas denúncias. O presidente Fernando Collor fará um pronunciamento à nação amanhã à noite para explicar mais essa denúncia: o chamado caso PC Farias. No Roda Viva, que está começando agora pela TV Cultura de São Paulo, nós vamos discutir o escândalo PC Farias e a CPI [Comissão Parlamentar de Inquérito] que investiga essas denúncias. No centro do Roda Viva está sentado o deputado federal pelo PT [Partido dos Trabalhadores] José Dirceu, membro da CPI [...] José Dirceu é mineiro de Passa Quatro, onde nasceu há 46 anos. Faz política desde os tempos de estudante, com Luís Travassos e Vladimir Palmeira, formou a liderança do movimento estudantil da década de 1960. Foi preso em 1969, durante o Congresso da União Nacional dos Estudantes, a UNE, em Ibiúna, e onze meses depois, foi trocado, junto com outros presos políticos, pelo embaixador norte-americano Charles Burke Elbrick, sequestrado por grupos armados. Exilado, viveu em Cuba durante seis anos, voltou ao Brasil, filiou-se ao PT, partido pelo qual foi eleito deputado estadual e deputado federal. José Dirceu, como dissemos, faz parte da CPI que investiga o escândalo PC Farias. Para entrevistar José Dirceu esta noite no Roda Viva, nós convidamos: Oliveiros Ferreira, cientista político e jornalista do jornal O Estado de S. Paulo; Paulo Nogueira, diretor adjunto da revista Exame; Milton Coelho da Graça, diretor de jornalismo da TVE do Rio de Janeiro; Luiz Maklouf de Carvalho, repórter especial do Jornal da Tarde; Ottoni Fernandes, jornalista da Gazeta Mercantil; Lúcia Helena Gazzola, repórter do jornal O Globo; José Paulo Kupfer, diretor de redação do Diário do Comércio e Indústria e Dácio Nitrini diretor executivo do Telejornal Brasil, do SBT. Na platéia, assiste ao programa, convidados da produção [...] Boa noite.
29/06/1992|José Dirceu|2|José Dirceu|Boa noite
29/06/1992|José Dirceu|3|Jorge Escosteguy|Recentemente, durante as denúncias das ligações do empresário Paulo César Farias com um esquema de poder paralelo no governo e com o próprio presidente da República, o presidente disse que estavam querendo realizar um terceiro turno das eleições presidenciais de 1990. O que o senhor tem a dizer sobre isso e se realmente esse terceiro turno vai ser desfavorável ao presidente da República. Ou seja, é inevitável o impeachment ou a renúncia do presidente?
29/06/1992|José Dirceu|4|José Dirceu|O terceiro turno, nós tentamos fazer em 1990 e perdemos novamente, essa é a verdade. O PT particularmente, se ele se referia a nós, insistiu em derrotar-nos em 1990, nas eleições para o governo dos estados e para o Congresso Nacional. Ele não a venceu, perdeu as eleições, mas nós também não a vencemos. O que nós estamos vivendo no Brasil é, realmente, um terceiro turno, mas não eleitoral, é uma volta à natureza de Collor de Mello. A forma como ele se elegeu, o esquema de poder que ele organizou e as forças que o cercaram vão levar o seu governo ao fim e não será necessário esperar 1994 e nem primeiro de janeiro de 1995.
29/06/1992|José Dirceu|5|Oliveiros S. Ferreira|Mas essa confiança decorre do quê, deputado?
29/06/1992|José Dirceu|6|José Dirceu|Primeiro lugar, porque a campanha eleitoral de 1989 não foi a primeira campanha eleitoral que o Paulo César Farias foi tesoureiro e financiou. Depois, nós tivemos as de 1990 e teríamos as de 1992 se não fosse a CPI. Em segundo lugar, porque, ao dar a Paulo César Farias o poder que o presidente da República deu, ele montou, na verdade, o governo Collor e exerceu influência sobre esse governo, interferiu diretamente nesse governo, e agora, as provas e os fatos começam a emergir. A sociedade toma conhecimento espantada, indignada e perplexa, como diria o presidente da República, de um esquema de tráfico de influência, de corrupção e de poder que o Paulo César Farias montou à sombra e sob as ordens do presidente da República. Porque não é crível que o presidente da República tendo o Paulo César Farias de tesoureiro e que manteve com ele relações na Casa da Dinda e no Palácio do Planalto, organizou com ele, como se sabe, listas para nomeações de primeiro e segundo escalão e as campanhas eleitorais de 1989 e 1990, diga ao país agora que não tem nada a ver com Paulo César Farias. Porque a CPI está demonstrando que o Paulo César Farias cometeu tráfico de influência e corrupção em vários crimes...
29/06/1992|José Dirceu|7|Oliveiros S. Ferreira|[interrompendo] Eu perguntei, deputado, de onde vinha a sua convicção de que o governo está no fim?
29/06/1992|José Dirceu|8|José Dirceu|Minha convicção vem, em primeiro lugar, do fato que o governo já era em si um governo fraco. Alguém que tem como principal partido de sustentação o PFL [Partido da Frente Liberal. Em 20017, seus integrantes aprovaram a mudança no nome da legenda para Democratas (DEM)] cujo principal homem, o governador Antônio Carlos Magalhães, da Bahia, quer derrubar o ministro da Economia [Marcílio Marques Moreira] que, segundo todos dizem, é a única garantia de estabilidade nesse governo, já é um governo que tem pouca capacidade de sobrevivência, do ponto de vista, político-administrativo. As denúncias de corrupção não começaram hoje. O caso da LBA [Legião Brasileira de Assistência] atingiu já o presidente Collor, a sua imagem, de maneira definitiva, porque envolvia a primeira dama do país: dona Rosane Malta. O caso do PC Farias atingiu definitivamente à credibilidade do presidente. E ele não tem e não terá mais condições éticas e políticas de governar o país.
29/06/1992|José Dirceu|9|Jorge Escosteguy|Agora, deputado, qual seria a função dos políticos, das lideranças políticas neste momento, o senhor mesmo, pouco antes do programa, comentando a situação, manifestou, não digo perplexidade, mas preocupação do que aconteceria no país em função disso.
29/06/1992|José Dirceu|10|José Dirceu|Existe, na verdade, colocado para o país duas questões: a primeira é a questão do governo. Se o presidente Collor se vê, nos próximos dias, frente a um processo de impeachment, se há base, provas materiais e há condições políticas, constitucionais de iniciar esse processo, o país se verá diante da necessidade de ter que encarar a possibilidade do vice-presidente Itamar Franco assumir o governo. Em segundo lugar: a política econômica...
29/06/1992|José Dirceu|11|Jorge Escosteguy|[interrompendo] O senhor qualificaria essa possibilidade ou não?
29/06/1992|José Dirceu|12|José Dirceu|Eu acredito que ela é real.
29/06/1992|José Dirceu|13|Jorge Escosteguy|Qualificaria no sentido adjetivo mesmo?
