DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/06/2003|José Genoino|1|Paulo Markun|Boa noite. Várias vezes ele recorreu à observação de que em política muita gente muda de lado e outros não mudam de jeito nenhum. Ele mesmo mudou muito, mas insiste sempre: mudou sem mudar de lado. Agora enfrenta, do mesmo lado, gente que não mudou tanto quanto ele e que, por isso, já foi alertada de que terá que mudar, se não quiser mudar de lado. O Roda Viva entrevista esta noite o presidente nacional do Partido dos Trabalhadores [PT], o ex-deputado José Genoino, encarregado, agora, entre outras coisas, de restabelecer a ordem quebrada pelos chamados radicais do partido.
02/06/2003|José Genoino|2|[Inserção de vídeo com imagens de José Genoino no Congresso e em conferências, do episódio em que leva uma torta no rosto etc. Narração de Valéria Grillo]|Inserção de vídeo com imagens de José Genoino no Congresso e em conferências, do episódio em que leva uma torta no rosto etc. Narração de Valéria Grillo]
02/06/2003|José Genoino|3|De radical a moderado, de agitador a articulador, José Genoino Neto, 57 anos de idade, cearense de Quixaramobim, dois anos de guerrilha no Araguaia, cinco anos de prisão com tortura, seguidos de uma vida política que acumulou vinte anos de atividade parlamentar. Foram cinco mandatos contínuos de deputado federal pelo PT. Em 2002, tentou o governo de São Paulo, chegando, mas não passando do segundo turno. Sem cargo eletivo, foi nome quase certo no ministério do novo governo, mas o presidente Lula deu outra missão a Genoino|presidir o Partido dos Trabalhadores, que, após vinte e dois anos na oposição, mudou de lado, virou governo. O PT, marcado pela disciplina rígida e por uma unidade de ação que superava as divergências internas na hora de marcar uma posição, passou a enfrentar desafios novos na condição de partido governista. Já em seus primeiros momentos na presidência do partido, José Genoino sentiu na pele um desagradável protesto: foi agredido com uma torta de morango no rosto em Porto Alegre, por um grupo ativista contrário à ida do presidente Lula ao Fórum Social de Davos [na verdade, ao Fórum Econômico Mundial, realizado anualmente em Davos, na Suíça]. O grupo se identificou como “Confeiteiros sem Fronteiras” e deixou a explicação de que a tortada não era agressão, e sim uma crítica bem humorada. Agressão ou pastelão, o chantili de Porto Alegre, de certa forma, simbolizou o início de um processo de críticas que o Partido dos Trabalhadores começou a enfrentar fora e dentro, especialmente nos momentos em que o governo revelava pontos da sua política econômica e de seus projetos de reforma. A divergência interna, que não era novidade no PT, virou problema e ganhou contorno de crise depois que a senadora Heloisa Helena e os deputados João Batista Babá e Luciana Genro [Heloisa Helena, João Batista Babá e Luciana Genro eram filiados ao PT e formaram um grupo dissidente dentro do partido, por discordarem de suas decisões sobre o âmbito econômico, que chamavam de "neoliberais". Foram expulsos do PT em dezembro de 2003 e fundaram então um novo partido, o PSOL - Partido Socialismo e Liberdade] radicalizaram o discurso e se colocaram contra a reforma previdenciária. Deputados e senadores do PT que formalizaram o apoio aos rebeldes tiveram que voltar atrás depois que o líder do partido no senado, Tião Viana, e o próprio José Genoino ameaçaram renunciar. A crise ficou contornada, mas não resolvida. Enquanto o governo negocia e amplia a sua base de apoio no Congresso, o PT ainda estuda o que fazer com os radicais. E eles já avisaram: se a punição for a expulsão, vão fazer muito barulho.
02/06/2003|José Genoino|4|[Fim do vídeo]|Fim do vídeo]
02/06/2003|José Genoino|5|Paulo Markun|Para entrevistar o presidente nacional do Partido dos Trabalhadores, José Genoino, nós convidamos: Eumano Silva, editor de política do jornal Correio Brasiliense; Eleno Mendonça, editor-chefe do jornal O Estado de S. Paulo; Rui Nogueira, diretor da sucursal de Brasília do site e da revista Primeira Leitura; Maria Cristina Fernandes, editora de política do jornal Valor Econômico; Carlos Novaes, cientista político e analista da TV Cultura; e Fernando de Barros e Silva, editor do Caderno Brasil do jornal Folha de S.Paulo. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e também para o Distrito Federal. E você pode usar o telefone para entrar em contato com a gente, mandar a sua crítica, a sua pergunta, a sua sugestão. O telefone está aí na tela (0XX11) 252-6525; o nosso fax é o (0XX11) 3874-3454 e o endereço do programa na internet é o rodaviva@tvcultura.com.br. Boa noite, presidente.
02/06/2003|José Genoino|6|José Genoino|Boa noite.
02/06/2003|José Genoino|7|Paulo Markun|Eu queria começar pelo assunto do dia, que são as declarações do vice-presidente da República, José Alencar [(1931-) empresário do ramo têxtil, ex-senador por Minas Gerais, vice-presidente do Brasil desde 2003 e ministro da Defesa de 2004 a 2006], relativas à questão da baixa da taxa de juros, ou da mudança na taxa de juros, que ele disse que é uma decisão política. Como é que o presidente do partido político do governo, do presidente da República, encara isso? Isso é uma decisão política?
02/06/2003|José Genoino|8|José Genoino|Olha, em primeiro lugar, o vice-presidente [que] está exercendo o cargo de presidente da República é de outro partido [PRB - Partido Republicano Brasileiro]. Eu, como presidente do PT, não posso fazer comentários sobre as opiniões políticas do vice-presidente José Alencar, mas o PT, enquanto partido, confia na condução econômica do presidente Lula e da equipe econômica do ministro Palocci [Antônio Palocci Filho, ministro da Fazenda no período de 2003 a março de 2006, quando deixou o cargo para Guido Mantega]. A questão da taxa de juros não é apenas uma medida isolada, sem um contexto, que o governo está criando para que haja uma queda consistente, permanente, para que o país volte a crescer para gerar emprego. Nós administramos um país com uma dívida monstruosa, uma credibilidade abalada, um risco altíssimo, e com uma expectativa que foi divulgada na campanha eleitoral, que, se o Lula ganhasse a eleição, a inflação dispararia, o dólar subiria, o risco Brasil aumentaria e nós teríamos uma ingovernabilidade. O que nós estamos fazendo é uma condução responsável, serena, criando as condições para baixar a taxa de juros. Que condições são essas? Primeiro, segurar a inflação; segundo, diminuir a vulnerabilidade do Brasil em relação ao mercado volátil, ao mercado de capitais de curto prazo; terceiro, redirecionar os investimentos para o setor produtivo, principalmente para as exportações, disputar, no mundo globalizado [em] que o Brasil está inserido, condições de competitividade para os produtos brasileiros e daí a política externa ofensiva do presidente Lula. E, ao mesmo tempo, criar um ambiente para que a queda da taxa de juros seja um processo técnico, um processo que tem relação com outras medidas, para que o país volte a crescer e gerar emprego.
02/06/2003|José Genoino|9|Paulo Markun|Não corre o risco de virar uma espécie da "história do lobo e do cordeiro" [referência à fábula de La Fontaine O lobo e o cordeiro, em que as razões do cordeiro para não ser devorado pelo lobo não impedem o lobo de fazê-lo] com sinal trocado, quer dizer, sempre vai ter uma coisa a mais, uma condição a mais para que a taxa de juros não diminua?
02/06/2003|José Genoino|10|José Genoino|Veja bem, não é bem assim. Em primeiro lugar, nós recebemos um país com 25% de taxa de juros. Ela subiu 1,5%. Nesse período, o governo do presidente Lula colocou como medida econômica o compulsório dos bancos. Pegou parte do compulsório dos bancos... nós aprovamos agora uma medida provisória aumentando a Cofins [Contribuição para o Financiamento da Seguridade Social; imposto cobrado sobre a receita bruta de pessoas jurídicas] de dois para... de três para quatro. Nós estamos fazendo uma política rigorosa, do ponto de vista fiscal, para controlar os indicadores econômicos positivamente. Estamos trabalhando na direção de ter uma economia que priorize o crescimento econômico. A queda da taxa de juros é um objetivo nosso, do PT, do governo, e nós estamos trabalhando nessa direção. O que diziam da gente? [Diziam que] Se o Lula ganhasse [as eleições presidenciais], o Banco Central ia ser manipulado politicamente. Existem razões técnicas, existem razões econômicas que [mostram que] o governo está agindo com muita responsabilidade. O Lula disse isso na campanha eleitoral com a Carta aos Brasileiros [assinada pelo candidato Lula, em 2002, assegurando que, caso eleito presidente, o PT respeitaria os contratos nacionais e internacionais] e nós estamos direcionando a gestão macroeconômica exatamente para ter uma economia que diminua a vulnerabilidade em relação ao capital de curto prazo.
