DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/04/1992|José Goldemberg|1|Jorge Escosteguy|Boa noite. A reforma ministerial do presidente Fernando Collor [Fernando Collor de Mello] é uma das maiores, senão a maior de toda a história republicana. A renúncia coletiva do ministério foi uma novidade que pegou todo mundo de surpresa. Em compensação, o plano de ação com que o governo tenta ampliar sua base de apoio político está sendo acusado de ressuscitar idéias expostas há trinta anos pelo então presidente João Goulart. Não por acaso, alguns auxiliares diretos do presidente Collor trabalharam com o chanceler de Jango, [entre esses] Santiago Dantas, autor do então plano de metas. Trabalharam com Santiago Dantas, o ministro da Economia, Marcílio Marques Moreira, e o secretário especial de Assuntos Estratégicos, Eliezer Batista. Não por acaso, hoje mesmo, na voz do Brasil, o governador do Rio de Janeiro, Leonel Brizola, elogiava o plano de ação do governo Collor. No Roda Viva que está começando agora pela TV Cultura, nós vamos falar um pouco da reforma ministerial do governo e uma das prioridade, ou a prioridade maior, do plano de ação, que é a educação. No centro do Roda Viva está sentado o ministro da Educação José Goldemberg, um dos três ministros civis que, por seu prestígio pessoal, acima dos partidos, permaneceu no cargo a convite do presidente, logo após a renúncia coletiva. Os outros dois ministros que também ficaram no cargo foram Marcílio Marques Moreira, da Economia, e Adib Jatene, da Saúde [ver entrevista com Jatene no Roda Viva] [...] José Goldemberg, gaúcho de Santo Ângelo tem 64 anos, cientista internacionalmente reconhecido nas áreas de energia nuclear e da física geral, ex-presidente da Sociedade Brasileira para o Progresso da Ciência [SBPC], foi também reitor da USP, secretário de Educação do governo de São Paulo. Acumula atualmente também a Secretaria Nacional do Meio Ambiente. Para entrevistar José Goldemberg no Roda Viva, nós convidamos Sérgio Buarque de Gusmão, chefe de redação da sucursal de São Paulo do jornal O Globo; Sônia Racy, colunista do jornal O Estado de S. Paulo; Carlos Alberto Sardenberg, editor da sucursal de São Paulo do Jornal do Brasil; Antônio Carlos Ferreira, repórter da TV Globo; José Paulo Kupfer, diretor de redação do jornal Diário do Comércio e Indústria DCI; Ottoni Fernandes, jornalista da Gazeta Mercantil; Flávio de Carvalho, editor da revista Exame e Informática e Sérgio Rondino, editor de política do jornal Bandeirantes, da rede Bandeirantes. Na platéia, assistindo o programa, convidados da produção [...] Boa noite ministro. Eu gostaria de pedir para o senhor, neste começo de Roda Viva, se o senhor pudesse, por favor, nos resgatar um pouco da história dessa reforma ministerial. Ou seja, em que momento ela chegou ao senhor e como ela chegou ao senhor?
06/04/1992|José Goldemberg|2|José Goldemberg|Boa noite. Olhe, na semana passada, eu fui nomeado secretário de Meio Ambiente da presidência da República em caráter interino em substituição ao doutor Lutzemberg [(1926-2002) secretário especial do Meio Ambiente entre 1990 e 1992], que havia deixado o governo. O presidente me encarregou imediatamente de ir a Washington tentar viabilizar os empréstimos para a área de meio ambiente, que estavam disponíveis, mas que não haviam se convertido em realidade. Ao mesmo tempo, eu deveria acompanhar o chanceler [Francisco] Rezek [ministro das Relações Exteriores] a Nova Iorque, onde estava se realizando a última conferência preparatória da ECO-92. E nós viajamos, aliás, nós viajamos juntos no sábado à noite e domingo tivemos contato com o pessoal da embaixada e da representação brasileira na conferência do comitê preparatório, que nos descreveram os bastidores do que estava ocorrendo...
06/04/1992|José Goldemberg|3|Jorge Escosteguy|[interrompendo] Quer dizer, até o momento do embarque, o senhor não sabia de absolutamente nada?
06/04/1992|José Goldemberg|4|José Goldemberg|[interrompendo] Absoluta e total normalidade. O único evento que, digamos, chamou um pouco atenção foi a renúncia de Pedro Paulo Leoni [na época titular da Secretaria de Assuntos Estratégicos. Foi afastado do governo por denúncias de corrupção na Petrobrás], que não havia sido aceita pelo presidente. O pedido de demissão dele foi recusado pelo presidente, o que dava a entender que essa fase de substituições do ministério estava encerrada, e, qual não foi minha surpresa quando, segunda-feira, às oito da manhã, hora de Nova Iorque, portanto, dez horas no Rio, telefona o embaixador Marcos Coimbra e, logo em seguida, o próprio presidente. O embaixador Marcos Coimbra disse que os ministros haviam apresentado a carta de demissão [no dia 30 de março de 1992, o ministério apresentou ao então presidente Collor um pedido de renúncia coletiva], [então], leu a carta e perguntou se eu concordava em subscrevê-la. E eu respondi que, evidentemente, sim porque não havia sido eleito, era o presidente [quem havia sido eleito] e não os ministros, que ocupavam um cargo de confiança. E, assim que ele desligou, telefonou o próprio presidente e me disse que havia decidido fazer uma reforma ministerial, mas que os três ministros mencionados – Marcílio, Jatene e eu – estávamos confirmados de imediato e pediu, naturalmente, absoluto total sigilo porque, de fato, o anúncio foi feito algumas horas depois.
06/04/1992|José Goldemberg|5|Jorge Escosteguy|Agora, foi o presidente que pediu a renúncia coletiva dos ministros ou os ministros que entenderam que seria melhor colocar os seus cargos a disposição?
06/04/1992|José Goldemberg|6|José Goldemberg|[interrompendo] Olha, eu não sei, eu não estive nessa reunião das nove, onde, aparentemente, ocorreram os eventos, mas a maneira pela qual o embaixador Coimbra colocou é que os ministros haviam decidido apresentar a renúncia coletiva a fim de deixar o presidente à vontade para reorganizar seu ministério. Olha, a maneira pela qual eu descrevo os acontecimentos, não tendo sido testemunha ocular do desenlace, é que nós estamos passando por uma experiência de parlamentarismo.
06/04/1992|José Goldemberg|7|Jorge Escosteguy|O senhor diria que deu sorte de estar no exterior ou foi apenas o acaso?
06/04/1992|José Goldemberg|8|[risos]|risos]
06/04/1992|José Goldemberg|9|José Goldemberg|Não, não, um acidente de viagem. Eu acho que estamos vivendo uma experiência parlamentarista simplesmente. Por isso eu acho que os partidos de oposição, que são convidados a integrar o governo, eles podem tentar fazer um acordo sobre certos tópicos comuns. Eu não creio que seja necessário, e num regime parlamentarista nunca é assim, que todos os partidos concordem com tudo. Eu acho que concordam com algumas coisas e eles formam a coalizão no que se refere a essas coisas e não em relação a outras, por isso eu acho que grandes discussões sobre fazer uma frente com o governo não cabe nesse momento. Essas discussões ocorrem nesse exercício do mandato.
06/04/1992|José Goldemberg|10|Jorge Escosteguy|Agora, até onde o senhor pode perceber, estando a alguns milhares de quilômetros de distância, quer dizer, essa reforma obedeceu a uma necessidade estritamente política administrativa do governo de mudar o seu rumo ou de alguma forma ela foi pressionada pela enchente de denúncias de corrupção do governo, onde, não por acaso, ficaram os três ministros dos partidos acima de qualquer suspeita?
06/04/1992|José Goldemberg|11|José Goldemberg|Não, eu acho... Aliás, o próprio presidente colocou isso. Eu acho que estamos ameaçando entrar num período de ingovernabilidade pela sucessão de denúncias que acabava afastando os ministros, pelo menos vários ministros, das suas atividades normais porque eles passavam metade do tempo, ou mais da metade do tempo, ou depondo em comissões do Congresso ou depondo até na Polícia Federal. Quer dizer, realmente, essa não é a atmosfera em que o ministro possa efetivamente exercer...
06/04/1992|José Goldemberg|12|Jorge Escosteguy|[interrompendo] O senhor, particularmente, como se sentia trabalhando num governo acusado por tantas... não especificamente o senhor, claro, mas o governo em geral?
06/04/1992|José Goldemberg|13|José Goldemberg|Bom, eu acho que era um ambiente de perturbação em que, na realidade, a gente esperava no próximo dia, algum evento fora do comum.
06/04/1992|José Goldemberg|14|Jorge Escosteguy|...Mais alguma bomba.
06/04/1992|José Goldemberg|15|José Goldemberg|Exato.
06/04/1992|José Goldemberg|16|Jorge Escosteguy|Sérgio Rondino, por favor.
06/04/1992|José Goldemberg|17|Sérgio Rondino|O senhor acredita que... Acho que é isso que a opinião pública deve estar se perguntando nesse momento, o senhor acredita que essa corrupção, com essa penada, com essa limpeza no governo, o presidente afastou [a corrupção] ou ele tem que se preocupar com isso, o risco diminuiu, pelo menos?
06/04/1992|José Goldemberg|18|José Goldemberg|Olha, a corrupção não é demonstrada, são denúncias de corrupção, são denúncias sucessivas de corrupção. Sabe, é necessário apurar denúncias e confirmá-las...
06/04/1992|José Goldemberg|19|Sérgio Rondino|[interrompendo] O ministro [João] Santana [secretário de Administração Pública e depois ministro da Infra-Estrutura no governo Collor] demitiu mais três da Petrobrás hoje. Quer dizer, não é só denúncias, há fatos provados.
06/04/1992|José Goldemberg|20|José Goldemberg|Sim, exato. Quer dizer, o que ocorre é que o sistema jurídico brasileiro é bastante complicado. Olha, para demitir uma pessoa... Eu, outro dia demiti cinco no Ibama [Instituto Brasileiro do Meio Ambiente] não é? Meu primeiro ato como secretário do Meio Ambiente. Bom, esses processos... Bem, em primeiro lugar, o que me impressiona nesses processos é a quantidade de papel. Provavelmente, custa muito mais caro demitir um funcionário, do que todo salário que ele ganhou durante a vida toda. Quer dizer, é uma parafernália reunir coisas e etc e tal, até em casos que está claramente configurado o interesse público em botá-lo para fora. Quem assina as demissões é o presidente da República, os ministros não têm autoridade para demitir um funcionário, mesmo que eles sejam ladrões confessos.
06/04/1992|José Goldemberg|21|Antônio Carlos Ferreira|Então, o senhor admite que possa haver corrupção dentro do próprio Ministério e da Secretaria que o senhor dirige?
06/04/1992|José Goldemberg|22|José Goldemberg|Eu acho que sim. Depende do nível. Esse é um problema que eu enfrentei, eu fui ministro interino da Saúde, onde havia problemas...
06/04/1992|José Goldemberg|23|Antônio Carlos Ferreira|[interrompendo] Mas não comprou nenhuma bicicleta no período [refere-se ao suposto escândalo que envolveu o ministro da Saúde do governo Collor, Alceni Guerra, acusado na época de superfaturmaneto em compras, entre essas, bicicletas para o seu ministério]?
06/04/1992|José Goldemberg|24|José Goldemberg|[risos] Não, não comprei nenhuma bicicleta, pelo contrário, a primeira providência que eu tomei como ministro interino da Saúde foi baixar uma portaria que proibia dispensa de licitação a não ser pelo próprio ministro. Porque o que acontece em muitos ministérios é que "n" chefes de vários níveis possuem autoridade de dispensar licitações, e como é bem sabido, na Fundação Nacional de Saúde, 90% das aquisições eram sempre feitas com dispensa de licitação.
06/04/1992|José Goldemberg|25|Antônio Carlos Ferreira|Mas professor Goldemberg, em que nível teria, então, a corrupção que o senhor acha que possa haver dentro do próprio Ministério Público?
06/04/1992|José Goldemberg|26|José Goldemberg|Eu acho que na micro-corrupção, acho que é muito difícil se proteger da micr-corrupção, quer dizer, é do funcionário que coloca o processo...
06/04/1992|José Goldemberg|27|[sobreposição de vozes]|sobreposição de vozes]
06/04/1992|José Goldemberg|28|Sérgio Rondino|[interrompendo] Posso te dar um exemplo, é uma curiosidade...
06/04/1992|José Goldemberg|29|[sobreposição de vozes]|sobreposição de vozes]
06/04/1992|José Goldemberg|30|Sérgio Rondino|Por exemplo, o senhor, o [Adib] Jatene e ministro Marcílio [Marques Moreira] foram mantidos no governo porque foram considerados modelos a serem seguidos, isso foi explicitado pelo governo. Eu lhe perguntaria o seguinte, uma pergunta direta, como o senhor se comportaria, por exemplo, como o senhor reagiria, se uma empreiteira lhe oferecesse um jet sky de presente?
06/04/1992|José Goldemberg|31|José Goldemberg|Bom, olha, aí, viu...
06/04/1992|José Goldemberg|32|Ottoni Fernandes|[interrompendo] Se fosse um reator nuclear o senhor aceitaria?
06/04/1992|José Goldemberg|33|[risos]|risos]
06/04/1992|José Goldemberg|34|José Goldemberg|Aí é um problema da personalidade e da reputação que a gente tem. Eu duvido que se alguém me oferecesse um jet sky ou um carro último tipo...
06/04/1992|José Goldemberg|35|Antônio Carlos Ferreira|[interrompendo] Mas, então, alguma coisa que o senhor gostaria de receber, um presente que o senhor gostaria de receber?
06/04/1992|José Goldemberg|36|José Goldemberg|Pois é, outro dia eu ganhei um caixa de mangas do prefeito...
06/04/1992|José Goldemberg|37|Antônio Carlos Ferreira|Mas era daquelas compradas em Genebra, ou não?
06/04/1992|José Goldemberg|38|José Goldemberg|Não, era do município, que é produtor de mangas. Eu... deixa eu responder a sua pergunta. Eu não só botaria o interlocutor para fora, como tomaria providências para que a firma que ele representa tivesse uma vida extremamente difícil dentro do ministério, essa é a resposta. Agora, esse tipo de reputação se forma ao longo dos anos, esse tipo de brincadeira que alguns fazem, afinal de contas todo mundo aceita jet sky e não sei o quê, esse tipo de brincadeira que eu não faço, viu?
06/04/1992|José Goldemberg|39|[...]|Vamos pegar um caso concreto... 
06/04/1992|José Goldemberg|40|Sônia Racy|[interrompendo] O senhor já passou por uma situação dessas, ministro?
06/04/1992|José Goldemberg|41|José Goldemberg|Eu não, mas acho que a minha secretária já passou.
06/04/1992|José Goldemberg|42|Sônia Racy|Foi via recado?
06/04/1992|José Goldemberg|43|José Goldemberg|É, isso foi do passado, não foi agora não. Quando eu fui presidente da Cesp [Companhia Energética de São Paulo], há alguns anos... A Cesp é uma empresa que lida com grandes empreiteiras e a minha secretária de muitos anos, uma senhora já entrada em anos, veio me procurar muito aflita porque a data do meu aniversário estava se aproximando, ou da minha mulher, coisa assim. Ela disse que ela estava sendo assediada porque as empreiteiras perguntavam o que nós gostávamos, que cor de carro nós gostávamos, etc e tal. Isso foi uma vez só, viu?
06/04/1992|José Goldemberg|44|Ottoni Fernandes|Ministro, deixa fazer uma pergunta só. O senhor, quando assumiu o ministério da Educação, tomou duas providências a respeito de denúncias e corrupção na área do ministério; um inquérito na Fundação de Assistência ao Estudante e depois também teve medidas na questão do preço do Ciacs [Centros Integrados de Apoio à Criança. Projeto federal muito semelhante aos Cieps, que abrigariam estudantes em período integral nas escolas do país. Inicialmente, o programa previa construir mais de cinco mil unidades, mas com a saída de Collor da Presidência, perdeu continuidade e poucas unidades foram construídas de acordo com o projeto original]; em que pé estão esses dois casos, o que foi feito?
06/04/1992|José Goldemberg|45|José Goldemberg|Bom, o primeiro foi um subpreço que havia sido introduzido numa compra grande de alimentos para merenda escolar. O que eu fiz foi, imediatamente, instalar uma sindicância, não paguei o subpreço até hoje, e enviei o caso todo, que, depois de investigado internamente no TCU [Tribunal de Contas da União], convalidou a minha posição. Então, acabou por aí. Segundo dizem, as pessoas que desejavam, que estavam com a expectativa de receber aquele subpreço, pretendem acionar o governo. Isso, tudo bem, aí eles podem acionar, a Justiça que decida.
06/04/1992|José Goldemberg|46|Ottoni Fernandes|Internamente, o que foi feito a respeito desse contrato?
06/04/1992|José Goldemberg|47|José Goldemberg|Ah bom, aquelas pessoas que estavam lá, não estão mais, simplesmente. Aí a gente vai trocando...
06/04/1992|José Goldemberg|48|José Paulo Kupfer|Ministro...
06/04/1992|José Goldemberg|49|Jorge Escosteguy|[interrompendo] Desculpe só antes de passar ao senhor José Paulo Kupfer, eu queria voltar um pouquinho ao assunto, o senhor dissehá pouco que essa questão depende do nome, da reputação que a pessoa constrói ao longo da vida, então, o senhor disse: “eu duvido que alguém me ofereça um jet sky”. Agora, não só ofereceram, como deram um jet sky ao ministro Ricardo Fiúza [(1939-2005) ministro da Ação Social (entre janeiro e setembro de 1992) e da Casa Civil em 1992].
06/04/1992|José Goldemberg|50|José Goldemberg|Bom, mas eu acho que ele ficou extremamente embaraçado e até devolveu o jet sky e etc...
06/04/1992|José Goldemberg|51|Jorge Escosteguy|Depois de muita pressão da imprensa, não é, ministro?
06/04/1992|José Goldemberg|52|Sônia Racy|Depois que o jet sky quebrou.
06/04/1992|José Goldemberg|53|Jorge Escosteguy|José Paulo Kupfer, por favor.
06/04/1992|José Goldemberg|54|José Paulo Kupfer|Professor Goldemberg, essas histórias todas, queria que o senhor falasse um pouco, é do ser humano, é do brasileiro, é do sistema político que a gente vive e é da forma de governo em que estamos, enfim, o que explica essa saraivada de perguntas e essa saraivada de questões: há mais corrupção hoje do que antes? Ou há mais imprensa livre do que antes? Há mais impunidade que antes? Queria que o senhor tentasse refletir um pouco.
06/04/1992|José Goldemberg|55|José Goldemberg|Olha, sabe, é difícil fazer diagnósticos definitivos nessa questão. Porque eu acho que há a imprensa livre, há a imprensa mais livre. Eu acho que esse tipo de coisa acontecia correntemente no passado, só que não havia, naturalmente, a vigilância da imprensa em torno disso. Eu não creio que os brasileiros de hoje sejam piores que os do passado.
06/04/1992|José Goldemberg|56|José Paulo Kupfer|E são melhores?
06/04/1992|José Goldemberg|57|José Goldemberg|Olha, nem piores nem melhores. Naturalmente, com o agravamento da situação econômica em que os orçamentos acabam ficando mais apertados, as pessoas ficam mais vulneráveis...
06/04/1992|José Goldemberg|58|José Paulo Kupfer|[interrompendo] Vulneradas.
06/04/1992|José Goldemberg|59|José Goldemberg|Eu acho, mas essas corrupções maiores, elas provavelmente existiram sempre, só que agora a imprensa está em cima, o que eu acho ótimo, e a resposta do governante, acho que deve ser...
06/04/1992|José Goldemberg|60|José Paulo Kupfer|[interrompendo] O senhor falou que o presidente Collor fez foi uma ação parlamentarista e o senhor disse isso até com um pouco de boca cheia, como se fosse uma coisa, realmente, que devesse ser feita, que fosse útil e que fosse o caminho certo. Tudo bem, eu até concordo, particularmente, com o senhor. Mas o povo ainda não diz o que ele prefere, talvez não seja isso, vai ter um plebiscito [refere-se à consulta popular prevista pela Constituição de 1988 para decidir a forma (monarquia ou república) e o sistema (presidencialismo ou parlamentarimo) do governo brasileiro]. Por que um presidente antecipa as datas e faz um parlamentarismo com antecedência, digamos assim...
06/04/1992|José Goldemberg|61|José Goldemberg|Isso eu lhe explico. É porque o presidente está tendo sérias dificuldades para aprovar propostas enviadas ao Congresso Nacional e que não tem sido... Não é que elas têm sido rejeitadas, elas não têm sido apreciadas e, obviamente, é necessária uma maioria parlamentar com alguma solidez para fazer andar e levarmos esse projeto...
06/04/1992|José Goldemberg|62|José Paulo Kupfer|[interrompendo] Isso resolve com o parlamentarismo?
06/04/1992|José Goldemberg|63|José Goldemberg|Não, não resolve, mas o que o presidente está tentando fazer é uma composição mais ampla que o apóie, que lhe dê um...
