DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
29/10/1990,José Serra,1,[...],"[programa ao vivo, permitindo a participação dos telespectadores]"
29/10/1990,José Serra,2,Rodolfo Konder,"Boa noite. Estamos começando mais um Roda Viva. O convidado desta noite é o deputado federal mais votado por São Paulo, José Serra. Você, que está em casa nos assistindo, pode fazer perguntas pelo telefone (011) 252-6525. Para entrevistar José Serra, estão conosco: José Márcio Mendonça, comentarista político da TV Bandeirantes; Aluizio Falcão, editor de finanças da revista Exame; Mauro Lopes, editor de política da Folha de S.Paulo; Stephen Kanitz, jornalista e professor da USP [Universidade de São Paulo]; Fábio Pahim Jr., repórter especial do Jornal da Tarde e comentarista econômico da TV Cultura; Ricardo Kotscho, repórter especial do Jornal do Brasil; Pedro Cafardo, editor de economia do jornal O Estado de S. Paulo; Carlos Nascimento, editor-chefe do São Paulo Já, da TV Globo. José Serra tem 48 anos, nasceu em São Paulo e fez engenharia na Faculdade Politécnica da USP. Presidiu a UNE [União Nacional dos Estudantes] até 1964, quanto aconteceu o golpe militar. Trocou a engenharia pela carreira universitária em economia. Exilado, morou na Bolívia, na Europa e no Chile, onde conheceu sua esposa e teve dois filhos. Morou também nos Estados Unidos, onde completou seu doutorado. Voltou ao Brasil em 1978, foi secretário de Planejamento do governo [do estado de São Paulo] Franco Montoro {Franco Montoro: (1916-1999) André Franco Montoro, político paulista, foi senador e governador do estado de São Paulo. Destacou-se na luta pela redemocratização do Brasil pós-ditadura militar, atuando fortemente na campanha pelas eleições diretas para presidente da República, ao lado de outras lideranças políticas e intelectuais importantes. Em 1988, descontente com os rumos do seu partido, o PMDB, foi um dos fundadores e presidente do PSDB. Senador eleito em 1970, pelo estado de São Paulo, foi reeleito em 1978 com 4,8 milhões de votos. Foi eleito governador do estado, em 1982, na primeira eleição direta para o cargo desde 1965, com 5,5 milhões de votos. Candidatou-se novamente ao Senado em 1990, perdendo para Eduardo Suplicy, do PT. Voltou a atuar como deputado federal, entre 1995 e 1999, ano em que faleceu.}, cargo que deixou quando se elegeu deputado constituinte pelo PMDB [Partido do Movimento Democrático Brasileiro], em 1986. Bateu o recorde na preparação e na aprovação de suas emendas. Dois anos depois, deixou o partido para formar o PSDB [Partido da Social Democracia Brasileira]. Em 1988, concorreu à prefeitura de São Paulo e amargou um quarto lugar na preferência do eleitorado. José Serra é presidente regional do PSDB e professor da Unicamp [Universidade Estadual de Campinas]. Nas últimas eleições, foi o deputado federal mais votado do estado de São Paulo com quase quatrocentos mil votos. Em sua campanha, José Serra antecipou duas prioridades para quando eleito: prosseguir com trabalhos para a implantação do parlamentarismo e antecipar a revisão constitucional, prevista para 1993. Boa noite, deputado!"
29/10/1990,José Serra,3,José Serra,"Boa noite, Konder."
29/10/1990,José Serra,4,Rodolfo Konder,"É um prazer tê-lo aqui conosco. Deputado, vamos começar pelo Plano Collor {Plano Collor: Plano econômico criado em 1990 no governo do recém-empossado presidente Fernando Collor de Mello. Elaborado pela então ministra da Fazenda Zélia Cardoso de Mello, o plano chamava-se oficialmente Plano Brasil Novo e visava conter a inflação, bastante elevada desde o governo de José Sarney. O plano previa impedir a circulação monetária, cortar gastos públicos e abrir o mercado nacional, tornando-o competitivo. As reformas consistiram na substituição do cruzado novo pelo cruzeiro; no bloqueio de contas correntes e investimentos bancários acima 50 mil cruzeiros; no congelamento de salários e preços; no aumento de impostos e na extinção de incentivos fiscais. Impôs a Política Industrial e de Comércio Exterior (PICE), promovendo a redução de alíquotas de importação, gerando crises nas indústrias brasileiras, e desenvolveu o Programa Nacional de Desestatização (PND), causando a demissão de funcionários. Tais medidas levaram o país à maior recessão de sua história. Com o retorno da inflação, foi posto em prática o Plano Collor II, em 1991, caracterizado por uma política financeira de juros elevados. Sob acusações de corrupção e para evitar um impeachment, Collor renunciou em 1992.}. Estamos vendo que o número de concordatas aumenta. Isso significa que o Plano Collor está “fazendo água” ou era previsível que aconteceria uma série de concordatas, ou seja, que as empresas não aguentariam o impacto desse plano? Como o senhor vê a evolução disso?"
29/10/1990,José Serra,5,José Serra,
29/10/1990,José Serra,6,[...],"Não se pode dizer que o Plano Collor “fez água” no sentido de que naufragou e fracassou inteiramente. Por outro lado, não se pode dizer também que ele foi bem sucedido em tudo aquilo que pretendia. Na prática, o plano foi capaz de baixar a inflação de 80% para 10%, 12% ao mês, mas não de fazê-la ir abaixo desse ponto. Uma inflação de 10%, 12% ao mês é muito alta. Na Europa, esse número, ao ano, é considerado uma calamidade pública. Nós estamos com isso em cada mês, o quadro ainda é de muita dificuldade. O governo não conseguiu e tem muita dificuldade para trazer a inflação abaixo desse ponto. A recessão significa, na prática, desemprego de máquinas, equipamentos e pessoas, que pode atingir um nível gravíssimo nos próximos meses, a menos que se chegasse a um outro entendimento a respeito da condução das coisas."
29/10/1990,José Serra,7,Rodolfo Konder,Essas concordatas já seriam uma consequência...
29/10/1990,José Serra,8,José Serra,"Eu acho que são uma consequência disso porque, com o sequestro do dinheiro da economia em 15 de março, o governo mudou uma relação, mesmo temporariamente. Antes era o governo que devia para todo mundo e agora são as empresas que devem aos bancos ou para o próprio governo. Se você tem uma política monetária muito apertada, os juros estratosféricos, combinados a uma situação de queda de vendas, de movimento, você tem um terreno propício para um processo de concordatas e um processo recessivo bastante forte."
29/10/1990,José Serra,9,José Márcio Mendonça,"Deputado, embora a maioria dos políticos não concorde com essa interpretação, parece muito evidente que aquela enxurrada de votos brancos e nulos que nós tivemos no dia 3 de outubro [eleições presidenciais e estaduais] significa, em grande parte, o repúdio da população a certo tipo de comportamento do Congresso Nacional nos últimos anos. Pois bem, os jornais divulgam hoje que foram apresentadas vinte mil emendas ao orçamento do governo de 1991. Se tudo que os deputados querem a mais for atendido, teremos uma despesa [governamental] de mais quinhentos bilhões de cruzeiros. Eu lhe faço duas perguntas. O senhor acha que é possível consertar os gastos do governo, as contas públicas com o Congresso, adotando esse tipo de postura? Com esse tipo de postura, o senhor acha que o Congresso recupera sua imagem?"
29/10/1990,José Serra,10,José Serra,"Bem, vamos deixar a imagem para uma segunda parte...Quanto à primeira, José Márcio, é direito dos deputados e senadores apresentarem emendas. O que eles não vão poder é aprovar, porque esse é um ponto que, às vezes, é deixado de lado. A nova Constituição nessa parte de orçamentos foi muito austera. Ela estabeleceu que um deputado só pode mexer no orçamento, ou seja, criar uma despesa, se anular outra despesa correspondente, está certo? Você não pode chegar lá e dizer: “Bom, eu quero construir tal ponte” e criar essa despesa. Não, você tem que dizer o que você está cortando simultaneamente. Ela não permite ao Congresso estourar o orçamento. Aliás, essa é uma diferença importante da Constituição de 1988 com a de 1946, que não punha limite às emendas. Era uma tragédia, porque se aprovava o dobro, o triplo daquilo que era possível gastar e o governo não gastava. Há a famosa história do San Tiago Dantas [(1911-1964) jornalista, advogado e político brasileiro]. Quando era ministro da Fazenda, um deputado o procurou e disse: “Ministro, minha ponte foi incluída no orçamento, mas por que não estão fazendo?”. Aí o Santiago diz: “Meu filho, o problema é que a verba está no orçamento, mas não temos dinheiro”. Quer dizer, o governo simplesmente não gastava. A Constituição de 1967 fechou a participação do Congresso, que era um autenticador de orçamentos, você não podia fazer emenda nenhuma. A Constituição de 1988 reabriu a participação, mas o fez, ao meu ver, de maneira extremamente responsável, ou seja, você só pode criar uma despesa anulando outra. O grave foi o que aconteceu no final do ano passado, quando o Congresso acabou aprovando dez bilhões de dólares de despesas a mais, sem cancelar outras. Isso era inconstitucional. Eu disse isso na época - não só eu, vários disseram - mas o governo não vetou. O José Sarney disse: “Não, é inconstitucional, mas eu não posso vetar porque estou saindo e não quero ficar mal com os deputados”. Isso é o cúmulo! Essas despesas foram criadas, mas isso acabou não sendo realizado dentro das redes orçamentárias e tudo mais. Agora, outro problema é o da credibilidade do Congresso, questão que vai muito mais a fundo. Se você me permite, acho que há duas questões: as deficiências do Congresso, que são imensas, e a incompreensão de como funciona o Congresso. Por exemplo, em época eleitoral, uma das coisas mais comuns é os jornais publicarem o número de projetos apresentados pelos parlamentares como se isso fosse sinônimo de trabalho, de projeto de lei. Isso fomenta a apresentação de mais projetos, porque não custa, você apresenta projeto de tudo, não mede a relevância, não mede o trabalho, o que é aprovado ou não é, a relevância das coisas, o que é feito em comissões. Às vezes, você não apresenta um projeto, mas você relata uma coisa. Por exemplo, o que eu fiz de mais importante, tirando a fase da Constituinte, foi relatar um projeto de lei de diretrizes orçamentárias, que é uma coisa meio abstrata, mas que dava toda uma pauta, todo um comportamento, todas as regras para como se gastar o dinheiro em 1990. Isso foi importantíssimo. Não foi um projeto meu porque foi o governo quem mandou. Eu fiz o relatório e muitos outros parlamentares fazem isso. Essas coisas, às vezes, não são devidamente pesadas pelo menos nas questões de avaliação do Congresso no seu conjunto. Mas, de toda forma, há problemas internos muito graves. O Congresso está dominado por uma oligarquia composta pelas mesas diretivas, pelas lideranças, por uma parte da alta burocracia, que imobiliza o trabalho parlamentar. E isso se sintetiza em uma coisa, que é o voto de liderança. Quando o Senado e a Câmara estão reunidos, você só pode votar uma vez por hora, voto nominal, ou seja, cada parlamentar apresenta seu voto. De resto, votam apenas os líderes. Isso é o cúmulo! Esse é um problema que o próprio Congresso tem que consertar."
