DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
11/09/1995,José Serra,1,[...],[programa ao vivo]
11/09/1995,José Serra,2,Matinas Suzuki,"Boa noite, o governo divulgou a sua proposta de reforma tributária e o seu plano de investimentos para os próximos quatro anos. Para conversar sobre esses temas fundamentais para a economia do país e para continuidade do Plano Real {Plano Real: Plano de estabilização econômica conduzido sob o governo de Itamar Franco e desenvolvido pela equipe de Fernando Henrique Cardoso, ex-ministro da fazenda. Seu objetivo era controlar a hiperinflação. Combinaram-se condições políticas, históricas e econômicas para permitir que o governo brasileiro lançasse, ainda no final de 1993, as bases de um programa de longo prazo. Organizado em etapas, o plano resultaria no fim de quase três décadas de inflação elevada e na substituição da antiga moeda, cruzeiro, pelo Real, a partir de primeiro de julho de 1994. Num primeiro momento o plano obteve resultados positivos, com controle da inflação e aumento da taxa de investimentos na economia. Embora a desindexação da economia tenha obtido êxito, o ajuste fiscal foi bastante limitado.} está no centro do Roda Viva de hoje, o ministro do Planejamento, José Serra [de 1995 a 1996, durante o governo Fernando Henrique Cardoso {Fernando Henrique Cardoso: (1931-) Foi presidente do Brasil por dois mandatos consecutivos, de 1995-2002. Sociólogo e professor universitário, é autor de vários livros sobre desenvolvimento no Brasil e na América Latina. Na política, assumiu uma vaga no Senado em 1983, pelo PMDB. Em 1985, concorreu à prefeitura de São Paulo, mas perdeu para Jânio Quadros. No ano seguinte, reelegeu-se senador. Foi um dos relatores da Constituinte de 1988. Ainda em 1988, após conflitos com seu partido, fundou o PSDB, ao lado de Mário Covas, Franco Montoro e outros. Foi ministro das Relações Exteriores e ministro da Fazenda do governo Itamar Franco, quando criou o Plano Real. Em 1994, foi eleito presidente, em coligação com o PFL e o PTB, e reeleito em 1998. Seu governo consolidou a estabilidade monetária advinda com o Plano Real; incentivou os investimentos privados, nacionais e estrangeiros; privatizou grandes empresas e bancos públicos, sendo qualificado de neoliberal pelos adversários; e investiu em programas sociais a famílias de baixa renda. Após deixar a Presidência da República, criou o Instituto Fernando Henrique Cardoso, um centro de memória histórica e espaço de debates sobre a democracia e o desenvolvimento.} (1994-2002)]. O projeto de reforma tributária do governo foi criticado pelo presidente do Senado, José Sarney [político maranhaense, foi presidente da República, entre 1985 e 1990, e, depois, tornou-se senador pelo estado do Amapá e foi presidente do Senado entre 1995 e 1997] e está provocando um realinhamento nas forças de apoio ao governo Fernando Henrique dentro do Congresso Nacional."
11/09/1995,José Serra,3,[Comentarista],"Formado em engenharia, especializado em economia [na área de] questões ornamentais e tributárias, o paulistano José Serra, 46 anos foi um dos fundadores do PMDB [Partido do Movimento Democrático Brasileiro, criado em 1980 e herdeiro do MDB, de resistência ao governo militar]. Depois dissidente, ajudou a criar o PSDB [Partido da Social Democracia Brasileira, fundado em 1988] e virou ministro tucano, após ser eleito duas vezes deputado e uma vez senador por São Paulo. O ministro do Planejamento José Serra é o principal autor do plano plurianual de Fernando Henrique, um plano que define projetos de longo prazo do governo e que será submetido, agora, ao Congresso. O plano coloca como prioridade investimentos que posam fazer o Brasil dar um salto na área de energia elétrica e de telefonia: os dois setores levam a maior parte dos recursos previstos no plano plurianual, que promete aos brasileiros um futuro de inflação baixa e um crescimento econômico de 4,5% ao ano até 1999."
11/09/1995,José Serra,4,Matinas Suzuki,"Bem, para entrevistar hoje o José Serra, nós convidamos os jornalistas: Marco Antônio de Rezende, que é diretor de redação da revista Vip Exame; José Roberto de Toledo que é editor do “Painel” da Folha de S. Paulo; a Sônia Racy, colunista de economia do jornal o Estado de S. Paulo e comentarista da Rádio Eldorado; o Ottoni Fernandes Junior diretor do Invest News, da Gazeta Mercantil; Celso Ming que é comentarista de economia do programa Opinião Nacional daqui da Rede Cultura e colunista do Jornal da Tarde; e o Antônio Carlos Ferreira que é repórter do TJ Brasil do SBT [Sistema Brasileiro de Televisão]. Boa noite, José Serra."
11/09/1995,José Serra,5,José Serra,"Boa noite, Matinas."
11/09/1995,José Serra,6,Matinas Suzuki,O senhor andou aí passando uns dias em Fernando de Noronha. Como foi? Conseguiu descansar um pouco? Estavam brincando aqui que até os golfinhos pediram dinheiro para o senhor lá.
11/09/1995,José Serra,7,José Serra,"Não, não, golfinhos não se preocupam com isso, foram só dois dias. Realmente, Fernando de Noronha é uma maravilha; eu não conhecia e valeu a pena."
11/09/1995,José Serra,8,Matinas Suzuki,"Ministro, se o senhor me permitir uma brincadeira. É mais fácil reconhecer um golfinho do que uma vaca? Ou [o que] é mais difícil reconhecer?"
11/09/1995,José Serra,9,[...],[risos]
11/09/1995,José Serra,10,José Serra,"É muito mais fácil,"
11/09/1995,José Serra,11,[...],[risos]
11/09/1995,José Serra,12,Matinas Suzuki,"Ministro, nós falamos aqui de reforma tributária e o senhor estava até brincando com esse orçamento, essa coisa toda. São sempre questões complicadas, difíceis, e sempre questões que implicam em certo enfrentamento. Quando se fala em reforma tributária tem partido, tem político, tem governador que não quer. Quando se fala em orçamento, tem os cortes... Então, ao mesmo tempo que a economia atinge uma paz, existem relações políticas que se tornam importantes. Como o senhor está avaliando esse quadro, como é que o senhor está vendo agora a situação dessas propostas dentro do Congresso?"
