DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
17/05/2004|José Serra|1|Paulo Markun| Boa noite, o entrevistado desta noite no Roda Viva é o presidente nacional do PSDB [Partido da Social Democracia Brasileira], José Serra, que disputou com o atual presidente da República, Luiz Inácio Lula da Silva, o segundo turno das eleições de 2002. Na campanha presidencial, Serra colocou-se como candidato do então presidente Fernando Henrique Cardoso [FHC], mas não como candidato de continuidade do governo. Depois da derrota, em 2002, ele saiu da cena da vida pública e foi ser professor em Princeton [Universidade de Princeton], nos Estados Unidos. Retornou à atividade política no ano passado, como presidente do PSDB, partido que, ao lado do PFL, faz oposição ao governo federal, do [PT] Partido dos Trabalhadores. Na semana passada, o ex-senador anunciou a sua candidatura à prefeitura de São Paulo, numa decisão que transforma a eleição paulistana em um embate nacional. Vamos ver agora um pouco mais da trajetória política de José Serra.
17/05/2004|José Serra|2|[Comentarista]| Paulistano da Mooca, José Serra nasceu em 1942. Filho de imigrante italiano, estudou em escola pública e, nos anos 60, ingressou na Universidade de São Paulo, no curso de engenharia civil. Foi um dos líderes da ação popular, a AAP, uma organização católica de esquerda. Em 1963, foi eleito presidente da União Nacional dos Estudantes, a UNE, no período da ditadura militar. Por causa da atividade política, José Serra foi exilado em 1964 e condenado a 3 anos de prisão à revelia. Viveu na França e, depois, no Chile, onde se casou e ficou até 1973, quando um golpe militar derrubou o presidente Salvador Allende. De lá seguiu para os Estados Unidos e fez doutorado em economia na Universidade de Cornell [Nova Iorque]. Voltou em definitivo ao Brasil em 1977, como professor universitário. No ano seguinte, teve a candidatura a deputado federal, pelo MDB [Movimento Democrático Brasileiro], impugnada pela Justiça Eleitoral. Passou então a ser o coordenador da campanha do amigo Fernando Henrique Cardoso ao Senado. Em 1982, coordenoou o programa de governo de Franco Montoro [(1916-1999) governou São Paulo entre 1983 e 1987], em São Paulo. Vencida a eleição, José Serra foi nomeado secretário do Planejamento do governo Montoro. Licenciou-se do cargo em 1984, para coordenar a elaboração do programa de governo de Tancredo Neves [(1910-1985), foi eleito e viria a ser o primeiro presidente civil após a ditadura militar, mas faleceu às vésperas da posse] candidato à presidência da República, ainda por eleições indiretas. Em 1987, José Serra elegeu-se deputado para a Assembléia Nacional Constituinte. Um ano depois, José Serra, Franco Montoro, Mário Covas e Fernando Henrique Cardoso, fundaram o PSDB. Serra disputou a prefeitura de São Paulo e perdeu para Luíza Erundina do PT [em 1989]. Em 1990, foi reeleito deputado federal e, no mesmo ano, recusou convite do então presidente Fernando Collor para ser ministro da Fazenda. Em 1994, foi eleito senador por São Paulo e, no ano seguinte, tornou-se ministro do Planejamento, no governo Fernando Henrique Cardoso. Nas eleições de 1996, disputou a prefeitura de São Paulo e perdeu [para Celso Pitta]. Dois anos depois, voltou ao governo federal como ministro da Saúde. Em janeiro de 2002, lançou a sua candidatura à presidência da República, disputou o segundo turno e perdeu para o presidente Luiz Inácio Lula da Silva. Agora, voltou como candidato à prefeitura de São Paulo. No lançamento da candidatura, na Câmara Municipal de São Paulo, governadores e senadores tucanos [partidários do PSDB] de outros estados manifestaram apoio a José Serra, presidente nacional do PSDB.
17/05/2004|José Serra|3|Paulo Markun| Para entrevistar o presidente do PSDB, José Serra, nós convidamos Ana Carvalho, sub-editora da revista Isto É; Merval Pereira, colunista do jornal O Globo; Fernando de Barros e Silva, editor de Brasil do jornal Folha de S. Paulo; Paulo Moreira Leite, diretor de redação do jornal Diário de São Paulo; Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo e Pedro Cafardo, editor executivo do jornal Valor Econômico. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília, pela rede pública de televisão. Boa noite, José Serra.
17/05/2004|José Serra|4|José Serra| Boa noite.
17/05/2004|José Serra|5|Paulo Markun| O senhor declarou várias vezes, nos últimos tempos, que não pretendia ser candidato, que não seria candidato à prefeitura de São Paulo. O que é que mudou?
17/05/2004|José Serra|6|José Serra| Realmente, eu não pretendia ser candidato. Se você diz que está pensando em ser candidato, mas não é candidato, no dia seguinte, sai que você é, mesmo sem ter decidido. De fato, na eleição presidencial, a campanha foi bastante puxada. Eu, nos 4 anos anteriores, tinha sido ministro da Saúde, o que é um trabalho bastante estressante. Eu fiquei, depois da eleição, 1 ano fora do país e pretendia voltar ao Brasil, me reintegrando à vida política aos poucos. Inclusive, como presidente nacional do PSDB, não pretendia enfrentar uma campanha neste ano. Mas o fato é que, chegando, tive muitas demandas nesse sentido, muito estímulo da população e, por todos os lados, estímulo do partido. Em um certo momento, eu concluí que a gente tem que atender também aos estímulos, aos incentivos, às demandas que se apresentam. Quem está na vida pública - eu estou há muito tempo - tem que ter também esse tipo de comportamento. Então, decidi ser candidato, coisa que para mim é uma boa, porque São Paulo é a minha cidade. É um tremendo desafio governar São Paulo. Há muita coisa a ser feita e vou com entusiasmo para essa campanha.
17/05/2004|José Serra|7|Merval Pereira| Serra, essa decisão teve alguma coisa a ver com as denúncias contra o ex-prefeito Paulo Maluf?
17/05/2004|José Serra|8|José Serra| Não, até porque as denúncias já vinham de antes. Eu sempre achei que o Maluf seria candidato em qualquer circunstância, sem que isso alterasse muito o panorama em curto prazo.
17/05/2004|José Serra|9|Merval Pereira| E é um candidato fácil de bater, com essas denúncias todas?
17/05/2004|José Serra|10|José Serra| Eu tenho expectativas de ganhar dele. Agora, não tem eleição fácil, eleição você precisa jogar muito e se dedicar bastante.
