DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
20/07/1994|Leonel Brizola|1|Heródoto Barbeiro|Boa noite. O Roda Viva, nesta série especial, está ouvindo e entrevistando todos os candidatos à presidência da República. Hoje, o nosso convidado é o candidato do Partido Democrático Trabalhista (PDT), Leonel Brizola. O outro convidado, desta noite também, é o candidato Flávio [Gurgel] Rocha, do Partido Liberal (PL). Amanhã, será a vez de Esperidião Amin [na época senador; candidato pelo Partido Progressista Reformador (PPR); foi governador de Santa Catarina de 1983 a 1987 e de 1999 a 2003] e Fernando Henrique Cardoso [ministro da Fazenda até março de 1994, quando deixou o cargo para concorrer à presidência; candidato pelo Partido da Social Democracia Brasileira (PSDB)]. Na sexta-feira, as duas últimas entrevistas desta série: Enéas Carneiro [pelo Partido da Reedificação da Ordem Nacional (Prona)] e Luís Inácio Lula da Silva [pelo Partido dos Trabalhadores (PT)]. Nós lembramos que as datas, horários e ordem dessas entrevistas foram definidas mediante sorteio, com a presença das assessorias dos candidatos. No centro do Roda Viva de hoje está o candidato do PDT, Leonel Brizola. Gaúcho de Carazinho, Leonel Brizola dedicou 45 dos seus 72 anos à vida pública nacional. De origem humilde e órfão de pai ainda criança, Leonel Brizola começou a trabalhar cedo. Foi engraxate, jornaleiro e metalúrgico, formou-se em 1949 em engenharia civil. Aos vinte e três anos, Leonel Brizola ajudou a fundar o Partido Trabalhista Brasileiro (PTB), pelo qual se elegeu, dois anos depois, deputado estadual constituinte [para a Assembléia Constituinte de 1946]. Em 1950, casou-se com Neusa Goulart, irmã do ex-presidente João Goulart [presidente de 1961 a 1964 e deposto pelo golpe militar] e teve como padrinho o ex-presidente Getúlio Vargas [presidente de 1930 a 1945 e de 1951 a 1954]. Nos oito anos seguintes, Leonel Brizola foi deputado federal [de 1954 a 1955 e de 1962 a 1964], prefeito de Porto Alegre [de 1956 a 1958] e governador do Rio Grande do Sul [de 1959 a 1963]. Em 1961, depois da renúncia de Jânio Quadros [presidente por nove meses naquele ano], liderou a "cadeia da legalidade", um dos principais movimentos que garantiu a posse do então vice-presidente João Goulart. Com o golpe militar de 64, Leonel Brizola foi obrigado a exilar-se, só voltando quinze anos depois, com a promulgação da anistia. Impedido de reconstruir o PTB, fundou o PDT. Eleito governador do Rio de Janeiro por duas vezes, em 1982 e 1990, Leonel Brizola candidatou-se à presidência da República nas últimas eleições, ficando em terceiro lugar no primeiro turno, com 11 milhões de votos. Para entrevistar o candidato do PDT, Leonel Brizola, nós convidamos os jornalistas Fernando Mitre, diretor executivo do Jornal da Tarde; Josemar Gimenez, chefe da redação da sucursal paulista do jornal O Globo; Clóvis Rossi, repórter e colunista do jornal Folha de S. Paulo; José Paulo Kupfer, editor chefe da sucursal paulista do Zero Hora; Rui Xavier, que é coordenador de política do jornal O Estado de S. Paulo; e Ibsen Spartacus, chefe de reportagem do Jornal do Brasil, sucursal de São Paulo. O Roda Viva é transmitido ao vivo por 23 emissoras de televisão de todo o país. Você pode participar, também, desta entrevista, através dos telefones 252-6525 e 252-6525. A Shizuka, a Cristina e a Ana estarão anotando aqui suas perguntas. Se você preferir o fax, é 874-3454 e 874-3454. Governador Leonel Brizola, boa noite.
20/07/1994|Leonel Brizola|2|Leonel Brizola|Boa noite.
20/07/1994|Leonel Brizola|3|Heródoto Barbeiro|Governador, nós estamos fazendo esta pergunta a todos os candidatos entrevistados aqui pelo Roda Viva e nós gostaríamos que o senhor nos dissesse o seguinte: qual é a estratégia do senhor daqui para frente para chegar à presidência da República do Brasil na sua campanha, especialmente com a divulgação, hoje, da pesquisa do Vox Populi [empresa especializada em pesquisas de opinião] que diz que, em São Paulo, o senhor tem menos votos do que o candidato do Prona, o doutor Enéas Carneiro [(1938-2007), candidato à presidência várias vezes nos anos 1990, conhecido por discursos rápidos, diretos e marcado por bordões, como "Meu nome é Enéas" - com o qual finalizava seus 15 segundos no horário eleitoral. Era considerado um político folclórico e cômico]?
20/07/1994|Leonel Brizola|4|Leonel Brizola|Por que essa referência ao Enéas? [Dois segundos de silêncio]. Não entendi bem. [Mais dois segundos de silêncio].
20/07/1994|Leonel Brizola|5|Heródoto Barbeiro|A referência, governador, é que o candidato Enéas é de um partido menor que o do senhor. O senhor tem um partido maior e, conseqüentemente, nós esperaríamos que o senhor tivesse melhores condições de se desenvolver...
20/07/1994|Leonel Brizola|6|Leonel Brizola|Eu estranho pelo seguinte: porque... as pesquisas [eleitorais] estão sob desconfiança pública e acho que as pesquisas com a mídia têm feito um trabalho procurando induzir a opinião coletiva. Depois, vão se ajustar lá adiante, especialmente à boca da urna, porque, pelo contrário, se desmoralizariam. Mas, até lá, podem desenvolver um trabalho muito negativo para uns partidos e positivo para outros. Eu acho que, nesse momento, as pesquisas trabalham para favorecer um candidato e colocar outro lá em cima para derrotá-lo e, dessa forma, manter todos os demais lá em baixo. Eu não tenho a menor dúvida de que essas pesquisas são instrumentos de propaganda, são instrumentos de campanha eleitoral.
20/07/1994|Leonel Brizola|7|[...]|Governador...
20/07/1994|Leonel Brizola|8|Leonel Brizola|Eu acho que estão fazendo uma campanha eleitoral com as pesquisas. Para mim, as pesquisas são improcedentes, não têm nada que ver com a realidade brasileira, com aquilo que se deveria ler na realidade brasileira. Exageram a importância do panorama futuro e deixam de esclarecer que cerca de 60% das pessoas ainda não se definiram. Olha, é tal... Eu pedi um parecer de um especialista estrangeiro, de uma nação das principais do mundo, que veio aqui dar uma olhada no processo de pesquisa. E ele me declarou: “Olhe, não tem a menor dúvida que se trata de um processo de propaganda eleitoral dos grupos dominantes do governo que querem manter o sistema econômico”.
20/07/1994|Leonel Brizola|9|Clóvis Rossi|Governador, eu não posso responder por todos os institutos; mas, pelo Datafolha eu respondo, ponho a mão no fogo, não porque trabalho na Folha, conheço os seus profissionais, mas porque acertou todas.
20/07/1994|Leonel Brizola|10|Leonel Brizola|Eu respeito muito a sua convicção.
