DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
24/01/2000|Lester Brown|1|Paulo Markun| Boa noite. Ele diz que o mundo tem uma preocupação obsessiva com o presente e que nós só estamos atentos aos índices econômicos. E, por isso, perdemos o senso de responsabilidade em relação ao futuro. Estamos nos comportando como se não tivéssemos filhos. O Roda Viva entrevista esta noite Lester Brown, um dos mais influentes pensadores do movimento ambientalista internacional. Ele é presidente e fundador do World Watch Institute, entidade não governamental sediada em Washington, dedicado à observação, pesquisa e troca de conhecimentos científicos sobre as questões do meio ambiente. Lester Brown é formado em ciências agrícolas, com mestrado em economia agrícola e administração pública. Já atuou como analista e assessor de órgãos do governo americano na área de agricultura até 1974, quando fundou o World Watch. É autor de quase duas dezenas de livros, além de revistas e publicações anuais como o States of the World, editado em várias línguas e que se tornou uma espécie de “bíblia do movimento ambiental internacional”. Para entrevistar Lester Brown, nós convidamos: João Paulo Capobianco, biólogo, ambientalista e coordenador do Instituto Socioambiental e pesquisador da Unicamp [Universidade Estadual de Campinas]; Marcelo Leite, repórter especial da Folha de S. Paulo. Fernando Rios, jornalista, publicitário e consultor de empresas na área de comunicação e meio ambiente. O físico J. W. Bautista Vidal; Lia de Souza, coordenadora de pauta do programa Repórter Eco da TV Cultura. Regina Sharf, repórter de meio ambiente do jornal Gazeta Mercantil e o economista Walter Belik, coordenador do Núcleo de Economia Agrícola da Unicamp. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Hoje você não pode participar do programa porque ele foi gravado [...] Boa noite...
24/01/2000|Lester Brown|2|Lester Brown| Ok.
24/01/2000|Lester Brown|3|Paulo Markun| No seu trabalho Estado do mundo, recentemente publicado, há um capítulo que fala sobre as perspectivas de se criar uma economia sustentável, capítulo número dez. E ali é citada a frase de H. G. Wells [(1866-1946), escritor britânico, pioneiro da ficção científica. Autor de clássicos da literatura como o romance A máquina do tempo, O homem invisível (1897), A guerra dos mundos (1898), entre outros. Também escreveu ensaios sobre o futuro da sociedade, tais como O esboço da história (1920) e O trabalho, riqueza e felicidade humana (1932)] que diz o seguinte: “a história humana se tornou cada vez mais uma corrida entre a educação e a catástrofe”. E a sensação que eu fiquei lendo esse fantástico relatório, extremamente cheio de dados e de avaliações sobre a nossa situação ambiental é de que, no que toca ao retrato da perspectiva da catástrofe, o relatório é extremamente denso, completo. [Mas] a sensação que eu tenho [é] que fica faltando entender como a gente vai evitar que, nessa corrida entre catástrofe e educação, a gente perca para a catástrofe. Em outras palavras, toda hora que vai se analisar as soluções propostas, as alternativas parecem depender de milhares de pequenas iniciativas e não de uma solução única - e eu estou me estendendo na pergunta, na verdade. Quando a gente sabe que, por trás de boa parte desse desrespeito ao meio ambiente, existe um objetivo maior que é ganhar dinheiro; são empresas interessadas em ganhar dinheiro, que desrespeitam normas de bom senso, muitas vezes em outros países - aqui no Brasil inclusive - normas legais que existem para ganhar dinheiro. Então, a pergunta é essa: como é possível evitar a catástrofe e convencer essas empresas de que é possível ganhar menos dinheiro e durar mais tempo a nossa humanidade?
24/01/2000|Lester Brown|4|Lester Brown| A questão não é lucrar menos, mas como construir uma economia em que o progresso econômico possa continuar. Se olharmos para o mundo agora, como fizemos ao editar o relatório Estado do mundo, o que fazemos é um check-up anual da Terra, o mesmo check-up que você faz quando vai ao médico. O que vemos, nos 17 anos em que editamos o relatório, é que, a cada ano, a saúde do paciente deteriora. Vemos os sinais da deterioração: florestas desaparecendo, a pesca está acabando, espécies desaparecendo, o nível do mar subindo, crescimento populacional contínuo, erosão do solo, a vegetação morrendo. E a lista continua. E sabemos que, se essa tendência continuar, os sistemas de suporte econômico irão... Se a deterioração continuar, a economia também vai piorar. Hoje, nós estudamos sítios arqueológicos de antigas civilizações que seguiram uma rota econômica ambientalmente insustentável. No Oriente Médio, a antiga civilização da Mesopotâmia, a mais avançada da época – eles inventaram a escrita, tinham a linguagem escrita, deviam tratar aquilo como tratamos a internet, as primeiras cidades bem projetadas – era uma civilização avançada, baseada na irrigação. Mas eles cometeram um erro no sistema de irrigação, eles não o projetaram para evitar a elevação dos lençóis freáticos. Isso resultou na inundação e no salgamento das Terras, e o suprimento de alimentos começou a cair. E, hoje, a região onde essa civilização prosperou é um deserto. Podemos pensar em outras civilizações: os Maias, na América Central, onde agora fica a planície da Guatemala. Havia mais gente lá no ano 900, do que há atualmente. Uma civilização florescente que se acabou aparentemente devido ao desflorestamento e erosão do solo. Há outros exemplos. A história é bem clara. Se começarmos a destruir os sistemas de suporte ambiental, quer sejam eles sistemas de irrigação, florestas ou solo, teremos problemas. Outro exemplo dramático é o norte da África. O norte da África já foi o celeiro de Roma. Os romanos comiam o trigo produzido lá. Foi uma grande região fornecedora de alimentos. E devia ter um solo altamente fértil, considerando a tecnologia disponível na época. Hoje é um grande deserto. Não é mais um celeiro para o mundo.
24/01/2000|Lester Brown|5|Paulo Markun| Mas tudo isso não reforça justamente a idéia de que caminhamos para uma catástrofe. O que eu queria entender [é] como a gente pode acreditar que não chegaremos a essa catástrofe, que isso não vai acontecer, na medida em que cada produtor individual, cada grande empresa, às vezes, um pequeno empresário de um país pouco desenvolvido, ele está pouco interessado em saber se as florestas estão se acabando. O que ele quer é resolver o problema imediato dele, quer dizer, essa consciência do longo prazo e essa visão de que as coisas precisam mudar, porque senão iremos "para o buraco", como se diz, existe em muitas pessoas, mas ela não determina as nossas decisões, as decisões econômicas e principalmente as decisões políticas.
24/01/2000|Lester Brown|6|Lester Brown| Esta é uma das responsabilidades do governo. Historicamente, quando a economia global era muito pequena, comparada com o tamanho da Terra, o crescimento era bom. Não havia problemas. Mas quando chegamos perto dos limites das florestas, da pesca, dos solos, recursos hídricos, então, temos de replanejar o sistema. E o governo deve desempenhar um papel importante. Nós achamos que o instrumento político mais importante que os governos têm para reestruturar a economia – por exemplo, para reduzir as emissões de carbono – é reestruturar o sistema tributário. Hoje, o governo tributa fortemente a renda. A renda das pessoas e das empresas. Mas não se deve taxar tudo indiscriminadamente. As pessoas devem trabalhar, elas devem economizar, as empresas devem ganhar dinheiro. O que não queremos são atividades ambientalmente destrutivas. Emissão de gás carbônico, que afeta o clima da Terra, o descarte de lixo tóxico, geração de lixo, destruição de florestas, destruição de espécies animais e vegetais, da diversidade biológica do planeta. Precisamos reestruturar o sistema tributário. Vamos taxar atividades ambientalmente destrutivas, desencorajando-as, e encorajar atividades ambientalmente construtivas. Você está certo; empresas individualmente, por si mesmas, não conseguem criar uma resposta eficaz. O governo tem de estar envolvido. Mas as empresas e os indivíduos, como eu e você, podem ajudar o governo a realizar essas mudanças.
24/01/2000|Lester Brown|7|Paulo Markun| Regina.
24/01/2000|Lester Brown|8|Regina Sharf| O Terceiro Mundo quer consumir, hoje ele consome muito abaixo das suas necessidades, mas se ele acompanhar o padrão de consumo dos países ricos, provavelmente vai ser a destruição final do planeta. Como equilibrar essa questão, quer dizer, como elevar o nível [de consumo] da população sem que isso seja excessivo?
24/01/2000|Lester Brown|9|Lester Brown| A questão não é o quanto consumimos, mas como produzimos o que consumimos. Posso dar vários exemplos. Este é um exemplo de fora da comunidade ambiental. Nos EUA, em Atlanta, Geórgia, há um grande fabricante de carpetes. Ele produz carpetes para uso comercial, não residencial, para escritórios e sedes de corporações. O dono dessa empresa de carpetes – que tem fábricas em 9 países e vende em mais de 100 países, é uma enorme empresa – ele começou a se preocupar com questões ambientais, e pensou: “O que posso fazer, na minha empresa, para mudar o sistema, para torná-la ambientalmente sustentável, para criar um sistema econômico que permita que o progresso econômico continue?” Ele disse: “Não venderemos o carpete. Venderemos o serviço. Uma empresa nos contratará para acarpetar seus escritórios. Digamos, por 10 anos. Nós faremos a manutenção. Se o carpete se desgastar, nós o trocaremos. Mas o carpete voltará para a fábrica - quer ele seja de náilon, poliéster - ele será decomposto, reprocessado, refeito, e voltará a forrar um outro chão”. Essa mudança elimina a necessidade da matéria-prima, pois sempre se usa o carpete no sistema. E nada vai para o lixo, não há desperdício. Ele achou um modo de fechar o ciclo. Assim, não é uma questão de usarmos o carpete, mas de como fabricamos o carpete que usamos. Podemos acarpetar casas por toda parte, não importa, com carpetes muito bons, se o fizermos de um modo ambientalmente sustentável. E o que ele fez por essa economia – e seu objetivo é não perder uma única molécula do carpete – é que ele fechou o ciclo. Fica tudo dentro do ciclo. Basicamente, é nisso que temos de pensar, em como fazer isso para a economia global. Como reestruturá-la para atender nossas necessidades, mas sem agirmos de maneira autodestrutiva no processo, como acontece atualmente.
24/01/2000|Lester Brown|10|Regina Sharf| O grande gerador de empregos, então, seria o setor de serviços, não tanto a indústria, a produção de bens materiais?
