DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
03/03/2003|Lester Salamon|1|[Programa gravado não permitindo a participação dos telespectadores]|Programa gravado não permitindo a participação dos telespectadores]
03/03/2003|Lester Salamon|2|Paulo Markun|Boa noite. Responsabilidade social, trabalho voluntário, filantropia, solidariedade, ajuda. Não há bem-estar social possível sem que a própria sociedade arregace as mangas e trabalhe em busca desse bem-estar. A desigualdade provocada pelo mercado e a ação social insuficiente dos governos tem levado um número cada vez maior de pessoas e empresas a trabalhar em favor da coletividade e do bem comum. Esse é o trabalho do terceiro setor, tema do Roda Viva desta noite. Para isso, [o programa] traz um convidado especial: Lester Salamon, diretor do Centro de Estudos sobre a Sociedade Civil da Universidade Johns Hopkins, nos Estados Unidos. O professor Salamon coordena um estudo internacional sobre o terceiro setor, também chamado de setor sem fins lucrativos. É um estudo sobre a atuação das também chamadas organizações não governamentais, que são entidades, associações, cooperativas, fundações privadas, movimentos sociais organizados, muitos deles incorporando o trabalho voluntário, e todos buscando soluções para problemas coletivos, problemas da sociedade, do meio ambiente e da economia, ou seja, buscando resolver problemas que o Estado já não consegue mais solucionar sozinho. Para entrevistar Lester Salamon e discutir economia social nós convidamos: Sérgio Amoroso, presidente do grupo Orsa e instituidor da Fundação Orsa; Gilberto Nascimento, colunista do Jornal Diário de São Paulo; Claudio Abramo, secretário-geral da organização não governamental Transparência Brasil; Rebecca Raposo, diretora-executiva do Grupo Gife – Grupo Instituições, Fundações e Empresas; Francisco Ornellas, coordenador do curso intensivo de jornalismo aplicado do jornal O Estado de S. Paulo; Ricardo Voltolini, consultor de terceiro setor do Serviço Nacional de Aprendizagem Comercial, o Senac; Daniel Bramati, editor adjunto de cotidiano do jornal Folha de S. Paulo.
03/03/2003|Lester Salamon|3|Paulo Markun|Boa noite, professor.
03/03/2003|Lester Salamon|4|Lester Salamon|Boa noite.
03/03/2003|Lester Salamon|5|Paulo Markun|Aqui no Brasil quando a gente fala em organização não governamental, tenho a impressão que, para muita gente, a imagem que vem à cabeça, é a imagem, por exemplo, do Greenpeace, aqueles ativistas montados num poderoso barco inflável, que lutam para preservar a vida das baleias, atacam petroleiros etc e tal. O senhor fez um estudo que estabelece quatro características para que uma entidade, uma instituição seja classificada como do terceiro setor: ela tem que ser organizada; tem que ser privada, ou seja, localizada fora do aparato do governo, não distribuir lucros e ser auto governada de alguma maneira e, finalmente, tem ainda a quinta, ter algum grau de participação voluntária, mesmo que apenas no conselho diretor. Eu queria começar pelo princípio, porque apesar dessas definições existe uma porção de coisas, de instituições e de organizações que parecem terceiro setor, quer dizer: parecem nem ser governo nem ser mercado, na verdade são uma coisa difícil de compreender, e eu cito apenas um exemplo que o brasileiro conhece muito bem, existem várias organizações religiosas no Brasil cujo objetivo central é ganhar dinheiro.
03/03/2003|Lester Salamon|6|Lester Salamon|A pergunta é fundamental para definir as organizações: é o fato de não distribuírem os lucros para os donos das organizações. Se houver organizações que parecem não ter fins lucrativos, mas distribuem o dinheiro para os donos, não as consideramos legitimamente organizações sem fins lucrativos. Muitos países criaram leis, cláusulas reguladoras que tentam diferenciar aquelas que realmente atendem a propósitos públicos daquelas que não atendem. É um problema grave nesse campo e, nos países mencionados, há mecanismos reguladores que foram criados para evitar abusos. Mas nesse campo, como em muitos outros, é importante não permitir que os poucos casos de abusos ofusquem nossa visão da realidade muito mais ampla. Isso vale para o setor privado, governamental e também para o terceiro setor. Eu acredito que a grande maioria das organizações são de fato instituições sem fins lucrativos, que atendem ao propósito público, e devemos nos concentrar nelas o máximo possível.
03/03/2003|Lester Salamon|7|Paulo Markun|Um outro tema que o senhor aborda freqüentemente é o fato de que, no seu ponto de vista, não há uma oposição sistemática e radical entre a ação governamental e a ação no terceiro setor, tanto assim que praticamente um terço dos recursos que nos Estados Unidos são geridos e são utilizados pelo terceiro setor vêm efetivamente da ação governamental. Não é também o caso do Brasil, onde essa participação dos recursos governamentais no terceiro setor é muito menor. O senhor pensa realmente que é possível haver uma conjugação de esforços sem arestas entre esses dois setores?
03/03/2003|Lester Salamon|8|Lester Salamon|Com certeza. Há um grande histórico de cooperações entre instituições do terceiro setor e o governo. Isso é mais freqüente na Europa Ocidental, onde foi formada uma forte parceria entre organizações do terceiro setor e o governo. Basicamente, os governos têm pontos fortes e pontos fracos. São bons em gerar receita e aprovar leis, mas não se mostraram tão eficazes em prestar serviços, em especial serviços humanos, serviços que atendem as pessoas. Para isso, é preciso um outro tipo de instituição, em escala menor, humana, que preste assistência de uma forma mais respeitosa. O que descobrimos em nosso país, e os europeus ocidentais descobriram nos países deles, é que essa é uma boa combinação: usar os recursos do Estado, mas não necessariamente a burocracia do Estado para prestar serviços de saúde, de assistência social, e auxílio às vítimas da aids. Muita gente fica surpresa, mas organizações americanas sem fins lucrativos recebem três vezes mais receita do governo do que de todas as fontes de filantropia privada. Isso inclui indivíduos, fundações e corporações. O governo é um grande arrecadador de fundos para nossas organizações sem fins lucrativos.
03/03/2003|Lester Salamon|9|Francisco Ornellas|Professor, o senhor limita as restrições às organizações não governamentais a não obtenção de lucro, a não divisão de lucros entre seus proprietários, entre seus instituidores, mas o senhor não vincula, não limita a obtenção de rendimentos políticos e até políticos partidários da ação de ONG [Organização não Governamental]. As ONGs não deveriam ser também organizações apartidárias e apolíticas?
03/03/2003|Lester Salamon|10|Lester Salamon|Países diferentes têm abordagens diferentes quanto a isso. No nosso país, EUA, e em países do Reino Unido, sistemas legais ingleses tendem a proibir ação política no sentido de uma atividade dirigida à campanha. Nos países continentais isso não ocorre. Na Suécia, por exemplo, ou em qualquer um dos países nórdicos, essas organizações estão ativamente envolvidas em movimentos sociais e políticos. Partidos verdes e trabalhistas estão muito enraizados no terceiro setor. Mesmo nos Estados Unidos, onde atividades diretas de campanha são proibidas, essas organizações têm um importante papel de defesa. Elas levam questões ao conhecimento das autoridades governamentais, mobilizam pessoas para dar atenção a problemas que estão sendo negligenciados. Essa é uma parte muito importante do papel que essas organizações desempenham na sociedade. Elas são uma espécie de rede de segurança social. Quando problemas são ignorados, elas existem para chamar a atenção para eles, para fazer com que políticos e cidadãos tenham ciência dos problemas negligenciados, elas dão voz ao cidadão, de uma forma que os indivíduos por si só, têm muita dificuldade em fazer, elas mantêm o sistema democrático vivo e vibrante, quase da mesma forma que a imprensa o faz, mas elas fornecem o veículo para organizar pessoas em torno das questões. Assim, há uma grande diferença entre política, no sentido de concorrer a um cargo público, e a de defesa de questões de interesse público. O papel de defesa dessas organizações é protegido em muitos lugares e é uma parte importante de sua responsabilidade.
