DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/03/1987|Lima Duarte|1|Rodolfo Gamberini|Boa noite. Nós estamos começando agora mais um Roda Viva, o programa de entrevistas e debates da Rádio e TV Cultura de São Paulo, canal dois. Esta noite o nosso entrevistado é o ator Ariclenes Venâncio Martins. Pouca gente conhece, na verdade, mas está aí ele: é o Lima Duarte [Lima sorri]; aí todo mundo sabe quem é, não é? E para participar então esta noite do Roda Viva com o Lima Duarte estão aqui conosco: Chico de Assis, dramaturgo; Walter Durst, roteirista; Jéfferson Del Rios, crítico de teatro; Gabriel Priolli, jornalista da TV Gazeta; Walter Forster, ator; Dionísio de Azevedo, ator; José Amâncio Pedreira, diretor; Luiz Fernando Ramos, da revista Palco e Platéia; Pedro Augusto Costa, jornalista do Caderno 2 [caderno de Cultura] de O Estado de S.Paulo e Mauro César Carvalho, jornalista da Folha da S.Paulo. Mas, Lima, para a gente começar então a nossa conversa... Ah, deixa eu só fazer um lembrete para quem está em casa. Normalmente as pessoas telefonam, mas hoje nós estamos gra... [corrigindo-se] gravamos este programa com uma certa antecedência, então você que está em casa não pode participar pelo telefone. Lima Duarte, todo papel seu na TV acaba virando uma coisa de uma importância que acaba até escapando um pouco da televisão. Todo personagem seu vira modelo de comportamento popular, você lança gírias, as pessoas te imitam, é um fenômeno que ultrapassa a coisa da televisão. Qual é a importância que você acha que você tem na televisão?
02/03/1987|Lima Duarte|2|Lima Duarte|[Sorri] Eu trabalho nisso há muito tempo [e] tal, o fato de me identificar sempre com os personagens e através dessa identificação chegar mais profundamente ao público é o resultado de... de aptidão mesmo, de eu ter nascido e de eu ter desenvolvido um tipo de sensibilidade específica para o veículo. Eu costumo dizer que eu gosto mesmo [é] de fazer televisão, eu tenho uma sensibilidade para o veículo, eu acho que não faço tão bem cinema e não tenho feito teatro também tão bem quanto faço televisão. Eu acho que televisão eu faço realmente muito bem, porque tenho uma sensibilidade desenvolvida para o veículo. Eu fiz o primeiro programa de televisão – né? - na América do Sul [risos], fiz o primeiro programa de televisão, de maneira que eu conheço todos que fazem televisão, e a maneira de eles trabalharem, o jeito de eles fazerem. Por exemplo: eu pergunto quem é o diretor de TV e conheço ele, e sei como é que ele faz. Então, se eu dizer assim, por exemplo, se eu tiver que dizer esta coisa execrável, assim: “eu te amo.”, eu consigo. Eu pergunto: “quem é o diretor?”. Eu já sei como é que ele vai fazer... Pergunto: “quem é o iluminador?”, [e] já sei que luz ele vai pôr. Pergunto: “quem é o sonoplasta?”, aí já sei que música ele vai pôr; e ver quem é o produtor... e eu consigo abstrair tudo isso e falar direto com o espectador, entendeu? Num átimo...
02/03/1987|Lima Duarte|3|Rodolfo Gamberini|Sei.
02/03/1987|Lima Duarte|4|Lima Duarte|... numa loucura aqui, assim. E...
02/03/1987|Lima Duarte|5|Walter Jorge Durst|[Interrompendo] A moça que vai ouvir [...]...
02/03/1987|Lima Duarte|6|Lima Duarte|Hein?
02/03/1987|Lima Duarte|7|Walter George Durst|[Interrompendo] A moça que vai ouvir [...]...
02/03/1987|Lima Duarte|8|[Risos]|Risos]
02/03/1987|Lima Duarte|9|Lima Duarte|Você mesmo me dizia que televisão não tem frente, então a moça pode sair da frente que eu falo direto e eu digo para o espectador que ama a moça que está me ouvindo, não é verdade? Ao contrário de teatro, do teatro – né? - que você se projeta no teu parceiro em cena e através disso chega ao espectador, né?
02/03/1987|Lima Duarte|10|Rodolfo Gamberini|[Interrompendo] Agora o fato...
02/03/1987|Lima Duarte|11|Lima Duarte|Porque eu acho que televisão tem uma sensibilidade específica, é um veículo muito específico, com leis, regras...
02/03/1987|Lima Duarte|12|Rodolfo Gamberini|Quer dizer, o fato dela não ter frente, como diz o [Walter George] Durst, quer dizer, significa isso: que você não está falando para uma pessoa específica? Explica esta noção aí de que a televisão não tem frente.
