DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/08/2002|Lobão|1|Paulo Markun|Boa noite. Ele já foi um dos personagens mais polêmicos e rebeldes do rock brasileiro, questionador. Ultimamente vem fazendo incursões mais políticas. Surgiu na linha de frente de um movimento de artistas defendendo a numeração dos CDs, além de outros controles, como forma de proteger melhor os direitos autorais no Brasil. O cantor e compositor Lobão, um dos responsáveis por essa campanha e pela polêmica que surgiu em torno da questão é o convidado desta noite do programa Roda Viva.
12/08/2002|Lobão|2|[Comentarista]|É só clicar para ouvir. É só clicar para ver. O lobo mau não está mais na floresta, está na internet - www.lobao.com.br - é acessar o endereço e entrar no universo paralelo de Lobão. O menu cheio de alternativas oferece informações sobre tudo: os shows, músicos, contatos, fotos, vídeos, compra de CDs, a discografia de Lobão, a história de Lobão. Aos quarenta e cinco anos João Luís Woerdenbag, carioca da zona Sul que surgiu como baterista de banda de rock nos anos 1980 e depois virou guitarrista, cantor e compositor, já conta mais de vinte anos de atribulada carreira artística. Crítico e provocador, cumpriu o modelo de roqueiro rebelde, virou Lobão, criando desafetos e fama de mau. Um dia, ele que havia brigado com tanta gente, brigou também com o rock e passou a buscar na música popular brasileira mais referências para a sua produção musical. Vieram novas críticas, disseram que o novo Lobão misturou samba com rock e ficou careta, de qualquer forma ficou mais comportado, mas permaneceu crítico e provocador. Nos últimos anos, desentendeu-se com gravadoras por considerar cínica a campanha contra a pirataria. Tornou-se independente e passou a gravar os seus próprios CDs que são vendidos em bancas de jornal e pela internet a preço mais barato que os lançamentos vendidos em lojas. E são CDs numerados, como ele quer que aconteça com todos os CDs distribuídos pelas gravadoras. Junto com Beth Carvalho [Elizabeth Santos Leal de Carvalho; 1946; cantora e compositora], Lobão buscou apoio da classe artística e de políticos para a aprovação da lei que obriga a numeração de CDs e também de livros para proteger direitos autorais. O projeto foi aprovado na Câmara e no Senado, mas acabou vetado pelo presidente Fernando Henrique [Fernando Henrique Cardoso; 1931; sociólogo e ex-presidente do Brasil no período de 1995-2002] com apoio de um grupo de artistas, por conta de problemas no texto original e da polêmica entre os próprios músicos e as gravadoras. A polêmica ainda está no ar enquanto se aguarda a decisão do grupo especial anunciado pelo governo para rediscutir o projeto de lei e tentar contornar conflitos e conciliar interesses.
12/08/2002|Lobão|3|Paulo Markun|Bem, para entrevistar o cantor e compositor Lobão nós convidamos: Pedro Alexandre Sanches, repórter e crítico musical da Folha de S. Paulo; Antônio Carlos Miguel, crítico musical do Jornal O Globo; Paulo Lima, editor da revista Trip; Adriana Veri Silva, editora da revista e do site Primeira Leitura; Lázaro de Oliveira, jornalista do programa Metrópolis aqui da TV Cultura; e Eduardo Muszkat do conselho diretor da Associação Brasileira de Música Independente, presidente da gravadora MCD World Music e diretor superintendente da Brasil Music and Arts. O Roda Viva é transmitido em rede nacional para todos os estado brasileiros e também para Brasília. Boa noite, Lobão.
12/08/2002|Lobão|4|Lobão|Boa noite, Paulo.
12/08/2002|Lobão|5|Paulo Markun|Olha aqui, a gente tem uma informação - eu sei que você tem também ela - que hoje aconteceu, à tarde, pela primeira vez, a reunião desse grupo de trabalho que vai propor os atos necessários para numeração e identificação dos fonogramas e das obras literárias artísticas ou científicas. Eram vinte e sete pessoas presentes, contando os representantes do governo. E a informação que nós tivemos, que eu queria conferir com você, é que o resultado foi positivo, parece que até o dia 19 de agosto todos do grupo de trabalho receberão a minuta de um novo decreto. No dia 22 acontece a segunda reunião para discutir [de] ponta a ponta. Esse decreto terá vinte dias de consulta pública e o término do trabalho está marcado para o dia 12 de setembro com a aprovação por todos do documento, que será encaminhado ao presidente da República. Agora, você não era para estar lá?
12/08/2002|Lobão|6|Lobão|Eu não sei, eu não acredito, eu estou muito satisfeito de não estar lá a princípio. Primeiro porque a luta minha, o Frejat [Roberto Frejat; 1962; cantor, compositor e guitarrista. Integrante do Barão Vermelho]], Beth [Elizabeth Santos Leal de Carvalho; 1946; cantora e compositora], toda a nossa luta foi de uma representatividade e a coisa aconteceu muito, muito repentinamente. A deputada federal Tânia Soares [deputada pelo PCdoB], eu tinha entrado em contato com ela há um ano e meio, dois anos, na época das eleições ela assumiu a titularidade de deputada e ela tinha lido a revista Caros Amigos.
12/08/2002|Lobão|7|Paulo Markun|Isso, uma entrevista sua.
12/08/2002|Lobão|8|Lobão|Zeca Baleiro [José Ribamar Coelho Santos; 1966; cantor e compositor], Nehemias [Nehemias Gueiros Jr., advogado especializado em direito autoral, show business e internet, professor da Fundação Getúlio Vargas-RJ], foi uma entrevista muito importante que a gente deu naquela época, e falamos sobre tudo isso que aconteceu, e ela estava constituindo uma pauta, né?, e ela telefonou para mim e falou: “olha, eu queria fazer uma participação sobre a luta de vocês”. A gente queria, a gente até já tinha falado de político que não resolvia nada e aquela coisa toda e ela falou: “olha, nós cremos que a classe política está interessada sim, que a gente pode”. E eu meio cético, confesso a você que eu falei: “olha, entrou uma mulher aí como se fosse pedir um sanduíche para viagem, dá uma numeração para viagem”. É... Bom, o que aconteceu, para minha surpresa, um ano e meio depois, agora, cerca de dois meses, três meses atrás, antes da Copa né, um pouco antes, a Tânia me telefona dizendo: “olha, foi aprovado por unanimidade na Câmara”. E a partir dali eu me senti compelido a fazer alguma coisa para dar seguimento à coisa. Foi uma vitória histórica naquele momento e eu até tentei, naquele momento, me reunir com ela e saber o que a gente podia engendrar em relação aquilo. Bom, aí comecei, eu e Regina, a gente começou a procurar telefones de artistas, que a gente tem uma classe muito difusa, então conseguimos falar com fulano, beltrano. Primeiro nós falamos com a Tânia lá no Rio, encontrei com ela antes disso tudo umas duas vezes, foi em Aracajú que eu estava fazendo show lá, depois no Rio que eu já estava mais articulado e naquela ocasião eu já estava pensando na transição. Até o Senado a gente precisa de entrar publicamente, a gente estava pensando “vai ter Copa do Mundo", se era melhor esperar, mas com esse negócio de eleição a gente não tinha tempo né... Então, o que aconteceu? A gente falou: “bom, esta semana nós vamos ter que acelerar isso”. E eu consegui, por intermédio de amigos meus, o telefone do gabinete do ministro da Justiça e prontamente fui atendido. Eu telefonei: “olha, eu sou Lobão e quero dizer que eu preciso de uma audiência”. Consegui a audiência logo na semana seguinte, no que eu consegui a audiência eu falei: “bom, eu vou precisar de gente”, porque essa representatividade não é minha. Aí eu comecei a falar com gente, a gente começou a falar com vários artistas e aí veio a Beth, nossa querida Beth Carvalho, que foi a pessoa que de primeira hora entrou na coisa, falou: “olha, tenho, tenho, tenho, eu vou, eu vou pegar um vôo para Brasília quinta-feira que vem". Ela imediatamente entrou, a gente tentou muito falar com outros artistas, mas tem problema de agenda. Enfim, por essas e por outras entramos nós dois, e assim, tipo, não tinha outro tipo de coisa. Agora, é claro que a gente entrou, a gente deu muito a cara a tapa etc e tal, a gente se sente muito dentro do projeto, mas é um projeto mais de todos, de todo mundo que pratica, que é autor, né?, é de todos, isso é uma coisa para todo mundo. Então, quando eu verifiquei posteriormente que a coisa começou a ter forma, de uma maneira inclusive surpreendente, diga-se de passagem, certas conjecturas que “Lobão não representa classe, porque tem desafeto ou coisa parecida”, além de eu ter achado surpreendente, é praticamente, pragmaticamente eu pensei assim: bom, eu preciso sair de cena, porque o que importa é a coisa em si. Nessa o Frejat entrou na coisa definitivamente, assim como nós conseguimos a assinatura de mais de quinhentos artistas, autores, intelectuais e tudo mais. Houve várias orquestrações etc e tal, no sentido de me tirar da parada, o que para mim de uma certa... como eu falei para você, eu não tenho, eu não tenho essa queda toda para isso, não. Eu só, eu só me senti legitimado a fazer porque há mais de quinze anos que eu batalho nisso, desde que eu assinei os contratos eu faço, desde a primeira vez que as idéias não corresponderam aos fatos, quando eu comecei a tocar “Me chama”, foi uma música super executada e depois vou perguntar e: "vendeu vinte mil cópias, vinte e cinco". Eu falei: “mas espera como é que vocês fazem?”, “isso é a minha palavra contra a sua”, “ah tá”, então comecei a ver que era isso era um tabu incrível, você fala isso e sai tiroteio. E agora hoje em dia está configurado isso tudo, agora no segundo estágio da coisa, quando já, já tinha entrado o Frejat, nós estávamos com Nehemias, Beth Carvalho. A Beth mesmo sugeriu que o sindicato dos músicos seria uma boa representação e nisso já foi, houve uma, uma coisa não sei da onde que elegeram o Frejat e o Ivan, o que eu acho...
12/08/2002|Lobão|9|Paulo Markun|O Ivan Lins [Ivan Guimarães Lins; 1945; cantor e compositor]?
12/08/2002|Lobão|10|Lobão|O Ivan Lins e o Roberto Frejat. O Frejat, eu acho que ele, tipo, foi o Ivan, inclusive, que dizem que bateu um bolão. Valeu, Ivan. Achei isso ótimo. Falei com o Frejat agora por telefone, nós temos as notícias quentes da coisa e está dado o histórico, então, agora o que aconteceu que o Frejat agora... Nós todos agora estamos nos reunindo, isso também está dando uma experiência classista na nossa classe muito salutar, sabe? A gente está falando com as pessoas, as pessoas se falam, se comunicam, dão opinião, vão às reuniões, a gente está indo a reuniões sistemáticas da [...] com o sindicato dos músicos.
