DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
26/07/1999|Luís Carlos Barreto|1|Paulo Markun|Boa noite, ele tem o maior número de realizações cinematográficas no Brasil e já conseguiu levar dois de seus filmes a disputar um Oscar, talvez por isso é tido como "coronel" ou o "poderoso chefão". No centro da Roda Viva o produtor de cinema Luís Carlos Barreto. O programa de hoje é parte da série de comemoração dos 30 anos da TV Cultura e a gente faz antes aqui uma passagem pelos arquivos do Roda Viva, relembrando algumas personalidades, diretores e atores que deixaram registrados no programa boa parte da discussão já feita em torno das dificuldades que, há décadas, rondam a produção nacional.
26/07/1999|Luís Carlos Barreto|2|[São exibidos vários vídeos]|São exibidos vários vídeos]
26/07/1999|Luís Carlos Barreto|3|Hector Babenco (cineasta)|"O que a gente vive hoje é um assolamento, assim, uma invasão da idiotice generalizada, porque as pessoas vão hoje ao cinema praticamente para comer pipoca. A idéia romântica e meia infantilóide de que achávamos que o cinema poderia mudar o mundo ou fazer uma revolução ou mudar os hábitos ou... era uma balela... Mas sim, é verdade que o cinema é a única arma capaz de manter o pensamento e a fantasia do ser humano viva em estado de alerta". 
26/07/1999|Luís Carlos Barreto|4|José Wilker (ator)|"Nosso cinema vive um problema estranho, os americanos, quando a televisão chegou lá, já tinha um cinema sólido, coube à televisão imitar então o cinema americano. No Brasil, a gente passou por um período de surtos em que o cinema vinha imitando os cassinos e, aqui e ali, tentando imitar a produção americana, e de repente surge a televisão e a televisão passou a trabalhar com melodramas. Passou a trabalhar com formas, ela ocupou um espaço muito grande na dramaturgia, com melodrama. Cabe, eu acho, hoje, para o cinema, ter que imitar a televisão e perder, porque se o cinema quiser fazer o melodrama que a TV faz vai perder. Acho que a idéia é partir para o histórico, partir para compreender o país."
26/07/1999|Luís Carlos Barreto|5|Nelson Pereira dos Santos (cineasta)|"Basicamente o Brasil tem condições de ter uma indústria, por quê? Porque ele tem o público, este público desapareceu, a exibição no Brasil sempre foi feita para o filé mignon da sociedade, quer dizer, hoje o preço de entrada é oito dólares, cinco dólares, quer dizer, o princípio do lucro, quer dizer, vender para quem tem oito dólares. Não interessa o resto, por que eu vou educar este povo? Não me interessa educar, porque o cinema na função de educação é muito grande e muito importante". 
26/07/1999|Luís Carlos Barreto|6|Paulo José (ator)|"A reserva de mercado, quer dizer, quando o Gate, esse grande acordo de mercado comum pretendia que toda indústria cultural fosse também comum, né, provocou reação de todos os países da Europa, fizeram um encontro e fecharam a questão de que o problema da indústria cultural é um problema de soberania, problema de identidade nacional, os países da Europa fecharam a questão e o Gate, o Gate não conseguiu esse mercado aberto, principalmente na indústria fonográfica e cinematográfica, existe reserva de mercado". 
26/07/1999|Luís Carlos Barreto|7|Pedro Almodóvar (cineasta espanhol)|"Deve existir reserva de mercado sim, e isto não significa que eu seja contra a liberdade de mercado. Não concordo é com o liberalismo selvagem... Que a cada três mil filmes estrangeiros ou que não sejam da União Européia, americanos, logicamente, o exibidor, o dono da sala deve passar um filme espanhol. São 3 por 1, ou 4 por 1, não estou certo da proporção. Mas creio que são 3 de fora e 1 local. Se não existisse isso, lhe asseguro que os exibidores espanhóis, os donos das paredes em que se projetam filmes, pessoas que não têm nenhuma relação com a magia de se fazer cinema, eles não passariam filmes espanhóis. Não passariam".
26/07/1999|Luís Carlos Barreto|8|Fernanda Torres (atriz)|"Uma das coisas graves que eu acho é que eu não vejo diretores de cinema vendo teatro e não vejo diretores de teatro vendo cinema.
26/07/1999|Luís Carlos Barreto|9|[ ]|E eu não vejo diretor de cinema vendo cinema.
26/07/1999|Luís Carlos Barreto|10|Fernanda Torres|"Também, e às vezes, pior, sinto que, aos diretores de cinema, falta a eles dramaturgia, entendimento de dramaturgia que encontrariam no teatro se se valessem mais do teatro". 
26/07/1999|Luís Carlos Barreto|11|Arnaldo Jabor (jornalista e cineasta)|"O cineasta virou um desesperado. Ele virou uma pessoa que queria fazer um país que o marginalizava. O cinema brasileiro é a cara do país, quer dizer, funciona por ciclos, ciclos de euforia e decadência, euforia e depressão, quer dizer, o que aconteceu com o cinema que ele é um desejo envolvido e que, por mais que tenha sido vitorioso em determinada época, o Brasil tende a engolir esse desejo. O Brasil tende a esmagar a sua própria vocação de primeiro mundo, sua própria vocação de país desenvolvido. O cinema brasileiro deu certo, quem não deu certo foi o país".
26/07/1999|Luís Carlos Barreto|12|Cacá Diegues (cineasta)|"É o cinema no Brasil que entrou em decadência, porque este país empobreceu, quer dizer, estamos vivendo uma barbárie social. Você pega um filme aí, qual o maior sucesso vigente? Parques dos dinossauros, este filme não chegou a quatro milhões de expectadores, eu fiz com Xica da Silva cinco e meio [milhão], Dona Flor [Dona Flor e seus dois maridos] fez 12, como eu já disse, Eu te amo do [Arnaldo] Jabor, fez seis ou sete [milhões], tudo muito mais que Parque dos dinossauros, por quê? Porque Xica da Silva é melhor que Parque dos dinossauros? Não, mas só que quando Xica da Silva passou, mais gente ia ao cinema. Então quem tem que decidir se tem cinema brasileiro ou se não tem cinema brasileiro, não somos nós os cineastas, é a sociedade brasileira."
