DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
24/03/1997|Luiz Carlos Mendonça de Barros|1|Matinas Suzuki|Boa noite. Ele é o gestor do Programa Nacional de Desestatização. No centro do Roda Viva está o presidente do BNDES [Banco Nacional de Desenvolvimento Econômico e Social] Luiz Carlos Mendonça de Barros.
24/03/1997|Luiz Carlos Mendonça de Barros|2|[Inserção de vídeo] [Imagens de Luiz Carlos Mendonça de Barros atuando no governo e em sua participação anterior no programa Roda Viva]|Inserção de vídeo] [Imagens de Luiz Carlos Mendonça de Barros atuando no governo e em sua participação anterior no programa Roda Viva]
24/03/1997|Luiz Carlos Mendonça de Barros|3|Luiz Carlos Mendonça de Barros é engenheiro e economista. Casado, tem três filhos e 54 anos de idade. É um especialista em mercado financeiro e já esteve no Roda Viva há seis anos, quando participou de um debate sobre economia brasileira. Luiz Carlos Mendonça de Barros começou em 1977 no Invest Banco e passou por outras instituições financeiras até se tornar sócio do Banco Matrix. Em outubro de 1995 foi indicado pelo ministro das Comunicações Sérgio Motta [um dos fundadores do PSDB (1940-1998), foi ministro das Comunicações no governo Fernando Henrique] para presidir o BNDES e aceitou, afastando-se do Matrix. Os dois, Sergio Motta e Mendonça de Barros eram amigos desde o tempo da faculdade em São Paulo, quando militaram juntos na União Estadual dos Estudantes. A posse no BNDES foi prestigiada por quatro ministros e um governador, traduzindo a importância do cargo. O BNDES é um dos maiores bancos estatais de investimentos do mundo. Luiz Carlos Mendonça de Barros assumiu com uma promessa, a de acelerar o programa de privatizações que foi iniciado em 1991 e ganhou impulso no governo Fernando Henrique. Até hoje, esse programa já arrecadou mais de 19 bilhões de dólares com a venda de estatais, e este ano, só com a privatização da Companhia Vale do Rio Doce, que começa no dia 29 de abril, o governo espera arrecadar mais de dez bilhões de dólares.|uiz Carlos Mendonça de Barros é engenheiro e economista. Casado, tem três filhos e 54 anos de idade. É um especialista em mercado financeiro e já esteve no Roda Viva há seis anos, quando participou de um debate sobre economia brasileira. Luiz Carlos Mendonça de Barros começou em 1977 no Invest Banco e passou por outras instituições financeiras até se tornar sócio do Banco Matrix. Em outubro de 1995 foi indicado pelo ministro das Comunicações Sérgio Motta [um dos fundadores do PSDB (1940-1998), foi ministro das Comunicações no governo Fernando Henrique] para presidir o BNDES e aceitou, afastando-se do Matrix. Os dois, Sergio Motta e Mendonça de Barros eram amigos desde o tempo da faculdade em São Paulo, quando militaram juntos na União Estadual dos Estudantes. A posse no BNDES foi prestigiada por quatro ministros e um governador, traduzindo a importância do cargo. O BNDES é um dos maiores bancos estatais de investimentos do mundo. Luiz Carlos Mendonça de Barros assumiu com uma promessa, a de acelerar o programa de privatizações que foi iniciado em 1991 e ganhou impulso no governo Fernando Henrique. Até hoje, esse programa já arrecadou mais de 19 bilhões de dólares com a venda de estatais, e este ano, só com a privatização da Companhia Vale do Rio Doce, que começa no dia 29 de abril, o governo espera arrecadar mais de dez bilhões de dólares.
24/03/1997|Luiz Carlos Mendonça de Barros|4|[Fim do vídeo]|Fim do vídeo]
24/03/1997|Luiz Carlos Mendonça de Barros|5|Matinas Suzuki|Bem, para entrevistar esta noite o Luiz Carlos Mendonça de Barros, nós convidamos o jornalista Carlos Alberto Sardenberg, comentarista da rádio CBN e do SBT; o geógrafo Aziz Ab’Saber, professor da USP e presidente de honra da Sociedade Brasileira para o Progresso da Ciência [SBPC]; a jornalista Suely Caldas, diretora da sucursal do jornal O Estado de S. Paulo no Rio de Janeiro; a jornalista Eleonora de Lucena, secretária de redação da Folha de S. Paulo; o consultor de empresas Antoninho Marmo Trevisan e o jornalista Othoni Fernandes Júnior, diretor de InvestNews da Gazeta Mercantil. O Roda Viva é transmitido em rede nacional com 289 outras emissoras de todos os estados brasileiros, além do Distrito Federal, Brasília. Você pode enviar aqui as suas perguntas para o Luiz Carlos Mendonça de Barros através dos telefones 011 252-6525; repetindo 011 252-6525; se você preferir enviar as suas perguntas pelo fax, use o número 011 874-3454, 011 874-3454; o nosso endereço na internet, caso você prefera enviar as suas perguntas via internet é rodaviva@tvcultura.com.br, rodaviva@tvcultura.com.br. Boa noite presidente do BNDES, Luiz Carlos Mendonça de Barros.
24/03/1997|Luiz Carlos Mendonça de Barros|6|Luiz Carlos M. Barros|Boa noite.
24/03/1997|Luiz Carlos Mendonça de Barros|7|Matinas Suzuki|Se você me permitir, vou lhe chamar de Luiz Carlos, está bom?
24/03/1997|Luiz Carlos Mendonça de Barros|8|Luiz Carlos M. Barros|Pois não.
24/03/1997|Luiz Carlos Mendonça de Barros|9|Matinas Suzuki|Luiz Carlos, no final da semana passada nós vimos uma articulação, por parte de alguns parlamentares e deputados da Câmara Federal, propondo uma CPI [Comissão Parlamentar de Inquérito] a propósito da privatização da Vale do Rio Doce. Como é que o governo avalia essa proposta de CPI? Qual a avaliação desse movimento dentro do Congresso?
24/03/1997|Luiz Carlos Mendonça de Barros|10|Luiz Carlos M. Barros|Bom, o governo aqui tem várias faces ou vários braços, não é? A CPI é uma questão parlamentar e, portanto, é uma questão que tem que ser tratada pelo governo dentro do Congresso, e as nossas lideranças já estão a par de todo o processo da Vale. Evidente que para que exista uma CPI, que é um momento, vamos dizer assim, meio dramático no processo parlamentar... nós estamos vendo aí a CPI dos Precatórios, evidentemente que tem que haver uma razão óbvia. A Vale do Rio Doce, a privatização da Vale do Rio Doce segue uma lei federal, uma lei aprovada pelo Congresso, está em pleno vigor e a privatização segue as normas que foram estabelecidas. Então claramente não se pode acusar de ser uma coisa ilegal, porque ela segue uma lei federal. O outro ponto que poderia ser argüido é que o BNDES é o gestor desse processo e ele toma, como gestor do processo, uma série de decisões que, embora estabelecidas em lei, dependem de um juízo administrativo. Então creio que, eventualmente, se houver algum ponto que eles queiram levantar, e aparentemente elegeram duas ou três questões administrativas... Primeiro, na privatização da Vale, pela sua importância e sabendo que ela ia ter um impacto sobre a opinião pública muito grande, pela primeira vez nós adotamos um procedimento em relação ao Tribunal de Contas - que é quem dentro do arcabouço legal brasileiro fiscaliza a ação do Executivo, sempre a posteriori -, nós resolvemos estabelecer uma espécie de relação on line com o Tribunal de Contas, isto é, toda grande decisão que nós tomamos foi previamente comunicada ao Tribunal, discutido com eles eventualmente... nós estivemos lá umas duas, três vezes fazendo uma exposição sobre o modelo... E toda vez que aparece uma questão na imprensa, por menor que ela seja, por maior absurdo que possa parecer, a gente tem informado ao Tribunal de Contas. Então, a nosso ver, não existe nenhuma questão, da parte da gestão do programa do BNDES, que justificasse uma atitude desta importância. Agora, volto a dizer, isso não é uma questão que o BNDES deva interferir ou julgar, é uma questão que está colocada na pauta. Nós estamos fazendo o nosso trabalho e o que eles decidirem está decidido.
