DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/05/2005|Luiz Felipe Scolari|1|Paulo Markun|Boa noite. Que a vida é dura todo mundo concorda e que é possível conviver com altos e baixos também, mas para algumas pessoas não tem muito meio termo. Por exemplo, um técnico de futebol. Se tudo der certo, ele vira estrela, ganha prestígio, dinheiro e adeus vida dura. Mas se as coisas derem errada a culpa é só dele, cai em desgraça com todo mundo e adeus vida boa. Hoje nós entrevistamos um personagem para quem as coisas deram muito certo. No centro do Roda Viva, Luiz Felipe Scolari, o Felipão, que já se deu bem em campos brasileiros e agora quer conquistar a Europa no comando da Seleção Portuguesa de Futebol [Felipão é o técnico da Seleção Portuguesa desde 2003].
11/05/2005|Luiz Felipe Scolari|2|[Comentarista]|Mais que jogar, ele sempre gostou de mandar e conquistar vitórias com mais músculo que arte. É o futebol força de Felipão ou Luiz Felipe Scolari, gaúcho de Passo Fundo, filho de Benjamin, um dos melhores zagueiros do sul na década de 1940. Antes de estrear como técnico do CSA de Alagoas, em 1982, Felipão atuou na posição do pai e jogou quase 10 anos no Aimoré, Novo Hamburgo, Caxias e Juventude, de Caxias do Sul, e no próprio CSA. Para se firmar como treinador, arriscou de tudo. Em 1987, foi para o Kuwait, depois Arábia Saudita e Japão, mas voltou logo. Levou o Criciúma de Santa Catarina até à vitória da Copa Brasil em 1991. A carreira deslanchou e Scolari foi para o Grêmio, de Porto Alegre, onde conquistou a Libertadores [Copa Libertadores da América] de 1995 e o Brasileiro [Campeonato Brasileiro] de 1996. Consagrado, chegou ao Palmeiras em 1997 e levou o time à maior conquista de toda a sua história: a Libertadores de 1999. No horizonte de Scolari, só faltava a Seleção Brasileira, e ela veio rápido. Em 2001, ao vestir o agasalho do selecionado brasileiro, Felipão surgiu como uma espécie de salvador num momento complicado da pátria de chuteiras, amargou derrotas na classificação para o Mundial de 2002 e amargou o desgaste por cortar Romário [Felipão preferiu levar para a Copa de 2002 o atacante Luisão. Naquele ano, mesmo sem Romário, o Brasil foi campeão da disputa]. Pôs ordem na casa e, na bacia das almas, arranjou a vaga. Foi quando o Brasil, transformado em família Scolari, embarcou para a Coréia e Japão para conquistar o penta. Para o salvador da pátria, a chave que lhe abriu as portas do futebol europeu como técnico da Seleção Portuguesa.
11/05/2005|Luiz Felipe Scolari|3|Paulo Markun|Para entrevistar o técnico Luiz Felipe Scolari nós convidamos Kitty Balieiro, chefe de redação do Canal ESPN Brasil; Marcello Lima, repórter esportivo da rádio Joven Pan; Hélio Alcântara, chefe de redação de esporte da TV Cultura e apresentador do Grandes Momentos do Esporte; Ruy Carlos Ostermann, colunista do jornal Zero Hora, comentarista esportivo e apresentador do programa Debates Esportivos, da rádio Gaúcha, e autor do livro Felipão, a alma do penta; Luis Antônio Prósperi, repórter de esportes do Jornal da Tarde; Juca Kfouri, colunista esportivo e apresentador do programa Cartão Verde, da TV Cultura; Paulo Lima, editor da revista Trip. Ali do alto, o cartunista Paulo Caruso acompanha com pincel e tinta os flagrantes e momentos da peleja, ou melhor, da entrevista. Boa noite, Felipão.
11/05/2005|Luiz Felipe Scolari|4|Luiz Felipe Scolari|Boa noite.
11/05/2005|Luiz Felipe Scolari|5|Paulo Markun|Queria começar com o seguinte: Vale essa história, quer dizer, o técnico é realmente o culpado de tudo que acontece de ruim e fatura quando o time vai bem?
11/05/2005|Luiz Felipe Scolari|6|Luiz Felipe Scolari|Ele é culpado...
11/05/2005|Luiz Felipe Scolari|7|Paulo Markun|Na cabeça das pessoas?
11/05/2005|Luiz Felipe Scolari|8|Luiz Felipe Scolari|É, na conjuntura de algumas situações há quem imagine que o único errado num jogo de futebol seja o técnico, aí ele arca com as conseqüências e também ganha muito de prestígio. À medida que a equipe que dirige tenha resultados negativos, já é um pouco mais diluído, aí então essa situação de vitorioso, mas ele também ganha muito, sim, quando é vitorioso.
11/05/2005|Luiz Felipe Scolari|9|Paulo Markun|Agora, com 11 jogadores em campo, muitas vezes são sujeitos que ganham um bom dinheiro fazendo aquilo ali, acham que sabem tudo daquela atividade, certamente acham que sabem mais do que o técnico, indiscutivelmente. Como é que se consegue pilotar esse time?
11/05/2005|Luiz Felipe Scolari|10|Luiz Felipe Scolari|O grande problema do técnico não é hoje a parte técnica, não é hoje fazer com que o jogador chute a bola de uma forma assim ou assado, o grande dilema do técnico, atualmente, no mundo todo, é dirigir essas estrelas, organizar e trabalhar com o ego desse pessoal. Quem souber conduzir um grupo e quem souber montar um grupo, fazer com que esse grupo tenha algumas cedências de ego para benefício de um conjunto é o grande vencedor. Isso é o mais difícil no momento.
