DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
21/12/1998|Luiz Marinho|1|Paulo Markun|Boa noite. Ele acaba de concluir um acordo inédito na vida sindical brasileira, evitando uma demissão em massa na Volkswagen. No centro do Roda Viva esta noite o presidente do poderoso Sindicato dos Metalúrgicos do ABC. Luiz Marinho tem 39 anos e nasceu em Santa Rita do Oeste, no interior de São Paulo, foi trabalhador rural até os 13 anos e comerciário depois. Desde 1978 é metalúrgico da Volkswagen [empresa alemã do setor automotivo]. Tornou-se diretor do sindicato em 1984 e está na presidência desde 1996. Apesar do pavio curto, é bom negociador. Em sua gestão, as greves foram substituídas pelos acordos. Hoje mesmo, Luiz Marinho foi uma das figuras centrais em um ato de protesto realizado na sede da Federação das Indústrias [Fiesp - Federação das Indústrias do Estado de São Paulo], onde aconteceu o pacto pela produção e pelo emprego.
21/12/1998|Luiz Marinho|2|[Vídeo] [Imagens de reuniões na Fiesp, de Horácio Lafer Piva (então presidente da Fiesp), de políticos e de Luiz Marinho. Narração de Heródoto Barbeiro]|Vídeo] [Imagens de reuniões na Fiesp, de Horácio Lafer Piva (então presidente da Fiesp), de políticos e de Luiz Marinho. Narração de Heródoto Barbeiro]
21/12/1998|Luiz Marinho|3|O movimento "Mais produção, mais emprego - um compromisso pela retomada do desenvolvimento" reuniu mais de quatrocentas pessoas na sede da Federação das Indústrias do Estado de São Paulo. Eram empresários, sindicalistas da CUT e Força Sindical e políticos de diversos partidos, da oposição e da base governista. As propostas de mudanças na política econômica ainda vão ser formuladas por por grupos de trabalho. Mas já existe um consenso. O governo precisa apressar a reforma tributária e reduzir imediatamente as taxas de juros.| movimento "Mais produção, mais emprego - um compromisso pela retomada do desenvolvimento" reuniu mais de quatrocentas pessoas na sede da Federação das Indústrias do Estado de São Paulo. Eram empresários, sindicalistas da CUT e Força Sindical e políticos de diversos partidos, da oposição e da base governista. As propostas de mudanças na política econômica ainda vão ser formuladas por por grupos de trabalho. Mas já existe um consenso. O governo precisa apressar a reforma tributária e reduzir imediatamente as taxas de juros.
21/12/1998|Luiz Marinho|4|[Horácio Lafer Piva]|Esperamos ali, na segunda quinzena de janeiro, levar já algumas posições para o governo, para conversar, com a ajuda do Legislativo, com o Executivo.
21/12/1998|Luiz Marinho|5|O presidente do Sindicato dos Metalúrgiocos do ACB, Luiz Marinho, aproveitou o ato para exigir que a Ford suspenda as 2800 demissões anunciadas para janeiro, e observou que a decisão da montadora é um prenúncio do que pode acontecer no ano que vem, se não forem adotadas medidas de combate à recessão.| presidente do Sindicato dos Metalúrgiocos do ACB, Luiz Marinho, aproveitou o ato para exigir que a Ford suspenda as 2800 demissões anunciadas para janeiro, e observou que a decisão da montadora é um prenúncio do que pode acontecer no ano que vem, se não forem adotadas medidas de combate à recessão.
21/12/1998|Luiz Marinho|6|[Jornalista]|Pode haver uma greve?
21/12/1998|Luiz Marinho|7|[Luiz Marinho]|Eu digo, para esse tipo de questão, que greve é muito pouco. Pode haver tudo, mas greve é muito pouco.
21/12/1998|Luiz Marinho|8|[Fim do vídeo]|Fim do vídeo]
21/12/1998|Luiz Marinho|9|Paulo Markun|Bem, para entrevistar Luiz Marinho, nós convidamos o cientista político Leôncio Martins Rodrigues, da Universidade de São Paulo [USP]; o empresário Nildo Masini, vice-presidente da Federação das Indústrias do Estado de São Paulo; a jornalista Liliana Pinheiro, da editoria de economia do jornal O Estado de S.Paulo; o operário José Lopez Feijóo, presidente da Central Única dos Trabalhadores [CUT] de São Paulo; o professor José Pastore, da Universidade de São Paulo; o jornalista Evando Nogueira, da editoria de economia do Diário do Grande ABC; o jornalista José Paulo Kupfer, editor e comentarista do programa Negócios CBN, da rádio CBN, e colunista do Diário do Grande ABC; e o jornalista Mauricio Esposito, da editoria de economia do jornal Folha de S.Paulo. Como você sabe, o Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. E se você quiser participar do programa, pode fazer a sua pergunta pelo telefone (011) 252-6525; pode também ligar para o nosso fax, que é (011) 3874- 3454; o endereço do Roda Viva na internet é rodaviva@tvcultura.com.br. Nossa equipe está aqui à disposição para receber e encaminhar a sua pergunta. Boa Noite, Marinho.
21/12/1998|Luiz Marinho|10|Luiz Marinho|Boa Noite. É um grande prazer estar aqui.
21/12/1998|Luiz Marinho|11|Paulo Markun|Nós é que agradecemos. Eu chamei aí de ato de protesto o que aconteceu na Fiesp. Certamente há gente que participou desse ato, que acha que não foi exatamente um protesto. Mas, levando-se em conta o que aconteceu na Ford [empresa norte-americana do setor automotivo] nesta [última] sexta-feira [18/12/1998], como é que você vê essa manifestação. E, se você acredita que isso pode de alguma forma reverter esse quadro, por que, afinal, os dirigentes da Ford são provavelmente filiados à Federação das Indústrias, não é?
21/12/1998|Luiz Marinho|12|Luiz Marinho|Com certeza, são filiados. Eu espero que esse movimento cresça e vire um movimento nacional, e que, acima de tudo, ele venha atingir a sensibilidade do presidente da República [Fernando Henrique Cardoso], que ele possa reorientar os números da sua economia. De fato, as demissões da Ford podem ser um prenúncio do que será 1999. Tudo indica que nós vamos ter um 1999 infinitamente pior do que foi 1998. Para [se] ter uma idéia, o setor automotivo produziu, no ano de 1997, 2,67 milhões de veículos. Este ano vamos produzir 1,5 milhão e [para] o ano que vem a melhor previsão para [a produção é de] 1,4 milhão. Mas há quem fale que podemos chegar em 1,1 milhão [de veículos], o que seria uma catástrofe. Aproveito inclusive, Paulo, para orientar os trabalhadores da Ford para ignorar todas orientações que a Ford está dando, que no dia quatro de manhã, às seis horas da manhã, vamos para a porta da fábrica e lá discutiremos exatamente o que fazer.
21/12/1998|Luiz Marinho|13|Paulo Markun|Agora, Marinho, uma frase que era muito comum no movimento sindical antigamente era a seguinte: "Patrão é tudo igual. Patrão é tudo igual, só quer lucro, só quer complicar a vida do trabalhador.". A situação da Volks e da Ford demonstra que, pelo menos no caso das montadoras, há diferenças importantes, não é?
21/12/1998|Luiz Marinho|14|Luiz Marinho|Do ponto de vista de querer mais, lucrar mais, todos eles são iguais. Agora, tem uns que utilizam caminhos diferentes, e nós temos que destacar a diferença que a Volkswagen adotou neste momento. Aliás, desde o primeiro momento que a Volkswagen nos procurou eu elogiei a atitude da Volkswagen, [de] procurar propor caminhos que não sejam a velha forma, a demissão. E a Ford, além de encaminhar pela demissão, uma maneira trágica... porque nós estamos em um período natalino, onde a sensibilidade das pessoas está mais aguçada, e a Ford aproveitou exatamente esse momento, inclusive para planejar a forma. Na quarta-feira foi o último dia de trabalho do pessoal. A empresa já tinha essa decisão, com certeza. Nós provocamos a empresa para discutir essa questão e eles disseram que não tinha decisão ainda. Na sexta-feira, após o almoço, me procuram para nos informar, nos comunicar, que estavam demitindo 2,8 mil companheiros, e que as cartas iriam ser colocadas no correio a partir de segunda-feira, e que eles seriam comunicados da demissão a partir do dia quatro. Para mais surpresa minha, no sábado, trabalhadores já começaram a ligar para o sindicato, dizer que já estavam recebendo a carta notificando a sua dispensa. Portanto, já estava planejado, e fizeram da pior forma possível.
