DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
27/10/2003|Luiz Pinguelli Rosa|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
27/10/2003|Luiz Pinguelli Rosa|2|Paulo Markun| Boa noite. Ele está encarregado de reconstruir o setor elétrico brasileiro, uma tarefa do tamanho do Brasil, da crise que já deixou este país às escuras, da falta sistemática de investimentos em eletricidade e dos problemas que tornaram o setor elétrico complexo e cheio de desafios. O Roda Viva entrevista, esta noite, Luiz Pinguelli Rosa, presidente da Eletrobrás, a empresa encarregada de coordenar e integrar o sistema elétrico do país.
27/10/2003|Luiz Pinguelli Rosa|3|[Comentarista]| Luiz Pinguelli Rosa é doutor em física, professor titular da Universidade Federal do Rio de Janeiro. Também coordenou programas de pós-graduação de engenharia da universidade. Foi orientador de mais de setenta alunos de mestrado e doutorado e já publicou cerca de cento e cinqüenta trabalhos no Brasil e no exterior. Estudioso de matrizes energéticas e de fontes alternativas de energia, Luiz Pinguelli é um reconhecido especialista em planejamento energético. Ligado ao PT [Partido dos Trabalhadores] de forma mais operacional do que partidária, como ele costuma explicar, foi um dos coordenadores do programa de governo de Lula nas áreas de energia, ciência e tecnologia. Assumiu, este ano, a presidência da Eletrobrás, empresa do governo destinada à coordenação e integração do setor elétrico. A Eletrobrás controla seis subsidiárias responsáveis por quase 60% da energia elétrica produzida no país. São empresas geradoras e distribuidoras que passaram para o governo federal e enfrentam dívidas e dificuldades criadas pela falta de investimentos, como demais empresas de energia atualmente. O apagão de 2001, que disparou um alarme e impôs um duro racionamento ao país, deu aos brasileiros a prova da precariedade que atingia a área de energia elétrica. Hoje a situação é momentaneamente inversa. A população aprendeu a economizar energia, a recessão diminuiu o consumo nas indústrias e até se fala que está sobrando eletricidade em algumas regiões. Mas, a crise não foi ainda resolvida e já levou várias empresas a trabalhar no vermelho. Endividado e cercado de problemas criados pela privatização, alta do dólar, falta de regras claras, confusão e manipulação de tarifas, o setor elétrico está num beco difícil de sair. Quem tem luz, acha que paga cada vez mais caro por isso, quem não tem, ainda não sabe o quanto terá que esperar. A ampliação da infra-estrutura elétrica depende de muito dinheiro e é demorada, mas se demorar muito, a previsão é conhecida: poderá faltar tomada para ligar os motores de economia brasileira.
27/10/2003|Luiz Pinguelli Rosa|4|Paulo Markun| Para entrevistar Luiz Piguelli Rosa, nós convidamos Sérgio Lirio, editor da revista Carta Capital; Tereza Cruvinel, colunista de política do jornal O Globo; Célio Bermann, professor do Instituto de Eletrotécnica e Energia e do programa de pós-graduação em energia da Universidade de São Paulo [USP]; Maria Zulmira de Souza, jornalista da TV Cultura; Roberto Esmeraldi, jornalista e diretor da organização não-governamental Amigos da Terra - Amazônia Brasileira, com projetos ambientais na região amazônica; Cley Scholz, chefe de reportagem da editoria de economia do jornal O Estado de S. Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Você pode participar do programa utilizando nosso telefone que é (11)252-6525. Temos endereço na internet, que é rodaviva@tvcultura.com.br. Senhor Pinguelli, boa noite.
27/10/2003|Luiz Pinguelli Rosa|5|Luiz Pinguelli Rosa| Boa noite.
27/10/2003|Luiz Pinguelli Rosa|6|Paulo Markun| Queria começar com uma provocação legítima. Ao acompanhar um pouco essa questão do modelo elétrico brasileiro, da situação do sistema elétrico, me lembro daquela velha história do [jogador de futebol brasileiro] Mané Garrincha quando o técnico explicou como é que nós íamos ganhar o jogo e o Garrincha, naquela ingenuidade, disse: “Tá bom, mas o senhor já combinou com os russos?”. Porque, se o modelo de privatização não funcionou e nem foi feito até o fim, e se é necessário modificar esse modelo e fazer grandes investimentos - seis bilhões por ano é o número que eu vi - e nós não temos esse dinheiro todo, como é que se combina com os russos, que são investidores estrangeiros, que há novas regras, também muito justas e corretas, de diminuir o preço da energia para o consumidor, de fazer um mix desse preço, do preço velho para o preço novo? 
27/10/2003|Luiz Pinguelli Rosa|7|Luiz Pinguelli Rosa| É preciso ficar claro que não há uma saída para o setor elétrico brasileiro só com investidor estrangeiro. Isso é inviável. Aliás, não são apenas seis bilhões de reais, dependendo do ritmo, e nós precisamos de um ritmo de crescimento acelerado para compensar nossos problemas nesses tantos anos de quase paralisia econômica. E também há a remuneração: não é possível garantir uma remuneração em dólar paga por uma população assalariada em reais. Portanto, é um equívoco a expectativa de que apenas um investidor de fora do país vá resolver o problema elétrico, isso é de uma ingenuidade total. Ele terá um papel sim, e é indispensável. A Eletrobrás, que é federal, este ano está investindo três bilhões e meio de reais, mas ela está contribuindo para o superávit primário [diferença positiva entre as receitas e as despesas dos governos, excluídas as despesas com juros], ela tem uma receita de Itaipu [Usina Hidrelétrica de Itaipu Binacional] que é transferida ao Tesouro Nacional por um acordo antigo, e que atribui essa transferência. Só este ano, somando isso tudo, poderiam ser investidos cinco ou seis bilhões de reais. 
27/10/2003|Luiz Pinguelli Rosa|8|Paulo Markun| O que precisa fazer? 
27/10/2003|Luiz Pinguelli Rosa|9|Luiz Pinguelli Rosa| Bom, é preciso sim ter regras estáveis, ter um modelo mais operacional, levar em conta que o Brasil é um país hidroelétrico e por muito tempo será, e, portanto, qualquer que seja a solução, a opção é aberta. Mesmo que a gente comece a fazer [usinas] termoelétricas ou outra forma de energia hoje, por muito tempo ainda [a fonte] será predominantemente hidroelétrica. Isso dá características especiais ao país que exige um regime cooperativo, que hoje é bem representado pelo ONS [Operador Nacional do Sistema Elétrico, entidade responsável pela coordenação e controle da operação das instalações de geração e transmissão de energia elétrica no Sistema Interligado Nacional, sob a fiscalização e regulação da Agência Nacional de Energia Elétrica - Aneel]. É preciso ter um modelo coerente e que leva em conta que somos um país pobre - você comentou bem e o governo está cuidando disso - é preciso levar energia aos brasileiros que foram deixados no século XIX. Estamos no século XXI, e o século XX já foi o século da energia elétrica.
27/10/2003|Luiz Pinguelli Rosa|10|Paulo Markun| Agora, só para complementar a resposta do senhor, como é que se pode investir mais se, por exemplo, no primeiro trimestre deste ano, foi a primeira vez que a Eletrobrás deu prejuízo?
27/10/2003|Luiz Pinguelli Rosa|11|Luiz Pinguelli Rosa| Não, é uma ótima pergunta, pois foi uma confusão...A Eletrobrás deu prejuízo porque é uma grande credora. O que deram lucro foram os grandes devedores. É uma coisa clara: quem deve é, basicamente, o setor privado. E, já que pequenas empresas federais também do Nordeste e do Norte não têm base econômica e são subsidiadas, temos um crédito a receber muito grande, particularmente de Itaipu. Então, quando o dólar desvalorizou perante o real, tivemos um prejuízo contábil. A parte operacional da Eletrobrás deu lucro! As ações da Eletrobrás este ano subiram cerca de 70%, contra a principal ação das federais, que é a Petrobras, muito mais valorizada, mas a derivada dela foi uma subida no percentual de 33% e a média da Bolsa de Valores foi na faixa de 55%. Então, se analisada pelos próprios especialistas em investimentos, a empresa não está numa gestão de prejuízo, não. A Eletrobrás deu um prejuízo contábil devido ao enorme recebível que ela tem em dólares, o que é uma situação muito confortável.
27/10/2003|Luiz Pinguelli Rosa|12|Maria Zulmira de Souza| Mas vai fechar com lucro no fim do ano? 
27/10/2003|Luiz Pinguelli Rosa|13|Luiz Pinguelli Rosa| Vai, apesar disso. Mas é que o dólar varia, a média do dólar é um pouco diferente.
27/10/2003|Luiz Pinguelli Rosa|14|Cley Scholz| Professor, cinco anos antes do racionamento de energia [2001], o senhor entregou um relatório ao então vice-presidente Marco Maciel [governo Fernando Henrique] alertando que poderia faltar energia. Agora o país começa a retomar o crescimento, o governo fala em crescimento de 3 a 3,5% ao ano. Daria para o senhor prever quando será o próximo racionamento para a gente ir se preparando? 
27/10/2003|Luiz Pinguelli Rosa|15|Luiz Pinguelli Rosa| Não é minha tarefa fazer isso, é uma tarefa complexa que cabe ao Ministério de Minas e Energia, que pretende reinaugurar o planejamento do setor elétrico, quando isso também poderá ser dito. Há dois fatores: um deles é a oferta, que também não é determinada, porque você sabe o que já está instalado e o que está em construção, mas não sabe o que poderá entrar, do jeito que está hoje não há plano, poderá entrar mais ou poderá entrar menos. O outro fator, indeterminado, é o crescimento da demanda, que todos nós queremos que seja muito grande, mas não é tão trivial. A tradição do Brasil é que nós somos intensivos em energia, porque temos uma indústria de consumo elevado pelo tipo de atividade. Mas isso tende a mudar com a própria estrutura da economia. Os países mais desenvolvidos são menos intensivos, porque enquanto nós produzimos aqui coisas para exportar aqui, como um automóvel, veja quanto vale um automóvel exportado, quanto pesa. Pesa uma tonelada. Agora, você pega um laptop, quanto pesa? Poucos quilos, e vale quase o mesmo valor de um carro, às vezes. E quando você exporta um software? Aí você não tem nenhuma energia embutida e vale muito. Então a estrutura da economia vai ditar qual vai ser a demanda. Agora, nós temos uma dívida social, há uma demanda reprimida, e a indústria brasileira tem uma capacidade ociosa. Você tem razão, se nós não nos precavermos, poderá sim haver um apagão daqui a três, quatro, cinco anos, depende do ritmo. Mas, no momento, há excedente da energia devido ao pós-racionamento. Houve uma repressão no consumo e a economia está em um ritmo relativamente pequeno, por isso hoje há um excedente de energia elétrica no Brasil.
27/10/2003|Luiz Pinguelli Rosa|16|Maria Zulmira de Souza| Não seria o caso de manter, pelo menos, uma campanha de uso racional de energia, já que nós conseguimos uma economia de cerca de 30%, para se evitar novos investimentos que provoquem grandes impactos ambientais? Não seria caso de manter isso no país, já que é provado que muita energia é desperdiçada mesmo? 
27/10/2003|Luiz Pinguelli Rosa|17|Luiz Pinguelli Rosa| Sim, isso nós fazemos, existem programas da Eletrobrás. A Eletrobrás tem dois tipos de atividades: a geração de energia, transmissão e venda para as distribuidoras, a maioria delas empresas estrangeiras hoje no Brasil, e outra atividade, que é apoio ao governo, administramos os fundos do governo. Temos um programa chamado Procel [Programa Nacional de Conservação de Energia Elétrica], de conservação de energia, de evitar o desperdício, em qualquer situação, mesmo com excedente de energia. O desperdício de energia não faz sentido, porque energia é uma coisa cara, a sociedade paga por isso, às vezes usa recursos naturais não-renováveis, como é o petróleo e gás natural, o carvão, o urânio, outras vezes usa recursos renováveis, mas com impactos ambientais. Então é necessária essa cultura de conservação de energia, e nós temos um programa destinado a isso.
27/10/2003|Luiz Pinguelli Rosa|18|Tereza Cruvinel| O senhor falou que estamos em um momento de excesso, sobra de energia. Para mim, esse setor elétrico é um mistério. Eu me lembro que em 1988 houve um grande socorro a esse setor, um empréstimo compulsório, seguro, racionamento nos pagamentos com esse adicional de tarifa para compensar as perdas do apagão e agora, no momento de sobra de energia, o governo também acaba de socorrer as empresas do setor elétrico com um aporte do BNDES [Banco Nacional de Desenvolvimento Econômico e Social] de 4,9 bilhões de reais. Elas ganham sempre? Quer dizer, o que há com esse setor? Se falta energia, eles são socorridos. Se sobra energia, eles são socorridos. O que acontece? 
