DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/10/1996,Lygia Fagundes Telles,1,Matinas Suzuki,"Boa Noite. Ela é uma das mais importantes escritoras brasileiras. No centro do Roda Viva, que está completando 10 anos, está Lygia Fagundes Telles."
07/10/1996,Lygia Fagundes Telles,2,[...],[vídeo sobre a trajetória de Lygia Fagundes Telles]
07/10/1996,Lygia Fagundes Telles,3,[...],"“O escritor escreve, tentando recompor, quem sabe, um mundo perdido, os amores perdidos, a casa perdida, o paraíso perdido. Nesse paraíso perdido está a infância. ” [fala da própria escritora]"
07/10/1996,Lygia Fagundes Telles,4,"A arte da paulistana Lygia Fagundes, veio a público pela primeira vez em 1944 com a publicação do livro de contos Praia viva. A então estudante de direito no conservador Largo São Francisco, recebeu o alerta pessimista da mãe","“Você já entrou para uma escola de homens, vai publicar um livro, agora você não casa mais”. Previsão ignorada por Lygia e desmentida pela vida. A escritora casou-se duas vezes, teve um filho e é mãe também de 17 livros de contos e romances traduzidos para o espanhol, francês, inglês, russo e outras tantas línguas. Em 1994, destaque na feira de livro de Frankfurt, na Alemanha, Lygia explicou porque desafiou os tabus da década de 1940: ”O homem deve estar feliz vendo a mulher livre, os dois, lado-a-lado, nivelados, nem superior, nem inferior, nivelados”."
07/10/1996,Lygia Fagundes Telles,5,[...],"Feminista muito antes do movimento se estruturar, Lygia se auto denomina uma romântica. “Tão impossível procurar novas palavras para dizer ‘Eu te amo’ e no entanto estou eu em busca dessas palavras, dessas nova fórmula, são as aventuras da linguagem.”"
07/10/1996,Lygia Fagundes Telles,6,[...],"Romântica, que sofre em busca do texto perfeito. ”Esses temas que eu uso, em geral são temas difíceis, duros. Essa busca, essa aflição, essa ansiedade é sofrimento. Agora eu termino, então é a celebração, é a alegria porque terminei, porque eu estou em paz comigo mesma.”"
07/10/1996,Lygia Fagundes Telles,7,"A escritora está quase onipresente na vida cultural brasileira. Seus livros viraram peças de teatro, novelas e até filme como As meninas. “É extraordinário você encontrar as personagens que você idealizou ali na sua frente, vivendo aquela história, aquela trama. Paulo Emílio Sales Gomes {Paulo Emílio Sales Gomes","Paulo Emílio Sales Gomes (1916-1977) o mais importante crítico e pesquisador do cinema brasileiro, com trajetória intelectual das mais respeitadas no país, foi o segundo marido de Lygia F. Telles, com quem viveu de 1963 até 1977. Ao lado de outros intelectuais, foi fundador e articulista de revistas sobre cinema e desenvolveu intensa militância política e intelectual. Foi crítico do jornal O Estado de S. Paulo e autor de várias obras que viabilizaram pesquisas e que foram fundamentais para a constituição de uma memória nacional e para a formação de cineastas brasileiros, sendo inclusive considerado um mentor para a geração do Cinema Novo. Passou dez anos na França aprofundando seus estudos de cinema e fazendo uma ponte entre as fontes européias e a cultura cinematográfica brasileira. Criou o primeiro curso superior de cinema, na Universidade de Brasília, e foi professor de história do cinema e de cinema brasileiro na Escola de Comunicações e Artes da USP, onde também orientou teses a pedido do professor Antonio Candido. Organizou várias manifestações cinematográficas sustentando a idéia de conservação dos filmes pelos arquivos. Deixou uma obra central sobre o cinema brasileiro: Cinema: trajetória no subdesenvolvimento e um livro de ficção As três mulheres de três PPP's.} tem uma frase muito boa, tinha uma frase muito boa, ele dizia que pior filme brasileiro é melhor do que o melhor filme americano. Isso é muito bom.”"
07/10/1996,Lygia Fagundes Telles,8,[...],"Essa alegre defesa da cultura nacional ganha ar mais sóbrio na Academia Brasileira de Letras. “Os gênios ignorados em um país de memória curta, que parece preferir os mitos estrangeiros, como se estivéssemos ainda no século XVII sob o cativeiro do Reino.” Ao tomar posse da cadeira número 16 da Academia, em 1985, Lygia recebeu também o título de imortal, mas a verdadeira imortalidade já estava garantida muito antes, através de sua própria obra. “Me leia, dizia o poeta, não me deixe morrer, não me deixe morrer.”"
07/10/1996,Lygia Fagundes Telles,9,Matinas Suzuki,"Bem, para entrevistar a Lygia Fagundes Telles nós convidamos, esta noite, o escritor e jornalista Ignácio de Loyola Brandão, o escritor José Castello, cronista do jornal O Estado de S. Paulo, a escritora Ana Miranda, autora de Boca do inferno e A última quimera. Ana, muito obrigado pela sua presença. O jornalista Jorge Escosteguy que é meu antecessor aqui no Roda Viva e que foi companheiro nosso aqui do Roda Viva, importantíssimo nessa trajetória de 10 anos de programa. O jornalista Rinaldo Gama, editor do Cadernos da Literatura Brasileira do Instituto Moreira Salles e o jornalista Claudinei Ferreira, do programa Certas Palavras da rádio CBN. O Roda Viva é transmitido em rede nacional com 150 outras emissoras de 21 estados brasileiros. Boa Noite, Lygia."
07/10/1996,Lygia Fagundes Telles,10,Lygia Fagundes Telles,Boa noite.
