DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
08/05/1999|Marcelo Gleiser|1|[Programa ao vivo]|Programa ao vivo]
08/05/1999|Marcelo Gleiser|2|Paulo Markun|Boa noite. Ele ganhou prestígio nos Estados Unidos por suas pesquisas em cosmologia, por descomplicar o ensino da física e, mesmo à distância, vem ampliando a comunicação entre ciência e público no Brasil. No centro do Roda Viva esta noite está o físico brasileiro Marcelo Gleiser. Carioca, 40 anos, Marcelo Gleiser é formado em física pela Universidade Federal do Rio de Janeiro e [possui] doutorado em cosmologia pela Universidade de Londres. Está fora do Brasil há 17 anos. Vive nos Estados Unidos, onde trabalhou como pesquisador em institutos de Chicago e da Califórnia; chegou a ser homenageado pelo presidente [dos Estados Unidos] Bill Clinton, de quem recebeu um prêmio de 500 mil dólares em apoio às suas pesquisas sobre a formação do universo. Atualmente Marcelo é professor de física e astronomia na Universidade de Dartmouth, em New Hampshire, onde seu curso foi apelidado de “física para poetas”. Os livros que ele lançou no Brasil – A dança do universo [1997] e Retalhos cósmicos [1999] – ajudam a entender o apelido [aparecem as capas dos dois livros citados]. Com texto acessível ao público leigo, Marcelo Gleiser se dedica mais aos conceitos sobre cosmologia do que a questões matemáticas que envolvem o estudo da formação do universo nesses livros, e procura mostrar o que há de comum entre as modernas teorias sobre a origem do universo e os antigos mitos em torno da criação do mundo. Para entrevistar o físico Marcelo Gleiser, nós convidamos Roberto de Andrade Martins, professor de história da ciência da Unicamp; o colunista da Revista da Folha, Ricardo Bonalume; Luiz Weis, articulista do jornal O Estado de S. Paulo; o editor da revista Galileu, José Tadeu Arantes; Luís Barco, matemático, professor da USP, da Unicamp, e colunista da revista Superinteressante; e a jornalista Mônica Teixeira, apresentadora do programa Opinião Brasil, aqui da TV Cultura. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília, e se você quiser fazer perguntas, pode usar o telefone (0--11) 252-6525; pode também utilizar o nosso fax, cujo número é (0--11) 3874-3454; e ainda pode utilizar o endereço na internet, que é rodaviva@tvcultura.com.br. Marcelo Gleiser, boa noite.
08/05/1999|Marcelo Gleiser|3|Marcelo Gleiser|Boa noite.
08/05/1999|Marcelo Gleiser|4|Paulo Markun|Nós estamos chegando na beira do ano 2000, e uma série de previsões – está até na revista Veja desta semana, não estou fazendo aqui nenhuma genialidade – deram com os burros na água [falharam], outras foram completamente superadas pelos avanços da ciência, mas o que eu queria saber de você é se você acredita que neste fim de milênio, se o interesse da sociedade pela ciência está aumentando ou está diminuindo. E faço a justificativa, que é a seguinte: a gente vê muito mais espaço na mídia para questões como suposições fantásticas sobre as mais variadas questões estratosféricas, não no bom sentido, mas no mau sentido, a popularidade impressionante de personalidades que não têm nada o que dizer, e, pergunto, a ciência, nesse meio-campo, tem espaço, esse espaço está crescendo, é o suficiente?
08/05/1999|Marcelo Gleiser|5|Marcelo Gleiser|Não é o suficiente. Eu acho que, sem dúvida nenhuma, a astrologia é muito mais popular do que a astronomia. Existem muito mais colunas de astrologia do que de astronomia no mundo. Mas esse fascínio que existe com a passagem do tempo, o final do milênio, é uma coisa que, de certa forma, independe do avanço científico. É uma coisa que é tão antiga quanto a humanidade, que é a idéia do ciclo, de renovação, terminar alguma coisa, começar alguma coisa nova, então é uma passagem de tempo que é carregada com um significado que não é científico, que é um significado mais espiritual, de renovação, de novas esperanças para o futuro. E a ciência, obviamente, tem muito a dizer sobre isso, mas não são coisas que as pessoas querem ouvir, de certa forma, no sentido em que, obviamente, essa passagem de tempo é uma coisa que é perfeitamente humana. Quer dizer, a gente constrói como a gente conta o tempo e, de certa forma, dentro do quadro cósmico das coisas, a nossa maneira de ver passar o tempo é completamente irrelevante.
08/05/1999|Marcelo Gleiser|6|Paulo Markun|Quer dizer, dentro do quadro cósmico, como você diz, o milênio não tem a menor importância?
08/05/1999|Marcelo Gleiser|7|Marcelo Gleiser|Não tem a menor importância.
08/05/1999|Marcelo Gleiser|8|Luís Weis|Aliás, seria bom saber: o milênio, todo mundo acha que é o ano que vem, espero que você discorde disso [pois, segundo nosso calendário, o novo milênio começa em 2001, e não no ano 2000].
08/05/1999|Marcelo Gleiser|9|Marcelo Gleiser|Pois é, depende de como você começa a contar o tempo. Mas eu acho que mais importante do que esse detalhe da contagem do tempo é o significado social e religioso dessa passagem de tempo, que é uma coisa importante, que não pode ser desprezada, vamos dizer assim.
08/05/1999|Marcelo Gleiser|10|Ricardo Bonalume|É perigoso isso, de certo modo, porque é um tempo em que começam a pulular os charlatães. Então você vê tele-misticismo, você mesmo falou, muito mais astrologia do que astronomia. Agora, que conselho você daria para uma pessoa aprender a distinguir uma coisa da outra? Quer dizer, como você aprende o que é pseudociência, falsa ciência, e como a pessoa pode entender o que é ciência? Um exemplo prático: eu andei pela rua outro dia e vi que tem muita gente que coloca garrafa de água em cima do medidor de eletricidade, achando que aquilo vai fazer baixar a conta de luz, e é óbvio que não. Então, que conselho você daria para uma pessoa que está fazendo isso? Quer dizer, como fazê-la entender que isso não funciona?
08/05/1999|Marcelo Gleiser|11|Marcelo Gleiser|[Pode-se] Comparar o uso da eletricidade durante uma hora com a garrafa de água e [depois, mais uma hora] sem a garrafa de água, e mostrar que não tem nenhuma diferença. E esse que é o ponto...
08/05/1999|Marcelo Gleiser|12|Luís Weis|[interrompendo] Pois é, isso deixa claro que as pessoas não têm... há um paradoxo: quanto mais a ciência se expande, quanto mais ela determina objetivamente a nossa vida, menos os não-profissionais [em ciência] têm uma idéia, conseguem ter uma idéia do que seja a atividade científica, como é que a atividade científica chega a conclusões. E isso explica uma série de terrores que vêm acompanhando os mais recentes desenvolvimentos da ciência, principalmente porque eles tocam na biologia, eles tocam na vida. Quer dizer, a engenharia genética [área de pesquisa que manipula geneticamente seres vivos, para fins médicos ou industriais] abre um campo vastíssimo [de estudos e de intervenção científica na vida], e as pessoas recebem isso com terror. Por exemplo, quando os [cientistas] ingleses duplicaram a ovelha, a Dolly [nome dado ao primeiro mamífero clonado de uma célula adulta, em 1996, a partir de glândulas mamárias], imediatamente surgiu a idéia: “não [isso não é sensato], vão fabricar um milhão de Hitlers” [referência a Adolf Hitler, ditador austro-germânico que deflagrou a Segunda Guerra Mundial, criador do nazismo e responsável pelo extermínio de milhões de pessoas, em particular judeus], por exemplo. Quer dizer, tolices... E a impressão que se tem é que os cientistas, eles próprios, não têm tido ocasião, não têm tido traquejo, não têm tido energias para tentar combater isso. [Os cientistas talvez pensem] “Então eu toco a minha vida, e o populacho pense o que bem entender.” Ou, em suma, qual é a responsabilidade do cientista diante dessa dissociação brutal [entre a atividade científica e a forma como a sociedade a entende] que a gente vê hoje em dia?
08/05/1999|Marcelo Gleiser|13|Marcelo Gleiser|Eu acho fundamental, eu acho que o cientista tem o papel moral de trazer para a sociedade as descobertas da ciência, não só o lado mais glamouroso das coisas, mas também os riscos que existem associados com essas descobertas. Por exemplo, esse problema da pesquisa em engenharia genética, que é um problema muito sério, porque tem várias repercussões diferentes: existe o problema da clonagem, que pode ser muito bom em certas coisas, [como] alimentos, curar, em medicina, mas você pode ter um terrorismo genético, que pode acontecer também.
08/05/1999|Marcelo Gleiser|14|Luís Weis|Ou o contra-terrorismo genético, também.
08/05/1999|Marcelo Gleiser|15|Marcelo Gleiser|Ou contra-terrorismo genético, que é uma coisa...
08/05/1999|Marcelo Gleiser|16|Luís Weis|Porque se parte da premissa de que a soja transgênica contém perigos devastadores.
08/05/1999|Marcelo Gleiser|17|Marcelo Gleiser|Pois é, aí a questão vira mais econômica, política, de domínio de mercado.
08/05/1999|Marcelo Gleiser|18|Luís Weis|E, de novo, pergunto, reinsisto na minha pergunta: e o cientista, como é que se comporta nesse momento?
08/05/1999|Marcelo Gleiser|19|Ricardo Bonalume|Ele deu uma boa dica, a pessoa pode colocar a água e fazer um teste.
08/05/1999|Marcelo Gleiser|20|Marcelo Gleiser|Exatamente.
08/05/1999|Marcelo Gleiser|21|Ricardo Bonalume|Agora, como fazer isso com a soja transgênica, por exemplo?
08/05/1999|Marcelo Gleiser|22|Marcelo Gleiser|Com a soja transgênica. É uma questão. Também [seria necessário] continuar testando. Essa é a questão da diferenciação entre ciência e pseudociência, voltando a sua questão, que é muito simples. A ciência é repetitiva, você pode repetir experiências, e não interessa onde você vai fazer essa experiência; se você reconstruir as mesmas condições, a sua experiência pode ser repetitiva, e isso não é uma coisa que acontece com a pseudociência. O meu orientador de doutorado, por motivos infelizes, se meteu com o Uri Geller [(1946-) israelense que ficou mundialmente famoso nos anos 60, apresentando-se em programas de televisão, nos quais procurava demonstrar supostas habilidades paranormais como a ação de entortar colheres e chaves com leves toques manuais] nos anos 70, e tentou mostrar que o Uri Geller... ele passou em um programa de televisão, ficou impressionado, e tentou mostrar que o Uri Geller tinha poderes [anômalos]. Então ele montou um laboratório em que ele tinha uns garfos, todos com sensores de pressão, para ver se realmente o Uri Geller conseguia fazer alguma coisa. Então, o que aconteceu? No laboratório, quando existiam máquinas capazes de detectar charlatanice, não aconteceu nada. Então a desculpa é que, realmente, “sob essas condições, eu não posso me concentrar e a coisa não vai”, entendeu? Mas o problema é justamente esse, é que a ciência não participa desse processo de não repetição das coisas, a ciência pode ser repetida, e essa é para mim a diferença básica, o método científico que não é aplicável à pseudociência.
08/05/1999|Marcelo Gleiser|23|Ricardo Bonalume|Agora, você deu um bom exemplo, porque o charlatão, ele sempre vai conseguir dar uma desculpa: “olha, esse teste não funcionou porque eu não estava inspirado” etc. O Carl Sagan [(1934-1996) astrônomo norte-americano que dedicou grande parte de seu tempo à divulgação da ciência. Foi consultor da Nasa desde a década de 1950 e participou dos diversos projetos de exploração do sistema solar] parece que também comentou isso nesse último livro dele [O mundo assombrado pelos demônios – a ciência vista como uma vela no escuro (1996)]. Ele deu um exemplo interessante: como descobrir um dragão que está numa sala. Aí vai fazendo testes.
08/05/1999|Marcelo Gleiser|24|Marcelo Gleiser|Exatamente.
08/05/1999|Marcelo Gleiser|25|Ricardo Bonalume|E o charlatão vai sempre dizendo: “não, mas o dragão, na verdade, é invisível”, “mas o dragão não deixa pegadas”, “mas esse dragão não tem cheiro”, quer dizer...
08/05/1999|Marcelo Gleiser|26|Luís Weis|Mas o ponto é exatamente este: do ponto de vista do leigo, da pessoa comum, a pseudociência, a charlatanice, a mistificação, é muito mais atraente.
08/05/1999|Marcelo Gleiser|27|Marcelo Gleiser|É óbvio [que sim].
08/05/1999|Marcelo Gleiser|28|Luís Weis|Se eu acredito que se eu puser um cristal aqui na minha frente, isso vai influir sobre o meu temperamento, ou se o fato de que eu nasci no dia tal de tal, o cosmo todo vai determinar a coisa... isso evidentemente é muito mais sedutor...
08/05/1999|Marcelo Gleiser|29|Marcelo Gleiser|Claro.
08/05/1999|Marcelo Gleiser|30|Luís Weis|Do que a área da severa crítica, e controlar a atividade científica. Então, esse é um complicador a mais para vocês [cientistas].
08/05/1999|Marcelo Gleiser|31|Marcelo Gleiser|Sem a menor dúvida.
08/05/1999|Marcelo Gleiser|32|Paulo Markun|Eu queria passar [a palavra] para o Tadeu, para a gente democratizar o debate aqui.
