DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/06/2008|Márcio Meira|1|[Programa ao vivo]|[Programa ao vivo]
02/06/2008|Márcio Meira|2|Alexandre Machado| Boa noite. Índios brasileiros estão em pé de guerra. Os conflitos com o homem branco vêm crescendo a medida que as fronteiras agrícolas, as fronteiras hidrelétricas e a busca de riquezas naturais avançam sobre as terras indígenas. É um problema que o país não está conseguindo resolver com os seus antigos habitantes. É um desafio para os historiador e antropólogo Márcio Meira, presidente da Funai, Fundação Nacional do Índio. Ele é o nosso convidado de hoje no Roda Viva, e você acompanha a entrevista num instante.
02/06/2008|Márcio Meira|3|[intervalo]|[intervalo]
02/06/2008|Márcio Meira|4|Alexandre Machado| Com Márcio Meira, a Funai atinge a marca de 32 presidentes em quarenta anos de existência. O órgão do governo encarregado de estabelecer e executar a política indigenista no Brasil, ao longo desse tempo todo, passou por várias crises e reformas administrativas. Reflexos das dificuldades que cercam o problema do índio, que no Brasil se transformou num intrincado conflito de interesses.
02/06/2008|Márcio Meira|5|[Comentarista]| A cena impressionou e tomou conta do noticiário: Paulo Fernando Rezende, engenheiro da Eletrobrás, fazia uma palestra em Altamira, no Pará, explicando o projeto hidrelétrico de Belo Monte quando foi agredido por índios Kayapó contrários ao movimento. A usina do rio Xingu é considerada estratégica para a produção de eletricidade no país. A represa a ser formada vai inundar uma grande área, devendo atingir também terras indígenas, daí o protesto dos Kayapó que deixaram, no braço direito de Paulo Fernando, a marca violenta de seu protesto. Sangue, às vezes com morte, é o que não tem faltado na fronteira entre o homem branco e o índio. De um lado, fazendeiros que querem ampliar e criar novos empreendimentos, de outro, trabalhadores sem terra que também querem o seu espaço e, na outra ponta, os índios, com pinturas de guerra para defender o que chamam de posse ancestral. Dos possíveis cinco milhões de índios, na época do descobrimento do Brasil, restaram hoje cerca de quinhentos mil distribuídos em 220 etnias que falam 180 idiomas e vivem em reservas que atualmente representam 12,5% do território brasileiro. Em todas elas, há conflitos, especialmente na Amazônia legal: Tocantins, Mato Grosso, Roraima, Rondônia, Pará, Amapá, Acre, Amazonas e parte do Maranhão, região que concentra a maior parte das terras indígenas, 22% do território amazônico. Empresários e políticos argumentam a necessidade de desenvolvimento regional e atuam na expansão dos negócios, mas atividades irregulares do agronegócio, extração ilegal de madeira, mineração e garimpos têm sido focos crescentes de conflitos nas reservas que, em muitos casos, também estão na rota do tráfico de drogas e da biopirataria. Os índios já invadiram sedes regionais da Funai e de outros prédios públicos, bloquearam estradas e já recorreram à ações políticas, indo direto ao governo reclamar e pedir providências. Atualmente, das 616 terras indígenas registradas no país, 401 já passaram por todo o processo para reconhecimento e estão regulares, o que não significa solução. É o caso da Raposa Serra do Sol em Roraima, na fronteira com a Guiana e a Venezuela, onde vivem cerca de vinte mil índios. A reserva foi demarcada em 1998, no governo Fernando Henrique [(1994-2002)], e homologada em 2005 durante o governo Lula, mas os plantadores de arroz, responsáveis por 6% da economia de Roraima, se recusam a deixar a área, o que lançou arrozeiros, índios e não índios numa violenta disputa. A Polícia Federal chegou a ser acionada com mais de quinhentos homens para desocupar e proteger a reserva, mas, por solicitação do governo de Roraima, o Supremo Tribunal Federal desautorizou a operação policial e um grupo informal de trabalho do governo federal estuda uma solução para a reserva. Raposa Serra do Sol é o principal conflito em área indígena na pauta de Márcio Meira, que assumiu a presidência da Funai em março de 2007. Paraense, 44 anos de idade, Márcio Meira é formado em história e tem mestrado em antropologia. Estudioso das questões indígenas, ele participou da elaboração dos laudos antropológicos e da demarcação das terras indígenas no Rio Negro. É autor de vários publicações sobre povos indígenas e sobre as relações entre os extrativistas e comerciantes no interior da Amazônia.
02/06/2008|Márcio Meira|6|Alexandre Machado| Para entrevistar o presidente da Funai, Márcio Meira, convidamos: Washington Novaes, jornalista e supervisor do quadro Biodiversidade do programa Repórter Eco, da TV Cultura; Carlos Marchi, repórter e analista de política do jornal O Estado de S. Paulo; Cláudio Ângelo, editor de ciência do jornal Folha de S.Paulo; Demétrio Weber, repórter do jornal O Globo; Ricardo Noblat, jornalista do Blog do Noblat; e Laís Duarte, repórter do núcleo de jornalismo da TV Cultura que traz para a entrevista as perguntas enviadas por telespectadores e internautas. O cartunista Paulo Caruso também está aqui registrando, como sempre, os momentos e os flagrantes do programa em seus desenhos. E mais uma vez contamos com a colaboração de três usuários do comunicador twitter, que permite que as pessoas escrevam pequenas mensagens recebidas automaticamente a todos os seus contatos do site; eles vão colocar na Internet as impressões deste Roda Viva com o presidente da Funai Márcio Meira. Para ver o que eles estão escrevendo basta acessar os endereços que aparecem na tela. Quem usa o twitter e também quiser registrar as suas opiniões sobre o programa, basta postar suas mensagens com a tag #rodaviva. A TV Cultura também está no twitter. Para nos seguir, basta clicar follow no endereço twitter.com/tvcultura. Boa noite.
02/06/2008|Márcio Meira|7|Márcio Meira| Boa noite.
02/06/2008|Márcio Meira|8|Alexandre Machado| Tudo bem?
02/06/2008|Márcio Meira|9|Márcio Meira| Tudo bem.
02/06/2008|Márcio Meira|10|Alexandre Machado| Antes de falar com o nosso presidente, precisamos informar que transmitimos em rede nacional de TV para todo o Brasil; e vamos à nossa entrevista. Doutor Márcio, há semanas atrás, o comandante militar da Amazônia disse que a política indigenista no Brasil era lamentável, para não dizer caótica. E, agora, na semana passada, o governador de Roraima foi mais além, chamou de caótica, irresponsável e inconseqüente. Como o senhor determina e avalia a política indigenista brasileira?
