DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
16/04/1990|Marcos Giannetti da Fonseca.|1|[Programa ao vivo, permitindo a participação de telespectadores]|Programa ao vivo, permitindo a participação de telespectadores]
16/04/1990|Marcos Giannetti da Fonseca.|2|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. O convidado do Roda Viva desta noite é o economista e o atual secretário nacional do Planejamento, Marcos Giannetti da Fonseca. Para entrevistá-lo, convidamos os seguintes jornalistas: Carlos Alberto Sardenberg, editor do Informe Econômico do Jornal do Brasil; Marco Antônio Rocha, comentarista econômico da TV Record; Frederico Vasconcelos, editor do Painel Econômico do jornal Folha de S.Paulo; Tão Gomes Pinto, editor da revista Executive News; Aluízio Falcão, editor de finanças da revista Exame; Fábio Pahim, repórter especial do Jornal da Tarde; Rick Turner, jornalista da revista The Economist, correspondente do The Economist no Brasil. Para registrar os melhores momentos do programa, também está conosco o cartunista Paulo Caruso. Na platéia assistem ao programa convidados da produção. O secretário do Planejamento do Ministério da Fazenda, Marcos Giannetti da Fonseca, 41 anos, está pela segunda vez exercendo um cargo na administração pública. Entre 1983 e 1987, ele participou do governo Franco Montoro, em São Paulo, como secretário da Fazenda e presidente da Caixa Econômica Estadual. Agora, na administração federal, Fonseca é um dos responsáveis pelo Plano Collor. Sob sua responsabilidade está o fim do déficit público, até o final do ano. Mas o governo que conseguiu preservar a essência do Plano no Congresso está sofrendo críticas justamente aí, ou seja, o remédio amargo que foi ministrado em grandes doses à sociedade não está sendo imposto em igualdade de condições ao setor público, o governo ainda teria muito que cortar em suas próprias gorduras. Boa noite, secretário.
16/04/1990|Marcos Giannetti da Fonseca.|3|Marcos Giannetti da Fonseca|Boa noite.
16/04/1990|Marcos Giannetti da Fonseca.|4|Jorge Escosteguy|Qual é o seu ponto de vista a respeito dessas críticas de que, no fundo, o governo não está fazendo o sacrifício que também deveria fazer e que impôs à sociedade em função do plano econômico?
16/04/1990|Marcos Giannetti da Fonseca.|5|Marcos Giannetti da Fonseca|Veja, eu acho que essas críticas são, de certa maneira, precipitadas e infundadas. Há uma enorme reforma administrativa do presidente Collor, essa reforma administrativa deve representar reduções bastante sensíveis no custo do setor público. E, além da reforma administrativa, uma série de medidas tem sido tomadas no sentido de conter o déficit público, não só do ponto de vista de aumentar a receita, mas também do ponto de vista de cortar a despesa. E uma parte dessa despesa, inclusive, é despesa de juros, que vai ser significativamente reduzida. O setor público está cortando na carne, acho que nunca houve cortes tão profundos no setor público; em nível de reorganização, [está havendo] o aumento da eficiência da máquina do setor público; as dispensas previstas ainda não foram realizadas, na medida em que se está tomando um pouco de pulso e vendo exatamente quais são os funcionários necessários e aqueles que eventualmente serão colocados em disponibilidade ou até mesmo dispensados. Além disso, foram extintas, dentre fundações, autarquias, empresas públicas, mais de 24, foram 24 organismos da administração pública federal que foram extintos pelo governo Collor. Eu entendo que, nesse conjunto de medidas, há uma participação muito significativa do esforço do setor público, no sentido de conter as suas despesas e, portanto, promover, não só um orçamento equilibrado, mas a meta para este ano é de um superávit de 2%. E eu acho que aí há uma contribuição, tanto da iniciativa privada, em função dos impostos que foram criados, quanto do setor público, que realizou os cortes mais profundos que já foram feitos na história deste país. O que costuma ser dito, e o que é dito, é que por três vezes, nos planos anteriores, o país sofreu uma anestesia, mas não foi feita a operação. E, desta vez, pela primeira vez, nós estamos fazendo realmente a operação necessária, e alguns dizem que "sem anestesia". Mas eu acho que a operação é realmente necessária, independente da anestesia, ela tem que ser feita para que se possa ter essa eliminação da inflação, como um resultado duradouro do Plano.
16/04/1990|Marcos Giannetti da Fonseca.|6|Jorge Escosteguy|Nenhum dos outros planos também conseguiu a famosa demissão de funcionários públicos supérfluos. O senhor disse que, por enquanto, ainda estão tomando pé da situação e ainda não houve demissões...
16/04/1990|Marcos Giannetti da Fonseca.|7|Marcos Giannetti da Fonseca|[interrompendo] Como qualquer empresário que assume uma empresa, antes de promover a racionalização, ele tem que fazer um levantamento da situação real da empresa, e muitos casos já foram definidos. E aqueles empregados das empresas extintas que não têm estabilidade serão efetivamente demitidos, isso é uma definição final do presidente, do governo, e acho que a sociedade espera isso deste governo. É um Brasil novo, e nós estamos iniciando uma longa caminhada, no sentido de um país completamente diferente daquele que nós tínhamos antes disso.
16/04/1990|Marcos Giannetti da Fonseca.|8|Jorge Escosteguy|Agora, no setor de corte dessas coisas supérfluas do governo, o que mais tem aparecido são os leilões de automóveis e as mansões de ministros etc. Isso não teria mais um efeito de marketing do que propriamente de cortar mesmo, pois no fundo não é um gasto tão grande quanto são outras despesas?
16/04/1990|Marcos Giannetti da Fonseca.|9|Marcos Giannetti da Fonseca|Mas é como você disse, isso é aquilo que tem atraído atenção e tem dado muita imprensa e muito jornalismo a respeito. Por outro lado, há uma série de cortes sendo realizados, do ponto de vista econômico, muito mais significativos, e que não estão sendo tão publicados ou não estão recebendo tanta atenção quanto essas questões que, ainda que não sejam importantes do ponto de vista econômico, elas são muito importantes do ponto de vista até de dar o exemplo.
16/04/1990|Marcos Giannetti da Fonseca.|10|Aluísio Falcão|[interrompendo] Secretário, na conta que o presidente Collor apresentou à sociedade dizia-se que haveria uma conta a pagar de 12% do PIB [Produto Interno Bruto] nesse Plano todo. E pelo que se mostrou nesse Plano, apenas 0,5% seria obtido, através de cortes efetivos nesse primeiro momento, pelo menos. O senhor não acha que essa conta é muito desfavorável ao contribuinte, à sociedade e aos empresários, mas favorável ao governo?
