DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
03/05/1999,Marilena Chaui,1,Paulo Markun,"Boa noite! Há 30 anos ela vem exercitando o princípio básico da filosofia de questionar idéias, fatos, valores e comportamentos da nossa realidade. Por isso, se tornou uma das mais conhecidas polemistas do nosso meio universitário. No centro do Roda Viva, esta noite, a professora Marilena Chaui."
03/05/1999,Marilena Chaui,2,[Comentarista],"Paulistana criada no interior de São Paulo, 57 anos, Marilena de Souza Chaui se tornou um dos mais importantes nomes de filosofia no Brasil. Professora de história da filosofia e de filosofia política da Universidade de São Paulo (USP) desde 1967, quando defendeu sua tese de mestrado, sempre combinou a carreira acadêmica com a atuação política. Militante do Partido dos Trabalhadores teve uma rápida passagem pela administração pública como secretária municipal de Cultura de São Paulo no governo da prefeita Luiza Erundina [Luiza Erundina de Souza (1934- ), assistente social, foi prefeita de São Paulo entre 1989 e 1992]. Saiu frustrada com os limites da ação administrativa e preferiu concentrar as atenções na vida acadêmica. Passou por todas as etapas da carreira universitária até chegar a professora titular, defendeu quatro teses e foi orientadora de outras cem. Polemista, com um discurso filosófico sempre afiado, suas aulas bateram o recorde de audiência entre os alunos e estudantes da USP. Conferencista requisitada, Marilena Chaui também construiu uma carreira de escritora, publicando livros, artigos e ensaios sobre política cultura, ideologia, democracia e realidade. Seu livro mais recente é uma obra de fôlego centrada no tema que mais ocupou seus estudos. A nervura do real é resultado de 30 anos de pesquisa da autora sobre o filósofo holandês Spinoza {Spinoza: Baruch de Spinoza (1632-1677), filósofo, foi um dos grandes racionalistas da filosofia moderna, juntamente com René Descartes. Escreveu sobre as interpretações sociais para Deus em várias obras, entre elas, O tratado teológico político. Foi o filósofo que melhor expressou o racionalismo moderno, discutindo as relações entre o espírito e a matéria. Filho de um mercador judeu português exilado em Amsterdã, ainda muito jovem aprendeu hebraico e as línguas clássicas. Devido às suas idéias foi expulso da sinagoga, fato que lhe permitiu uma maior aproximação de pensadores cristãos como Descartes, com quem dialogou em textos famosos. Para fugir às perseguições das quais era vítima foge para Leyden, depois para Rynsverg e finalmente para Haya, onde vive até à sua morte. Durante sua vida dedicou-se à meditação filosófica e à redação de suas obras e provia suas limitadas necessidades materiais, preparando lentes óticas para microscópios e telescópios, arte que aprendera durante a sua formação rabínica. Ética, sua obra fundamental, abre com uma lista de definições e axiomas, dos quais são deduzidas várias proposições ou teoremas que dão base a conceitos até a atualidade. O filósofo recomendava que façamos uma cuidadosa distinção entre as várias formas de conhecimento e confiemos apenas nas melhores.}. Um marco na produção filosófica de língua portuguesa e um marco também na história pessoal da filósofa Marilena Chaui."
03/05/1999,Marilena Chaui,3,Paulo Markun,"Para entrevistar a filósofa Marilena Chaui, nós convidamos o professor Bento Prado Jr., titular de filosofia da Universidade Federal de São Carlos e professor emérito da Universidade de São Paulo (USP); o professor Marcos Nobre, do Departamento de Filosofia da Unicamp, pesquisador do Cebrap, Centro Brasileiro de Pesquisas Econômicas; a professora Scarlet Marton, do Departamento de Filosofia da Universidade de São Paulo; o jornalista Lourival Santana, repórter especial do jornal Estado de S. Paulo; o jornalista Reinaldo Azevedo, editor chefe das revistas Bravo e República; e o jornalista Vinícius Torres Freire, editor de opinião do jornal Folha de S. Paulo. O Roda Viva é transmitido ao vivo. Professora Marilena, boa noite!"
03/05/1999,Marilena Chaui,4,Marilena Chaui,Boa noite.
03/05/1999,Marilena Chaui,5,Paulo Markun,"Eu queria propor aqui que a gente falasse um pouco sobre filosofia nesse primeiro bloco do programa, que para muita gente é uma coisa difícil de compreender: o que é e para que serve. E começo, não fazendo esta pergunta, o que é e para que serve, mas mencionando uma frase que li da senhora numa entrevista já bastante antiga e que diz o seguinte,na sua opinião: “a verdade não pode escandalizar”. A minha pergunta é a seguinte: no ponto de vista, vamos dizer assim, filosófico, o que a verdade pode?"
03/05/1999,Marilena Chaui,6,Marilena Chaui,"Bom, a verdade pode escandalizar e deve escandalizar. Certamente, no contexto em que eu dizia isso, certamente era alguma coisa acontecendo no Brasil, em que eu dizia: “bom, ninguém tem que ficar escandalizado com o aparecimento de uma verdade!” Mas na filosofia, não, na filosofia é exatamente ao contrário. Quando um filósofo alcança uma verdade, freqüentemente ele escandaliza. Porque essa verdade significa demolição de tradições, demolição de legados ou contestação da realidade existente, da sociedade existente."
03/05/1999,Marilena Chaui,7,Paulo Markun,"Agora, no ponto de vista do público em geral, das pessoas em geral, no nosso cotidiano, a verdade é uma coisa, mais ou menos, como um quadro na parede, quer dizer, nunca sai de lá. Está sempre ali. A verdade é imutável, a verdade é eterna, a verdade é permanente. Na filosofia, não é assim?"
03/05/1999,Marilena Chaui,8,Marilena Chaui,"Não, eu acho que nem mesmo para nós na vida cotidiana. Eu acho que nem na filosofia, nem na vida cotidiana. Há um tipo de verdade, que, essa sim é imutável, ela está lá para sempre e qualquer transformação nela significa catástrofe, que é a verdade religiosa, se a verdade religiosa é revelada e se eu tiver fé e aceitar a revelação, essa verdade é imutável. Mas as outras verdades, não. As pessoas têm consciência não só de que elas são capazes de abandonar coisas que elas tinham por verdadeiras e pensar de uma maneira diferente, como elas são capazes de aceitar conflitos entre concepções que se propõem a dizer a verdade. Então, se nós considerarmos que a verdade é um trabalho do pensamento, que a verdade é um esforço de questionamento, que a verdade é uma maneira de interrogar o mundo, nós mesmos, nós temos trilhas verdadeiras, mas nós não temos verdades estabelecidas, como conteúdos eternos, a menos que sejam realidades religiosas. Agora, Markun, só uma coisinha que eu queria dizer. Porque isso apareceu na abertura do programa, essa questão me foi colocada pelo repórter da Veja, ela me foi colocada pelo repórter da República. Nas várias ocasiões eu respondi negativamente, e eu vejo que... apareceu sob a forma de uma afirmação. A afirmação feita na apresentação é: “desiludida da política, ela foi para casa escrever um livro”."
03/05/1999,Marilena Chaui,9,Paulo Markun,"No nosso caso, só para esclarecer bem era assim: “frustrada com os limites da ação administrativa”. A frase era essa, não era desiludida com a política. Há uma diferença muito grande. Mas eu acho que a explicação vale. Porque passa essa idéia..."
03/05/1999,Marilena Chaui,10,Marilena Chaui,Porque uma coisa...
