DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
19/07/1993|Mário Soares|1|[programa gravado]|programa gravado]
19/07/1993|Mário Soares|2|Jorge Escosteguy|Boa noite. O governo português resolveu regulamentar definitivamente o trabalho dos dentistas brasileiros em Portugal, mas a regulamentação parece que não agradou aos mais de 400 dentistas brasileiros que se mudaram para Portugal. Este é o incidente mais recente dentro de uma série de problemas enfrentados nos últimos anos pelas relações entre Brasil e Portugal. E este então é um dos muitos assuntos que discutiremos hoje com o convidado do Roda Viva que começa agora pela TV Cultura de São Paulo. No centro da roda, está sentado o nosso convidado, o presidente de Portugal, Mário Soares, que veio ao Brasil participar da Conferência de Cúpula Ibero-Americana realizada a semana passada em Salvador. Mário Soares é hoje seguramente a personalidade política mais importante de Portugal. Está exercendo seu segundo mandato presidencial. Advogado, fundador do Partido Socialista Português, defensor de presos políticos durante a ditadura salazarista, Mário Soares ajudou a consolidar o regime democrático em Portugal após a Revolução dos Cravos, em 1974. Por três vezes, ele foi primeiro-ministro de seu país. Lembramos que o Roda Viva também é transmitido ao vivo por 12 emissoras em todo país: TV Pernambuco, TV Ceará, TV Cultura do Pará, TV Maíra de Rondônia, TV Minas Cultural e Educativa, TV Vídeo Cabo de Belo Horizonte, TVE da Bahia, TVE do Piauí, TVE do Paraná, TVE de Porto Alegre, TVE do Espírito Santo e TVE do Mato Grosso do Sul. Para entrevistar o presidente Mário Soares esta noite no Roda Viva, nós convidamos Fernando Mitre, editor-executivo do Jornal da Tarde; José Fonseca Filho, correspondente do jornal Diário de Notícias, de Lisboa; Marco Nascimento, diretor de telejornalismo da TV Cultura de São Paulo; Marcelo Beraba, secretário de redação da Folha de S.Paulo; Izauco Sardenberg, subeditor da revista Veja; Antonio Medina Rodrigues, professor de língua e literatura grega da Universidade de São Paulo; e Luiz Felipe de Alencastro, historiador e pesquisador do Cebrap, Centro Brasileiro de Análise e Planejamento, e professor da Unicamp. Lembramos aos telespectadores que, como este programa foi gravado, não haverá perguntas ao vivo por telefone. Boa noite, presidente.
19/07/1993|Mário Soares|3|Mário Soares|Boa noite.
19/07/1993|Mário Soares|4|Jorge Escosteguy|É um prazer, uma satisfação tê-lo aqui no Roda Viva, agradecemos o senhor ter atendido o nosso convite, e eu começaria hoje, de uma maneira não usual, já com uma pergunta de um telespectador, já que não temos perguntas por telefone. É da minha amiga, minha colega, Norma Couri, correspondente do Jornal do Brasil em Lisboa. Ela nos telefonou dizendo que o semanário Expresso, um dos mais importantes do país, publicou nesse sábado declarações do ministro de Negócios Estrangeiros, Durão Barroso, de que “seria conveniente que o presidente da República tivesse maior cautela nas suas declarações sobre política externa”. O senhor vai ter mais cautela, mais contenção na nossa entrevista de hoje?
19/07/1993|Mário Soares|5|Mário Soares|Bem, esses tipos de notícias fazem parte, enfim, de um certo hábito que se foi instalando em Portugal. Como sabem, o sistema português é um sistema diferente do brasileiro, é um sistema semipresidencial em que, portanto, há duas figuras: a figura do presidente da República e há a figura do primeiro-ministro. O presidente da República é o árbitro da situação, é o garante das instituições, enfim, em instâncias supremas de recursos do país, o primeiro-ministro tem as funções de ser o chefe do executivo. Portanto, como há essa bicefalia no nosso sistema, [...] estabelecerem-se pequenos incidentes entre as duas personalidades que têm maiores responsabilidades ou compartilham das maiores responsabilidades a nível do Estado português. Eu estou há sete anos como presidente da República, fui antes disso, como lembrou, três vezes primeiro-ministro, conheço muito bem o sistema e tenho sempre procurado que a coabitação portuguesa seja uma coabitação diferente do que foi, pelo menos na primeira experiência, a coabitação francesa, que foi muito falada. Isto é, evidentemente, o primeiro-ministro tem posições e pontos de vista que não são os meus. Sabe-se que politicamente nós somos diferentes, porventura mesmo as maiorias que nos elegeram, embora eu fosse pela segunda vez eleito por uma maioria de 70% do eleitorado português, mas não são coincidentes as maiorias, temos posições, portanto, diferentes, mas procuramos coordenar as posições.
19/07/1993|Mário Soares|6|Fernando Mitre|[interrompendo] Quais são esses pontos conflitantes mais importantes?
19/07/1993|Mário Soares|7|Mário Soares|Bem, justamente um dos aspectos, como eu ia dizendo, é o problema da política externa. O presidente da República é o supremo representante de Portugal na ordem externa, portanto tem funções de política externa evidentes, mas o primeiro-ministro, como primeiro-ministro, tem a responsabilidade de orientar a política externa do governo.
19/07/1993|Mário Soares|8|Fernando Mitre|Mas quais são os temas, presidente, que separam o senhor do primeiro-ministro? Quais as suas diferenças de posição?
19/07/1993|Mário Soares|9|Mário Soares|Bem, evidentemente, são os temas que... em primeiro lugar, há o temperamento entre duas pessoas; por outro lado, há as formações políticas; e por outro lado, há as preocupações, quer dizer, eu sou, como toda gente sabe, socialista, e eu fui eleito segundo um slogan em que eu disse que eu era republicano, socialista e laico. O primeiro-ministro é socialdemocrata. E a socialdemocracia do primeiro-ministro é a socialdemocracia liberal. Ele é um liberal, no sentido de que o grupo socialdemocrata pertence, dentro do Parlamento Europeu, ao grupo liberal, enquanto que o Partido Socialista português pertence, no Parlamento Europeu, ao grupo socialista ou socialdemocrata. Portanto, há aqui divergências de natureza de opinião, depois há algumas divergências em concreto, não nego que haja, mas essas divergências gerem-se em primeiro lugar com cordialidade, em segundo lugar com boa educação. E eu tenho procurado sempre que a voz de Portugal em matéria de política externa seja uma voz única, isso é fundamental. Mas tem havido de vez em quando questões... vou lhe dar exemplos, se quiser. Um exemplo, como se sabe, o presidente [dos Estados Unidos Bill] Clinton resolveu sancionar o Iraque e enviou uns mísseis para o Iraque. Bem, o governo português teve a posição que tiveram todos os governos [...], mais ou menos. Foi uma posição de não criar dificuldades aos Estados Unidos. Eu, que tenho uma posição e uma autoridade moral que me parece que tem algum peso, entendi que devia dizer que não estava de acordo com a posição do presidente Clinton. Estou tanto mais à vontade para dizer quanto eu sou admirador do presidente Clinton, já o encontrei, admiro o idealismo dele, o que ele representa na sociedade americana, que é um homem de progresso na sociedade americana, acho que [...] americana que se pode chamar, a esquerda americana apoiou o presidente Clinton, portanto eu, que estou próximo ao presidente Clinton, estou, acho eu, à vontade para dizer: isso não. Isso não se deve fazer, porque não foram consultadas as Nações Unidas, não foram consultados os seus aliados e porque é muito discutível saber se o fato de uma polícia ter chegado à conclusão de que houve um complô para eventualmente assassinar o presidente [dos Estados Unidos George H. W.] Bush, se isso, seis meses depois, justifique que se enviem mísseis para cima do Iraque, o que atinge uma população indefesa. Está a haver aqui uma divergência que houve, que não é divergência, porque até pode resultar num enriquecimento para a posição do [...].
19/07/1993|Mário Soares|10|Jorge Escosteguy|Como o senhor esteve já nas duas posições, então eu lhe perguntaria o seguinte: quando o senhor era primeiro-ministro, o senhor achava que o presidente tinha que ter maior cautela nas suas declarações de política externa?
19/07/1993|Mário Soares|11|Mário Soares|Bem, eu não nego que, nessa altura, também houve algumas divergências. Não só entre mim e o antigo presidente da República, que era, como se sabe, o general [António Ramalho] Eanes [presidente de Portugal entre 1976-1986], mas também entre outros primeiros-ministros portugueses, como [Francisco] Sá Carneiro, [Carlos] Mota Pinto, [Francisco Pinto] Balsemão e outros, que tiveram também as suas dificuldades com o presidente. Porque o sistema não é um sistema fácil para... não é um sistema fácil. Mas procura-se ultrapassar essas questões e, nesse caso, eu julgo que, de uma maneira geral, não tenha havido problema graves na coabitação entre presidente e primeiro-ministro.
19/07/1993|Mário Soares|12|Marcelo Beraba|Presidente, eu gostaria de saber a sua opinião sobre uma outra questão também internacional: a ação da ONU na Somália, neste momento, está sendo bastante criticada. A Itália [critica] de uma forma mais ostensiva. Mas há a impressão de que a ONU, de alguma forma, se transforma num organismo, vamos dizer assim, com uma influência muito forte dos Estados Unidos e ajuda um pouco a consolidar essa hegemonia dos Estados Unidos depois do fim dos dois blocos. Qual é a sua opinião sobre isso?
19/07/1993|Mário Soares|13|Mário Soares|Eu devo dizer-lhe que, quando se pôs problema do direito à ingerência, eu pronunciei-me no sentido favorável, mas disse logo que esse direito de ingerência, que é um direito que foi apoiado por todos os defensores dos direitos humanos, para que não se diga sempre, como na teoria antiga: bem, esse é um problema de natureza interna, os outros países não devem ingerir nos problemas internos. E as ditaduras sempre utilizaram esses métodos para [se] proteger e para não respeitar os direitos dos homens. Portanto, eu fui sempre partidário de que houvesse de fato um certo direito de ingerência. Mas disse sempre que esse direito de ingerência podia ter aspectos perversos no seu exercício. E eu penso que o caso da Somália é um caso exatamente disso, dos aspectos perversos que teve no direito de ingerência. Em primeiro lugar, porque é discutível saber se a ingerência feita foi efetivamente humanitária, e se a circunstância de haver petróleo na Somália não teve alguma coisa a ver com isso. Pelo menos, muitos comentadores internacionais disseram. E isso levanta, pelo menos, uma certa suspeição. E, por outro lado, a maneira como se tem, como o corpo de ingerência tem atuado também é suscetível de algumas críticas. Eu percebo que é difícil a situação, eu percebo que não se pode deixar que um país desapareça e que um Estado se desagregue completamente. Em África, há muitos casos desses, mas, de fato, os Estados Unidos não podem ser a polícia do mundo. Quem tem essas funções deve ser a Organização das Nações Unidas, mas a Organização das Nações Unidas está um pouco defasada...
19/07/1993|Mário Soares|14|Marcelo Beraba|Exatamente.
19/07/1993|Mário Soares|15|Mário Soares|...visto que a Organização das Nações Unidas foi feita bem depois da Segunda Guerra Mundial. O Conselho de Segurança é constituído por países que tem direito a veto e que são países vencedores da Segunda Guerra Mundial, [o que é] prejudicial ao Japão, à Alemanha. E há essa realidade [...], outras realidades que surgiram no mundo e que deveriam ter expressão no Conselho de Segurança. O novo secretário-geral das Nações Unidas, Boutros-Ghali, de quem, aliás, sou velho amigo há muitos anos, já várias vezes se pronunciou sobre isso. Penso que ele tem razão e que é indispensável, está na ordem do dia fazermos uma atualização da maneira como funcionam as Nações Unidas.
19/07/1993|Mário Soares|16|Izalco Sardenberg|E no caso da Bósnia [Guerra da Bósnia]?
19/07/1993|Mário Soares|17|Mário Soares|Nesse sentido, vou lhe dizer uma coisa: eu sou adversário, como sabe, do comandante Fidel Castro, mas nas críticas que ele fez ao funcionamento da ONU, eu acho que ele teve razão.
19/07/1993|Mário Soares|18|Izalco Sardenberg|Mas no caso da Bósnia, o senhor acha que a intervenção do Ocidente seria mais justificada do que em relação à Somália [que entrou em guerra civil, em 1991, com várias facções disputando o poder. Algumas regiões do país declararam independência, mas sem reconhecimento internacional]?
19/07/1993|Mário Soares|19|Mário Soares|Bem, o caso da Bósnia, em primeiro lugar, apresenta para nós europeus uma forma de impotência. E eu não posso deixar de dizer que a Comunidade Européia poderia, talvez – isso a posteriori – ter tido um pouco mais de cuidado quando as coisas começaram. Porventura, o reconhecimento da independência da Croácia terá sido prematuro, porventura. E depois disso, talvez, se tivesse havido uma ação concertada imediata, talvez as coisas pudessem ter sido diferentes. Na verdade, é que nós neste momento temos nos confrontado com uma situação dificílima, porque é um conflito étnico, é um conflito que tem aspectos religiosos e é um conflito que resulta também de uma ditadura a desfazer-se, e também de um país que, de alguma maneira, foi uma criação artificial da Primeira Guerra Mundial. E tudo isso evidentemente são aspectos muito explosivos, e a Europa não tem tido até agora possibilidade – nem as Nações Unidas, diga-se a verdade, nem os Estados Unidos, que também fizeram afirmações nesse sentido – de pôr fim a esse conflito, e é preciso pô-lo, porque ele pode alastrar-se, e nós já estamos a ver que existe, por exemplo, nos países do sul da ex-União Soviética, nas repúblicas do Cáucaso, algumas situações de guerra e isso pode se alastrar...
19/07/1993|Mário Soares|20|Izalco Sardenberg|[interrompendo] Então, o senhor é a favor de uma forma de ingerência nesse caso.
19/07/1993|Mário Soares|21|Mário Soares|Eu sou a favor de uma ação internacional. Eu chamaria uma ação internacional enérgica para poder... qual ação é difícil dizer neste momento, mas [deveria ser] uma ação internacional concertada pela Comunidade Européia e pelas Nações Unidas.
19/07/1993|Mário Soares|22|José Fonseca Filho|Senhor presidente, eu queria voltar um pouco ao problema das relações com o Brasil. Já que o senhor mencionou há pouco a bicefalia em Portugal, o senhor tem um partido, mas...
19/07/1993|Mário Soares|23|Mário Soares|Uma certa, uma certa bicefalia.
19/07/1993|Mário Soares|24|José Fonseca Filho|Uma certa bicefalia... O senhor tem um partido, o primeiro-ministro tem outro...
19/07/1993|Mário Soares|25|Mário Soares|[interrompendo] Se me dá licença, eu não tenho partido, eu tive partido. Eu fui fundador do Partido Socialista, mas na altura em que fui eleito presidente da República, eu disse: eu quero ser o presidente de todos os portugueses, e para ser o presidente de todos os portugueses, não posso ser mais o chefe de um partido, que por definição é uma parte dos portugueses, ou representa uma parte dos portugueses, e por isso eu demiti-me de secretário-geral do meu partido, e mais do que isso, entreguei o meu cartão de militante do partido ao presidente do partido, e disse: eu vou retomá-lo quando deixar de ser presidente.
19/07/1993|Mário Soares|26|José Fonseca Filho|Eu gostaria de saber se as divergências às quais o senhor se referiu, se existem divergências também em relação à política com o Brasil, esses casos de dentistas, de visitantes, em relação ao senhor e ao primeiro-ministro. Porque há um certo consenso aqui no Brasil de que o senhor seria mais simpático à causa brasileira, enquanto que o primeiro-ministro seria mais rígido.
19/07/1993|Mário Soares|27|Mário Soares|Não, não é uma questão de simpatia, quer dizer, eu tenho...
19/07/1993|Mário Soares|28|José Fonseca Filho|Seria mais fácil talvez para o senhor...?
19/07/1993|Mário Soares|29|Mário Soares|Não, não é uma questão de simpatia nem de antipatia, não é isso. Como sabe, há umas certas medidas protecionistas na Europa. E Europa, neste momento, isso é bom que se saiba, tem que se saber, Europa neste momento tem problemas, visto que... eu poderia dizer que a Europa está a ser invadida demograficamente por populações que vêm do Leste [Europeu] e que procuram instalar-se de toda maneira, e populações altamente qualificadas, da Hungria da Tchecoslováquia, da Polônia, da Rússia, da Ucrânia, e querem entrar, querem fixar-se. E nós temos uma competição fantástica aí, com população altamente qualificada. Mas do sul, do outro lado do Mediterrâneo, também há uma pressão demográfica tremenda. São todos os árabes que querem entrar na França, na Itália e na Espanha, menos em Portugal, e que são mão-de-obra de trabalho, querem procurar trabalho, e vêm clandestinamente, entram clandestinamente. Portugal sempre foi um país de imigração. Nós imigramos para a América, aqui para o Brasil e para toda parte do mundo. Temos imigração, somos quatro milhões de portugueses repartidos pelo mundo. Mas pela primeira vez sucedeu, desde que estamos na Comunidade Européia, e por estarmos na Comunidade Européia, que populações, já com um nível de cultura muito importante, querem instalar-se em Portugal: brasileiros, chilenos, sul-americanos de uma maneira geral, mas não só, e também africanos de fala portuguesa, mas também não só de fala portuguesa, senegaleses e também de outros países africanos que entram em Portugal muitas vezes clandestinamente. Bem, através das polícias, não há propriamente indicações da Comunidade Européia que nos impeçam de tratamentos relativamente ao Brasil, mas...
19/07/1993|Mário Soares|30|Fernando Mitre|Mas, presidente, há uma nova lei de estrangeiros no seu país, que foi anunciada agora...
19/07/1993|Mário Soares|31|Mário Soares|Não fui eu que fiz, as leis são feitas no parlamento.
19/07/1993|Mário Soares|32|Fernando Mitre|Foi anunciada agora...
19/07/1993|Mário Soares|33|Mário Soares|Não...
