DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
31/12/1990|Melhores momentos de 1990|1|Jorge Escosteguy|Boa Noite. Democracia e crise econômica andaram juntas em 1990 no Brasil. Começamos o ano com um novo presidente, eleito pelo voto direto, depois de quase três décadas de jejum forçado. O presidente cujo primeiro ato em favor da igualdade de todos foi determinar que cada brasileiro valia, no máximo, cinqüenta mil cruzados. Foi engraçado, pelo menos por um dia, ter a mesma caderneta de poupança do empresário Antônio Ermírio de Moraes [engenheiro e empresário (1928-), presidente do Grupo Votorantin] ou do banqueiro Amador Aguiar [empresário e banqueiro (1904-1991), foi presidente do banco Bradesco]. Mas o ano termina com esperanças renovadas: saíram das urnas novos governadores, novos deputados estaduais e um novo Congresso Nacional. Caberá a todos administrar o binômio democracia e crise econômica; a expectativa é que uma delas seja varrida do mapa do Brasil para sempre. De preferência, torcemos todos [para] que seja varrida a crise econômica. Ao longo de cinqüenta e duas semanas o Roda Viva acompanhou questões como essa, que sensibilizaram e até mesmo assustaram os brasileiros. Pelo centro desta roda passaram personagens que, de uma forma ou de outra, ajudaram a aperfeiçoar as nossas instituições. Alguns fizeram isso através de ações concretas, como governantes, políticos, líderes de trabalhadores e líderes empresariais. Outros deram sua contribuição através da crítica de costumes, do debate cultural e mesmo através de muitos erros, como governantes, humoristas, ministros, comediantes e intelectuais. Você vai ver hoje uma seleção dos melhores momentos do Roda Viva em 1990. Como toda seleção, ela é arbitrária, mas tem sua razão de ser. O ministro chanceler Francisco Rezek, por exemplo, veio ao Roda Viva e, em lugar de esperanças, ele falou dos males: “Dos males, o menor.”, disse o chanceler. E a ministra da economia Zélia Cardoso de Mello, que também veio ao Roda Viva, falou do maior dos males que afligem os brasileiros: a inflação. Ela disse com todas as letras que o governo, quando fala em pacto, não está propondo uma troca, está querendo apenas um entendimento. Vamos ver o que disseram Francisco Rezek e Zélia Cardoso de Mello no Roda Viva.
31/12/1990|Melhores momentos de 1990|2|[Fragmentos do programa com Francisco Rezek, exibido em 03/12/1990] |Fragmentos do programa com Francisco Rezek, exibido em 03/12/1990] 
31/12/1990|Melhores momentos de 1990|3|Rodolfo Konder|A ONU [Organização das Nações Unidas], o Conselho de Segurança da ONU aprovou, inclusive, o uso da força para a solução da crise no Golfo Pérsico, e, nesse caso, quer dizer, considerando inclusive o prazo que está sendo dado ao governo do Iraque, até 15 de janeiro, se houver um conflito - e a possibilidade de que haja um conflito é bastante grande -, quer dizer, como o Brasil se situa? Nós vamos mandar, por exemplo, tropas para o Golfo Pérsico?
31/12/1990|Melhores momentos de 1990|4|Francisco Rezek|O governo brasileiro, desde o primeiro momento, desde o eclodir da crise da madrugada de dois de agosto, manifestou seu veemente repúdio àquele ato de desrespeito à soberania territorial do Kuwait. Lamentou o episódio, associou-se às decisões do Conselho de Segurança das Nações Unidas, todas elas, não importando saber o quanto sofríamos economicamente por conta dessa crise. Mas, por outro lado, não nos pareceu que pudéssemos encontrar uma explicação muito convincente para uma eventual presença brasileira, uma presença militar brasileira, ao lado de tropas americanas, ao lado de tropas egípcias e algumas outras mais.
31/12/1990|Melhores momentos de 1990|5|Carlos Dias|Os Estados Unidos são, sem dúvida nenhuma, o maior parceiro comercial do Brasil. Só que, nos últimos anos, tem acontecido uma série de contenciosas como, por exemplo, da reserva de mercado na informática [Lei de Informática]. O senhor não acha que nesses últimos anos o Brasil tem tratado um pouco mal, levado muito no duro, justamente o seu maior parceiro? Muitas vezes, assim, com relações com os países árabes, por exemplo, que têm provocado críticas, de como a venda de material bélico, nessa situação... O senhor não acha que o Brasil leva muito no duro o maior parceiro comercial deles?
31/12/1990|Melhores momentos de 1990|6|Francisco Rezek|Aí é importante lembrar que o governo norte-americano, muito bem informado - como sempre foi -, tem consciência de que o comércio de armas entre o Brasil e o Iraque cessou em [19]88. Cessou em [19]88 por razões de índole comercial, de modo que a crise agora em agosto não nos surpreendeu numa situação de embaraço, tendo que, às carreiras, por termos súbito a uma linha comercial que nos trouxesse problemas por razões de índole política, pelo envolvimento do Iraque numa iniciativa militar afrontosa a certas regras de direito internacional.
31/12/1990|Melhores momentos de 1990|7|Roberto Jungmann|Ao que parece, o senhor já havia afirmado que não via solução pacífica aí para a crise do Golfo Pérsico. O senhor ainda pensa assim?
31/12/1990|Melhores momentos de 1990|8|Francisco Rezek|É importante destacar o seguinte: a crise, tanto quanto inesperada, ela é grave. O que aconteceu foi uma grosseira afronta a regras de direito internacional, e existe uma insistência acentuada do governo iraquiano em manter a ocupação territorial do Kuwait mediante argumentos, alguns dos quais não são totalmente absurdos, alguns dos quais se associam a certas linhas de raciocínio que não soam inteiramente absurdas, mas que não justificam, em hipótese alguma, o empreendimento militar violador da soberania alheia. A crise é grave e, para ela, a essa altura, é certo que não há uma saída brilhante, é certo que não há uma saída plenamente satisfatória. O que temos [a fazer] é escolher o menor dentre os males, dentre vários caminhos desastrosos [escolher] o menos desastroso. E me parece que aí a solução negociada é, sem dúvida, o menor dos males.
31/12/1990|Melhores momentos de 1990|9|Jayme Martins|Resolvida no fundamental a contradição leste-oeste, que aparecia no pós-guerra como a principal contradição global, na opinião do chanceler, qual emerge agora como a contradição global mais importante?
31/12/1990|Melhores momentos de 1990|10|Francisco Rezek|Agora existem outras maneiras possíveis de tentar encontrar substitutivo para a Guerra Fria. Há receios relacionados, por exemplo, com uma cisão... com uma cisão um tanto associada à questão confessional, à questão religiosa, à questão ideológica. Por isso eu me preocupo tanto com os resultados de uma solução militar para a crise do Golfo. Esse receio de que o islã, unificado por um profundo ressentimento, constitua esse pólo de antagonismo ao restante da sociedade internacional. De qualquer maneira, nós podemos enfrentar os dois problemas, nós podemos nos situar a curto prazo frente a um confronto norte-sul, a um confronto países [entre] abastados [e] países em sérias dificuldades, e há um outro confronto de matizes ideológicos e confessionais que poderia resultar de um desfecho infeliz da crise do Golfo.
31/12/1990|Melhores momentos de 1990|11|[Fim da exibição de trechos do programa Francisco Rezek]|Fim da exibição de trechos do programa Francisco Rezek]
31/12/1990|Melhores momentos de 1990|12|[Fragmentos do programa com Zélia Cardoso de Mello, exibido em 16/09/1990] [Plano Collor]|Fragmentos do programa com Zélia Cardoso de Mello, exibido em 16/09/1990] [Plano Collor]
31/12/1990|Melhores momentos de 1990|13|Mino Carta|Ministra, numa entrevista que a senhora deu à [revista] IstoÉ em dezembro do ano passado, a senhora dizia que o objetivo inicial do governo seria o de combater a inflação sem detrimento do crescimento econômico. A senhora acha que isso realmente está acontecendo? E a senhora acha que o combate à inflação tem sido realmente eficaz?
