DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
13/11/2000|Miguel Reale|1|[Programa ao vivo]|Programa ao vivo]
13/11/2000|Miguel Reale|2|Paulo Markun|Boa Noite, ele acaba de completar noventa anos. E, em mais de seis décadas de vida profissional e intelectual, tornou-se um mestre do direto com reconhecimento internacional. O Roda Viva entrevista esta noite o jurista, filósofo do direito, ensaísta e poeta Miguel Reale.
13/11/2000|Miguel Reale|3|[Vídeo narração Luciana Camargo]|www.miguelreale.com.br, a página do professor jurista na internet é o acesso mais direto e fácil às referências sobre a vida e a obra de um dos mais instigantes filósofos do direito brasileiro. Bacharel em direito em 1934, e doutor em direito em 1941, Miguel Reale construiu uma carreira acadêmica que lhe valeu dezenas de títulos de doutor honoris causa em universidades de outros países e do Brasil. Professor de filosofia do direito, reitor da Universidade de São Paulo, secretário da Justiça do estado de São Paulo, membro da Academia Paulista e da Academia Brasileira de Letras, fundador do Instituto Brasileiro de Filosofia, em mais de sessenta anos de vida profissional e intelectual, o professor Miguel Reale também colecionou uma grande produção literária, obras filosóficas, filosofia do direito, estudos de política e teoria do Estado, poemas e poesias. Suas memórias renderam dois volumes: Destinos cruzados e A balança e a espada que entrelaçam a vida do autor aos acontecimentos políticos e culturais do Brasil, da primeira metade do século até o nosso recente processo de redemocratização. O professor Miguel Reale lança agora a coletânea de seus artigos publicados na imprensa: Crise do capitalismo e Crise do Estado, um conjunto de reflexões sobre a encruzilhada do capitalismo, ética, cidadania e sobre o país do “faz de contas” em que se transformou o Estado brasileiro, ainda imaturo e marcado pela improvisação geral.
13/11/2000|Miguel Reale|4|Paulo Markun|Para entrevistar o jurista Miguel Reale, nós convidamos o professor Celso Lafer, titular da Faculdade de Direito da Universidade de São Paulo; o jornalista José Nêumanne, editorialista do Jornal da Tarde; a procuradora Luisa Nagib Eluf, do Ministério Público de São Paulo; a jornalista Silvana de Freitas, repórter do jornal Folha de S.Paulo; o jornalista Márcio Chaer, diretor da revista Consultor Jurídico; e o jornalista Ronald Freitas, da Editora Brasil, da revista Época [...] Boa noite, professor Reale.
13/11/2000|Miguel Reale|5|Miguel Reale|Boa noite.
13/11/2000|Miguel Reale|6|Paulo Markun|Eu tenho quase a metade da idade do senhor, mas desde que eu era garoto até hoje, a profissão de advogado mudou muito no Brasil. Houve uma época em que nenhum garoto imaginava que a profissão de advogado fosse uma profissão de futuro, e hoje, na beira do terceiro milênio, nós estamos vendo que cada vez mais ela está presente no Brasil e no mundo. Então, eu queria que o senhor dissesse: de 1934, quando o senhor começou, para cá, o que mais mudou nessa profissão? E como o senhor enxerga a perspectiva da profissão daqui para frente?
13/11/2000|Miguel Reale|7|Miguel Reale|Para responder a essa pergunta é necessário, talvez, dar um passo atrás e lembrar que em seu livro Sobrados e Mocambos, Gilberto Freyre dedica todo um capítulo ao tema: ascensão do bacharel e do mulato. Essa ascensão ocorreu, na realidade, mais [a partir] da metade do século passado. Não que não houvesse a presença do bacharel, bastaria lembrar o nome dos dois maiores bacharéis: Teixeira de Freitas [(1816-1883) jurista importante do século XIX. Ficou encarregado de compilar e organizar a legislação civil do país após a proclamação da Independência. Seu esboço, contudo, não foi convertido em lei devido às dificuldades em definir a condição civil do escravo] e Pimenta Bueno [também conhecido como Marquês de São Vicente (1803-1878) jurista e político, especialista em direito civil no século XIX, contribuiu na elaboração da Lei do Ventre Livre, de 28 de setembro de 1871]. Mas, na realidade, a generalização da posição de bacharel ocorreu naquela data, e Gilberto Freyre chega à conclusão de que o Segundo Império, a monarquia de Dom Pedro II, foi o regime dos bacharéis, a começar pela própria figura de Dom Pedro que seria a encarnação do bacharelismo. É discutível um pouco essa visão de Dom Pedro II, mas não há dúvida que há ascensão do bacharel a partir dali e que iria se projetar depois, na República. Sobretudo na República Velha quando, cessada a crise militar, adveio à presença dos grandes presidentes da República civis com Prudente de Moraes, Campos Sales, Rodrigues Alves, Afonso Pena etc. De maneira que eram efetivamente os grandes bacharéis que tinham a visão, ao mesmo tempo, complexa da sociedade. Isso porque até então, o bacharel não era apenas o bacharel. Naquela época, não havia, no Brasil, faculdade de filosofia, economia, ou de sociologia e ciências sociais, tudo se concentrava nas faculdades de direito que eram, aliás, limitadas, sobretudo, as faculdade de direito de São Paulo e faculdade de direto de Recife, antes Olinda, mas depois Recife. E essas faculdades de direito substituíam as universidades, do ponto de vista humanístico. Todos os estudos humanistas eram feitos por bacharéis. De maneira que o sentido bacharel que havia em 1934, antes de 1930, era muito amplo porque abrangia os artistas, os grandes literatos. Como não havia escola de literatura, a Faculdade de Direito de São Paulo era, ao mesmo tempo, um centro literário, um centro jurídico, um centro político e assim por diante. De maneira que a mudança sobreveio mais tarde, quando se deu uma especialização maior do bacharel como o operador de direito, ao mesmo tempo em que ia crescendo a sociedade e, por conseguinte, às responsabilidades do bacharel nesse campo restrito do direito. Porém, é preciso notar que o bacharel, no Brasil, jamais ficou preso a uma determinada linha. O bacharel é um espírito curioso, ele vai logo para ciência política, vai um pouco para ciências em geral. Se olhar o meu caso pessoal, por exemplo, eu estudei apenas faculdade de direito, não fiz curso de filosofia. Mas logo, logo, através da filosofia do direito, meu espírito foi levado à filosofia, poesia, literatura e assim por diante. Hoje em dia, porém, está havendo um barateamento da posição do bacharel em razão do imenso afluxo de faculdades de direito que o governo permitiu que se constituíssem. Eu responsabilizo diretamente o governo central pelo número extremamente grande de faculdades de direito que não tem as condições essenciais. Não pense que eu seja contra o ensino privado, o ensino particular, porque lecionei, por exemplo, no Mackenzie, ou então que eu seja contra as faculdades de direito do interior. Algumas delas são muito boas, algumas delas nos Provões [refere-se ao Exame Nacional de Cursos (ENC- Provão), exame aplicado aos formandos, no período de 1996 a 2003, com o objetivo de avaliar os cursos de graduação da educação superior, no que tange aos resultados do processo de ensino-aprendizagem] têm demonstrado muita capacidade. Porém, a maioria é feita de afogadilho, não tem um corpo docente altamente qualificado, é composta de velhos professores, velhos advogados, alguns deles muito capazes que se tornaram professores, e, às vezes, são magníficos professores, mas autodidatas, sem ter a experiência profissional que se adquire pela gradativa conquista das posições como a de mestrado, doutorado, livre-docência e por diante, que caracterizam propriamente as faculdades de direito normais...
13/11/2000|Miguel Reale|8|José Nêumanne|Professor, isso que o senhor falou está se refletindo, hoje, em uma grande crise que tem sido denunciada, inclusive, no noticiário. Por exemplo, se abre um concurso para magistratura, se abre um concurso para cem vagas, concorrem cinco mil bacharéis que não conseguem preencher trinta vagas...
13/11/2000|Miguel Reale|9|Miguel Reale|Dois mil e seiscentos é a ultima presença.
13/11/2000|Miguel Reale|10|José Nêumanne|Os exames da Ordem [OAB - Ordem dos Advogados do Brasil] estão tendo um grau de reprovação terrível. Onde nós vamos parar com isso? Onde vai nos levar essa crise do ensino do direito, sobretudo, por causa dessa questão dessas escolas abertas de qualquer jeito, sem nenhuma fiscalização do Ministério da Educação?
