DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/03/2006|Miguel Srougi|1|Programa ao vivo|Programa ao vivo
06/03/2006|Miguel Srougi|2|Paulo Markun| Boa noite. Ele disse que o Brasil desperdiça dinheiro na saúde pública, não alcança os resultados que busca porque não aplica direito as verbas. Considera que é preciso investir mais em pesquisa, que o conhecimento científico precisa ser usado para melhorar a vida dos brasileiros e que as escolas de medicina devem formar médicos mais humanos. São idéias e preocupações do mais reconhecido especialista brasileiro em câncer da próstata, o médico Miguel Srougi, novo professor titular do Departamento de Urologia da Universidade de São Paulo, que é o convidado desta noite no Roda Viva. O professor Miguel Srougi tem chamado a atenção da área médica para três temas: o sentido real da ciência e da pesquisa, o papel dos educadores médicos e a situação dos sistemas públicos da saúde no país. Temas que ele agora busca colocar no horizonte de uma das importantes escolas de medicina do país.
06/03/2006|Miguel Srougi|3|[Cometarista]| Miguel Srougi assumiu a cadeira de titular de urologia da USP depois de dar aulas nove anos na Unifesp, a Universidade Federal de São Paulo, onde foi o responsável pela implantação de uma nova unidade hospitalar dedicada à assistência, ensino e pesquisa em urologia. Com o apoio de empresários foram construídos teatro, teleconferência, telemedicina, novas enfermarias e adquiridos equipamentos de tecnologia avançada, que permitem até cirurgias assistidas por robô. Pós-graduado em urologia pela Universidade de Harvard nos Estados Unidos e autor de mais de 400 publicações científicas, o professor Miguel Srougi estudou e pesquisou tumores urológicos e as doenças da próstata. É o cirurgião mais requisitado nessa área, e já escreveu oito livros médicos além de uma publicação destinada ao público leigo, onde informa e alerta sobre o tumor maligno que atinge um em cada seis homens com mais de 50 anos de idade no Brasil. Conhecedor dos problemas que envolvem a saúde pública, o professor Srougi tem questionado o desperdício de recursos na área, e o fato do Brasil gastar mais dinheiro com pagamento de juros da dívida do que com educação e assistência médica. Há dez anos na linha de frente do ensino de medicina no país, Srougi tem críticas à educação médica no Brasil, mas é otimista, acha que ainda é possível formar bons médicos por aqui.
06/03/2006|Miguel Srougi|4|Paulo Markun| Para entrevistar o médico Miguel Srougi, nós convidamos o doutor Luís Antonio Machado César, diretor da Unidade Clínica de Doenças Coronárias do Incor [Instituto do Coração] e professor de cardiologia da Universidade de São Paulo; o doutor Drauzio Varella, médico cancerologista e infectologista; Laura Caprilioni, repórter do jornal Folha de S. Paulo; Cilene Pereira, editora de Medicina e Bem-Estar da revista IstoÉ; Mônica Teixeira, editora especial de Ciência e Tecnologia da TV Cultura; Antônio Carlos Lopes, presidente da Sociedade Brasileira de Clínica Médica e professor titular de clínica médica na Unifesp; e Herton Escobar, repórter de Ciência e Meio ambiente do jornal O Estado de S. Paulo. E também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos, momentos e flagrantes do programa. Boa noite, professor.
06/03/2006|Miguel Srougi|5|Dr. Miguel Srougi| Boa noite, boa noite a todos os telespectadores, aos jornalistas aqui presentes, muito obrigado por esta deferência permitindo que eu participe de um programa da relevância que é o Roda Viva.
06/03/2006|Miguel Srougi|6|Paulo Markun| Professor, o senhor como cirurgião, sabe - e muito mais que nós, meros leigos - que a questão, por exemplo, do câncer da próstata tem cura desde que o diagnóstico seja precoce. O diagnóstico da saúde pública brasileira é mais do que precoce, sabe-se há anos e anos que o Brasil gasta mal, que o Brasil, às vezes, gasta pouco e que não se formam bons médicos e nem se faz pesquisa na quantidade necessária. Que cirurgião é preciso ter, ou melhor, que cirurgia é preciso fazer para que a saúde pública no Brasil melhore?
06/03/2006|Miguel Srougi|7|Dr. Miguel Srougi| Paulo, infelizmente, o Brasil vive um problema complexo nessa área. Surgiram nos últimos anos algumas tentativas para se organizar o sistema de saúde pública no Brasil. A criação do SUS [Sistema Único de Saúde] foi um evento importante. O SUS é um sistema muito bem planejado, mas infelizmente a implantação dele acabou não se fazendo de forma correta. Existe um defeito básico no Brasil que é a falta de recursos destinados à saúde. Só para você ter uma idéia, nos Estados Unidos se gasta, anualmente por habitante, 6.700 dólares mais ou menos para dar apoio à saúde da população americana.
06/03/2006|Miguel Srougi|8|Paulo Markun| Seis mil e setecentos?
06/03/2006|Miguel Srougi|9|Dr. Miguel Srougi| No Canadá se gasta 4.400 dólares por habitante; na França, até um dado que eu tenho de dois ou três anos atrás, eram 3 mil dólares por habitante e no Brasil se gasta 170 dólares por ano por habitante. Existe um problema de origem, sem um financiamento adequado você nunca vai conseguir montar um sistema de saúde realmente eficiente para a população brasileira. Esse talvez seja o primeiro grande problema. Existe um problema do fato de o SUS não ter sido implantado de forma adequada, o plano em si foi idealizado de forma muito apropriada. O SUS sugere, define que o atendimento à saúde pública tenha que ser universal. Todo brasileiro tem direito à saúde pública, atendimento de saúde; ele preconiza a integridade, a integralidade do tratamento, esse atendimento é feito na prevenção e também na cura das doenças, e ele preconiza a eqüidade. E aí talvez comece o grande problema. Eqüidade significa você dar um certo caráter de justiça à igualdade, quer dizer, você não pode tratar todo mundo igual. E nesse ponto começa a falhar um pouco o SUS, porque as pessoas que têm posses podem recorrer ao SUS e, obviamente, como o cobertor é curto, isso prejudica a população mais carente que acaba ficando, por vezes, à margem desse processo. O SUS preconiza a descentralização do sistema de saúde, ele deveria ser feito em cada município, e ele tem um mecanismo muito interessante de controle, que é o controle social. Pelo plano original do SUS, cada comunidade deveria constituir os chamados "conselhos de saúde" que deveriam vigiar a aplicação dos recursos, e com isso maximizar essa aplicação.
06/03/2006|Miguel Srougi|10|Paulo Markun| Mas isso é teoria.
