DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
03/04/1989,Millôr Fernandes,1,[...],Programa ao vivo
03/04/1989,Millôr Fernandes,2,Augusto Nunes,"Boa noite. Começa aqui mais uma Roda Viva pela TV Cultura de São Paulo. Millôr Fernandes é conhecido como um dos grandes humoristas que o Brasil já conheceu. Mas ele também tem várias outras atividades. Millôr Fernandes é jornalista há muito tempo né, Millôr?"
03/04/1989,Millôr Fernandes,3,Millôr Fernandes,Mais do que eu gostaria.
03/04/1989,Millôr Fernandes,4,Augusto Nunes,Mais do que gostaria! [risos]
03/04/1989,Millôr Fernandes,5,Millôr Fernandes,"Eu tenho na carteira de identidade, porque as pessoas dizem que são isso ou aquilo e não apresentam os fatos. Eu mato a cobra e - com licença da expressão - mostro o pau. Mas na minha carteira está anotado o dia 18 de março de 1938. Eu era um menino de treze anos e, quando anotaram na carteira, seis meses depois, eu voltei e fiz com que anotassem no dia que eu entrei. Começavam aí as minhas reivindicações trabalhistas que felizmente não pararam até agora."
03/04/1989,Millôr Fernandes,6,Augusto Nunes,"Das quais vamos falar durante este programa. Millôr Fernandes é também autor de peças de teatro, tradutor, é artista plástico, é escritor e tudo somado, embora talvez o Millôr não goste dessa definição, porque tem o saudável hábito de se olhar com ironia, Millôr é um pensador e um dos mais notáveis pensadores deste país. Para conhecer um pouco mais de perto Millôr Fernandes que tem uma coluna, um quadrado diário no Jornal do Brasil e colabora semanalmente com a revista Isto É, nós convidamos os seguintes entrevistadores: Ivan Ângelo, escritor e editor-chefe do Jornal da Tarde; Marta Góes, subeditora do Caderno 2 do jornal O Estado de S. Paulo; Léo Gilson Ribeiro, crítico literário e jornalista do Caderno de Sábado do Jornal da Tarde; Ethevaldo Dias, editor regional da sucursal do Jornal do Brasil em Brasília; o jornalista Ruy Castro; Casemiro Xavier de Mendonça Xavier de Mendonça, crítico de arte e curador da exposição Jogo de Memória - falaremos da exposição também ao longo do programa; Cora Rónai, jornalista do Caderno B do Jornal do Brasil no Rio de Janeiro e Maurício Kubrusly, jornalista da TV Globo. Também estará conosco registrando algumas cenas, alguns momentos deste programa, o cartunista Paulo Caruso. Agradecemos também a presença entre nós dos convidados da produção do Roda Viva. Millôr, você, no dia 06 de abril de 85, portanto há quase quatro anos, publicou a seguinte frase no seu quadrado do Jornal do Brasil: “Governo Sarney {Sarney: Batizado como José Ribamar Ferreira de Araújo Costa (1930-), passou a adotar o nome José Sarney de Araújo Costa em 1965, sendo Sarney o nome de seu pai. Tornou-se presidente em 1985, após a morte do presidente eleito Tancredo Neves, de quem era vice e que faleceu antes de tomar posse. Seu mandato caracterizou-se pela consolidação da democracia brasileira após o fim da ditadura militar, incluindo a Assembléia Constituinte e a promulgação da Constituição de 1988, mas também por uma grave crise econômica que evoluiu para a hiperinflação e a moratória na dívida externa. Para combater a crise, lançou o Plano Cruzado em 1986, que congelou os preços por 12 meses, mas que logo foi perdendo a eficiência; sobreveio uma grave crise de abastecimento e o retorno da inflação. Seu governo foi dificultado também pela CPI da Corrupção, que envolveu seu nome, mas que foi engavetada, e pelo seu envolvimento pessoal nas negociações sobre a votação do tamanho do seu mandato, na Assembléia Constituinte. O mandato foi fixado em 5 anos. Em 2009 voltou aos noticiários pelo fato de, sendo então presidente do Senado, ter sido acusado de nomear parentes e conhecidos para cargos públicos. Sarney é também escritor e pertence à Academia Brasileira de Letras.}: já se começa a ver a escuridão no fim do túnel”. Frase sua. Já lhe atribuem muitas frases, como você diz, que não são exatamente da sua autoria, essa é?"
03/04/1989,Millôr Fernandes,7,Millôr Fernandes,Acredito que sim.
03/04/1989,Millôr Fernandes,8,Augusto Nunes,"Pois é. [risos] Você agora, com uma campanha presidencial em curso e com os candidatos que estão por aí, você está vendo algum sinal de luz no fim do túnel ou a escuridão continua?"
03/04/1989,Millôr Fernandes,9,Millôr Fernandes,"Olha, tem menos escuridão do que havia, mas na verdade, quando a claridade se fez um pouco, você viu que não só do outro lado havia uma bruta esculhambação, como havia uma decadência precoce no país e uma quase impossibilidade de se reerguer daquele local em que estava, porque nós descobrimos que, ao se levantar a escuridão, nós estávamos num pantanal, não o de Mato Grosso, [...] para empregar uma palavra mais solene, se me permite meu amigo Léo Gilson. Agora, eu acho que nós tivemos uma oportunidade que foi a oportunidade das Diretas Já {Diretas Já: ^Movimento civil de reivindicação por eleições presidenciais diretas no Brasil desencadeado em 1983, quando o país vivia um processo de abertura política. A campanha foi organizada, primeiramente, pelos partidos de oposição ao regime militar, motivados pelo grande número de vitórias nas eleições diretas para governador em vários estados, em 1982, e rapidamente ganhou força popular devido ao desejo de mudança e à grave crise econômica no país, que apresentava altos índices inflacionários. O movimento teve a participação maciça de lideranças sindicais, civis e estudantis, com destaque para a manifestação na cidade de São Paulo, em 25 de janeiro de 1984, que reuniu mais de 1,5 milhão de pessoas, a maior já vista no país. Nesse mesmo ano ocorreu a votação da emenda constitucional proposta pelo deputado federal Dante de Oliveira, que estabelecia o voto popular direto para presidente e que, por manobras políticas do governo, acabou sendo vetada. No entanto, a campanha ganhara muita força e, em 1985, o Colégio Eleitoral, do governo de João Figueiredo, composto pela Câmara dos Deputados e pelas Assembléias Estaduais, elegeu Tancredo Neves, da oposição, para presidente.}. Essa oportunidade desapareceu por uma questão da qual nós somos muito vítimas no Brasil, são questões metafísicas, de como uma pessoa abúlica [indiferente, sem vontade] sem nenhum valor, sem nenhum sentido ético, sem nenhum critério intelectual, sem sequer nenhuma educação, não-alfabetizado - eu considero não-alfabetizado apenas aquela pessoa que não aprendeu a linguagem do seu grupo - como o Sarney, que eu chamo usurpador metafísico, chegou a esse posto, e como ele é abúlico, ele é patologicamente abúlico, um homem doente, um homem que não consegue formular uma frase, ele não consegue juntar sujeito, verbo e predicado. E isso não é uma brincadeira, quando você fala isso..."
03/04/1989,Millôr Fernandes,10,Augusto Nunes,"Você analisou inclusive um livro dele, fez uma crítica bastante profunda de uma das obras do presidente Sarney, não foi?"
