DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
31/03/1997|Milton Santos|1|Matinas Suzuki Júnior| Boa noite. O Roda Viva de hoje recebe um convidado muito especial, o premiado professor brasileiro Milton Santos, titular de geografia da Universidade de São Paulo. Consagrado, em 1994, com o Prêmio Nobel da geografia [refere-se ao Vautin Pud, considerado como o Nobel da geografia], o professor Milton Santos é colecionador de títulos, doutor em geografia pela universidade francesa de Estrasburgo, é também doutor em honoris causa por outras onze universidades de sete países. Aos 71 anos, com mais de 40 livros publicados, em sete línguas, Milton Santos nasceu na cidadezinha de Brotas de Macaúba, no interior da Bahia. Alfabetizado pelos próprios pais, professores primários, cursou direito em Salvador. Em 1964 foi destituído do cargo de secretário do estado da Bahia e de professor da Universidade Federal pelos militares. Exilou-se na Europa e lecionou durante treze anos nas mais importantes universidades do mundo. Avesso às teorias que exaltam a globalização, Milton Santos chama atenção para a importância dos intelectuais na discussão da sociedade moderna, contesta o modelo de reforma agrária brasileira e quer a geografia pensada como filosofia e arte. Para entrevistar esta noite o professor Milton Santos, nós convidamos o jornalista Ulisses Capozzoli, repórter do Jornal O Estado de S.Paulo, o professor István Jancsó, do Departamento de História da Universidade de São Paulo, a socióloga Maria Irene Szmrecsanyi, professora da Faculdade de Arquitetura e Urbanismo da USP. Vinícius Torres Freire, editorialista da Folha de S. Paulo, Daniel Hessel Teich, repórter do jornal O Globo, e o professor Renato Ortiz do Departamento de Sociologia da Unicamp. Boa noite, professor.
31/03/1997|Milton Santos|2|Milton Santos| Boa noite.
31/03/1997|Milton Santos|3|Matinas Suzuki Júnior| Professor, o senhor que é um homem, um brasileiro tão conhecido no mundo, com seu trabalho tão reconhecido no mundo, é também hoje um dos brasileiros que tem elaborado um pensamento crítico sobre o processo de globalização. Eu imagino que não deva ser fácil essa tarefa porque a globalização é quase que um consenso na mídia, quase que um consenso nos jornais, nas revistas, na televisão, todo dia a gente houve falar do processo de globalização como sendo um processo que trará grandes vantagens para o Brasil. Quais são as principais críticas que o senhor faz a esse processo?
31/03/1997|Milton Santos|4|Milton Santos| O atual processo de globalização é uma forma, uma única forma de utilizarmos recursos que a humanidade pôde gerar neste fim de século, mas utilizá-los de forma que me parece perversa. Então, a crítica essencial é esta, a humanidade durante dois séculos sonhou com a possibilidade de uma ciência a serviço do homem, e quando isso se obtém exatamente, esses objetivos são, digamos assim, deixados de lado, para que essa globalização que nós estamos presenciando sirva um número extremamente limitado, não só de pessoas, mas também um número limitado de empresas, e a um número limitado de instituições. Quem sabe esta é a crítica essencial que eu certamente vou desdobrar com outras perguntas que sejam eventualmente feitas.
31/03/1997|Milton Santos|5|Matinas Suzuki Júnior| Professor, ainda sobre esse assunto: mas o que se apresenta, que como se a globalização fosse um processo cerrado, que não houvesse alternativas fora da globalização, quer dizer, ou o país se integra na dinâmica da economia do mundo internacional, ou seja, na dinâmica dos mecanismos internacionais, no ritmo do mercado financeiro internacional, ou ele se prepara, se integra ou ele não tem alternativa fora desses sistema. Como o senhor vê este tipo de posição?
31/03/1997|Milton Santos|6|Milton Santos| Acho que esse é um raciocínio anti-histórico. Se a gente olha para trás e observa tudo o que o mundo se tornou através do tempo, a gente vê que as possibilidades de uso daquilo que é criado são numerosas, e por que neste fim de século seria assim, uma só senda, um só caminho, um só resultado? Eu creio que isso que a gente tem que começar a discutir, entender porque é assim, e buscar através da análise as formas de sugerir outras maneiras de combinar o que aí está.
31/03/1997|Milton Santos|7|Daniel Hessel Teich| Professor, eu gostaria de saber se no caso do Brasil quais seriam eses caminhos, o que seria alternativa à globalização? O senhor fala muito da questão de um projeto nacional para o país, o que seria este projeto nacional para o país?
31/03/1997|Milton Santos|8|Milton Santos| Eu creio que em primeiro lugar, no caso do Brasil e no caso de qualquer país, o que seria a meu ver, o que seria e o que está se dando, e os países europeus, por exemplo, o que está ocorrendo são países que escolhem o que realizar da globalização. É evidente que há uma expressão muito grande por causa dessa enorme força que é atribuída a quem dispõe dos meios de comando, mas o Brasil parece que está deixando a globalização entrar nele, acho que esta é acusação especial, nós estamos deixando a globalização tal como ela é perversa, entrar, em lugar de, ao contrário, o país encontrar ele próprio as formas de sua integração. Que terá que ser sempre negativa, hoje ou amanhã.
31/03/1997|Milton Santos|9|Vinicius Torres Freire| Professor, agora, quando o senhor fala desse problema da falta de projeto nacional, evidentemente o senhor não acredita que ele possa surgir a partir da vontade geral, quem iria apoiar um projeto nacional? Politicamente, isso vai depender da boa consciência dessas elites que hoje estão no poder ou de um projeto popular? De onde vai sair um apoio político para um projeto nacional?
31/03/1997|Milton Santos|10|Milton Santos| Duas coisas, uma coisa é a minha posição como intelectual. Como intelectual tenho que me habituar a estar sozinho, não tenho que me preocupar com quem me acompanha, porque não é próprio do intelectual se preocupar se tem apoio ou não, é posição das idéias, a coragem de defendê-las até o fim. Creio que esta que é, neste caso, a elaboração, digamos, de um quadro que permita depois a utilização pelas forças políticas e quando eu falo forças políticas estamos falando dos sindicatos patronais, das igrejas, dos partidos também, é uma outra coisa. E isso não vai depender dessas forças, como também vai depender desse turbilhão que o Brasil é hoje do qual a gente não se dá conta. Há um turbilhão, há uma efervescência de baixo que a gente não está captando completa e nem integralmente, mas vai confluir com a produção de idéias para forçar um outro caminho.
