DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
09/08/1994|Ministério Público - Debate Especial|1|[programa ao vivo]|programa ao vivo]
09/08/1994|Ministério Público - Debate Especial|2|Paulo Markun|Boa noite. Uma das mais importantes instituições brasileiras, cujo trabalho está ligado e é fruto do processo de democratização do país, é alvo de uma polêmica na área jurídica. É o Ministério Público, a entidade que funciona para defender os interesses da sociedade, que tem a função de reagir contra os desrespeitos à Constituição e processar até mesmo autoridades, ampliou a sua atuação no país nos últimos anos, mas foi acusada de cometer excessos e vem sendo questionada. O Roda Viva faz esta noite um programa especial. O centro das nossas das nossas atenções é o Ministério Público [no centro do auditório, há duas grandes letras: MP]. Neste programa especial, também montamos uma bancada de convidados especiais que estarão debatendo o papel do Ministério Público na sociedade brasileira.
09/08/1994|Ministério Público - Debate Especial|3|[inserção de vídeo]|inserção de vídeo]
09/08/1994|Ministério Público - Debate Especial|4|Narração de Madeleine Alves|Desde o descobrimento, e durante muito tempo, os portugueses que chegaram ao Brasil organizaram a colônia com base no direito lusitano. Embora ninguém falasse em Ministério Público naqueles tempos, as Ordenações Manuelinas [promulgadas por D. Manuel I de Portugal], de 1521, já faziam referências aos promotores de Justiça, dando a eles o papel de fiscalizar a lei e de promover a acusação criminal. Foi no Brasil Império [1822-1889] que começou a sistematização das ações do Ministério Público. Com a Proclamação da República [1889], ele nasce, ganha estrutura e vai adquirindo novas atribuições; na primeira metade do século XX, com os códigos civil e penal. Em 1951, foi criado o Ministério Público da União, ligado ao poder executivo, mas foi na Constituinte de 1988 que a entidade teve suas funções ampliadas e ganhou mais força; tornou-se uma espécie de ouvidoria da sociedade brasileira. Pela internet, é possível conhecer melhor a história e o trabalho do Ministério Público. Organizado de forma independente dos três poderes, é dividido em Ministério Público da União, com atuação federal, e Ministério Público dos Estados. Age no Brasil inteiro na defesa da Constituição, dos interesses coletivos e das minorias, da cidadania, dos bens públicos e pode agir até contra decisões do governo, levando à justiça qualquer autoridade pública envolvida em desvio de conduta. O ex-presidente [Fernando] Collor [de Mello] foi cassado em um processo que começou no Ministério Público, onde também tiveram origem ações judiciais que processaram dezenas de autoridades e dirigentes de empresas públicas que se envolveram em irregularidades. Com a atuação intensificada nos últimos anos para aumentar o combate ao crime organizado e à corrupção, a ação do Ministério Público em muitos casos foi contestada e até acusada de cometer excessos e abusos de poder. Promotores e procuradores foram criticados por vazarem informações à imprensa, agir politicamente, fazer prejulgamentos e, principalmente, de tomar o lugar da polícia nas investigações. Acusado também de corporativismo por não punir seus próprios integrantes envolvidos em irregularidades ou abusos, o Ministério Público passou a ter o seu papel questionado principalmente no que diz respeito a ele poder ou não conduzir investigações. A discussão está no Supremo Tribunal Federal e também no Congresso, onde a reforma judiciária já aponta para mudanças que poderão impor controle externo e limite às ações de procuradores e promotores.
09/08/1994|Ministério Público - Debate Especial|5|Paulo Markun|Para participar deste debate sobre o papel do Ministério Público, nós convidamos Janice Barreto Ascari, procuradora regional da República em São Paulo; Márcio Chaer, jornalista e diretor do site Consultor Jurídico; Rodrigo Pinho, procurador-geral de Justiça do Estado de São Paulo; Luiz Flávio D'urso, advogado criminalista e presidente da Ordem dos Advogados do Brasil, seção São Paulo; Fausto Macedo, repórter de política do jornal O Estado de S. Paulo; e Marco Antônio Nahum, juiz do Tribunal de Alçada Criminal de São Paulo e presidente do Instituto Brasileiro de Ciências Criminais [IBCCRIM]. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Bem, botando a bola em jogo, já convidando a doutora Janice para dar o pontapé inicial, eu pergunto o seguinte: o Ministério Público tem ou precisa efetivamente do poder de investigação para exercer a sua função?
09/08/1994|Ministério Público - Debate Especial|6|Janice Barreto Ascari|Sim, primeiramente boa noite a todos. A Constituição Federal e as leis orgânicas dos ministérios públicos federal e estadual asseguram ao Ministério Público a investigação criminal, e asseguram não só expressamente, segundo o nosso entendimento de Ministério Público, mas asseguram também por ser o Ministério Público o titular exclusivo da ação penal. Então, esses poderes de investigação são inerentes à atividade criminal. Nós entendemos que as leis orgânicas, com base na Constituição, dão ao Ministério Público essa prerrogativa, esse poder, essa ferramenta de trabalho, que é a investigação criminal.
09/08/1994|Ministério Público - Debate Especial|7|Paulo Markun|Desculpe a minha ignorância, mas em que ponto da Constituição a senhora enxerga essa tão clara atribuição? Eu menciono aqui um enorme parecer do doutor José Afonso da Silva, que é professor titular aposentado da Faculdade de Direito da USP, que diz exatamente o contrário. [O parecer] foi feito para o Instituto Brasileiro de Ciências Criminais. Onde que está na Constituição essa identificação de que, sim, o Ministério Público tem o poder expresso de investigação?
09/08/1994|Ministério Público - Debate Especial|8|Janice Barreto Ascari|A Constituição Federal, nos seus artigos cento e vinte e... posso pegar emprestado? [Pega um volume da Constituição] Cento e vinte e nove e alguns outros, ela fala dos poderes e das prerrogativas do Ministério Público. Eu não conheço o teor do parecer do professor José Afonso da Silva, mas pelo que li na imprensa, ele se baseia exclusivamente na interpretação do artigo 144, que fala da segurança pública, um capítulo que é separado, é isolado do capítulo do Ministério Público. Então, qual a interpretação que o Ministério Público faz? O artigo 144 da Constituição Federal deve ser interpretado em relação ao seu objeto, que é a segurança pública e a exclusividade da polícia judiciária em investigar em relação às outras polícias, a Polícia Civil, a Polícia Militar. Então, apenas a Polícia Federal é que teria a exclusividade de investigar, mas em relação às outras polícias; essa exclusividade não se aplica ao Ministério Público e aos outros órgãos públicos que têm também o poder investigatório e exercem esse poder de investigação no seu dia-a-dia, os órgãos públicos: o Banco Central, as receitas, Receita Federal, Receita Estadual, a secretarias de Fazenda, o Ibama, a Controladoria Geral da União, enfim, uma gama de órgãos públicos que exercem investigação criminal, só que contra essa investigação criminal ninguém se insurge, é só a do Ministério Público que incomoda.
09/08/1994|Ministério Público - Debate Especial|9|Márcio Chaer|Mas a deles não é mais administrativa, doutora Janice?
09/08/1994|Ministério Público - Debate Especial|10|Janice Barreto Ascari|Não é administrativa, porque de um procedimento administrativo você pode colher provas para um procedimento criminal e isso ocorre no âmbito do Ministério Público nos inquéritos civis públicos. Por muitas vezes, e isso aconteceu no caso da investigação do juiz Nicolau dos Santos Neto [conhecido popularmente como Lalau, foi acusado de desvio de recursos públicos e investigado pela CPI do Judiciário], [...] caso o TRT de São Paulo, a investigação do Ministério Público foi feita no âmbito de um inquérito civil público, e no âmbito de um inquérito civil público ressaltou-se que aquele fato, que caracterizava improbidade administrativa, caracterizava também uma infração penal. Então, o Ministério Público não pode fechar um olho para a atividade criminal e investigar a infração administrativa e a infração cível.
