DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/10/2000|Muhammad Yunus|1|Heródoto Barbeiro| Olá, boa noite! Ele afirma que é possível eliminar a pobreza do mundo. E tem uma fórmula para isso. É o microcrédito, uma operação de empréstimos para as parcelas mais pobres da população, que pode trazer melhores resultados que bilhões de dólares de ajuda externa. O Roda Viva entrevista esta noite o economista Muhammad Yunus, conhecido como banqueiro dos pobres, de Bangladesh, na Ásia.
02/10/2000|Muhammad Yunus|2|[Exibição de vídeo sobre o entrevistado]|[Exibição de vídeo sobre o entrevistado]
02/10/2000|Muhammad Yunus|3|Comentarista| No prólogo do livro O banqueiro dos pobres está descrito o cenário onde o autor desenvolveu a idéia do microcrédito. Muhammad Yunus mora em um dos países mais pobres da Ásia e do planeta, Bangladesh. Embora tenha recebido 30 bilhões de dólares de ajuda externa, nas últimas décadas, Bangladesh não saiu da miséria. Além disso, o país é marcado por catástrofes naturais, que tornaram a situação ainda mais dura para os moradores. Nos últimos 20 anos, inundações e ciclones provocaram mortes, destruições, e deixaram muita gente desabrigada. A fome ainda afeta 40% da população. Foi nesse universo de dificuldades que Muhammad Yunus idealizou seu projeto de microcrédito, criando um banco para emprestar dinheiro aos pobres, sem grande risco para o financiador. Em seu livro, ele conta como essa experiência foi levada a 12 milhões de pobres de Bangladesh, expandindo-se depois para mais de 60 países. Muhammad Yunus propõe, com o microcrédito, uma mudança no conceito de ajuda econômica; ao invés de grandes empréstimos externos para o combate à fome e à pobreza, ele acha melhor uma ajuda direta às pessoas carentes. Com algum dinheiro, elas tomam iniciativas e acabam encontrando oportunidades de crescimento.
02/10/2000|Muhammad Yunus|4|Heródoto Barbeiro| E para entrevistar o economista Muhammad Yunus, nós convidamos: Walter Barelli, que é secretário do Emprego e Relações do Trabalho de São Paulo; Carlos Graieb, repórter de cultura da revista Veja; Maria Clara do Prado, colunista econômica da Gazeta Mercantil; a economista Beatriz Azeredo, diretora da área de desenvolvimento social do BNDS, Banco Nacional de Desenvolvimento Social; o professor da Universidade de São Paulo, Paul Singer; Milton Gamez, repórter especial do Jornal Valor; Vicente Adorno, editor de internacional da TV Cultura; e o economista Thomaz Lanz, que é presidente de uma instituição voltada para o microcrédito. [...] Doutor Yunus, boa noite.
02/10/2000|Muhammad Yunus|5|Muhammad Yunus| Boa noite.
02/10/2000|Muhammad Yunus|6|Heródoto Barbeiro| Doutor Yunus, a idéia do microcrédito hoje está disseminada pelo mundo? Quantos países possuem operações semelhantes a essa que o senhor propôs para Bangladesh?
02/10/2000|Muhammad Yunus|7|Muhammad Yunus| Pelo que sabemos, 65 países adotaram programas de microcrédito. Alguns são programas de âmbito nacional, outros são pequenos e localizados. Alguns criados por ONGs [organizações não governamentais], outros financiados por governos. Há uma grande variedade, mas em todos os continentes: Ásia, África, América Latina, América do Norte, Europa. Nos mais diferentes lugares, atualmente.
02/10/2000|Muhammad Yunus|8|Thomaz Lanz| O programa do Grameen Bank, em Bangladesh, está principalmente voltado para as áreas rurais. Eu gostaria de perguntar qual é a experiência em outros países, desse mesmo programa, para as áreas urbanas?
02/10/2000|Muhammad Yunus|9|Muhammad Yunus| Em alguns países isto foi muito bem sucedido em áreas urbanas. Um exemplo é Bangladesh, onde há programas de microcrédito urbanos. Outro exemplo são as Filipinas, em Manila, com uma grande área urbana. Nas favelas de Manila. E também nos Estados Unidos: foi feito um programa em Chicago, e agora há programas em São Francisco e em Nova York, no Harlem. E em outras cidades na Ásia e na Europa. Há muitas experiências urbanas neste programa.
02/10/2000|Muhammad Yunus|10|Beatriz Azeredo| Professor Yunus, a experiência com microcrédito, no mundo inteiro, inaugura uma nova forma de trabalho, de interação com a população de baixa renda, da população empreendedora de baixa renda. Isso é uma mudança cultural no mundo inteiro e evidentemente mostra um desafio de multiplicação, ou seja, mostra como é que a gente sai do efeito demonstração - hoje no Brasil vive-se esse momento, o BNDS está diretamente envolvido - e efetivamente aumenta a cobertura do microcrédito para a população como um todo, de baixa renda. A minha pergunta é, na experiência do Grameen, quais são as armadilhas desse processo de disseminação, de aumento da cobertura, e quais os instrumentos que a experiência do Grameen demonstram para efetivamente consolidar esse processo?
02/10/2000|Muhammad Yunus|11|Muhammad Yunus| Primeiro, a questão do empreendedor de baixa renda. No momento em que falamos em empreendedor de baixa renda, estamos separando uma parte da população de baixa renda, algo que eu reluto em fazer. Eu falaria das pessoas que normalmente não têm acesso às instituições financeiras para obter crédito. O grupo todo. Eu não favoreceria o empreendedor de baixa renda porque minha posição sempre foi que todas as pessoas têm capacidade empreendedora. Quando dizemos "empreendedor de baixa renda", estamos dizendo que outros não têm essa capacidade. Minha opinião sempre foi que alguns tiveram a chance de mostrar essa capacidade empreendedora, e outros nunca tiveram. Mesmo que perguntemos a ela, à pessoa que eu afirmo ter capacidade empreendedora, provavelmente, ela dará 1001 motivos para aceitarmos que ela não tem essa capacidade. Mesmo assim, eu não acreditaria nela. Porque a história, sua experiência de vida, a convenceu que ela não tem capacidade empreendedora, pois a sociedade nunca lhe deu uma chance para mostrá-la. Primeiro, precisa ser demonstrado a ela mesma que ela tem essa capacidade. E as pessoas aprendem rapidamente. Essa é uma questão. A questão seguinte é como mudar de um projeto de demonstração para um projeto global. Uma das coisas que eu enfatizaria é não seguir adiante antes de fazer uma preparação adequada. Às vezes, por motivos políticos, ficamos muito ambiciosos, porque temos que mostrar o que fizemos; e nossos egos e nossas emoções dominam a fase de preparação. Temos que nos conter, pois é preciso criar uma base. Se você for construir um edifício e tiver pressa para colocar a cobertura, não dará atenção ao andar térreo. Então, para construir um edifício alto, é preciso tomar cuidado com a fundação, para ela suportar a carga do edifício. É isso que eu digo. É uma curva exponencial: o crescimento será muito lento no início, mas, conforme for crescendo, irá ganhando velocidade. E, por fim, a velocidade será muito alta. Mas, na fase inicial, é preciso controlar a tentação de avançar rapidamente. Esse é um aspecto muito importante. E ao construirmos a base, os exemplos, torna-se muito óbvio e muito fácil construir as etapas seguintes. Acho que isso é algo que pode ser expandido para cobrir todas as pessoas. E eu sempre digo que o crédito deve ser aceito como um direito humano. Esse é o nosso objetivo, é onde deveríamos estar. Mas não vamos começar a dar dinheiro para todos hoje. Esse não é um bom programa.
02/10/2000|Muhammad Yunus|12|Milton Gamez| O senhor poderia explicar qual é o segredo do sucesso do microcrédito? O pobre é bom pagador? Por que 95% dos empréstimos do seu banco são destinados a mulheres? Qual é o segredo para que as pessoas que recebam esse crédito usem o dinheiro para fomentar algum tipo de negócio próprio, e não para comprar comida, por exemplo? Quais são os mecanismos que o agente que concede o crédito usa para garantir o sucesso da operação?
02/10/2000|Muhammad Yunus|13|Muhammad Yunus| O segredo não está no programa. Está na pessoa. É a pessoa que faz a diferença, que o faz funcionar. Só queremos construir um programa que se ajuste perfeitamente à pessoa. De certo modo, criamos instituições imaginando coisas sobre as pessoas, não observando de fato as pessoas. Começamos com uma abstração das pessoas e então trabalhamos nos detalhes das instituições. Quando se tenta pôr isso em prática, muitas vezes o ajuste não é correto. Então, quando construímos um programa, nós nos baseamos na experiência de como as pessoas reagem a cada uma das partes dele. Dessa forma, pode-se começar a explorar a capacidade delas. A única idéia preconcebida com a qual começamos nosso trabalho foi acreditar que as pessoas - o ser humano, em geral - é uma espécie muito criativa. É o que nos distingue de qualquer outra espécie. É a capacidade produtiva da pessoa, a inventividade, a engenhosidade. Essa foi nossa idéia preconcebida, foi onde começamos. Quando alguém diz: "Eu não sei nada, não sei o que fazer com o dinheiro", não acreditamos nele. Acreditamos como uma primeira resposta. Mas, lá no fundo, nós sabemos que ele descobrirá em breve que não é o que diz. É apenas uma crosta criada em torno dele pela sociedade, pelo ambiente em que vive, e que o faz dizer aquilo. Assim que abrirmos essa crosta, que rompermos essa crosta, ele ficará surpreso ao ver que é uma pessoa muita criativa. Nós esperamos por isso. Damos pequenas oportunidades, pequenas chances, para que ele agarre essa oportunidade. Fizemos uma coisa que deu certo para nós. Muitos dos nossos clientes são analfabetos. Bangladesh tem um alto índice de analfabetismo. Mas tivemos a idéia de que todos os clientes, ou toda pessoa que quisesse entrar para o programa, deveria ser capaz de escrever o próprio nome. E toda vez que dizíamos isso, respondiam: "Não, não preciso disso. Nunca aprendi. Se isso for uma exigência, não vou conseguir". Mas não desistimos, insistimos nisso. E aos poucos tornávamos o processo agradável para a pessoa. Ela escrevia uma palavra, depois duas palavras, pegávamos o nome pequeno para ser escrito rapidamente. E ela tentava uma vez, duas, uma semana, duas, três... E a pessoa aprendia. Ela escrevia na terra, com uma vareta, pois não tinha caneta ou lápis. E ela se surpreendia por escrever algo no solo. E alguém dizia: Você é Salma! E ela ficava surpresa por ter escrito, e alguém que não a conhecia podia ler o que havia escrito. Esse é um elemento de sucesso. É isso que falta à maioria dos pobres. Os pobres nunca provaram o gosto do sucesso. Assim, tentamos criar esse primeiro gosto do sucesso. Após esse primeiro gosto, eles estão prontos para o próximo gosto. Trazemos a pessoa para dentro, para sentir que ela não conhecia nada antes, e agora ela conhece. É assim que tentamos fazer. Depois disso, outras coisas se seguem. No Grameen, tentamos formar grupos de cinco pessoas. As pessoas perguntam: por que não emprestar a um indivíduo? Podemos emprestar para um, não há problemas. Mas, com cinco membros, há mais possibilidades de construir para o futuro. Por causa da responsabilidade e por causa do sentimento de dignidade que isso traz. Se eu fizer sucesso em um grupo de cinco, meu sucesso não será apenas financeiro, será social, pois mostrei aos meus quatro amigos que sou bom, que pude cumprir o prometido. E há um sentimento de competição, de poder ser melhor que os outros. Essas coisas ocorrem quando colocamos a pessoas em um contexto social. Depois ampliamos o grupo, totalizando 40 mulheres. E, entre 40 mulheres, quando se demonstra alguma coisa, o nível de confiança vai lá para cima. E a pessoa pode aceitar tarefas mais desafiadoras. E é isso que temos feito. E tornamos a coisa mais simples. Pelo menos, foi o que imaginamos, e acabou sendo verdadeiro. Fazemos as prestações muito baixas, com pagamentos próximos, prestações semanais. Perguntam-nos: Por que não fazer prestações mensais? Seria mias simples e seria menos custoso. Ir até um cliente a 13km de distância, todas as semanas, tem um custo alto. Ir uma vez por mês, seria um quarto do custo. Mesmo assim, insistimos na maior freqüência. Porque torna tudo mais fácil. E sempre que a pessoa faz o pequeno pagamento, semanal, ela está pronta para dar o passo seguinte. É como uma criança aprendendo a andar. Se os passos forem pequenos, ela ficará encorajada a dar o passo seguinte. Mas, se você a mandar dar um passo de adulto, sei que a criança terá muito medo de fazer isso. Ocorre o mesmo em qualquer experiência humana. Se você for aos poucos, uma coisa de cada vez, você vai ganhando confiança e prosseguindo. São essas coisas que tentamos construir. E, no conjunto, achamos que isso funciona devido à comodidade, à atratividade, e esse tipo de sistema de recompensas geralmente ajuda. Mas não dizemos que o Grameen é a solução final. Dizemos que o Grameen é o primeiro passo. Muitos programas serão criados, já foram criados e acrescentarão muitas outras características atrativas. E, aos poucos, isso ficará melhor e mais eficiente em termos de custo, mais atraente, terá melhores resultados, causará maior impacto.
02/10/2000|Muhammad Yunus|14|Carlos Graieb| Professor, boa noite. Eu gostaria de fazer uma pergunta a respeito de crédito para consumo e para produção. Gostaria que o senhor discutisse a diferença entre esses dois tipos de crédito; porque, por exemplo, no estado de São Paulo, nós temos uma experiência muito bem sucedida no interior, com pessoas que têm feito empréstimos para consumo para as classes "C" e "D". No entanto, essas pessoas dizem: "Ah, os pobres nem sempre são tão bons pagadores". Nesse tipo de empréstimo que nós fazemos, às vezes a taxa de retorno não é tão alta. Eu gostaria de saber: o Grameen já teve alguma experiência, ou pretende emprestar para consumo? E esse crédito para consumo, entregue às classes mais baixas, tem alguma função no desenvolvimento do país?
