DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
03/02/1997|Nélida Piñon|1|Matinas Suzuki| Boa noite. Ela é a presidenta da Academia Brasileira de Letras. No centro do Roda Viva está a escritora Nélida Piñon.
03/02/1997|Nélida Piñon|2|[Apresentação de trecho de entrevista com Nélida]| Eu acho que a maior discriminação sofrida por uma escritora mulher é quando lhe atribuem uma linguagem chamada feminina (...) a literatura representa a vida, ela trata de retratar essa vida que nós fabricamos todos os dias (...) O amor que eu tenho pela academia confunde-se com o amor que eu tenho pelo Brasil.
03/02/1997|Nélida Piñon|3|[Comentarista]| A primeira mulher a assumir a presidência de uma academia de letras e brasileira, que foi eleita com festa, mas não recebeu os mesmos aplausos, quando em 61 publicou o seu primeiro romance, o Guia-mapa de Gabriel Arcanjo. Nélida Piñon chegou ao mundo literário com fome de linguagem, de novidade de experimentação, foi logo vista como escritora difícil. Depois, com 14 livros publicados, seria lida em 25 países e passaria a viajar a maior parte do tempo, ensinando em toda a parte do mundo. O novo cargo na academia, além de interromper o nomadismo, faz esquecer completamente o preconceito, a desconfiança que Nélida sofreu no começo de sua carreira.
03/02/1997|Nélida Piñon|4|[Apresentação de trecho de entrevista com Nélida]| Acredita-se sempre, primeiro, que será o seu primeiro livro e talvez o último, que ela é uma diletante, uma amadora, que ela não veio para ficar, para fabricar, para produzir uma obra séria, uma obra realmente que pretenda interpretar a realidade do país, até tentando subverter normas (...)
03/02/1997|Nélida Piñon|5|[Comentarista]| Nélida Piñon ousou abordar todos os temas e de todas as formas, incorporou mitos, histórias bíblicas, passado e presente. Falou de paixão e feminilidade, do eu e do outro, de um e de todos e sempre com a linguagem em estado de fúria, buscando no caos a verdade e a perfeição.
03/02/1997|Nélida Piñon|6|[Apresentação de trecho de entrevista com Nélida]| A minha preocupação fundamental, penso eu, é buscar a verdade do texto.
03/02/1997|Nélida Piñon|7|[Comentarista] Nascida no Rio de Janeiro em 37, Nélida é uma mulher de duas culturas. De um lado, a origem espanhola, galega, cinco mil anos de história. Do outro, o destino americano, brasileiro, a riqueza do imaginário. Daí, a criação de uma literatura, ao mesmo tempo, da imaginação e da memória.|[Comentarista] Nascida no Rio de Janeiro em 37, Nélida é uma mulher de duas culturas. De um lado, a origem espanhola, galega, cinco mil anos de história. Do outro, o destino americano, brasileiro, a riqueza do imaginário. Daí, a criação de uma literatura, ao mesmo tempo, da imaginação e da memória.
03/02/1997|Nélida Piñon|8|[Apresentação de trecho de entrevista com Nélida]| Cada dia eu acredito mais que a história que você, como escritor, conta, é a história que existia antes de você contar.
03/02/1997|Nélida Piñon|9|[Comentarista]| A obsessão pelas raízes da cultura americana levou Nélida Piñon a uma outra façanha histórica. Ela foi a primeira mulher e a primeira escritora de língua portuguesa a ganhar o prêmio Juan Rulfo, o mais importante da América Latina, A república dos sonhos, sua obra favorita, é um bom exemplo dessa vontade de revelar a alma brasileira.
03/02/1997|Nélida Piñon|10|[Apresentação de trecho de entrevista com Nélida]| Essa alma assim, escondida, recôndita (...)
03/02/1997|Nélida Piñon|11|[Comentarista]| E dessa reflexão sobre a narrativa e a língua portuguesa...
03/02/1997|Nélida Piñon|12|[Apresentação de trecho de entrevista com Nélida]| Essa língua de 500 anos, uma língua morena, uma língua africana.
03/02/1997|Nélida Piñon|13|[Comentarista]| ...que tanto impressionaram os leitores de Nélida Piñon. A reflexão é um ato político, diz a escritora, que também participou das lutas pela liberdade no Brasil. E sua confiança no país, tem como apoio Machado de Assis, o fundador da Academia Brasileira de Letras e sua grande paixão literária. [Joaquim Maria Machado de Assis]
03/02/1997|Nélida Piñon|14|[Apresentação de trecho de entrevista com Nélida]| Eu costumo dizer, brincando, que se o Machado de Assis existiu, o Brasil é possível. Não temos pretexto e justificativa para qualquer fracasso.
03/02/1997|Nélida Piñon|15|[Comentarista]| Machado de Assis e Cervantes [autor de Dom Quixote], Europa e América, a história e o faz de conta, Nélida Piñon, cor, memória e poesia de mulher.
03/02/1997|Nélida Piñon|16|Matinas Suzuki| Bem, antes de apresentar os nossos entrevistadores dessa noite, o Roda Viva gostaria de prestar uma homenagem ao Chico Science [Francisco de Assis França (1966-1997), cantor e compositor. Foi membro do grupo Chico Science e a Nação Zumbi], que participou aqui do programa, que entrevistou o Jorge Ben Jor [ver entrevista no Roda Viva], veio gentilmente, participou e enriqueceu o nosso programa. Longa vida a Chico Science e a Pernambuco. Para entrevistar a Nélida Piñon esta noite, nós convidamos o jornalista e escritor, José Nêumanne Pinto, editorialista do Jornal da Tarde, o jornalista e escritor, Bernardo Ajzenberg, secretário de redação da Folha de S.Paulo, a escritora Lygia Fagundes Telles [ver entrevista no Roda Viva], também da Academia Brasileira de Letras e que nos honra aqui com a sua presença, muito obrigado, Lygia; a jornalista Luciana Villas-Boas, diretora editorial da editora Record, o jornalista e escritor Humberto Werneck, redator-chefe da revista Playboy e o crítico literário Fábio Lucas, presidente da União Brasileira de Escritores. O Roda Viva é transmitido em rede nacional por 289 outras emissoras, em todos os estados brasileiros. É a rede Roda Viva. Você também pode participar deste programa, fazendo perguntas para Nélida Piñon, através dos telefones 252-6525, 252-6525. Se você preferir o fax: 874-3454, 874-3454. E ainda temos o nosso e-mail rodaviva@tvcultura.com.br, rodaviva@tvcultura.com.br. Boa noite, Nélida.
03/02/1997|Nélida Piñon|17|Nélida Piñon| Boa noite a todos.
